ID,Perioden,NederlandHICP_1,EurozoneMUICP_2,EuropeseUnieEICP_3,NederlandHICP_4,EurozoneMUICP_5,EuropeseUnieEICP_6
216,2012MM09,71.79,76.67,73.85,2.5,2.6,2.7
217,2012MM10,72.37,76.86,74.05,3.3,2.5,2.6
218,2012MM11,72.03,76.7,73.96,3.2,2.2,2.4
219,2012MM12,71.93,76.98,74.2,3.4,2.2,2.3
220,2012JJ00,71.39,76.16,73.4,2.8,2.5,2.6
221,2013MM01,71.91,76.18,73.62,3.2,2.0,2.1
222,2013MM02,72.65,76.46,73.91,3.2,1.9,2.0
223,2013MM03,73.62,77.36,74.59,3.2,1.7,1.9
224,2013MM04,73.68,77.29,74.58,2.8,1.2,1.4
225,2013MM05,73.71,77.37,74.66,3.0,1.4,1.6
226,2013MM06,73.35,77.46,74.7,3.2,1.6,1.8
227,2013MM07,73.61,77.04,74.4,3.1,1.6,1.7
228,2013MM08,73.45,77.14,74.5,2.8,1.3,1.5
229,2013MM09,73.51,77.51,74.8,2.4,1.1,1.3
230,2013MM10,73.32,77.42,74.74,1.3,0.7,0.9
231,2013MM11,72.88,77.36,74.68,1.2,0.9,1.0
232,2013MM12,72.94,77.63,74.94,1.4,0.8,1.0
233,2013JJ00,73.22,77.19,74.51,2.6,1.4,1.5
234,2014MM01,72.49,76.76,74.28,0.8,0.8,0.9
235,2014MM02,72.92,77.0,74.51,0.4,0.7,0.8
236,2014MM03,73.72,77.72,75.05,0.1,0.5,0.6
237,2014MM04,74.15,77.84,75.18,0.6,0.7,0.8
238,2014MM05,73.81,77.76,75.11,0.1,0.5,0.6
239,2014MM06,73.55,77.84,75.19,0.3,0.5,0.7
240,2014MM07,73.8,77.33,74.8,0.3,0.4,0.5
241,2014MM08,73.71,77.42,74.88,0.4,0.4,0.5
242,2014MM09,73.69,77.76,75.11,0.2,0.3,0.4
243,2014MM10,73.61,77.72,75.1,0.4,0.4,0.5
244,2014MM11,73.07,77.58,74.95,0.3,0.3,0.4
245,2014MM12,72.9,77.5,74.87,-0.1,-0.2,-0.1
246,2014JJ00,73.45,77.52,74.92,0.3,0.4,0.5
247,2015MM01,72.0,76.3,73.92,-0.7,-0.6,-0.5
248,2015MM02,72.59,76.78,74.3,-0.5,-0.3,-0.3
249,2015MM03,73.52,77.67,74.97,-0.3,-0.1,-0.1
250,2015MM04,74.13,78.0,75.26,0.0,0.2,0.1
251,2015MM05,74.32,78.22,75.46,0.7,0.6,0.5
252,2015MM06,73.9,78.23,75.44,0.5,0.5,0.3
253,2015MM07,74.39,77.76,75.09,0.8,0.6,0.4
254,2015MM08,74.03,77.76,75.08,0.4,0.4,0.3
255,2015MM09,73.9,77.92,75.17,0.3,0.2,0.1
256,2015MM10,73.9,78.02,75.25,0.4,0.4,0.2
257,2015MM11,73.34,77.68,75.0,0.4,0.1,0.1
258,2015MM12,73.26,77.69,75.01,0.5,0.2,0.2
259,2015JJ00,73.61,77.67,75.0,0.2,0.2,0.1
260,2016MM01,72.16,76.55,74.12,0.2,0.3,0.3
261,2016MM02,72.82,76.68,74.23,0.3,-0.1,-0.1
262,2016MM03,73.9,77.64,74.94,0.5,0.0,0.0
263,2016MM04,73.98,77.8,75.1,-0.2,-0.3,-0.2
264,2016MM05,74.16,78.13,75.36,-0.2,-0.1,-0.1
265,2016MM06,73.75,78.27,75.48,-0.2,0.1,0.1
266,2016MM07,73.97,77.89,75.21,-0.6,0.2,0.2
267,2016MM08,74.1,77.93,75.25,0.1,0.2,0.2
268,2016MM09,73.84,78.23,75.47,-0.1,0.4,0.4
269,2016MM10,74.1,78.41,75.65,0.3,0.5,0.5
270,2016MM11,73.62,78.13,75.49,0.4,0.6,0.7
271,2016MM12,73.81,78.55,75.87,0.8,1.1,1.1
272,2016JJ00,73.68,77.85,75.18,0.1,0.2,0.2
273,2017MM01,73.34,77.87,75.37,1.6,1.7,1.7
274,2017MM02,74.04,78.18,75.7,1.7,2.0,2.0
275,2017MM03,74.36,78.83,76.18,0.6,1.5,1.7
276,2017MM04,75.03,79.28,76.57,1.4,1.9,2.0
277,2017MM05,74.71,79.21,76.57,0.7,1.4,1.6
278,2017MM06,74.47,79.28,76.61,1.0,1.3,1.5
279,2017MM07,75.08,78.93,76.37,1.5,1.3,1.5
280,2017MM08,75.21,79.13,76.55,1.5,1.5,1.7
281,2017MM09,74.89,79.45,76.83,1.4,1.6,1.8
282,2017MM10,75.06,79.49,76.91,1.3,1.4,1.7
283,2017MM11,74.76,79.33,76.87,1.5,1.5,1.8
284,2017MM12,74.71,79.6,77.11,1.2,1.3,1.6
285,2017JJ00,74.64,79.05,76.47,1.3,1.5,1.7
286,2018MM01,74.43,78.88,76.58,1.5,1.3,1.6
287,2018MM02,74.96,79.05,76.76,1.2,1.1,1.4
288,2018MM03,75.12,79.93,77.38,1.0,1.4,1.6
289,2018MM04,75.8,80.25,77.7,1.0,1.2,1.5
290,2018MM05,76.11,80.76,78.12,1.9,2.0,2.0
291,2018MM06,75.7,80.85,78.2,1.7,2.0,2.1
292,2018MM07,76.52,80.66,78.09,1.9,2.2,2.3
293,2018MM08,76.62,80.78,78.24,1.9,2.1,2.2
294,2018MM09,76.08,81.1,78.49,1.6,2.1,2.2
295,2018MM10,76.47,81.3,78.68,1.9,2.3,2.3
296,2018MM11,76.09,80.85,78.38,1.8,1.9,2.0
297,2018MM12,76.07,80.82,78.37,1.8,1.5,1.6
298,2018JJ00,75.83,80.44,77.92,1.6,1.8,1.9
299,2019MM01,75.91,79.98,77.73,2.0,1.4,1.5
300,2019MM02,76.88,80.23,78.01,2.6,1.5,1.6
301,2019MM03,77.27,81.05,78.63,2.9,1.4,1.6
302,2019MM04,78.1,81.63,79.18,3.0,1.7,1.9
303,2019MM05,77.89,81.74,79.34,2.3,1.2,1.6
304,2019MM06,77.78,81.87,79.42,2.7,1.3,1.6
305,2019MM07,78.51,81.49,79.19,2.6,1.0,1.4
306,2019MM08,79.0,81.6,79.3,3.1,1.0,1.4
307,2019MM09,78.14,81.78,79.42,2.7,0.8,1.2
308,2019MM10,78.63,81.89,79.52,2.8,0.7,1.1
309,2019MM11,78.03,81.63,79.38,2.5,1.0,1.3
310,2019MM12,78.2,81.89,79.61,2.8,1.3,1.6
311,2019JJ00,77.86,81.4,79.06,2.7,1.2,1.5
312,2020MM01,77.18,81.07,79.03,1.7,1.4,1.7
313,2020MM02,77.85,81.21,79.2,1.3,1.2,1.5
314,2020MM03,78.09,81.65,79.56,1.1,0.7,1.2
315,2020MM04,78.86,81.89,79.73,1.0,0.3,0.7
316,2020MM05,78.72,81.81,79.74,1.1,0.1,0.5
317,2020MM06,79.09,82.09,80.02,1.7,0.3,0.8
318,2020MM07,79.8,81.8,79.83,1.6,0.4,0.8
319,2020MM08,79.24,81.46,79.55,0.3,-0.2,0.3
320,2020MM09,78.9,81.52,79.58,1.0,-0.3,0.2
321,2020MM10,79.53,81.67,79.72,1.1,-0.3,0.3
322,2020MM11,78.55,81.4,79.5,0.7,-0.3,0.2
323,2020MM12,78.92,81.67,79.76,0.9,-0.3,0.2
324,2020JJ00,78.73,81.6,79.6,1.1,0.3,0.7
325,2021MM01,78.4,81.8,79.99,1.6,0.9,1.2
326,2021MM02,79.31,81.97,80.2,1.9,0.9,1.3
