ID,Geslacht,Leeftijd,Zorgvormen,Perioden,JongerenMetKostenZvwGGZ_1,GedeclareerdeEnToegekendeKosten_2
143,3000,70100,ZVW06 ,2014JJ00,2850.0,9245.0
144,3000,51506,ZVW01 ,2011JJ00,93005.0,273816.0
145,3000,51506,ZVW01 ,2012JJ00,90135.0,256166.0
146,3000,51506,ZVW01 ,2013JJ00,86910.0,257627.0
147,3000,51506,ZVW01 ,2014JJ00,70805.0,156551.0
148,3000,51506,ZVW02 ,2011JJ00,21190.0,8114.0
149,3000,51506,ZVW02 ,2012JJ00,19890.0,5129.0
150,3000,51506,ZVW02 ,2013JJ00,19025.0,4522.0
151,3000,51506,ZVW02 ,2014JJ00,,
152,3000,51506,ZVW03 ,2011JJ00,76015.0,265675.0
153,3000,51506,ZVW03 ,2012JJ00,74030.0,251000.0
154,3000,51506,ZVW03 ,2013JJ00,70925.0,252138.0
155,3000,51506,ZVW03 ,2014JJ00,,
156,3000,51506,ZVW04 ,2011JJ00,65.0,27.0
157,3000,51506,ZVW04 ,2012JJ00,135.0,38.0
158,3000,51506,ZVW04 ,2013JJ00,785.0,967.0
159,3000,51506,ZVW04 ,2014JJ00,15.0,34.0
160,3000,51506,ZVW05 ,2011JJ00,,
161,3000,51506,ZVW05 ,2012JJ00,,
162,3000,51506,ZVW05 ,2013JJ00,,
163,3000,51506,ZVW05 ,2014JJ00,15150.0,10124.0
164,3000,51506,ZVW06 ,2011JJ00,,
165,3000,51506,ZVW06 ,2012JJ00,,
166,3000,51506,ZVW06 ,2013JJ00,,
167,3000,51506,ZVW06 ,2014JJ00,57970.0,146393.0
168,3000,52041,ZVW01 ,2011JJ00,65905.0,228973.0
169,3000,52041,ZVW01 ,2012JJ00,67030.0,216661.0
170,3000,52041,ZVW01 ,2013JJ00,66665.0,224874.0
171,3000,52041,ZVW01 ,2014JJ00,53345.0,140250.0
172,3000,52041,ZVW02 ,2011JJ00,13390.0,4760.0
173,3000,52041,ZVW02 ,2012JJ00,13090.0,3100.0
174,3000,52041,ZVW02 ,2013JJ00,12950.0,2985.0
175,3000,52041,ZVW02 ,2014JJ00,,
176,3000,52041,ZVW03 ,2011JJ00,55025.0,224199.0
177,3000,52041,ZVW03 ,2012JJ00,56240.0,213437.0
178,3000,52041,ZVW03 ,2013JJ00,55820.0,221265.0
179,3000,52041,ZVW03 ,2014JJ00,,
180,3000,52041,ZVW04 ,2011JJ00,110.0,14.0
181,3000,52041,ZVW04 ,2012JJ00,265.0,124.0
182,3000,52041,ZVW04 ,2013JJ00,905.0,625.0
183,3000,52041,ZVW04 ,2014JJ00,50.0,74.0
184,3000,52041,ZVW05 ,2011JJ00,,
185,3000,52041,ZVW05 ,2012JJ00,,
186,3000,52041,ZVW05 ,2013JJ00,,
187,3000,52041,ZVW05 ,2014JJ00,10950.0,6870.0
188,3000,52041,ZVW06 ,2011JJ00,,
189,3000,52041,ZVW06 ,2012JJ00,,
190,3000,52041,ZVW06 ,2013JJ00,,
191,3000,52041,ZVW06 ,2014JJ00,44100.0,133306.0
192,4000,10222,ZVW01 ,2011JJ00,103325.0,324943.0
193,4000,10222,ZVW01 ,2012JJ00,104020.0,318207.0
194,4000,10222,ZVW01 ,2013JJ00,104070.0,337971.0
195,4000,10222,ZVW01 ,2014JJ00,84240.0,220838.0
196,4000,10222,ZVW02 ,2011JJ00,31285.0,11528.0
197,4000,10222,ZVW02 ,2012JJ00,31320.0,7603.0
198,4000,10222,ZVW02 ,2013JJ00,31420.0,7495.0
199,4000,10222,ZVW02 ,2014JJ00,,
200,4000,10222,ZVW03 ,2011JJ00,76870.0,313378.0
201,4000,10222,ZVW03 ,2012JJ00,77385.0,310457.0
202,4000,10222,ZVW03 ,2013JJ00,76600.0,328983.0
203,4000,10222,ZVW03 ,2014JJ00,,
204,4000,10222,ZVW04 ,2011JJ00,110.0,37.0
205,4000,10222,ZVW04 ,2012JJ00,330.0,147.0
206,4000,10222,ZVW04 ,2013JJ00,1755.0,1493.0
207,4000,10222,ZVW04 ,2014JJ00,50.0,29.0
208,4000,10222,ZVW05 ,2011JJ00,,
209,4000,10222,ZVW05 ,2012JJ00,,
210,4000,10222,ZVW05 ,2013JJ00,,
