ID,Perioden,Kotters_1,Trawlers_2,Mosselschepen_3,Kokkelschepen_4,SchepenVoorOestervisserij_5,Kotters_6,Trawlers_7,Mosselschepen_8,Kokkelschepen_9,SchepenVoorOestervisserij_10,Kotters_11,Trawlers_12,Mosselschepen_13,Urk_14,IJmuiden_15,DenHelder_16,Stellendam_17,Harlingen_18,Lauwersoog_19,Vlissingen_20,Scheveningen_21,Breskens_22,DenOever_23,Colijnsplaat_24,Schol_25,Tong_26,Kabeljauw_27,Makreel_28,Tarbot_29,Schar_30,Wijting_31,Garnaal_32,Mossel_33,Oester_34,Kokkel_35,Totaal_36,Waddenzee_37,Oosterschelde_38,Totaal_39,Grevelingen_40,Oosterschelde_41,MosselTotaal_42,MosselZeeland_43,MosselWaddenzee_44,Kokkel_45,Palingkweek_46,TotaalEU15_47,Belgie_48,Denemarken_49,Duitsland_50,Finland_51,Frankrijk_52,Griekenland_53,Ierland_54,Italie_55,Oostenrijk_56,Nederland_57,Portugal_58,Spanje_59,VerenigdKoninkrijk_60,Zweden_61
12,1999JJ00,399.0,16.0,77.0,27.0,21.0,425.0,119.0,49.0,17.0,7.0,1825.0,516.0,229.0,128.0,50.8,49.9,34.0,44.0,36.3,31.3,20.4,10.0,15.0,8.6,115.0,148.3,45.1,0.4,24.9,14.7,2.5,38.4,56.7,5.5,23.0,5590.0,3560.0,2030.0,2050.0,500.0,1550.0,100.7,45.2,55.5,8.1,3.7,7600.0,31.0,1448.0,318.0,160.0,929.0,205.0,327.0,493.0,3.0,623.0,219.0,1488.0,996.0,357.0
13,2000JJ00,402.0,18.0,73.0,15.0,20.0,428.0,140.0,52.0,10.0,6.0,1831.0,600.0,220.0,121.6,48.0,51.3,34.0,41.0,34.4,33.9,21.1,10.5,11.5,7.9,103.1,158.3,38.0,0.5,27.0,14.2,3.0,30.2,74.3,5.8,7.0,5590.0,3560.0,2030.0,2050.0,500.0,1550.0,66.8,35.6,31.3,2.6,3.7,7459.0,32.0,1578.0,272.0,172.0,970.0,195.0,327.0,519.0,3.0,571.0,199.0,1378.0,900.0,343.0
14,2001JJ00,401.0,16.0,71.0,16.0,20.0,416.0,135.0,51.0,10.0,6.0,1775.0,573.0,214.0,122.0,46.0,49.0,34.0,48.0,35.0,34.0,20.0,15.0,17.0,9.0,109.8,151.5,30.3,0.8,28.5,12.1,3.4,44.7,80.0,6.0,11.0,5590.0,3560.0,2030.0,2050.0,500.0,1550.0,48.6,32.4,16.2,3.0,4.0,7507.0,32.0,1552.0,265.0,166.0,933.0,192.0,417.0,529.0,3.0,575.0,201.0,1415.0,910.0,319.0
15,2002JJ00,393.0,17.0,69.0,12.0,20.0,393.0,135.0,53.0,8.0,6.0,1745.0,586.0,208.0,109.0,40.0,40.0,31.0,37.0,29.0,31.0,16.0,13.0,12.0,7.0,97.5,130.2,26.8,0.7,27.6,7.8,2.9,26.2,64.0,,10.0,5590.0,3560.0,2030.0,1995.0,500.0,1495.0,45.1,14.4,30.6,1.9,4.0,6898.0,31.0,1474.0,274.0,161.0,956.0,184.0,345.0,454.0,3.0,518.0,211.0,1117.0,869.0,301.0
16,2003JJ00,374.0,17.0,69.0,4.0,20.0,367.0,135.0,53.0,2.0,6.0,1656.0,613.0,208.0,100.0,46.0,36.0,31.0,40.0,25.0,29.0,14.0,11.0,14.0,6.0,103.5,130.1,17.8,0.5,25.5,6.8,2.1,27.1,71.7,,,5330.0,3330.0,2000.0,2000.0,500.0,1500.0,56.2,20.9,35.4,0.4,4.2,6583.0,28.0,1069.0,335.0,135.0,949.0,195.0,329.0,488.0,3.0,593.0,217.0,1132.0,819.0,293.0
17,2004JJ00,367.0,17.0,69.0,0.0,20.0,364.0,135.0,53.0,0.0,6.0,1564.0,613.0,208.0,101.0,44.0,35.0,25.0,40.0,21.0,25.0,13.0,7.0,10.0,5.0,86.9,132.8,16.3,0.5,23.4,7.4,2.4,21.4,59.1,,,5330.0,3330.0,2000.0,2000.0,500.0,1500.0,67.0,37.4,29.6,,4.5,6504.0,27.0,1134.0,319.0,148.0,914.0,190.0,339.0,397.0,3.0,600.0,228.0,1066.0,862.0,276.0
18,2005JJ00,342.0,15.0,64.0,0.0,20.0,302.0,116.0,57.0,0.0,6.0,1469.0,560.0,194.0,109.0,39.0,34.0,27.0,37.0,23.0,28.0,14.0,7.0,12.0,4.0,85.0,135.3,16.2,0.4,25.0,7.5,2.4,15.3,55.8,,,5330.0,3330.0,2000.0,2000.0,500.0,1500.0,59.7,32.9,26.8,,4.0,6228.0,25.0,950.0,330.0,146.0,840.0,198.0,323.0,479.0,3.0,621.0,218.0,991.0,842.0,262.0
19,2006JJ00,346.0,13.0,60.0,0.0,21.0,308.0,95.0,55.0,0.0,7.0,1369.0,465.0,182.0,111.0,37.0,33.0,26.0,33.0,23.0,28.0,17.0,8.0,15.0,5.0,89.1,126.5,17.1,0.3,24.7,6.7,2.6,20.5,49.1,,,5330.0,3330.0,2000.0,2000.0,500.0,1500.0,31.3,19.8,11.5,,5.0,6035.0,23.0,896.0,336.0,162.0,831.0,211.0,264.0,490.0,3.0,478.0,237.0,1036.0,792.0,277.0
20,2007JJ00,345.0,14.0,56.0,0.0,,293.0,107.0,52.0,0.0,,1404.0,508.0,170.0,103.7,42.0,29.0,24.0,39.1,18.0,27.0,19.0,8.0,17.0,5.0,78.1,119.7,16.5,0.3,28.5,7.8,1.7,36.6,70.2,,,,,,2000.0,500.0,1500.0,43.7,13.8,30.0,,4.0,5716.0,25.0,684.0,294.0,177.0,795.0,208.0,280.0,468.0,3.0,467.0,261.0,1021.0,791.0,244.0
21,2008JJ00,308.0,14.0,56.0,,,239.0,107.0,52.0,,,1333.0,508.0,170.0,82.1,41.0,23.0,22.4,30.6,20.7,25.4,21.6,8.0,15.9,4.5,66.8,104.9,15.4,0.4,23.4,6.2,1.5,40.5,65.4,2.0,,5326.0,3384.0,1942.0,2000.0,500.0,1500.0,36.1,14.8,21.3,,3.7,5661.0,23.0,728.0,274.0,172.0,738.0,204.0,250.0,394.0,2.0,463.0,230.0,1171.0,774.0,239.0
22,2009JJ00,308.0,14.0,56.0,,,238.0,109.0,52.0,,,1236.0,502.0,170.0,77.2,43.5,20.3,20.7,20.7,16.9,23.9,22.5,9.2,14.3,3.5,53.5,107.8,13.5,0.5,20.4,4.3,1.2,38.6,55.8,1.9,,5311.0,3298.0,2013.0,2035.0,550.0,1485.0,45.7,22.7,23.0,,2.8,5482.0,22.0,812.0,270.0,168.0,658.0,204.0,316.0,410.0,2.0,436.0,205.0,990.0,777.0,210.0
23,2010JJ00,302.0,13.0,56.0,,,234.0,96.0,52.0,,,1230.0,500.0,170.0,89.8,47.9,21.4,22.2,16.6,15.8,28.6,23.6,10.6,14.5,3.7,61.9,115.6,15.4,0.7,20.6,4.8,1.3,42.6,69.0,3.9,,5311.0,3298.0,2013.0,2050.0,550.0,1500.0,56.1,32.0,24.1,,3.0,,,,,,,,,,,,,,,
24,2011JJ00,302.0,13.0,56.0,,,233.0,96.0,52.0,,,1208.0,480.0,170.0,99.9,48.1,18.0,20.3,5.6,14.1,27.4,26.6,6.8,14.3,2.4,68.7,101.2,13.7,0.7,20.3,4.8,1.2,28.3,44.4,3.1,,5311.0,3298.0,2013.0,2050.0,550.0,1500.0,32.4,15.1,17.3,,2.1,,,,,,,,,,,,,,,
25,2012JJ00,298.0,13.0,55.0,,,225.0,96.0,51.0,,,1190.0,480.0,167.0,93.1,49.3,21.1,20.2,10.7,24.3,26.8,25.4,8.8,17.8,2.2,73.5,96.6,12.7,0.9,18.2,5.1,1.1,53.2,58.4,3.3,,5311.0,3298.0,2013.0,2050.0,550.0,1500.0,33.4,25.8,7.6,,1.8,,,,,,,,,,,,,,,
26,2013JJ00,,,,,,,,,,,,,,95.2,48.2,19.3,19.3,20.0,21.5,25.2,22.4,7.3,19.1,2.2,70.1,93.1,10.0,1.0,20.5,4.2,1.1,63.8,54.3,3.6,,5508.0,3308.0,2200.0,2050.0,550.0,1500.0,26.8,17.6,9.2,,2.9,,,,,,,,,,,,,,,
27,2014JJ00,,,,,,,,,,,,,,86.4,51.8,20.3,21.5,19.2,18.2,24.3,22.3,8.8,18.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
