ID,CharacteristicsOfHouseholds,Periods,GrossOperatingSurplus_1,GrossMixedIncome_2,CompensationOfEmployees_3,GrossDisposableIncome_4,SocialTransfersInKind_5,GrossAdjustedDisposableIncome_6,FinalConsumptionExpenditure_7,ActualIndividualConsumption_8,NetWorth_9,Total_10,PensionEntitlementsAndClaims_11,OtherAssets_12,Total_13,HomeMortgagesClosingBalance_14,OtherLiabilities_15,Total_16,DwellingsAndLandUnderlyingDwellings_17,OtherNonFinancialAssets_18,GrossOperatingSurplus_19,GrossMixedIncome_20,CompensationOfEmployees_21,GrossDisposableIncome_22,SocialTransfersInKind_23,GrossAdjustedDisposableIncome_24,FinalConsumptionExpenditure_25,ActualIndividualConsumption_26,NetWorth_27,Total_28,PensionEntitlementsAndClaims_29,OtherAssets_30,Total_31,HomeMortgagesClosingBalance_32,OtherLiabilities_33,Total_34,DwellingsAndLandUnderlyingDwellings_35,OtherNonFinancialAssets_36,GrossOperatingSurplus_37,GrossMixedIncome_38,CompensationOfEmployees_39,GrossDisposableIncome_40,SocialTransfersInKind_41,GrossAdjustedDisposableIncome_42,FinalConsumptionExpenditure_43,ActualIndividualConsumption_44,NetWorth_45,Total_46,PensionEntitlementsAndClaims_47,OtherAssets_48,Total_49,HomeMortgagesClosingBalance_50,OtherLiabilities_51,Total_52,DwellingsAndLandUnderlyingDwellings_53,OtherNonFinancialAssets_54,SavingsRatioAdjustedDisposableIncome_55
25,1021020,2010JJ00,252,3009,27494,39136,24801,63937,38390.0,63192.0,221984,138331,75518,62813,78185,68275,9910,161838,155149,6689,0.2,2.0,18.0,25.6,16.3,41.9,25.2,41.4,145.5,90.7,49.5,41.2,51.2,44.7,6.5,106.1,101.7,4.4,0.1,1.5,13.7,19.5,12.4,31.9,19.2,31.6,110.9,69.1,37.7,31.4,39.0,34.1,4.9,80.8,77.5,3.3,1.2
26,1021020,2011JJ00,464,2867,27499,40062,25011,65073,39218.0,64229.0,234649,165009,93330,71680,85487,66146,19341,155127,149975,5152,0.3,1.9,17.9,26.0,16.2,42.3,25.5,41.7,152.4,107.2,60.6,46.6,55.5,43.0,12.6,100.8,97.4,3.3,0.2,1.4,13.7,20.0,12.5,32.5,19.6,32.0,117.1,82.3,46.6,35.8,42.6,33.0,9.6,77.4,74.8,2.6,1.8
27,1021020,2012JJ00,51,2960,27800,40367,25862,66229,42836.0,68698.0,236851,168627,92964,75663,75951,67791,8160,144175,138384,5791,0.0,1.9,17.9,26.0,16.7,42.7,27.6,44.3,152.6,108.7,59.9,48.8,48.9,43.7,5.3,92.9,89.2,3.7,0.0,1.5,13.8,20.0,12.8,32.8,21.2,34.0,117.2,83.4,46.0,37.4,37.6,33.5,4.0,71.3,68.4,2.9,-3.1
28,1021020,2013JJ00,234,3112,25242,41087,26651,67739,45150.0,71801.0,225411,165407,90537,74869,73554,62965,10589,133559,128807,4751,0.1,2.0,16.2,26.3,17.1,43.3,28.9,45.9,144.2,105.8,57.9,47.9,47.1,40.3,6.8,85.5,82.4,3.0,0.1,1.5,12.5,20.3,13.2,33.4,22.3,35.4,111.2,81.6,44.7,36.9,36.3,31.1,5.2,65.9,63.6,2.3,-5.8
29,1021020,2014JJ00,386,3192,24222,40641,27259,67900,45540.0,72798.0,250738,193352,110145,83206,71793,60563,11230,129179,122274,6905,0.2,2.0,15.4,25.8,17.3,43.1,28.9,46.2,159.2,122.8,69.9,52.8,45.6,38.5,7.1,82.0,77.6,4.4,0.2,1.6,11.9,20.0,13.4,33.5,22.5,35.9,123.7,95.4,54.3,41.0,35.4,29.9,5.5,63.7,60.3,3.4,-6.9
30,1021030,2005JJ00,1376,4632,48058,46301,16393,62694,48094.0,64487.0,308476,185414,97304,88111,105971,94025,11946,229033,214190,14843,0.9,3.2,32.8,31.6,11.2,42.8,32.8,44.0,210.5,126.5,66.4,60.1,72.3,64.1,8.2,156.3,146.1,10.1,0.7,2.2,23.0,22.2,7.8,30.0,23.0,30.9,147.7,88.8,46.6,42.2,50.7,45.0,5.7,109.7,102.5,7.1,2.2
31,1021030,2006JJ00,2138,4896,49056,47301,19131,66431,49312.0,68442.0,323008,190665,99558,91108,111719,102343,9377,244062,230661,13401,1.4,3.3,33.3,32.1,13.0,45.0,33.4,46.4,218.9,129.2,67.5,61.8,75.7,69.4,6.4,165.4,156.3,9.1,1.0,2.3,23.4,22.5,9.1,31.7,23.5,32.6,153.9,90.9,47.4,43.4,53.2,48.8,4.5,116.3,109.9,6.4,0.1
32,1021030,2007JJ00,2853,4634,51628,49029,19925,68953,50566.0,70490.0,316644,183663,98061,85603,123032,113082,9950,256013,241673,14340,1.9,3.1,34.8,33.0,13.4,46.4,34.1,47.5,213.3,123.7,66.0,57.7,82.9,76.2,6.7,172.4,162.8,9.7,1.4,2.2,24.5,23.3,9.4,32.7,24.0,33.4,150.2,87.1,46.5,40.6,58.3,53.6,4.7,121.4,114.6,6.8,0.9
33,1021030,2008JJ00,2960,4798,54389,50319,21303,71622,51496.0,72799.0,357506,212788,118987,93801,124155,112184,11970,268873,255198,13675,2.0,3.2,36.3,33.6,14.2,47.8,34.4,48.6,238.8,142.2,79.5,62.7,82.9,74.9,8.0,179.6,170.5,9.1,1.4,2.3,25.7,23.8,10.1,33.8,24.3,34.4,169.0,100.6,56.2,44.3,58.7,53.0,5.7,127.1,120.6,6.5,2.5
34,1021030,2009JJ00,837,5571,53594,52036,22845,74881,50452.0,73297.0,348720,216458,122581,93877,128351,116197,12153,260613,246326,14287,0.6,3.7,35.5,34.4,15.1,49.5,33.4,48.5,230.7,143.2,81.1,62.1,84.9,76.9,8.0,172.4,163.0,9.5,0.4,2.6,25.2,24.5,10.7,35.2,23.7,34.5,164.0,101.8,57.6,44.1,60.3,54.6,5.7,122.5,115.8,6.7,6.0
