ID,TypeOfDwellings,Periods,PriceIndexOfExistingOwnHomes_1,ChangesComparedToOnePeriodEarlier_2,ChangesComparedToOneYearEarlier_3,NumberOfDwellingsSold_4,ChangesComparedToOnePeriodEarlier_5,ChangesComparedToOneYearEarlier_6,AveragePurchasePrice_7,TotalValuePurchasePrices_8
72,1 ,2009KW03,101.1,-1.4,-5.2,33234,9.8,-31.4,233608,7764
73,1 ,2009KW04,100.3,-0.8,-5.3,36811,10.8,-18.1,237755,8752
74,1 ,2009JJ00,102.3,-3.4,-3.4,127532,-30.1,-30.1,238259,30386
75,1 ,2010KW01,100.1,-0.2,-4.8,27745,-24.6,1.9,236712,6568
76,1 ,2010KW02,100.3,0.1,-2.2,31891,14.9,5.4,240001,7654
77,1 ,2010KW03,100.4,0.1,-0.8,32398,1.6,-2.5,244424,7919
78,1 ,2010KW04,99.2,-1.1,-1.1,34093,5.2,-7.4,236733,8071
79,1 ,2010JJ00,100.0,-2.2,-2.2,126127,-1.1,-1.1,239530,30211
80,1 ,2011KW01,98.7,-0.5,-1.5,28358,-16.8,2.2,240132,6810
81,1 ,2011KW02,98.3,-0.4,-2.0,29532,4.1,-7.4,241736,7139
82,1 ,2011KW03,97.5,-0.8,-2.8,30769,4.2,-5.0,245503,7554
83,1 ,2011KW04,95.8,-1.7,-3.4,32080,4.3,-5.9,233229,7482
84,1 ,2011JJ00,97.6,-2.4,-2.4,120739,-4.3,-4.3,240059,28984
85,1 ,2012KW01,94.6,-1.3,-4.1,23951,-25.3,-15.5,235954,5651
86,1 ,2012KW02,92.8,-1.9,-5.5,34628,44.6,17.3,234572,8123
87,1 ,2012KW03,89.1,-3.9,-8.6,22978,-33.6,-25.3,215795,4959
88,1 ,2012KW04,88.5,-0.7,-7.6,35704,55.4,11.3,219746,7846
89,1 ,2012JJ00,91.3,-6.5,-6.5,117261,-2.9,-2.9,226661,26578
90,1 ,2013KW01,86.5,-2.3,-8.6,23090,-35.3,-3.6,213240,4924
91,1 ,2013KW02,84.7,-2.0,-8.7,22111,-4.2,-36.1,210908,4663
92,1 ,2013KW03,85.1,0.4,-4.6,28925,30.8,25.9,214778,6212
93,1 ,2013KW04,84.8,-0.4,-4.3,35968,24.3,0.7,213784,7689
94,1 ,2013JJ00,85.3,-6.6,-6.6,110094,-6.1,-6.1,213353,23489
95,1 ,2014KW01,85.2,0.6,-1.5,28963,-19.5,25.4,215689,6247
96,1 ,2014KW02,85.8,0.6,1.2,34074,17.6,54.1,220670,7519
97,1 ,2014KW03,86.6,0.9,1.8,39160,14.9,35.4,225194,8819
98,1 ,2014KW04,86.6,0.1,2.2,51314,31.0,42.7,224660,11528
99,1 ,2014JJ00,86.1,0.9,0.9,153511,39.4,39.4,222218,34113
100,1 ,2015KW01,87.3,0.8,2.4,34527,-32.7,19.2,221589,7651
101,1 ,2015KW02,87.9,0.8,2.5,40722,17.9,19.5,227389,9260
102,1 ,2015KW03,89.1,1.3,2.9,50609,24.3,29.2,233301,11807
103,1 ,2015KW04,89.7,0.6,3.5,52435,3.6,2.2,235039,12324
104,1 ,2015JJ00,88.5,2.8,2.8,178293,16.1,16.1,230194,41042
105,1 ,2016KW01,90.8,1.3,4.1,42897,-18.2,24.2,236333,10138
106,1 ,2016KW02,91.8,1.0,4.4,50315,17.3,23.6,239542,12053
107,1 ,2016KW03,94.1,2.5,5.6,60707,20.7,20.0,249593,15152
108,1 ,2016KW04,95.1,1.1,6.1,60874,0.3,16.1,246934,15032
109,1 ,2016JJ00,93.0,5.0,5.0,214793,20.5,20.5,243837,52374
110,1 ,2017KW01,97.0,2.0,6.8,55911,-8.2,30.3,257002,14369
111,1 ,2017KW02,98.9,1.9,7.7,58370,4.4,16.0,260573,15210
112,1 ,2017KW03,101.2,2.4,7.6,61391,5.2,1.1,267464,16420
113,1 ,2017KW04,102.9,1.7,8.2,66188,7.8,8.7,267143,17682
114,1 ,2017JJ00,100.0,7.6,7.6,241860,12.6,12.6,263295,63680
115,2 ,1995KW01,36.7,,,21766,,,97639,2125
116,2 ,1995KW02,37.1,1.0,,27014,24.1,,99301,2683
117,2 ,1995KW03,38.2,2.9,,29503,9.2,,103894,3065
118,2 ,1995KW04,38.7,1.3,,33596,13.9,,103375,3473
119,2 ,1995JJ00,37.7,,,111879,,,101412,11346
120,2 ,1996KW01,39.7,2.8,8.2,25008,-25.6,14.9,105271,2633
121,2 ,1996KW02,41.2,3.6,10.9,31633,26.5,17.1,108104,3420
122,2 ,1996KW03,42.6,3.5,11.6,33813,6.9,14.6,113458,3836
123,2 ,1996KW04,43.5,2.2,12.6,35732,5.7,6.4,115124,4114
124,2 ,1996JJ00,41.8,10.8,10.8,126186,12.8,12.8,110965,14002
125,2 ,1997KW01,44.9,3.2,13.0,24705,-30.9,-1.2,117280,2897
126,2 ,1997KW02,46.1,2.6,11.9,33429,35.3,5.7,120261,4020
127,2 ,1997KW03,47.5,3.1,11.5,35250,5.4,4.3,125766,4433
128,2 ,1997KW04,48.5,2.2,11.5,37331,5.9,4.5,126630,4727
129,2 ,1997JJ00,46.7,12.0,12.0,130715,3.6,3.6,123001,16078
130,2 ,1998KW01,49.6,2.3,10.5,26356,-29.4,6.7,129060,3401
131,2 ,1998KW02,50.8,2.4,10.3,33810,28.3,1.1,130631,4417
132,2 ,1998KW03,52.6,3.5,10.8,36743,8.7,4.2,137682,5059
133,2 ,1998KW04,54.1,2.7,11.4,39750,8.2,6.5,138596,5509
134,2 ,1998JJ00,51.8,10.8,10.8,136659,4.5,4.5,134541,18386
135,2 ,1999KW01,56.1,3.8,13.1,28956,-27.2,9.9,142502,4126
136,2 ,1999KW02,58.6,4.4,15.3,34753,20.0,2.8,151584,5268
137,2 ,1999KW03,61.7,5.3,17.3,39100,12.5,6.4,161482,6314
138,2 ,1999KW04,64.4,4.3,19.1,39262,0.4,-1.2,168334,6609
139,2 ,1999JJ00,60.2,16.2,16.2,142071,4.0,4.0,157086,22317
140,2 ,2000KW01,67.3,4.6,19.9,26624,-32.2,-8.1,174369,4642
141,2 ,2000KW02,69.9,3.9,19.3,32064,20.4,-7.7,183538,5885
142,2 ,2000KW03,72.9,4.3,18.2,33663,5.0,-13.9,194361,6543
143,2 ,2000KW04,74.6,2.3,15.9,36368,8.0,-7.4,196721,7154
144,2 ,2000JJ00,71.2,18.3,18.3,128719,-9.4,-9.4,188197,24224
145,2 ,2001KW01,76.3,2.3,13.4,24925,-31.5,-6.4,198374,4944
146,2 ,2001KW02,78.2,2.5,11.9,32567,30.7,1.6,203765,6636
147,2 ,2001KW03,80.3,2.7,10.1,35811,10.0,6.4,208420,7464
148,2 ,2001KW04,80.9,0.7,8.4,38614,7.8,6.2,209360,8084
149,2 ,2001JJ00,78.9,10.9,10.9,131917,2.5,2.5,205648,27128
150,2 ,2002KW01,82.4,1.8,7.9,29383,-23.9,17.9,213412,6271
151,2 ,2002KW02,83.5,1.4,6.7,32299,9.9,-0.8,216955,7007
152,2 ,2002KW03,84.8,1.6,5.7,35638,10.3,-0.5,221679,7900
153,2 ,2002KW04,84.7,-0.2,4.7,35738,0.3,-7.4,218673,7815
154,2 ,2002JJ00,83.9,6.2,6.2,133058,0.9,0.9,217899,28993
155,2 ,2003KW01,85.5,1.0,3.8,25889,-27.6,-11.9,219929,5694
156,2 ,2003KW02,86.5,1.1,3.6,30913,19.4,-4.3,221815,6857
157,2 ,2003KW03,87.2,0.9,2.8,34076,10.2,-4.4,223825,7627
158,2 ,2003KW04,88.2,1.1,4.1,37985,11.5,6.3,228094,8664
159,2 ,2003JJ00,86.9,3.6,3.6,128863,-3.2,-3.2,223818,28842
160,2 ,2004KW01,89.3,1.3,4.4,25291,-33.4,-2.3,229761,5811
161,2 ,2004KW02,90.3,1.2,4.4,31124,23.1,0.7,232470,7235
162,2 ,2004KW03,91.7,1.5,5.1,34212,9.9,0.4,237804,8136
163,2 ,2004KW04,92.0,0.3,4.4,35931,5.0,-5.4,231527,8319
164,2 ,2004JJ00,90.8,4.6,4.6,126558,-1.8,-1.8,233103,29501
165,2 ,2005KW01,92.9,1.0,4.1,26991,-24.9,6.7,236961,6396
166,2 ,2005KW02,94.1,1.3,4.2,33822,25.3,8.7,240714,8141
167,2 ,2005KW03,95.3,1.2,3.9,38192,12.9,11.6,247273,9444
168,2 ,2005KW04,95.8,0.6,4.1,39716,4.0,10.5,247408,9826
169,2 ,2005JJ00,94.5,4.1,4.1,138721,9.6,9.6,243706,33807
170,2 ,2006KW01,97.4,1.6,4.8,31756,-20.0,17.7,250796,7964
171,2 ,2006KW02,98.5,1.2,4.7,36048,13.5,6.6,255499,9210
172,2 ,2006KW03,99.8,1.3,4.7,37074,2.8,-2.9,262176,9720
173,2 ,2006KW04,100.3,0.5,4.7,36913,-0.4,-7.1,259402,9575
174,2 ,2006JJ00,99.0,4.7,4.7,141791,2.2,2.2,257208,36470
175,2 ,2007KW01,101.5,1.2,4.2,29754,-19.4,-6.3,267602,7962
176,2 ,2007KW02,102.6,1.1,4.1,33497,12.6,-7.1,268936,9009
177,2 ,2007KW03,104.0,1.4,4.2,35012,4.5,-5.6,276644,9686
178,2 ,2007KW04,104.4,0.4,4.1,36725,4.9,-0.5,271990,9989
179,2 ,2007JJ00,103.1,4.2,4.2,134988,-4.8,-4.8,271472,36645
180,2 ,2008KW01,105.6,1.2,4.1,26917,-26.7,-9.5,276662,7447
181,2 ,2008KW02,105.6,0.0,3.0,32337,20.1,-3.5,275699,8915
182,2 ,2008KW03,106.8,1.1,2.7,32998,2.0,-5.8,283029,9339
183,2 ,2008KW04,106.0,-0.7,1.6,30657,-7.1,-16.5,275390,8443
184,2 ,2008JJ00,106.0,2.8,2.8,122909,-8.9,-8.9,277801,34144
185,2 ,2009KW01,105.5,-0.5,-0.2,18113,-40.9,-32.7,272662,4939
186,2 ,2009KW02,102.7,-2.6,-2.8,20061,10.8,-38.0,257210,5160
187,2 ,2009KW03,101.2,-1.5,-5.3,22047,9.9,-33.2,253799,5596
188,2 ,2009KW04,100.3,-0.9,-5.4,24131,9.5,-21.3,256917,6200
189,2 ,2009JJ00,102.4,-3.4,-3.4,84352,-31.4,-31.4,259553,21894
190,2 ,2010KW01,100.2,-0.2,-5.0,17787,-26.3,-1.8,257264,4576
191,2 ,2010KW02,100.3,0.1,-2.3,20844,17.2,3.9,260571,5431
192,2 ,2010KW03,100.4,0.1,-0.8,21745,4.3,-1.4,264452,5751
193,2 ,2010KW04,99.2,-1.2,-1.1,22609,4.0,-6.3,255640,5780
194,2 ,2010JJ00,100.0,-2.4,-2.4,82985,-1.6,-1.6,259536,21538
195,2 ,2011KW01,98.6,-0.6,-1.5,18709,-17.3,5.2,260214,4868
196,2 ,2011KW02,98.3,-0.4,-2.0,19701,5.3,-5.5,261565,5153
197,2 ,2011KW03,97.5,-0.8,-2.8,20971,6.4,-3.6,264738,5552
198,2 ,2011KW04,95.8,-1.7,-3.4,21548,2.8,-4.7,252510,5441
199,2 ,2011JJ00,97.6,-2.4,-2.4,80929,-2.5,-2.5,259664,21014
200,2 ,2012KW01,94.7,-1.2,-4.0,16179,-24.9,-13.5,254233,4113
201,2 ,2012KW02,92.8,-2.0,-5.6,24309,50.3,23.4,251705,6119
202,2 ,2012KW03,89.0,-4.1,-8.7,15227,-37.4,-27.4,230977,3517
203,2 ,2012KW04,88.5,-0.6,-7.6,25025,64.3,16.1,232904,5828
204,2 ,2012JJ00,91.2,-6.5,-6.5,80740,-0.2,-0.2,242475,19577
205,2 ,2013KW01,86.4,-2.3,-8.7,15409,-38.4,-4.8,228404,3519
206,2 ,2013KW02,84.6,-2.1,-8.9,14847,-3.6,-38.9,225752,3352
207,2 ,2013KW03,85.0,0.4,-4.6,19854,33.7,30.4,228721,4541
208,2 ,2013KW04,84.6,-0.4,-4.4,24882,25.3,-0.6,227701,5666
209,2 ,2013JJ00,85.2,-6.7,-6.7,74992,-7.1,-7.1,227730,17078
210,2 ,2014KW01,85.1,0.6,-1.5,19810,-20.4,28.6,230839,4573
211,2 ,2014KW02,85.6,0.6,1.2,23132,16.8,55.8,236194,5464
212,2 ,2014KW03,86.4,0.9,1.7,26782,15.8,34.9,240842,6450
213,2 ,2014KW04,86.3,0.0,2.0,34690,29.5,39.4,239995,8325
214,2 ,2014JJ00,85.9,0.8,0.8,104414,39.2,39.2,237633,24812
215,2 ,2015KW01,87.0,0.8,2.3,23225,-33.1,17.2,239158,5554
216,2 ,2015KW02,87.7,0.7,2.4,27422,18.1,18.5,245561,6734
217,2 ,2015KW03,88.7,1.2,2.7,34847,27.1,30.1,249912,8709
218,2 ,2015KW04,89.3,0.6,3.4,35345,1.4,1.9,253465,8959
219,2 ,2015JJ00,88.2,2.7,2.7,120839,15.7,15.7,247897,29956
220,2 ,2016KW01,90.4,1.3,3.9,28361,-19.8,22.1,255326,7241
221,2 ,2016KW02,91.2,0.8,4.0,33749,19.0,23.1,258637,8729
222,2 ,2016KW03,93.5,2.5,5.3,41728,23.6,19.7,268772,11215
223,2 ,2016KW04,94.4,1.0,5.7,41607,-0.3,17.7,265299,11038
224,2 ,2016JJ00,92.4,4.7,4.7,145445,20.4,20.4,262805,38224
225,2 ,2017KW01,96.1,1.8,6.2,38552,-7.3,35.9,276853,10673
226,2 ,2017KW02,97.8,1.8,7.3,40723,5.6,20.7,279248,11372
227,2 ,2017KW03,99.9,2.2,6.9,43255,6.2,3.7,284792,12319
228,2 ,2017KW04,101.6,1.6,7.7,46932,8.5,12.8,284344,13345
229,2 ,2017JJ00,98.9,7.0,7.0,169462,16.5,16.5,281529,47709
230,3 ,1995KW01,39.2,,,10076,,,85536,862
231,3 ,1995KW02,39.5,0.9,,12119,20.3,,86765,1052
232,3 ,1995KW03,40.6,2.6,,13050,7.7,,90443,1180
233,3 ,1995KW04,41.0,1.1,,15110,15.8,,90616,1369
234,3 ,1995JJ00,40.1,,,50355,,,88628,4463
235,3 ,1996KW01,42.1,2.5,7.3,11655,-22.9,15.7,91218,1063
236,3 ,1996KW02,43.5,3.5,10.2,14537,24.7,20.0,93744,1363
237,3 ,1996KW03,44.9,3.1,10.7,15542,6.9,19.1,97533,1516
238,3 ,1996KW04,45.9,2.2,11.9,16482,6.0,9.1,99077,1633
239,3 ,1996JJ00,44.1,10.0,10.0,58216,15.6,15.6,95760,5575
240,3 ,1997KW01,47.4,3.2,12.7,11877,-27.9,1.9,102154,1213
241,3 ,1997KW02,48.4,2.1,11.1,15663,31.9,7.7,104779,1641
242,3 ,1997KW03,49.9,3.1,11.0,16397,4.7,5.5,107788,1767
243,3 ,1997KW04,50.9,2.2,11.0,17628,7.5,7.0,109689,1934
244,3 ,1997JJ00,49.1,11.4,11.4,61565,5.8,5.8,106480,6555
245,3 ,1998KW01,51.8,1.7,9.3,12774,-27.5,7.6,112170,1433
246,3 ,1998KW02,53.0,2.3,9.5,16323,27.8,4.2,113593,1854
247,3 ,1998KW03,54.6,3.0,9.4,17597,7.8,7.3,117541,2068
248,3 ,1998KW04,55.8,2.2,9.5,19569,11.2,11.0,119891,2346
249,3 ,1998JJ00,53.8,9.5,9.5,66263,7.6,7.6,116227,7702
250,3 ,1999KW01,57.6,3.2,11.2,14453,-26.1,13.1,122977,1777
251,3 ,1999KW02,59.9,4.0,13.1,16155,11.8,-1.0,129139,2086
252,3 ,1999KW03,62.8,4.8,15.1,18506,14.6,5.2,135891,2515
253,3 ,1999KW04,65.2,3.9,16.9,18596,0.5,-5.0,140988,2622
254,3 ,1999JJ00,61.4,14.1,14.1,67710,2.2,2.2,132923,9000
255,3 ,2000KW01,67.6,3.7,17.4,13087,-29.6,-9.5,147400,1929
256,3 ,2000KW02,70.1,3.7,17.0,15434,17.9,-4.5,153172,2364
257,3 ,2000KW03,72.8,3.8,15.9,16109,4.4,-13.0,161971,2609
258,3 ,2000KW04,74.5,2.3,14.2,16978,5.4,-8.7,163009,2768
259,3 ,2000JJ00,71.3,16.1,16.1,61608,-9.0,-9.0,156957,9670
260,3 ,2001KW01,76.1,2.2,12.5,12222,-28.0,-6.6,164638,2012
