ID,TypeOfDwellings,Periods,PriceIndexOfExistingOwnHomes_1,ChangesComparedToOnePeriodEarlier_2,ChangesComparedToOneYearEarlier_3,NumberOfDwellingsSold_4,ChangesComparedToOnePeriodEarlier_5,ChangesComparedToOneYearEarlier_6,AveragePurchasePrice_7,TotalValuePurchasePrices_8
261,3 ,2001KW02,77.8,2.2,10.8,15600,27.6,1.1,170392,2658
262,3 ,2001KW03,79.5,2.2,9.1,17229,10.4,7.0,174634,3009
263,3 ,2001KW04,80.8,1.7,8.5,18723,8.7,10.3,176527,3305
264,3 ,2001JJ00,78.5,10.2,10.2,63774,3.5,3.5,172236,10984
265,3 ,2002KW01,82.2,1.7,8.0,14296,-23.6,17.0,179732,2569
266,3 ,2002KW02,83.4,1.4,7.2,15633,9.4,0.2,182996,2861
267,3 ,2002KW03,84.8,1.7,6.7,17467,11.7,1.4,187905,3282
268,3 ,2002KW04,84.9,0.1,5.1,17347,-0.7,-7.3,186978,3244
269,3 ,2002JJ00,83.8,6.7,6.7,64743,1.5,1.5,184666,11956
270,3 ,2003KW01,86.2,1.5,4.8,12589,-27.4,-11.9,188835,2377
271,3 ,2003KW02,87.1,1.0,4.4,15016,19.3,-3.9,191141,2870
272,3 ,2003KW03,87.7,0.7,3.4,16617,10.7,-4.9,191832,3188
273,3 ,2003KW04,88.6,1.1,4.4,18230,9.7,5.1,196367,3580
274,3 ,2003JJ00,87.4,4.3,4.3,62452,-3.5,-3.5,192385,12015
275,3 ,2004KW01,89.5,1.0,3.9,12511,-31.4,-0.6,197188,2467
276,3 ,2004KW02,90.2,0.7,3.6,15066,20.4,0.3,198670,2993
277,3 ,2004KW03,91.5,1.5,4.3,16521,9.7,-0.6,201956,3337
278,3 ,2004KW04,91.7,0.3,3.5,17488,5.9,-4.1,199286,3485
279,3 ,2004JJ00,90.7,3.8,3.8,61586,-1.4,-1.4,199425,12282
280,3 ,2005KW01,92.6,1.0,3.4,13324,-23.8,6.5,202601,2699
281,3 ,2005KW02,93.7,1.2,3.9,16597,24.6,10.2,205663,3413
282,3 ,2005KW03,94.7,1.1,3.5,18759,13.0,13.5,210710,3953
283,3 ,2005KW04,95.3,0.6,3.9,19833,5.7,13.4,211729,4199
284,3 ,2005JJ00,94.1,3.7,3.7,68513,11.2,11.2,208205,14265
285,3 ,2006KW01,96.5,1.3,4.2,16436,-17.1,23.4,214896,3532
286,3 ,2006KW02,97.5,1.0,4.0,18351,11.7,10.6,218990,4019
287,3 ,2006KW03,98.8,1.3,4.3,18699,1.9,-0.3,225172,4210
288,3 ,2006KW04,99.2,0.5,4.1,17819,-4.7,-10.2,221193,3941
289,3 ,2006JJ00,98.0,4.2,4.2,71305,4.1,4.1,220218,15703
290,3 ,2007KW01,100.4,1.2,4.0,14329,-19.6,-12.8,224105,3211
291,3 ,2007KW02,101.2,0.9,3.9,16025,11.8,-12.7,227062,3639
292,3 ,2007KW03,102.6,1.4,3.9,16736,4.4,-10.5,232015,3883
293,3 ,2007KW04,103.0,0.4,3.8,17566,5.0,-1.4,230404,4047
294,3 ,2007JJ00,101.8,3.9,3.9,64656,-9.3,-9.3,228597,14780
