ID,Persoonskenmerken,Marges,CaribischNederland,Perioden,ToegangTotInternetInHetHuishouden_1,Inbel_2,Breedband_3,MobieleOfDongel_4,k_3MndGeleden_5,k_312MndGeleden_6,k_1JaarGeleden_7,NooitInternetGebruikt_8,BijnaDagelijks_9,NietDagelijksMaarMinstens1xPerWeek_10,NietWekelijksMaarMinstens1xPerMnd_11,Minstens1xPerMaand_12,Thuis_13,BijIemandAndersThuis_14,OpHetWerk_15,BijEenOnderwijsinstelling_16,ErgensAnders_17,VersturenOntvangenEMails_18,BerichtenPlaatsenOpChatsites_19,Weblogs_20,TekstberichtenUitwisselen_21,ProfessioneelNetwerk_22,AnderSociaalNetwerkFacebookTwitter_23,TelefonerenViaInternet_24,RadioTv_25,Kranten_26,Internetbankieren_27,SpelletjesFilmsOfMuziekDownloaden_28,FotoMuziekTekstOfSoftwareUploaden_29,SoftwareDownloadenAndersDanSpellen_30,OnlineAankopen_31
155,53310  ,MW00000,GM9003 ,2021JJ00,97.8,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,91.0,68.4,67.3,67.7,,34.7,66.6
156,53310  ,B000150,CN01   ,2013JJ00,3.9,3.3,5.1,5.5,3.8,1.5,2.3,3.0,3.9,3.5,1.4,1.2,3.2,4.1,5.5,3.4,2.9,4.5,5.3,4.4,5.5,3.9,4.8,5.5,5.6,5.5,5.5,5.6,5.6,4.9,5.4
157,53310  ,B000150,CN01   ,2017JJ00,2.3,,,,1.3,,,,1.9,1.9,,,,,,,,3.7,4.3,,2.3,3.0,3.3,3.4,3.8,4.3,4.3,4.3,4.3,4.0,4.4
158,53310  ,B000150,CN01   ,2021JJ00,2.1,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,2.7,4.4,3.6,4.4,,3.9,4.4
159,53310  ,B000150,GM9001 ,2013JJ00,4.4,3.9,5.9,6.4,4.3,1.6,2.6,3.3,4.4,4.0,1.7,,3.4,5.0,6.3,3.1,3.5,5.3,6.0,5.1,6.4,4.2,5.6,6.4,6.5,6.4,6.4,6.5,6.4,5.5,6.1
160,53310  ,B000150,GM9001 ,2017JJ00,2.8,,,,0.9,,,,1.9,1.9,,,,,,,,5.0,5.4,,2.5,3.7,4.0,3.7,5.3,5.4,5.5,5.6,5.6,5.0,5.6
161,53310  ,B000150,GM9001 ,2021JJ00,2.6,,,,1.7,,,1.5,,,,,,,,,,,,,,,,,4.2,6.2,5.0,6.1,,5.7,6.2
162,53310  ,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,53310  ,B000150,GM9002 ,2017JJ00,5.7,,,,5.0,,,,6.5,6.1,,,,,,,,8.3,9.5,,6.4,6.8,8.2,8.8,6.7,9.3,9.5,9.4,9.5,7.8,9.3
164,53310  ,B000150,GM9002 ,2021JJ00,5.1,,,,1.3,,,,,,,,,,,,,,,,,,,,4.5,7.8,6.1,8.4,,5.4,8.3
165,53310  ,B000150,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,53310  ,B000150,GM9003 ,2017JJ00,3.6,,,,2.0,,,,3.9,,,,,,,,,5.4,10.3,,5.3,8.0,7.7,8.6,7.7,10.3,9.8,10.1,9.4,10.3,10.0
167,53310  ,B000150,GM9003 ,2021JJ00,2.8,,,,,,,,,,,,,,,,,,,,,,,,5.5,8.9,9.0,9.0,,9.2,9.2
168,53715  ,MW00000,CN01   ,2013JJ00,71.5,14.0,79.2,28.1,62.8,3.3,5.0,28.9,82.5,12.6,2.7,2.2,93.9,6.6,48.3,4.0,9.3,85.5,24.8,9.7,34.2,9.4,57.2,60.3,38.0,47.6,46.3,31.1,35.2,20.3,30.6
169,53715  ,MW00000,CN01   ,2017JJ00,82.6,,,,92.3,,,,92.0,7.3,,,,,,,,67.7,33.3,,89.8,14.9,64.9,72.0,63.8,41.9,52.2,35.8,36.1,15.0,37.9
170,53715  ,MW00000,CN01   ,2021JJ00,88.4,,,,97.7,0.9,,1.3,97.7,2.1,,,,,,,,,,,,,,,84.1,47.3,72.4,38.6,,13.9,42.5
171,53715  ,MW00000,GM9001 ,2013JJ00,70.9,15.8,80.0,28.2,61.9,3.8,6.0,28.3,82.1,12.3,3.6,,95.3,7.5,45.5,4.6,9.8,84.2,19.7,8.7,33.9,6.7,55.3,62.7,39.3,46.0,44.6,30.5,35.9,17.1,26.3
172,53715  ,MW00000,GM9001 ,2017JJ00,85.6,,,,95.2,,,,95.9,3.3,,,,,,,,63.3,30.4,,92.7,12.7,68.0,75.6,58.6,37.5,51.3,37.3,36.6,14.9,32.4
173,53715  ,MW00000,GM9001 ,2021JJ00,90.3,,,,97.5,,,2.2,97.3,2.2,,,,,,,,,,,,,,,77.7,52.2,71.9,40.0,,12.5,34.2
174,53715  ,MW00000,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,53715  ,MW00000,GM9002 ,2017JJ00,77.4,,,,85.7,,,,77.8,21.2,,,,,,,,76.7,37.5,,80.5,11.4,56.2,62.7,74.7,49.2,52.8,28.4,27.8,12.3,47.5
176,53715  ,MW00000,GM9002 ,2021JJ00,80.7,,,,96.7,3.1,,,97.1,2.9,,,,,,,,,,,,,,,89.8,34.2,79.6,30.2,,10.6,54.0
177,53715  ,MW00000,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,53715  ,MW00000,GM9003 ,2017JJ00,77.4,,,,88.8,,,,94.3,,,,,,,,,78.2,43.5,,89.5,35.1,62.3,67.6,74.9,55.5,56.9,40.5,49.3,20.5,54.7
179,53715  ,MW00000,GM9003 ,2021JJ00,96.9,,,,100.0,,,,99.6,,,,,,,,,,,,,,,,94.3,52.7,63.2,47.0,,23.0,49.3
180,53715  ,B000150,CN01   ,2013JJ00,4.5,4.1,4.8,5.3,4.8,1.8,2.2,4.5,4.8,4.2,2.1,1.8,3.0,3.1,6.3,2.5,3.7,4.5,5.5,3.7,6.0,3.7,6.3,6.2,6.2,6.3,6.3,5.9,6.1,5.1,5.8
181,53715  ,B000150,CN01   ,2017JJ00,3.1,,,,2.4,,,,2.5,2.4,,,,,,,,4.3,4.4,,2.8,3.3,4.4,4.2,4.4,4.6,4.6,4.4,4.4,3.3,4.5
182,53715  ,B000150,CN01   ,2021JJ00,2.7,,,,1.3,0.8,,1.0,1.4,1.3,,,,,,,,,,,,,,,3.3,4.5,4.1,4.4,,3.1,4.5
183,53715  ,B000150,GM9001 ,2013JJ00,5.2,5.0,5.5,6.2,5.6,2.2,2.7,5.2,5.6,4.8,2.7,,3.1,3.9,7.3,3.1,4.4,5.4,5.8,4.1,7.0,3.7,7.3,7.1,7.2,7.3,7.3,6.8,7.0,5.5,6.4
184,53715  ,B000150,GM9001 ,2017JJ00,3.5,,,,2.4,,,,2.2,2.0,,,,,,,,5.4,5.2,,2.9,3.7,5.2,4.8,5.5,5.4,5.6,5.4,5.4,4.0,5.3
185,53715  ,B000150,GM9001 ,2021JJ00,3.4,,,,1.9,,,1.8,2.0,1.8,,,,,,,,,,,,,,,5.2,6.2,5.6,6.1,,4.1,5.9
186,53715  ,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,53715  ,B000150,GM9002 ,2017JJ00,6.9,,,,6.6,,,,8.5,8.3,,,,,,,,8.6,9.9,,8.1,6.5,10.1,9.9,8.9,10.2,10.2,9.2,9.1,6.7,10.2
188,53715  ,B000150,GM9002 ,2021JJ00,6.0,,,,3.0,2.9,,,2.9,2.9,,,,,,,,,,,,,,,5.2,8.2,7.0,7.9,,5.3,8.7
189,53715  ,B000150,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,53715  ,B000150,GM9003 ,2017JJ00,9.7,,,,8.3,,,,6.5,,,,,,,,,11.6,13.9,,8.6,13.4,13.6,13.2,12.2,14.0,13.9,13.8,14.1,11.3,14.2
191,53715  ,B000150,GM9003 ,2021JJ00,3.6,,,,,,,,1.3,,,,,,,,,,,,,,,,4.9,10.5,10.2,10.5,,8.9,10.6
192,80200  ,MW00000,CN01   ,2013JJ00,44.4,8.5,76.6,19.8,28.3,,8.0,61.3,,,,,,,,,,,,,,,,,,,,,,,
193,80200  ,MW00000,CN01   ,2017JJ00,66.3,,,,79.7,,,,85.4,12.1,,,,,,,,74.9,29.9,,70.8,14.0,43.9,75.9,58.1,52.5,52.4,25.2,28.4,17.4,35.7
194,80200  ,MW00000,CN01   ,2021JJ00,77.0,,,,92.9,,,6.6,93.8,6.2,,,,,,,,,,,,,,,80.4,44.8,47.7,23.3,,8.6,27.2
195,80200  ,MW00000,GM9001 ,2013JJ00,44.6,,,,30.6,,8.1,59.4,,,,,,,,,,,,,,,,,,,,,,,
196,80200  ,MW00000,GM9001 ,2017JJ00,64.6,,,,84.6,,,,92.8,6.9,,,,,,,,68.5,27.5,,82.6,8.4,51.6,75.7,52.7,45.0,48.2,27.9,30.1,18.4,25.1
197,80200  ,MW00000,GM9001 ,2021JJ00,74.4,,,,89.3,,,9.7,94.2,5.8,,,,,,,,,,,,,,,70.1,56.3,51.8,27.8,,8.8,17.5
198,80200  ,MW00000,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,80200  ,MW00000,GM9002 ,2017JJ00,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,80200  ,MW00000,GM9002 ,2021JJ00,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,80200  ,MW00000,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,80200  ,MW00000,GM9003 ,2017JJ00,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,80200  ,MW00000,GM9003 ,2021JJ00,84.5,,,,98.8,,,,98.4,,,,,,,,,,,,,,,,90.5,33.7,30.1,28.3,,13.5,29.0
204,80200  ,B000150,CN01   ,2013JJ00,8.5,7.2,11.0,10.3,7.7,,4.6,8.3,,,,,,,,,,,,,,,,,,,,,,,
205,80200  ,B000150,CN01   ,2017JJ00,6.0,,,,6.4,,,,6.3,5.8,,,,,,,,7.7,8.1,,8.1,6.2,8.8,7.6,8.8,8.9,8.9,7.7,8.0,6.7,8.6
206,80200  ,B000150,CN01   ,2021JJ00,5.3,,,,3.7,,,3.5,3.6,3.6,,,,,,,,,,,,,,,5.9,7.4,7.4,6.3,,4.2,6.7
207,80200  ,B000150,GM9001 ,2013JJ00,9.8,,,,9.1,,5.4,9.7,,,,,,,,,,,,,,,,,,,,,,,
208,80200  ,B000150,GM9001 ,2017JJ00,7.8,,,,7.4,,,,5.8,5.6,,,,,,,,10.3,9.9,,8.4,6.2,11.1,9.5,11.1,11.1,11.1,10.0,10.2,8.6,9.7
209,80200  ,B000150,GM9001 ,2021JJ00,7.8,,,,6.4,,,6.1,5.1,5.1,,,,,,,,,,,,,,,10.1,10.9,11.0,9.9,,6.2,8.3
210,80200  ,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,80200  ,B000150,GM9002 ,2017JJ00,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,80200  ,B000150,GM9002 ,2021JJ00,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,80200  ,B000150,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,80200  ,B000150,GM9003 ,2017JJ00,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,80200  ,B000150,GM9003 ,2021JJ00,10.2,,,,3.3,,,,3.9,,,,,,,,,,,,,,,,9.0,14.5,14.1,13.8,,10.5,14.1
216,2018700,MW00000,CN01   ,2013JJ00,65.4,13.7,67.9,41.8,59.1,4.0,7.9,29.0,81.2,13.2,3.3,2.2,92.0,17.4,33.5,13.0,12.4,70.5,28.3,10.3,49.5,4.9,69.9,48.9,47.2,30.7,23.0,44.3,39.7,19.3,25.2
217,2018700,MW00000,CN01   ,2017JJ00,77.9,,,,90.7,,,,90.0,9.2,,,,,,,,57.0,31.3,,89.1,4.2,72.2,72.7,63.6,28.5,33.2,45.1,42.6,16.9,28.9
218,2018700,MW00000,CN01   ,2021JJ00,85.4,,,,96.6,0.7,,2.5,97.4,2.6,,,,,,,,,,,,,,,83.1,27.8,57.1,40.7,,10.1,31.5
219,2018700,MW00000,GM9001 ,2013JJ00,66.0,15.1,67.6,41.4,59.8,3.6,8.2,28.4,83.3,11.1,3.8,1.9,92.9,19.8,32.4,13.6,12.8,68.7,23.9,8.7,47.6,2.5,70.3,46.9,47.5,33.0,22.1,40.3,36.7,15.6,19.3
220,2018700,MW00000,GM9001 ,2017JJ00,78.1,,,,94.3,,,,94.9,4.5,,,,,,,,52.6,24.4,,91.5,1.1,74.8,79.8,54.7,24.9,31.8,43.8,40.2,16.0,21.4
221,2018700,MW00000,GM9001 ,2021JJ00,85.1,,,,95.3,,,3.9,97.2,2.8,,,,,,,,,,,,,,,75.3,35.7,52.5,45.1,,13.1,23.6
222,2018700,MW00000,GM9002 ,2013JJ00,61.4,7.4,66.6,47.1,54.3,6.2,7.9,31.6,,,,,,,,,,,,,,,,,,,,,,,
223,2018700,MW00000,GM9002 ,2017JJ00,77.4,,,,85.1,,,,76.9,21.2,,,,,,,,63.8,41.3,,81.9,10.5,63.9,59.3,79.6,37.3,36.1,42.5,38.5,13.6,45.0
224,2018700,MW00000,GM9002 ,2021JJ00,82.3,,,,97.3,1.7,,,96.9,3.1,,,,,,,,,,,,,,,89.9,16.1,74.8,32.2,,5.6,42.7
225,2018700,MW00000,GM9003 ,2013JJ00,69.8,,,,64.6,,,28.0,,,,,,,,,,,,,,,,,,,,,,,
