ID,ZorginstellingenSBI2008,Perioden,Ondernemingen_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,WettelijkBudget_4,OpbrengstenDBCSDBCZorgproducten_5,TotaalOverigeNettoOmzet_6,ZorgprestatiesTussenInstellingen_7,PersoonsgebondenEnVolgendeBudgetten_8,OverigeZorgprestaties_9,OverigeDienstverlening_10,TotaalOverigeBedrijfsopbrengsten_11,WmoSubsidiesHuishoudelijkeHulp_12,OverigeSubsidiesEnBijdragen_13,NietEerderGenoemdeBedrijfsopbrengsten_14,TotaalBedrijfslasten_15,TotaalArbeidskosten_16,LonenEnSalarissen_17,PensioenlastenEnSocialeLasten_18,AfschrijvingenOpVasteActiva_19,BijzondereWaardeverminderingen_20,TotaalOverigeBedrijfslasten_21,TotaalAnderePersoneelskosten_22,KostenUitzendkrachtenEnOverigeInleen_23,OverigePersoneelskosten_24,TotaalNietEerderGenoemdeBedrLasten_25,VoedingEnHotelmatigeKosten_26,AlgemeneKosten_27,ClientEnBewonersgebondenKosten_28,OnderhoudsEnEnergiekosten_29,HuurOperationeleLeasingKapGoederen_30,AndereBedrijfslasten_31,Bedrijfsresultaat_32,FinancieleBaten_33,FinancieleLasten_34,FinancieelResultaat_35,BuitengewoneBaten_36,BuitengewoneLasten_37,BuitengewoonResultaat_38,ResultaatVoorBelastingen_39,TotaalActiva_40,ImmaterieleVasteActiva_41,MaterieleVasteActiva_42,TotaalFinancieleVasteActiva_43,Deelnemingen_44,OverigeLanglopendeVorderingen_45,TotaalVoorraden_46,Voorraden_47,OnderhandenWerkDBCS_48,TotaalKortlopendeVorderingen_49,VorderingenOpDebiteuren_50,VorderingenUHVBekostiging_51,OverigeKortlopendeVorderingen_52,Effecten_53,LiquideMiddelen_54,TotaalPassiva_55,TotaalEigenVermogen_56,Kapitaal_57,CollectiefGefinGebVermogen_58,NietCollectiefGefinVrijVermogen_59,Voorzieningen_60,LanglopendeSchulden_61,TotaalKortlopendeSchulden_62,SchuldenAanKredietinstellingen_63,Crediteuren_64,AflossingsverplichtingLanglopLening_65,SchuldenUHVBekostiging_66,OverigeKortlopendeSchulden_67,BoekwaardePer1Januari_68,Investeringen_69,Herwaarderingen_70,Desinvesteringen_71,Afschrijvingen_72,BijzondereWaardeverminderingen_73,TerugnameAfgeschrevenActiva_74,BoekwaardePer31December_75,WettelijkBudgetVerslagjaar_76,OpbrengstenTerDekkingWettelijkBudget_77,FinancieringsverschilBudgetOpbrengsten_78,BanenWerknemers_79,ArbeidsjarenWerknemers_80,BeddenKlinischeDagDeeltijdbehand_81,KlinischeVerpleegdagen_82,DagEnDeeltijdbehandelingen_83,EerstePolikliniekbezoeken_84,KlinischeOpnamen_85,BeddenKlinischeBehandeling_86,PoliklinischeBehandelplaatsen_87,KlinischeVerpleegdagen_88,Revalidatiebehandeluren_89,EersteConsulten_90,BeddenKlinischeEnDeeltijdbehandGGZ_91,KlinischeVerpleegdagenGGZ_92,Deeltijdbehandelingen_93,PoliklinischeFaceToFaceContacten_94,EersteKlinischeOpnamen_95,TotaalGGZZZPExclKindEnJeugd_96,VoortgezetVerblijfInclBHInclDB_97,VoortgezetVerblijfInclBHExclDB_98,BeschutBeschermdWonenExclBHInclDB_99,BeschutBeschermdWonenExclBHExclDB_100,BeddenGGZKJ_101,PlaatsenKleinschaligWonenGGZKJ_102,VerpleegdagenGGZKJ_103,VerzorgDagKleinschaligWonenGGZKJ_104,IntramurPlaatsenMetBehandelingGHZ_105,IntramurPlaatsZonderBehandelingGHZ_106,TotaalGHZZZP_107,TotaalGHZZZPVG_108,MetEnigeBegeleidingInclDB_109,MetEnigeBegeleidingExclDB_110,OverigeZZPInclBHInclDB_111,OverigeZZPInclBHExclDB_112,OverigeZZPExclBHInclDB_113,OverigeZZPExclBHExclDB_114,LichtVerstandelijkGehandicaptenLVG_115,SterkGedragsgestLichtVerstGeh_116,TotaalGHZZZPLG_117,MetEnigeBegelEnEnigeVerz_118,OverigeZZPInclBHInclDB_119,OverigeZZPInclBHExclDB_120,OverigeZZPExclBHInclDB_121,OverigeZZPExclBHExclDB_122,TotaalGHZZZPZG_123,ZintuiglijkGehandicaptenAuditief_124,ZintuiglijkGehandicaptenVisueel_125,IntramurPlaatsenMetBehandelingVPH_126,IntramurPlaatsenZonderBehandelingVZH_127,TotaalVVZZP_128,TotaalVVZZPBeschutWonen_129,BegeleidingEnEnigeVerzorging_130,BegeleidingEnVerzorgingInclBH_131,BegeleidingEnVerzorgingExclBH_132,TotaalVVZZPBeschermdWonen_133,IntensieveDementieZorgInclBH_134,IntensieveDementieZorgExclBH_135,MetNadrukOpLichVerzorgingInclBH_136,MetNadrukOpLichVerzorgingExclBH_137,HerstelgerichteBehandeling_138,IntensiefPalliatiefTerminaleZorg_139,UrenExtramuraleHuishoudelijkeVerz_140,UrenExtramuralePersoonlijkeVerz_141,UrenExtramuraleVerpleging_142,UrenExtramBegeleidingExclDagact_143,UrenExtramuraleBehandeling_144,UrenDagactiviteitGGZ_145,DagdelenDagactiviteitGHZ_146,DagdelenDagactiviteitVV_147,TotaalVPT_148,DagenVPTGGZ_149,DagenVPTGHZ_150,DagenVPTVV_151
10,422800  ,2009JJ00,8.0,6267.0,4057.0,3038.0,307.0,712.0,28.0,0.0,55.0,629.0,2211.0,0.0,1849.0,362.0,6157.0,3488.0,2805.0,682.0,296.0,0.0,2374.0,330.0,188.0,142.0,2044.0,148.0,449.0,1088.0,242.0,37.0,79.0,110.0,16.0,57.0,-42.0,1.0,0.0,1.0,69.0,5823.0,3.0,3918.0,41.0,7.0,34.0,649.0,72.0,577.0,949.0,554.0,31.0,364.0,0.0,264.0,5823.0,1050.0,14.0,722.0,314.0,454.0,2189.0,2129.0,342.0,222.0,89.0,184.0,1292.0,3673.0,602.0,0.0,17.0,340.0,0.0,0.0,3918.0,2942.0,2811.0,132.0,70790.0,54920.0,8310.0,1663.0,217.0,1131.0,246.0,0.0,0.0,0.0,31.0,0.0,,,84.0,690.0,5.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,60.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,53.0,0.0,,,,,,,
11,422800  ,2010JJ00,8.0,6640.0,4402.0,3231.0,408.0,763.0,43.0,0.0,44.0,676.0,2238.0,0.0,1983.0,254.0,6534.0,3717.0,2983.0,734.0,420.0,21.0,2376.0,357.0,193.0,164.0,2019.0,148.0,421.0,1125.0,208.0,41.0,76.0,105.0,7.0,71.0,-65.0,0.0,0.0,0.0,41.0,6284.0,20.0,4077.0,41.0,8.0,32.0,486.0,79.0,406.0,1452.0,498.0,545.0,409.0,0.0,208.0,6284.0,1089.0,16.0,751.0,323.0,499.0,2285.0,2410.0,807.0,272.0,92.0,0.0,1239.0,3900.0,634.0,0.0,17.0,439.0,1.0,0.0,4077.0,3155.0,2723.0,432.0,72250.0,55930.0,8310.0,1609.0,243.0,1108.0,243.0,0.0,0.0,0.0,38.0,0.0,730.0,289.0,87.0,693.0,5.0,111.0,100.0,11.0,0.0,0.0,18.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,,24.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,23.0,47.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
12,422800  ,2011JJ00,8.0,6866.0,4541.0,3300.0,425.0,817.0,45.0,0.0,43.0,729.0,2324.0,0.0,2073.0,252.0,6683.0,3819.0,3063.0,756.0,388.0,6.0,2470.0,361.0,194.0,167.0,2109.0,150.0,441.0,1187.0,212.0,47.0,71.0,183.0,9.0,104.0,-95.0,2.0,2.0,0.0,88.0,6972.0,14.0,4435.0,40.0,10.0,30.0,716.0,92.0,624.0,1496.0,822.0,298.0,377.0,0.0,270.0,6972.0,1198.0,19.0,843.0,336.0,516.0,2841.0,2417.0,591.0,275.0,122.0,52.0,1377.0,4069.0,831.0,0.0,70.0,382.0,-3.0,16.0,4435.0,3110.0,2822.0,287.0,73750.0,57170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,422800  ,2012JJ00,8.0,7190.0,4739.0,389.0,3240.0,1110.0,42.0,0.0,208.0,861.0,2451.0,0.0,2134.0,317.0,6952.0,3975.0,3143.0,831.0,396.0,18.0,2563.0,346.0,186.0,160.0,2217.0,149.0,480.0,1302.0,188.0,55.0,43.0,238.0,7.0,118.0,-111.0,0.0,1.0,-1.0,125.0,7637.0,29.0,4638.0,58.0,29.0,29.0,351.0,104.0,247.0,2252.0,933.0,136.0,1182.0,2.0,308.0,7637.0,1497.0,27.0,1121.0,350.0,491.0,3098.0,2550.0,315.0,307.0,106.0,119.0,1704.0,4456.0,646.0,2.0,3.0,435.0,28.0,0.0,4638.0,248.0,233.0,15.0,71940.0,57050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,422900  ,2006JJ00,82.0,10537.0,10309.0,9004.0,,1305.0,,,,,228.0,0.0,33.0,195.0,10176.0,5603.0,4548.0,1055.0,760.0,,3814.0,441.0,217.0,224.0,3373.0,393.0,600.0,1954.0,261.0,86.0,79.0,361.0,16.0,304.0,-288.0,13.0,12.0,2.0,75.0,12750.0,258.0,7932.0,181.0,,,1019.0,,,2858.0,,,,0.0,502.0,12750.0,1133.0,,,,261.0,4966.0,6389.0,,,,,,,1414.0,,,,,,7932.0,8975.0,10421.0,-1446.0,176350.0,123540.0,45110.0,9122.0,1261.0,8311.0,1491.0,10.0,30.0,9.0,257.0,3.0,,,134.0,326.0,11.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,3650.0,2750.0,,,,,,,,,,,,,1020.0,559.0,254.0,207.0,1.0,,,,,,,
15,422900  ,2007JJ00,81.0,11068.0,10412.0,9062.0,862.0,488.0,109.0,2.0,160.0,218.0,656.0,27.0,270.0,359.0,10672.0,5812.0,4714.0,1098.0,880.0,,3980.0,477.0,258.0,219.0,3503.0,415.0,660.0,1994.0,282.0,77.0,76.0,396.0,31.0,287.0,-256.0,7.0,13.0,-6.0,134.0,13000.0,37.0,8553.0,152.0,34.0,117.0,1236.0,143.0,1092.0,2568.0,1867.0,39.0,662.0,3.0,450.0,13000.0,1282.0,73.0,1058.0,152.0,271.0,4936.0,6511.0,1669.0,657.0,484.0,1647.0,2054.0,7811.0,2106.0,,564.0,823.0,,-23.0,8553.0,8979.0,10326.0,-1347.0,180320.0,125510.0,45060.0,9248.0,1456.0,8897.0,1513.0,20.0,40.0,8.0,278.0,3.0,,,124.0,412.0,10.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,4280.0,3130.0,,,,,,,,,,,,,1341.0,746.0,291.0,239.0,6.0,,,,,,,
16,422900  ,2008JJ00,79.0,11724.0,11039.0,8384.0,2045.0,610.0,127.0,0.0,188.0,295.0,685.0,27.0,263.0,395.0,11331.0,6157.0,4981.0,1176.0,894.0,,4279.0,570.0,337.0,233.0,3710.0,432.0,671.0,2148.0,308.0,81.0,70.0,393.0,40.0,316.0,-277.0,16.0,16.0,0.0,116.0,13762.0,15.0,9103.0,272.0,32.0,240.0,1142.0,148.0,995.0,2732.0,1954.0,71.0,707.0,3.0,495.0,13762.0,1416.0,78.0,1184.0,153.0,313.0,5223.0,6809.0,1498.0,659.0,485.0,1873.0,2294.0,8537.0,1781.0,,250.0,947.0,,18.0,9103.0,8293.0,8787.0,-493.0,183920.0,125460.0,45060.0,8765.0,1455.0,8995.0,1540.0,30.0,40.0,7.0,314.0,3.0,,,86.0,371.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4390.0,3230.0,,,,,,,,,,,,,1442.0,785.0,211.0,219.0,7.0,,,,,,,
17,422900  ,2009JJ00,78.0,12659.0,11857.0,8008.0,3235.0,615.0,149.0,1.0,183.0,282.0,802.0,36.0,285.0,481.0,12171.0,6452.0,5241.0,1211.0,979.0,22.0,4718.0,636.0,384.0,252.0,4082.0,459.0,797.0,2326.0,340.0,82.0,78.0,488.0,12.0,298.0,-286.0,13.0,0.0,13.0,215.0,14187.0,128.0,9485.0,255.0,24.0,231.0,898.0,176.0,722.0,2890.0,2140.0,100.0,649.0,3.0,528.0,14187.0,1684.0,67.0,1454.0,163.0,348.0,5494.0,6661.0,1652.0,644.0,534.0,1554.0,2276.0,9122.0,1925.0,43.0,518.0,933.0,59.0,96.0,9485.0,7922.0,8279.0,-358.0,190640.0,129790.0,44800.0,8680.0,1600.0,9329.0,1615.0,30.0,40.0,8.0,338.0,3.0,,,114.0,515.0,10.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,4160.0,3050.0,,,,,,,,,,,,,1934.0,1071.0,254.0,259.0,6.0,,,,,,,
18,422900  ,2010JJ00,76.0,13845.0,13036.0,8710.0,3617.0,709.0,173.0,1.0,173.0,362.0,810.0,42.0,313.0,454.0,13273.0,6789.0,5503.0,1286.0,1534.0,60.0,4890.0,656.0,377.0,280.0,4233.0,460.0,810.0,2490.0,346.0,71.0,57.0,572.0,22.0,327.0,-304.0,14.0,0.0,14.0,281.0,14288.0,37.0,9431.0,187.0,23.0,164.0,777.0,179.0,598.0,3283.0,2222.0,339.0,722.0,3.0,570.0,14288.0,2006.0,67.0,1764.0,175.0,438.0,5803.0,6041.0,1606.0,677.0,559.0,991.0,2208.0,9471.0,2030.0,15.0,470.0,1117.0,117.0,381.0,9431.0,8628.0,8400.0,227.0,193420.0,133220.0,44800.0,8676.0,1698.0,9558.0,1671.0,30.0,40.0,8.0,361.0,4.0,990.0,335.0,123.0,544.0,11.0,52.0,8.0,2.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,8.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,110.0,10.0,26.0,35.0,23.0,15.0,1.0,0.0,0.0,4280.0,3250.0,2486.0,865.0,354.0,59.0,452.0,1622.0,897.0,74.0,293.0,109.0,234.0,15.0,1932.0,1150.0,228.0,246.0,7.0,69.0,2.0,382.0,31.0,1.0,12.0,18.0
19,422900  ,2011JJ00,75.0,13775.0,12776.0,8170.0,3829.0,777.0,188.0,1.0,203.0,385.0,999.0,44.0,458.0,497.0,13196.0,7060.0,5717.0,1343.0,1103.0,26.0,5007.0,666.0,377.0,290.0,4340.0,457.0,808.0,2607.0,338.0,77.0,54.0,579.0,21.0,340.0,-320.0,6.0,1.0,5.0,265.0,15315.0,25.0,9844.0,215.0,35.0,180.0,953.0,184.0,769.0,3239.0,2207.0,172.0,860.0,3.0,1035.0,15315.0,2297.0,68.0,2035.0,194.0,548.0,6525.0,5944.0,811.0,752.0,577.0,1386.0,2418.0,9440.0,1736.0,13.0,245.0,1065.0,0.0,35.0,9844.0,8113.0,8880.0,-767.0,195640.0,135110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,422900  ,2012JJ00,75.0,14454.0,13251.0,1222.0,11049.0,980.0,184.0,0.0,446.0,349.0,1203.0,41.0,548.0,615.0,13837.0,7305.0,5908.0,1397.0,1111.0,25.0,5396.0,651.0,331.0,321.0,4745.0,460.0,807.0,2979.0,333.0,84.0,82.0,616.0,25.0,369.0,-345.0,2.0,1.0,2.0,274.0,16182.0,32.0,10157.0,229.0,41.0,189.0,1032.0,197.0,834.0,3920.0,2232.0,86.0,1602.0,4.0,808.0,16182.0,2626.0,89.0,2328.0,208.0,684.0,6859.0,6013.0,994.0,689.0,600.0,737.0,2993.0,9852.0,1606.0,0.0,174.0,1095.0,45.0,-13.0,10157.0,1365.0,1318.0,47.0,195940.0,135970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
