ID,RegioS,Perioden,TotaleOppervlakte_1,TotaalAgrarischGebruik_2,Glastuinbouw_3,OverigAgrarischGebruik_4,Bossen_5,TotaalBebouwdeGrond_6,Woongebied_7,Delfstoffenwinning_8,Bedrijfsterreinen_9,DienstverlenendeSector_10,OverigeOpenbareVoorzieningen_11,SociaalCultureleVoorzieningen_12,TotaalVerkeer_13,SpoorTramEnMetrowegen_14,VerhardeWegen_15,OnverhardeEnHalfverhardeWegen_16,Vliegvelden_17,TotaalRecreatie_18,ParkenEnPlantsoenen_19,Sportterreinen_20,Dagrecreatie_21,Volkstuinen_22,Verblijfsrecreatie_23,TotaalNatuurlijkTerrein_24,DroogNatuurlijkTerrein_25,NatNatuurlijkTerrein_26,TotaalOverigeGronden_27,Stortplaatsen_28,Wrakkenopslagplaatsen_29,Begraafplaatsen_30,BouwterreinVoorBedrijfsterreinen_31,BouwterreinVoorOverigeBestemmingen_32,OverigeGronden_33,TotaalWater_34,IJsselmeer_35,SpaarbekkensWaterreservoirs_36,WaterMetRecreatieveHoofdfunctie_37,OverigWaterBrederDan6Meter_38,WaddenzeeEemsDollard_39,OosterEnWesterschelde_40,Noordzee_41
2429,LB2604,1996JJ00,205378.0,94974.0,15.0,94959.0,35903.0,43791.0,30785.0,95.0,5032.0,848.0,2968.0,4063.0,10766.0,1737.0,8275.0,90.0,664.0,6099.0,1150.0,2655.0,907.0,496.0,891.0,2950.0,2803.0,147.0,2572.0,445.0,24.0,239.0,550.0,1194.0,120.0,8323.0,0.0,0.0,20.0,8303.0,0.0,0.0,0.0
2430,LB2605,1989JJ00,234166.0,126033.0,136.0,125897.0,57873.0,23621.0,16945.0,457.0,3502.0,721.0,317.0,1679.0,7320.0,1103.0,5866.0,351.0,0.0,6024.0,567.0,2191.0,1093.0,154.0,2019.0,8491.0,7467.0,1024.0,1431.0,0.0,20.0,492.0,294.0,427.0,198.0,3372.0,0.0,0.0,73.0,3299.0,0.0,0.0,0.0
2431,LB2605,1993JJ00,234177.0,124132.0,136.0,123996.0,57758.0,25259.0,17953.0,572.0,4055.0,721.0,317.0,1641.0,7406.0,1103.0,5952.0,351.0,0.0,6309.0,567.0,2409.0,1056.0,199.0,2078.0,8195.0,7467.0,728.0,1574.0,80.0,6.0,492.0,259.0,539.0,198.0,3540.0,0.0,0.0,111.0,3429.0,0.0,0.0,0.0
2432,LB2605,1996JJ00,234168.0,122129.0,14.0,122115.0,58565.0,25781.0,18064.0,348.0,4230.0,974.0,636.0,1529.0,7381.0,1075.0,6041.0,265.0,0.0,5980.0,654.0,2680.0,483.0,141.0,2022.0,8360.0,7610.0,750.0,2273.0,80.0,5.0,504.0,343.0,1086.0,255.0,3699.0,0.0,0.0,84.0,3615.0,0.0,0.0,0.0
2433,LB2701,1989JJ00,418444.0,200829.0,0.0,200829.0,6099.0,4457.0,3384.0,0.0,673.0,73.0,290.0,37.0,7153.0,0.0,7134.0,19.0,0.0,1017.0,0.0,421.0,168.0,162.0,266.0,397.0,0.0,397.0,1489.0,392.0,0.0,52.0,14.0,71.0,960.0,197003.0,7171.0,90.0,0.0,12192.0,177550.0,0.0,0.0
2434,LB2701,1993JJ00,520290.0,200053.0,0.0,200053.0,6114.0,4723.0,3604.0,0.0,719.0,73.0,290.0,37.0,7174.0,0.0,7155.0,19.0,0.0,1032.0,0.0,433.0,170.0,155.0,274.0,580.0,0.0,580.0,1785.0,392.0,0.0,52.0,126.0,191.0,1024.0,298831.0,109807.0,90.0,0.0,11384.0,177550.0,0.0,0.0
2435,LB2701,1996JJ00,520287.0,198823.0,23.0,198800.0,7140.0,5056.0,3725.0,0.0,870.0,65.0,359.0,37.0,7088.0,0.0,7069.0,19.0,0.0,1150.0,0.0,557.0,175.0,151.0,267.0,564.0,34.0,530.0,1634.0,542.0,0.0,52.0,72.0,0.0,968.0,298832.0,109804.0,90.0,0.0,11426.0,177512.0,0.0,0.0
2436,LB2702,1989JJ00,185276.0,131511.0,2089.0,129422.0,687.0,19063.0,14175.0,0.0,3074.0,435.0,394.0,985.0,23067.0,369.0,6756.0,0.0,15942.0,3685.0,393.0,2013.0,887.0,335.0,57.0,0.0,0.0,0.0,2247.0,170.0,158.0,83.0,484.0,1141.0,211.0,5015.0,0.0,0.0,257.0,4758.0,0.0,0.0,0.0
2437,LB2702,1993JJ00,185277.0,127299.0,2512.0,124787.0,723.0,21162.0,15585.0,0.0,3605.0,550.0,437.0,985.0,23067.0,369.0,6756.0,0.0,15942.0,3939.0,540.0,2096.0,888.0,358.0,57.0,0.0,0.0,0.0,4071.0,170.0,169.0,83.0,1977.0,1538.0,134.0,5016.0,0.0,0.0,257.0,4759.0,0.0,0.0,0.0
2438,LB2702,1996JJ00,185278.0,123749.0,2629.0,121120.0,1841.0,27162.0,16403.0,0.0,7858.0,1266.0,630.0,1005.0,19038.0,372.0,7423.0,1.0,11242.0,3581.0,716.0,2196.0,250.0,362.0,57.0,0.0,0.0,0.0,4634.0,128.0,16.0,83.0,1794.0,2300.0,313.0,5273.0,0.0,0.0,257.0,5016.0,0.0,0.0,0.0
