ID,EnergieAfnemers,Perioden,Aardgas_1,Elektriciteit_2
75,10006,1998JJ00,2195,8545
76,10006,1999JJ00,2238,9014
77,10007,1993JJ00,189,704
78,10007,1994JJ00,199,748
79,10007,1995JJ00,203,748
80,10007,1996JJ00,242,775
81,10007,1997JJ00,216,792
82,10007,1998JJ00,226,851
83,10007,1999JJ00,231,907
84,10008,1993JJ00,511,1632
85,10008,1994JJ00,562,1504
86,10008,1995JJ00,590,1545
87,10008,1996JJ00,701,1600
88,10008,1997JJ00,627,1637
89,10008,1998JJ00,641,1723
90,10008,1999JJ00,649,1815
91,10009,1993JJ00,614,3031
92,10009,1994JJ00,590,3236
93,10009,1995JJ00,613,3290
94,10009,1996JJ00,728,3407
95,10009,1997JJ00,661,3536
96,10009,1998JJ00,671,3691
97,10009,1999JJ00,664,3803
98,10010,1993JJ00,498,1760
99,10010,1994JJ00,526,1818
100,10010,1995JJ00,539,1830
101,10010,1996JJ00,630,1896
102,10010,1997JJ00,608,2058
103,10010,1998JJ00,658,2280
104,10010,1999JJ00,694,2489
105,10011,1993JJ00,280,1724
106,10011,1994JJ00,284,1774
107,10011,1995JJ00,295,1803
108,10011,1996JJ00,351,1864
109,10011,1997JJ00,307,1867
110,10011,1998JJ00,303,1894
111,10011,1999JJ00,307,2002
112,10012,1993JJ00,68,465
113,10012,1994JJ00,65,447
114,10012,1995JJ00,68,455
115,10012,1996JJ00,78,454
116,10012,1997JJ00,66,444
117,10012,1998JJ00,66,456
118,10012,1999JJ00,68,483
119,10013,1993JJ00,0,4
120,10013,1994JJ00,0,4
121,10013,1995JJ00,0,4
122,10013,1996JJ00,0,3
123,10013,1997JJ00,0,3
124,10013,1998JJ00,0,3
125,10013,1999JJ00,0,3
126,10014,1993JJ00,22,171
127,10014,1994JJ00,20,161
128,10014,1995JJ00,21,164
129,10014,1996JJ00,25,169
130,10014,1997JJ00,23,178
131,10014,1998JJ00,23,182
132,10014,1999JJ00,23,191
133,10015,1993JJ00,140,820
134,10015,1994JJ00,154,903
135,10015,1995JJ00,160,918
136,10015,1996JJ00,196,980
137,10015,1997JJ00,169,968
138,10015,1998JJ00,164,963
139,10015,1999JJ00,168,1028
140,10016,1993JJ00,48,265
141,10016,1994JJ00,45,259
142,10016,1995JJ00,46,263
143,10016,1996JJ00,52,257
144,10016,1997JJ00,48,273
145,10016,1998JJ00,50,290
146,10016,1999JJ00,49,295
147,10017,1993JJ00,77,746
148,10017,1994JJ00,73,739
149,10017,1995JJ00,76,754
150,10017,1996JJ00,88,761
151,10017,1997JJ00,80,792
152,10017,1998JJ00,83,837
153,10017,1999JJ00,87,926
154,10018,1993JJ00,44,469
155,10018,1994JJ00,41,458
156,10018,1995JJ00,42,468
157,10018,1996JJ00,50,479
158,10018,1997JJ00,46,503
159,10018,1998JJ00,47,533
160,10018,1999JJ00,56,599
161,10019,1993JJ00,23,212
162,10019,1994JJ00,21,208
163,10019,1995JJ00,22,212
164,10019,1996JJ00,26,213
165,10019,1997JJ00,22,206
166,10019,1998JJ00,21,203
167,10019,1999JJ00,13,192
168,10020,1993JJ00,10,65
169,10020,1994JJ00,11,73
170,10020,1995JJ00,11,74
171,10020,1996JJ00,12,70
172,10020,1997JJ00,12,82
173,10020,1998JJ00,15,101
174,10020,1999JJ00,19,135
175,10021,1993JJ00,277,1580
176,10021,1994JJ00,273,1657
177,10021,1995JJ00,312,1851
178,10021,1996JJ00,384,1971
179,10021,1997JJ00,378,2255
180,10021,1998JJ00,375,2332
181,10021,1999JJ00,304,1965
182,10022,1993JJ00,24,90
183,10022,1994JJ00,22,88
184,10022,1995JJ00,26,102
185,10022,1996JJ00,32,108
186,10022,1997JJ00,28,110
187,10022,1998JJ00,28,111
188,10022,1999JJ00,29,126
189,10023,1993JJ00,7,41
190,10023,1994JJ00,7,40
191,10023,1995JJ00,7,40
192,10023,1996JJ00,9,42
193,10023,1997JJ00,8,45
194,10023,1998JJ00,7,43
195,10023,1999JJ00,12,81
196,10024,1993JJ00,20,159
197,10024,1994JJ00,20,169
198,10024,1995JJ00,23,194
199,10024,1996JJ00,29,207
200,10024,1997JJ00,34,281
201,10024,1998JJ00,44,377
202,10024,1999JJ00,28,236
203,10025,1993JJ00,37,180
204,10025,1994JJ00,34,175
205,10025,1995JJ00,36,184
206,10025,1996JJ00,45,196
207,10025,1997JJ00,49,247
208,10025,1998JJ00,47,243
209,10025,1999JJ00,33,240
210,10026,1993JJ00,189,1111
211,10026,1994JJ00,191,1184
212,10026,1995JJ00,219,1332
213,10026,1996JJ00,270,1418
214,10026,1997JJ00,260,1572
215,10026,1998JJ00,250,1558
216,10026,1999JJ00,202,1282
217,10027,1993JJ00,442,2476
218,10027,1994JJ00,418,2476
219,10027,1995JJ00,365,2348
220,10027,1996JJ00,467,2572
221,10027,1997JJ00,359,2436
222,10027,1998JJ00,374,2610
223,10027,1999JJ00,358,2604
224,10028,1993JJ00,478,736
225,10028,1994JJ00,453,739
226,10028,1995JJ00,463,740
227,10028,1996JJ00,533,749
228,10028,1997JJ00,445,824
229,10028,1998JJ00,449,854
230,10028,1999JJ00,436,862
231,10029,1993JJ00,904,1593
232,10029,1994JJ00,865,1615
233,10029,1995JJ00,825,1645
234,10029,1996JJ00,988,1693
235,10029,1997JJ00,885,1738
236,10029,1998JJ00,898,1812
237,10029,1999JJ00,878,1844
238,10030,1993JJ00,392,850
239,10030,1994JJ00,369,848
240,10030,1995JJ00,396,863
241,10030,1996JJ00,418,849
242,10030,1997JJ00,380,875
243,10030,1998JJ00,381,901
244,10030,1999JJ00,376,922
245,10031,1993JJ00,3,7
246,10031,1994JJ00,3,7
247,10031,1995JJ00,3,8
248,10031,1996JJ00,3,8
249,10031,1997JJ00,3,9
250,10031,1998JJ00,3,10
251,10031,1999JJ00,3,10
252,10032,1993JJ00,510,736
253,10032,1994JJ00,493,760
254,10032,1995JJ00,426,774
255,10032,1996JJ00,567,836
256,10032,1997JJ00,502,854
257,10032,1998JJ00,514,901
258,10032,1999JJ00,498,912
259,10033,1993JJ00,367,1275
260,10033,1994JJ00,347,1300
261,10033,1995JJ00,397,1410
262,10033,1996JJ00,431,1446
263,10033,1997JJ00,404,1469
264,10033,1998JJ00,416,1563
265,10033,1999JJ00,413,1631
266,10034,1993JJ00,38,483
267,10034,1994JJ00,37,488
268,10034,1995JJ00,38,497
269,10034,1996JJ00,48,510
270,10034,1997JJ00,43,566
271,10034,1998JJ00,46,622
272,10034,1999JJ00,47,652
273,10035,1993JJ00,48,99
274,10035,1994JJ00,46,102
275,10035,1995JJ00,53,114
276,10035,1996JJ00,57,117
277,10035,1997JJ00,56,120
278,10035,1998JJ00,52,115
279,10035,1999JJ00,50,116
280,10036,1993JJ00,81,268
281,10036,1994JJ00,79,276
282,10036,1995JJ00,87,299
283,10036,1996JJ00,92,307
284,10036,1997JJ00,86,294
285,10036,1998JJ00,88,309
286,10036,1999JJ00,89,325
287,10037,1993JJ00,101,284
288,10037,1994JJ00,105,310
289,10037,1995JJ00,123,356
290,10037,1996JJ00,123,365
291,10037,1997JJ00,116,335
292,10037,1998JJ00,116,341
293,10037,1999JJ00,120,364
294,10038,1993JJ00,98,140
295,10038,1994JJ00,81,124
296,10038,1995JJ00,96,144
297,10038,1996JJ00,111,148
298,10038,1997JJ00,103,154
299,10038,1998JJ00,114,175
300,10038,1999JJ00,108,173
301,10039,1993JJ00,667,2707
302,10039,1994JJ00,-76,2515
303,10039,1995JJ00,569,1777
304,10039,1996JJ00,429,3294
305,10039,1997JJ00,7,4173
306,10039,1998JJ00,-91,4680
307,10039,1999JJ00,-581,4573
