ID,Periods,ManureProduction_1,NitrogenExcretion_2,TotalGaseousNitrogenLosses_3,TotalLossesInHousingAndStorage_4,AmmoniaExpressedAsN_5,OtherGaseousNitrogenLosses_6,AmmoniaLossesDuringGrazingN_7,NitrogenInProducedManureN_8,PhosphateExcretionP2O5_9,RemovedManure_10,NitrogenNInRemovedManure_11,PhosphateP2O5InRemovedManure_12,SuppliedManure_13,NitrogenNInSuppliedManure_14,PhosphateP2O5InSuppliedManure_15,ProcessedNitrogenN_16,ProcessedPhosphateP2O5_17,NitrogenExportsN_18,PhosphateExportsP2O5_19,SpreadingAreaForNitrogenN_20,SpreadingAreaForPhosphateP2O5_21,UseOfNitrogenNInAgriculture_22,UseOfPhosphateP2O5InAgriculture_23
25,2003JJ00,69247.0,479.2,65.1,62.2,53.4,8.8,2.9,417.0,165.9,11899.0,87.3,55.7,10006.0,65.1,40.3,3.8,2.0,14.9,9.1,727.0,178.0,395.0,150.0
26,2004JJ00,70390.0,467.0,65.2,62.5,54.0,8.5,2.6,404.5,161.8,11557.0,91.1,56.4,9618.0,65.2,38.9,4.9,2.6,18.1,11.9,720.0,180.0,379.0,144.0
27,2005JJ00,70117.0,478.8,64.5,61.8,53.1,8.6,2.7,417.1,169.7,11685.0,92.0,59.6,10053.0,70.8,44.3,5.1,2.6,29.0,17.3,685.0,170.0,396.0,154.0
28,2006JJ00,69284.0,471.2,64.2,61.6,53.1,8.6,2.6,409.6,169.2,14920.0,101.7,63.6,12643.0,72.3,41.8,1.8,0.3,24.2,14.6,401.0,184.0,380.0,147.0
29,2007JJ00,69236.0,479.6,65.6,63.2,54.3,8.9,2.3,416.4,169.4,16968.0,125.9,80.0,13884.0,81.8,47.2,1.4,,35.6,20.5,400.0,179.0,372.0,137.0
30,2008JJ00,71277.0,491.3,67.1,64.7,55.6,9.1,2.4,426.6,175.9,18015.0,135.4,84.0,14747.0,83.6,46.1,8.8,4.4,41.9,23.4,403.0,175.0,375.0,138.0
31,2009JJ00,72703.0,484.2,67.0,64.9,55.7,9.2,2.0,419.3,174.8,19695.0,161.6,85.3,15723.0,97.0,49.6,15.3,7.7,39.8,23.9,397.0,172.0,355.0,139.0
32,2010JJ00,72172.0,489.7,64.3,62.2,52.9,9.3,2.1,427.5,178.9,19421.0,154.9,80.8,15357.0,88.5,44.7,19.8,9.4,38.5,22.3,387.0,154.0,361.0,143.0
33,2011JJ00,71434.0,477.4,60.5,58.8,49.4,9.3,1.7,418.6,169.7,19925.0,165.6,84.3,16069.0,97.4,47.0,19.2,9.3,37.6,21.8,383.0,149.0,350.0,132.0
34,2012JJ00,71207.0,460.9,57.5,55.9,46.8,9.1,1.6,405.0,160.6,20353.0,167.6,81.6,15944.0,94.1,42.3,21.3,9.8,39.1,23.0,380.0,141.0,332.0,121.0
35,2013JJ00,73155.0,472.7,54.5,52.8,43.5,9.3,1.7,419.9,165.6,20274.0,167.3,81.5,15722.0,91.1,41.0,21.5,10.0,39.0,22.8,380.0,135.0,344.0,125.0
36,2014JJ00,74089.0,486.7,56.6,54.9,45.3,9.7,1.7,431.7,171.7,21417.0,166.7,82.3,15793.0,85.7,37.5,20.5,9.7,43.9,27.3,364.0,137.0,351.0,127.0
37,2015JJ00,76326.0,497.5,57.0,55.5,45.5,10.0,1.5,442.0,180.1,24025.0,183.4,91.6,18043.0,93.8,40.5,21.4,9.7,52.4,33.4,377.0,134.0,352.0,129.0
38,2016JJ00,78211.0,504.3,56.3,55.1,44.7,10.3,1.3,449.2,175.2,,,,,,,,,,,367.0,130.0,,
39,2017JJ00,76198.0,500.0,57.0,55.6,45.4,10.2,1.3,444.3,167.9,,,,,,,,,,,385.0,135.0,,
