ID,Sectoren,COFOGOverheidsfuncties,Perioden,Overheidsconsumptie_1
3169,30,11900 ,1996JJ00,2571.0
3170,30,11900 ,1997JJ00,2727.0
3171,30,11900 ,1998JJ00,2931.0
3172,30,11900 ,1999JJ00,3101.0
3173,30,11900 ,2000JJ00,3348.0
3174,30,11900 ,2001JJ00,3728.0
3175,30,11900 ,2002JJ00,4077.0
3176,30,11900 ,2003JJ00,4404.0
3177,30,11900 ,2004JJ00,4531.0
3178,30,11900 ,2005JJ00,4710.0
3179,30,11900 ,2006JJ00,5164.0
3180,30,11900 ,2007JJ00,5493.0
3181,30,11900 ,2008JJ00,5950.0
3182,30,11900 ,2009JJ00,6282.0
3183,30,11900 ,2010JJ00,6192.0
3184,30,11900 ,2011JJ00,6100.0
3185,30,11900 ,2012JJ00,6110.0
3186,30,12000 ,1995JJ00,1810.0
3187,30,12000 ,1996JJ00,1864.0
3188,30,12000 ,1997JJ00,1964.0
3189,30,12000 ,1998JJ00,2108.0
3190,30,12000 ,1999JJ00,2226.0
3191,30,12000 ,2000JJ00,2398.0
3192,30,12000 ,2001JJ00,2657.0
3193,30,12000 ,2002JJ00,2874.0
3194,30,12000 ,2003JJ00,3057.0
3195,30,12000 ,2004JJ00,3162.0
3196,30,12000 ,2005JJ00,3279.0
3197,30,12000 ,2006JJ00,3497.0
3198,30,12000 ,2007JJ00,3716.0
3199,30,12000 ,2008JJ00,4042.0
3200,30,12000 ,2009JJ00,4228.0
3201,30,12000 ,2010JJ00,4151.0
3202,30,12000 ,2011JJ00,4151.0
3203,30,12000 ,2012JJ00,4169.0
3204,30,12100 ,1995JJ00,512.0
3205,30,12100 ,1996JJ00,514.0
3206,30,12100 ,1997JJ00,543.0
3207,30,12100 ,1998JJ00,579.0
3208,30,12100 ,1999JJ00,610.0
3209,30,12100 ,2000JJ00,660.0
3210,30,12100 ,2001JJ00,744.0
3211,30,12100 ,2002JJ00,833.0
3212,30,12100 ,2003JJ00,931.0
3213,30,12100 ,2004JJ00,987.0
3214,30,12100 ,2005JJ00,1029.0
3215,30,12100 ,2006JJ00,1171.0
3216,30,12100 ,2007JJ00,1200.0
3217,30,12100 ,2008JJ00,1255.0
3218,30,12100 ,2009JJ00,1297.0
3219,30,12100 ,2010JJ00,1259.0
3220,30,12100 ,2011JJ00,1196.0
3221,30,12100 ,2012JJ00,1202.0
3222,30,12200 ,1995JJ00,0.0
3223,30,12200 ,1996JJ00,0.0
3224,30,12200 ,1997JJ00,0.0
3225,30,12200 ,1998JJ00,0.0
3226,30,12200 ,1999JJ00,0.0
3227,30,12200 ,2000JJ00,0.0
3228,30,12200 ,2001JJ00,0.0
3229,30,12200 ,2002JJ00,0.0
3230,30,12200 ,2003JJ00,0.0
3231,30,12200 ,2004JJ00,0.0
3232,30,12200 ,2005JJ00,0.0
3233,30,12200 ,2006JJ00,0.0
3234,30,12200 ,2007JJ00,0.0
3235,30,12200 ,2008JJ00,0.0
3236,30,12200 ,2009JJ00,0.0
3237,30,12200 ,2010JJ00,0.0
3238,30,12200 ,2011JJ00,0.0
3239,30,12200 ,2012JJ00,0.0
3240,30,12300 ,1995JJ00,83.0
3241,30,12300 ,1996JJ00,104.0
3242,30,12300 ,1997JJ00,126.0
3243,30,12300 ,1998JJ00,142.0
3244,30,12300 ,1999JJ00,155.0
3245,30,12300 ,2000JJ00,167.0
3246,30,12300 ,2001JJ00,187.0
3247,30,12300 ,2002JJ00,205.0
3248,30,12300 ,2003JJ00,226.0
3249,30,12300 ,2004JJ00,182.0
3250,30,12300 ,2005JJ00,193.0
3251,30,12300 ,2006JJ00,265.0
3252,30,12300 ,2007JJ00,268.0
3253,30,12300 ,2008JJ00,299.0
3254,30,12300 ,2009JJ00,329.0
3255,30,12300 ,2010JJ00,334.0
3256,30,12300 ,2011JJ00,327.0
3257,30,12300 ,2012JJ00,328.0
3258,30,12400 ,1995JJ00,0.0
3259,30,12400 ,1996JJ00,0.0
3260,30,12400 ,1997JJ00,0.0
3261,30,12400 ,1998JJ00,0.0
3262,30,12400 ,1999JJ00,0.0
3263,30,12400 ,2000JJ00,0.0
3264,30,12400 ,2001JJ00,0.0
3265,30,12400 ,2002JJ00,0.0
3266,30,12400 ,2003JJ00,0.0
3267,30,12400 ,2004JJ00,0.0
3268,30,12400 ,2005JJ00,0.0
3269,30,12400 ,2006JJ00,0.0
3270,30,12400 ,2007JJ00,0.0
3271,30,12400 ,2008JJ00,0.0
3272,30,12400 ,2009JJ00,0.0
3273,30,12400 ,2010JJ00,0.0
3274,30,12400 ,2011JJ00,0.0
3275,30,12400 ,2012JJ00,0.0
3276,30,12500 ,1995JJ00,84.0
3277,30,12500 ,1996JJ00,89.0
3278,30,12500 ,1997JJ00,94.0
3279,30,12500 ,1998JJ00,102.0
3280,30,12500 ,1999JJ00,110.0
3281,30,12500 ,2000JJ00,123.0
3282,30,12500 ,2001JJ00,140.0
3283,30,12500 ,2002JJ00,165.0
3284,30,12500 ,2003JJ00,190.0
3285,30,12500 ,2004JJ00,200.0
3286,30,12500 ,2005JJ00,209.0
3287,30,12500 ,2006JJ00,231.0
