ID,CentraleDecentraleProductie,Energiedragers,Perioden,TotaalElektriciteitEnWarmteTJ_1,ElektriciteitMWh_2,ElektriciteitTJ_3,Elektriciteit_4,WarmteTJ_5,InzetTJ_6
84,E007022,E006461,2001JJ00,94984.0,24910476.0,89678.0,26.5,5306.0,224740.0
85,E007022,E006461,2002JJ00,94835.0,24954185.0,89835.0,26.2,5000.0,227583.0
86,E007022,E006461,2003JJ00,97721.0,25881089.0,93172.0,26.4,4549.0,230580.0
87,E007022,E006461,2004JJ00,92308.0,24420741.0,87915.0,23.9,4393.0,221237.0
88,E007022,E006461,2005JJ00,86913.0,23059152.0,83013.0,22.9,3900.0,207063.0
89,E007022,E006461,2006JJ00,87276.0,23125407.0,83251.0,23.4,4024.0,204795.0
90,E007022,E006461,2007JJ00,92686.0,24599968.0,88560.0,23.4,4126.0,212644.0
91,E007022,E006461,2008JJ00,84796.0,22539960.0,81144.0,20.8,3652.0,202868.0
92,E007022,E006461,2009JJ00,88304.0,23434488.0,84364.0,20.6,3940.0,208480.0
93,E007022,E006461,2010JJ00,82201.0,21893333.0,78816.0,18.5,3385.0,195440.0
94,E007022,E006461,2011JJ00,77558.0,20766667.0,74760.0,18.4,2798.0,182128.0
95,E007022,E006461,2012JJ00,90346.0,24222999.0,87203.0,23.6,3143.0,211422.0
96,E007022,E006461,2013JJ00,91180.0,24560150.0,88417.0,24.3,2763.0,220710.0
97,E007022,E006461,2014JJ00,106657.0,28760067.0,103536.0,27.8,3121.0,255106.0
98,E007022,E006461,2015JJ00,145249.0,39390589.0,141806.0,35.7,3443.0,336632.0
99,E007022,E006461,2016JJ00,136051.0,36816731.0,132540.0,32.0,3511.0,304662.0
100,E007022,E006461,2017JJ00,116331.0,31378986.0,112964.0,26.8,3367.0,256496.0
101,E007022,E006461,2018JJ00,101646.0,27577792.0,99280.0,24.1,2366.0,221465.0
102,E007022,E006461,2019JJ00,66353.0,17693631.0,63697.0,14.6,2656.0,146631.0
103,E007022,E006461,2020JJ00,29063.0,7617252.0,27422.0,6.2,1641.0,63862.0
104,E007022,E006461,2021JJ00,54263.0,14599848.0,52559.0,11.9,1704.0,118464.0
105,E007022,E006461,2022JJ00,54738.0,14802201.0,53288.0,12.2,1450.0,120442.0
106,E007022,E006461,2023JJ00,32112.0,8711754.0,31362.0,7.2,750.0,71330.0
107,E007022,E006461,2024JJ00,27475.0,7467010.0,26881.0,6.0,593.0,60422.0
108,E007022,E006534,1998JJ00,13823.0,497692.0,1792.0,0.5,12031.0,16875.0
109,E007022,E006534,1999JJ00,13361.0,428137.0,1541.0,0.5,11820.0,15316.0
110,E007022,E006534,2000JJ00,12727.0,395370.0,1423.0,0.4,11304.0,14765.0
111,E007022,E006534,2001JJ00,12654.0,448035.0,1613.0,0.5,11041.0,14820.0
112,E007022,E006534,2002JJ00,12545.0,450424.0,1622.0,0.5,10924.0,15110.0
