ID,BestemmingVanInvoer,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,WaardeInWerkelijkePrijzen_5,WaardePrijsniveau2005_6,VolumemutatieTOVVoorafgaandJaar_7,Prijsindexcijfers_8,WaardeInWerkelijkePrijzen_9,WaardePrijsniveau2005_10,VolumemutatieTOVVoorafgaandJaar_11,Prijsindexcijfers_12
1835,398700,1998JJ00,531.0,769.0,17.0,69.1,45.0,32.0,17.5,142.8,486.0,733.0,16.9,66.3
1836,398700,1999JJ00,547.0,785.0,2.1,69.7,51.0,36.0,15.6,140.1,496.0,739.0,0.8,67.1
1837,398700,2000JJ00,797.0,1047.0,33.5,76.1,50.0,36.0,0.0,137.3,747.0,1012.0,36.9,73.8
1838,398700,2001JJ00,881.0,1101.0,5.1,80.0,47.0,36.0,-2.0,131.7,834.0,1069.0,5.6,78.0
1839,398700,2002JJ00,905.0,1104.0,0.2,82.0,40.0,36.0,2.1,109.8,865.0,1070.0,0.1,80.8
1840,398700,2003JJ00,963.0,1150.0,4.2,83.8,45.0,41.0,12.5,109.8,918.0,1111.0,3.8,82.6
1841,398700,2004JJ00,980.0,1051.0,-8.6,93.3,47.0,43.0,4.4,109.8,933.0,1008.0,-9.3,92.6
1842,398700,2005JJ00,1010.0,1010.0,-3.9,100.0,41.0,41.0,-4.3,100.0,969.0,969.0,-3.9,100.0
1843,398700,2006JJ00,1112.0,1098.0,8.7,101.3,51.0,49.0,19.5,104.1,1061.0,1049.0,8.3,101.1
1844,398700,2007JJ00,1179.0,1185.0,7.9,99.5,46.0,46.0,-5.9,99.7,1133.0,1139.0,8.6,99.5
1845,398700,2008JJ00,1232.0,1253.0,5.8,98.3,42.0,40.0,-13.0,104.7,1190.0,1213.0,6.5,98.1
1846,398700,2009JJ00,1144.0,1153.0,-8.0,99.3,45.0,42.0,4.8,107.1,1099.0,1110.0,-8.5,99.0
1847,398700,2010JJ00,1190.0,1175.0,1.9,101.3,44.0,42.0,0.0,104.7,1146.0,1133.0,2.0,101.2
1848,398700,2011JJ00,1264.0,1206.0,2.7,104.8,49.0,44.0,4.5,111.6,1215.0,1162.0,2.6,104.5
1849,398700,2012JJ00,1291.0,1236.0,2.5,104.5,54.0,50.0,14.3,107.6,1237.0,1185.0,2.0,104.4
1850,400200,1988JJ00,32.0,30.0,,106.9,14.0,5.0,,262.4,18.0,31.0,,57.7
1851,400200,1989JJ00,38.0,35.0,15.6,109.7,20.0,7.0,35.7,276.2,18.0,31.0,0.0,57.7
1852,400200,1990JJ00,33.0,31.0,-10.5,106.5,20.0,8.0,5.0,263.0,13.0,23.0,-27.8,57.7
1853,400200,1991JJ00,32.0,35.0,12.1,92.1,17.0,8.0,10.0,203.3,15.0,26.0,15.4,57.7
1854,400200,1992JJ00,41.0,42.0,21.9,96.8,22.0,11.0,29.4,203.3,19.0,29.0,13.3,64.5
1855,400200,1993JJ00,39.0,43.0,2.4,89.9,19.0,11.0,4.5,167.9,20.0,29.0,0.0,67.9
1856,400200,1994JJ00,50.0,54.0,25.6,91.8,22.0,14.0,21.1,160.6,28.0,38.0,30.0,73.1
1857,400200,1995JJ00,62.0,63.0,16.0,98.1,29.0,16.0,18.2,179.1,33.0,44.0,14.3,75.4
1858,400200,1996JJ00,64.0,68.0,8.1,93.7,26.0,16.0,0.0,160.6,38.0,50.0,15.2,75.4
1859,400200,1997JJ00,72.0,78.0,14.1,92.4,26.0,18.0,11.5,144.0,46.0,58.0,15.8,78.8
1860,400200,1998JJ00,84.0,85.0,9.7,98.3,30.0,20.0,11.5,149.0,54.0,63.0,8.7,85.1
1861,400200,1999JJ00,99.0,102.0,19.0,97.3,32.0,22.0,10.0,144.4,67.0,79.0,24.1,85.1
1862,400200,2000JJ00,125.0,131.0,28.3,95.8,35.0,26.0,18.8,133.0,90.0,105.0,32.8,86.1
1863,400200,2001JJ00,143.0,144.0,10.4,99.2,34.0,26.0,0.0,129.2,109.0,120.0,14.4,91.1
1864,400200,2002JJ00,149.0,146.0,1.4,102.0,31.0,25.0,-5.9,125.2,118.0,124.0,3.7,95.1
1865,400200,2003JJ00,137.0,128.0,-12.1,106.6,33.0,26.0,3.2,129.1,104.0,104.0,-16.1,99.9
1866,400200,2004JJ00,135.0,128.0,0.0,105.1,33.0,29.0,12.1,115.2,102.0,100.0,-3.8,101.9
1867,400200,2005JJ00,138.0,138.0,7.4,100.0,33.0,33.0,15.2,100.0,105.0,105.0,4.9,100.0
1868,400200,2006JJ00,149.0,145.0,5.1,102.8,32.0,34.0,3.0,94.1,117.0,111.0,5.7,105.4
1869,400200,2007JJ00,149.0,147.0,1.3,101.4,36.0,39.0,15.6,91.6,113.0,108.0,-2.6,104.5
1870,400200,2008JJ00,151.0,145.0,-1.3,104.2,32.0,36.0,-8.3,88.8,119.0,109.0,0.9,109.1
