ID,BronTechniek,Perioden,Elektriciteitsproductie_1,AandeelInTotaalElektriciteitsverbruik_2,Elektriciteitsproductie_3,AandeelInTotaalElektriciteitsverbruik_4,Elektriciteitsproductie_5,AandeelInTotaalElektriciteitsverbruik_6,Elektriciteit_7,AandeelInTotaalElektriciteitsverbruik_8,Elektriciteit_9,AandeelInTotaalElektriciteitsverbruik_10
466,13210,2006KW03,,,,,,,0.0,0.0,,
467,13210,2006KW04,,,,,,,0.0,0.0,,
468,13210,2006JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
469,13210,2007KW01,,,,,,,0.0,0.0,,
470,13210,2007KW02,,,,,,,0.0,0.0,,
471,13210,2007KW03,,,,,,,0.0,0.0,,
472,13210,2007KW04,,,,,,,0.0,0.0,,
473,13210,2007JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
474,13210,2008KW01,,,,,,,0.0,0.0,,
475,13210,2008KW02,,,,,,,0.0,0.0,,
476,13210,2008KW03,,,,,,,0.0,0.0,,
477,13210,2008KW04,,,,,,,0.0,0.0,,
478,13210,2008JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
479,13210,2009KW01,,,,,,,0.0,0.0,,
480,13210,2009KW02,,,,,,,0.0,0.0,,
481,13210,2009KW03,,,,,,,0.0,0.0,,
482,13210,2009KW04,,,,,,,0.0,0.0,,
483,13210,2009JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
484,13210,2010KW01,,,,,,,0.0,0.0,,
485,13210,2010KW02,,,,,,,0.0,0.0,,
486,13210,2010KW03,,,,,,,0.0,0.0,,
487,13210,2010KW04,,,,,,,0.0,0.0,,
488,13210,2010JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
489,13210,2011KW01,,,,,,,0.0,0.0,,
490,13210,2011KW02,,,,,,,0.0,0.0,,
491,13210,2011KW03,,,,,,,0.0,0.0,,
492,13210,2011KW04,,,,,,,0.0,0.0,,
493,13210,2011JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
494,13210,2012KW01,,,,,,,0.0,0.0,,
495,13210,2012KW02,,,,,,,0.0,0.0,,
496,13210,2012KW03,,,,,,,0.0,0.0,,
497,13210,2012KW04,,,,,,,0.0,0.0,,
498,13210,2012JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
499,13210,2013KW01,,,,,,,,,,
500,13210,2013KW02,,,,,,,,,,
501,13210,2013KW03,,,,,,,,,,
502,13210,2013KW04,,,,,,,,,,
503,13210,2013JJ00,,,,,,,0.0,0.0,,
504,13220,1990JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
505,13220,1991JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
506,13220,1992JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
507,13220,1993JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
508,13220,1994JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
509,13220,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
510,13220,1996JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
511,13220,1997JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
512,13220,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
513,13220,1999JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
514,13220,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
515,13220,2001JJ00,2.0,0.0,2.0,0.0,2.0,0.0,,,,
516,13220,2002KW01,,,,,,,0.0,0.0,,
517,13220,2002KW02,,,,,,,0.0,0.0,,
518,13220,2002KW03,,,,,,,0.0,0.0,,
519,13220,2002KW04,,,,,,,0.0,0.0,,
520,13220,2002JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
521,13220,2003KW01,,,,,,,0.0,0.0,,
522,13220,2003KW02,,,,,,,0.0,0.0,,
523,13220,2003KW03,,,,,,,0.0,0.0,,
524,13220,2003KW04,,,,,,,0.0,0.0,,
525,13220,2003JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
526,13220,2004KW01,,,,,,,0.0,0.0,,
527,13220,2004KW02,,,,,,,0.0,0.0,,
528,13220,2004KW03,,,,,,,0.0,0.0,,
529,13220,2004KW04,,,,,,,0.0,0.0,,
530,13220,2004JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
531,13220,2005KW01,,,,,,,0.0,0.0,,
532,13220,2005KW02,,,,,,,0.0,0.0,,
533,13220,2005KW03,,,,,,,0.0,0.0,,
534,13220,2005KW04,,,,,,,0.0,0.0,,
535,13220,2005JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
536,13220,2006KW01,,,,,,,0.0,0.0,,
537,13220,2006KW02,,,,,,,0.0,0.0,,
538,13220,2006KW03,,,,,,,0.0,0.0,,
539,13220,2006KW04,,,,,,,0.0,0.0,,
540,13220,2006JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
541,13220,2007KW01,,,,,,,0.0,0.0,,
542,13220,2007KW02,,,,,,,0.0,0.0,,
543,13220,2007KW03,,,,,,,0.0,0.0,,
544,13220,2007KW04,,,,,,,0.0,0.0,,
545,13220,2007JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
546,13220,2008KW01,,,,,,,0.0,0.0,,
547,13220,2008KW02,,,,,,,0.0,0.0,,
548,13220,2008KW03,,,,,,,0.0,0.0,,
549,13220,2008KW04,,,,,,,0.0,0.0,,
550,13220,2008JJ00,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,
551,13220,2009KW01,,,,,,,0.0,0.0,,
552,13220,2009KW02,,,,,,,0.0,0.0,,
553,13220,2009KW03,,,,,,,0.0,0.0,,
554,13220,2009KW04,,,,,,,0.0,0.0,,
555,13220,2009JJ00,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,,
556,13220,2010KW01,,,,,,,0.0,0.0,,
557,13220,2010KW02,,,,,,,0.0,0.0,,
558,13220,2010KW03,,,,,,,0.0,0.0,,
559,13220,2010KW04,,,,,,,0.0,0.0,,
560,13220,2010JJ00,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,,
561,13220,2011KW01,,,,,,,0.0,0.0,,
562,13220,2011KW02,,,,,,,0.0,0.0,,
563,13220,2011KW03,,,,,,,0.0,0.0,,
564,13220,2011KW04,,,,,,,0.0,0.0,,
565,13220,2011JJ00,8.0,0.01,8.0,0.01,8.0,0.01,0.0,0.0,,
566,13220,2012KW01,,,,,,,0.0,0.0,,
567,13220,2012KW02,,,,,,,0.0,0.0,,
568,13220,2012KW03,,,,,,,0.0,0.0,,
569,13220,2012KW04,,,,,,,0.0,0.0,,
570,13220,2012JJ00,11.0,0.01,11.0,0.01,11.0,0.01,0.0,0.0,,
571,13220,2013KW01,,,,,,,,,,
572,13220,2013KW02,,,,,,,,,,
573,13220,2013KW03,,,,,,,,,,
574,13220,2013KW04,,,,,,,,,,
575,13220,2013JJ00,,,,,,,0.0,0.0,,
576,13290,1990JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
577,13290,1991JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
578,13290,1992JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
579,13290,1993JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
580,13290,1994JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
581,13290,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,
582,13290,1996JJ00,1.0,0.0,1.0,0.0,1.0,0.0,,,,
583,13290,1997JJ00,1.0,0.0,1.0,0.0,1.0,0.0,,,,
584,13290,1998JJ00,2.0,0.0,2.0,0.0,2.0,0.0,,,,
585,13290,1999JJ00,4.0,0.0,4.0,0.0,4.0,0.0,,,,
586,13290,2000JJ00,6.0,0.01,6.0,0.01,6.0,0.01,,,,
587,13290,2001JJ00,10.0,0.01,10.0,0.01,10.0,0.01,,,,
588,13290,2002KW01,,,,,,,0.0,0.0,,
589,13290,2002KW02,,,,,,,0.0,0.0,,
590,13290,2002KW03,,,,,,,0.0,0.0,,
591,13290,2002KW04,,,,,,,0.0,0.0,,
592,13290,2002JJ00,13.0,0.01,13.0,0.01,13.0,0.01,0.0,0.0,,
593,13290,2003KW01,,,,,,,0.0,0.0,,
594,13290,2003KW02,,,,,,,0.0,0.0,,
595,13290,2003KW03,,,,,,,0.0,0.0,,
596,13290,2003KW04,,,,,,,0.0,0.0,,
597,13290,2003JJ00,27.0,0.02,27.0,0.02,27.0,0.02,0.0,0.0,,
598,13290,2004KW01,,,,,,,0.0,0.0,,
599,13290,2004KW02,,,,,,,0.0,0.0,,
600,13290,2004KW03,,,,,,,0.0,0.0,,
601,13290,2004KW04,,,,,,,0.0,0.0,,
602,13290,2004JJ00,29.0,0.02,29.0,0.02,29.0,0.03,0.0,0.0,,
603,13290,2005KW01,,,,,,,0.0,0.0,,
604,13290,2005KW02,,,,,,,0.0,0.0,,
605,13290,2005KW03,,,,,,,0.0,0.0,,
606,13290,2005KW04,,,,,,,0.0,0.0,,
607,13290,2005JJ00,30.0,0.03,30.0,0.03,30.0,0.03,0.0,0.0,,
608,13290,2006KW01,,,,,,,0.0,0.0,,
609,13290,2006KW02,,,,,,,0.0,0.0,,
610,13290,2006KW03,,,,,,,0.0,0.0,,
611,13290,2006KW04,,,,,,,0.0,0.0,,
612,13290,2006JJ00,31.0,0.03,31.0,0.03,31.0,0.03,0.0,0.0,,
613,13290,2007KW01,,,,,,,0.0,0.0,,
614,13290,2007KW02,,,,,,,0.0,0.0,,
615,13290,2007KW03,,,,,,,0.0,0.0,,
616,13290,2007KW04,,,,,,,0.0,0.0,,
617,13290,2007JJ00,31.0,0.03,31.0,0.03,31.0,0.03,0.0,0.0,,
618,13290,2008KW01,,,,,,,0.0,0.0,,
619,13290,2008KW02,,,,,,,0.0,0.0,,
620,13290,2008KW03,,,,,,,0.0,0.0,,
621,13290,2008KW04,,,,,,,0.0,0.0,,
622,13290,2008JJ00,34.0,0.03,34.0,0.03,34.0,0.03,0.0,0.0,,
623,13290,2009KW01,,,,,,,0.0,0.0,,
624,13290,2009KW02,,,,,,,0.0,0.0,,
625,13290,2009KW03,,,,,,,0.0,0.0,,
626,13290,2009KW04,,,,,,,0.0,0.0,,
627,13290,2009JJ00,41.0,0.03,41.0,0.03,41.0,0.04,0.0,0.0,,
628,13290,2010KW01,,,,,,,0.0,0.0,,
629,13290,2010KW02,,,,,,,0.0,0.0,,
630,13290,2010KW03,,,,,,,0.0,0.0,,
631,13290,2010KW04,,,,,,,0.0,0.0,,
632,13290,2010JJ00,54.0,0.04,54.0,0.04,54.0,0.05,0.0,0.0,,
633,13290,2011KW01,,,,,,,0.0,0.0,,
634,13290,2011KW02,,,,,,,0.0,0.0,,
635,13290,2011KW03,,,,,,,0.0,0.0,,
636,13290,2011KW04,,,,,,,0.0,0.0,,
637,13290,2011JJ00,91.0,0.07,91.0,0.07,91.0,0.08,0.0,0.0,,
638,13290,2012KW01,,,,,,,0.0,0.0,,
639,13290,2012KW02,,,,,,,0.0,0.0,,
640,13290,2012KW03,,,,,,,0.0,0.0,,
641,13290,2012KW04,,,,,,,0.0,0.0,,
642,13290,2012JJ00,241.0,0.2,241.0,0.2,241.0,0.21,0.0,0.0,,
643,13290,2013KW01,,,,,,,,,,
644,13290,2013KW02,,,,,,,,,,
645,13290,2013KW03,,,,,,,,,,
646,13290,2013KW04,,,,,,,,,,
647,13290,2013JJ00,,,,,,,0.0,0.0,,
648,19000,1990JJ00,670.0,0.83,670.0,0.83,579.0,0.74,,,,
649,19000,1991JJ00,750.0,0.9,750.0,0.9,654.0,0.81,,,,
650,19000,1992JJ00,752.0,0.87,752.0,0.87,625.0,0.75,,,,
651,19000,1993JJ00,863.0,0.99,863.0,0.99,685.0,0.81,,,,
652,19000,1994JJ00,939.0,1.04,939.0,1.04,748.0,0.86,,,,
653,19000,1995JJ00,1017.0,1.1,1017.0,1.1,808.0,0.91,,,,
654,19000,1996JJ00,1316.0,1.37,1316.0,1.37,1057.0,1.14,,,,
655,19000,1997JJ00,1463.0,1.47,1463.0,1.47,1156.0,1.21,,,,
656,19000,1998JJ00,1592.0,1.55,1592.0,1.55,1262.0,1.27,,,,
657,19000,1999JJ00,1791.0,1.7,1791.0,1.7,1447.0,1.42,,,,
658,19000,2000JJ00,2021.0,1.86,2021.0,1.86,1671.0,1.59,,,,
659,19000,2001JJ00,2374.0,2.14,2374.0,2.14,2024.0,1.89,,,,
660,19000,2002KW01,,,,,,,,,,
661,19000,2002KW02,,,,,,,,,,
662,19000,2002KW03,,,,,,,,,,
663,19000,2002KW04,,,,,,,,,,
664,19000,2002JJ00,2924.0,2.6,2924.0,2.6,2547.0,2.35,4382.0,4.04,,
665,19000,2003KW01,,,,,,,,,,
666,19000,2003KW02,,,,,,,,,,
667,19000,2003KW03,,,,,,,,,,
668,19000,2003KW04,,,,,,,,,,
669,19000,2003JJ00,2564.0,2.25,2564.0,2.25,2217.0,2.02,8704.0,7.92,,
670,19000,2004KW01,,,,,,,,,,
671,19000,2004KW02,,,,,,,,,,
672,19000,2004KW03,,,,,,,,,,
673,19000,2004KW04,,,,,,,,,,
674,19000,2004JJ00,3332.0,2.81,3332.0,2.81,2947.0,2.57,7516.0,6.56,,
675,19000,2005KW01,,,,,,,,,,
676,19000,2005KW02,,,,,,,,,,
677,19000,2005KW03,,,,,,,,,,
678,19000,2005KW04,,,,,,,,,,
679,19000,2005JJ00,5280.0,4.45,5280.0,4.45,4808.0,4.2,1482.0,1.29,,
680,19000,2006KW01,,,,,,,,,,
681,19000,2006KW02,,,,,,,,,,
682,19000,2006KW03,,,,,,,,,,
683,19000,2006KW04,,,,,,,,,,
684,19000,2006JJ00,5191.0,4.31,5191.0,4.31,4691.0,4.04,1430.0,1.23,,
685,19000,2007KW01,,,,,,,,,,
686,19000,2007KW02,,,,,,,,,,
687,19000,2007KW03,,,,,,,,,,
688,19000,2007KW04,,,,,,,,,,
689,19000,2007JJ00,4019.0,3.27,4019.0,3.27,3538.0,2.99,1447.0,1.22,,
690,19000,2008KW01,,,1327.0,4.0,1168.0,3.64,,,,
691,19000,2008KW02,,,998.0,3.42,878.0,3.12,,,,
692,19000,2008KW03,,,1260.0,4.32,1108.0,3.94,,,,
693,19000,2008KW04,,,1564.0,4.81,1376.0,4.39,,,,
694,19000,2008JJ00,5149.0,4.15,5149.0,4.15,4531.0,3.79,374.0,0.31,,
695,19000,2009KW01,,,1559.0,4.93,1379.0,4.55,,,,
696,19000,2009KW02,,,1570.0,5.66,1389.0,5.18,,,,
697,19000,2009KW03,,,1524.0,5.58,1348.0,5.15,,,,
698,19000,2009KW04,,,1476.0,4.65,1306.0,4.28,,,,
