ID,Perioden,GemiddeldeLengte_1,GemiddeldGewicht_2,Bedrijfsongevallen_3,Mannen_4,Vrouwen_5,SalmonellainfectiesExclParaTyfus_6,Gonorroe_7,Syfilis_8,Crematies_9,AlleenMetHulpGeneeskundigeGeboren_10,AlleenMetHulpVerloskundigeGeboren_11,ThuisGeboren_12,InZiekenhuisOfKraamkliniekGeboren_13,Ziekenhuizen_14,KostenVanZiekenhuizen_15,TotaleKosten_16,InVanBrutoBinnenlandsProductBBP_17,Ziekenfondsen_18,AlgemeneWetBijzondereZiektekosten_19,Overheid_20,OverigeFinancieringsvormen_21
83,1983JJ00,180.7,69.2,18.8,7.2,9.4,6083.0,13199.0,913.0,38.2,57.7,41.6,35.1,64.9,226.0,4963.0,14552.0,8.4,45.0,25.0,5.0,25.0
84,1984JJ00,180.9,69.6,17.2,6.9,9.2,5593.0,14400.0,938.0,38.8,56.8,42.4,36.1,63.9,217.0,4922.0,14735.0,8.1,45.0,26.0,5.0,24.0
85,1985JJ00,181.1,69.7,16.5,6.6,8.6,,12451.0,584.0,40.1,57.8,41.7,36.6,63.4,207.0,5040.0,15204.0,7.9,45.0,26.0,5.0,24.0
86,1986JJ00,181.2,69.9,16.3,6.6,8.4,,9841.0,540.0,40.9,56.6,42.9,35.9,64.1,198.0,5175.0,15846.0,8.0,43.0,25.0,5.0,27.0
87,1987JJ00,181.3,70.2,16.7,6.3,8.7,,5636.0,388.0,42.0,55.8,43.8,34.2,65.8,198.0,5226.0,16226.0,8.1,43.0,26.0,4.0,27.0
88,1988JJ00,181.3,70.4,18.3,6.2,8.7,,3347.0,394.0,42.9,55.2,44.1,34.2,65.8,183.0,5354.0,16739.0,8.1,42.0,26.0,4.0,28.0
89,1989JJ00,181.2,70.3,17.4,6.4,8.8,,3024.0,539.0,43.5,54.0,45.5,33.4,66.6,179.0,5551.0,18109.0,8.2,37.0,31.0,5.0,27.0
90,1990JJ00,181.1,70.2,16.5,6.3,9.1,,3666.0,499.0,44.4,54.1,44.8,32.1,67.9,169.0,6053.0,19515.0,8.3,36.0,31.0,5.0,28.0
91,1991JJ00,181.2,70.3,15.9,5.8,8.9,,2896.0,253.0,45.3,53.6,45.0,31.0,69.0,163.0,6665.0,21123.0,8.6,37.0,31.0,5.0,27.0
92,1992JJ00,181.3,70.8,16.1,5.3,8.1,,2397.0,189.0,46.3,53.3,45.5,31.5,68.5,157.0,7092.0,22571.0,8.8,30.0,42.0,5.0,23.0
93,1993JJ00,181.3,70.5,,,,,1840.0,135.0,46.8,52.9,46.3,30.6,69.4,154.0,7350.0,23633.0,9.0,30.0,43.0,5.0,22.0
94,1994JJ00,,,,,,,1443.0,133.0,46.8,,,,,152.0,7528.0,24459.0,8.8,31.0,42.0,5.0,22.0
95,1995JJ00,,,,,,,1425.0,204.0,46.6,,,,,148.0,7821.0,25558.0,8.4,29.0,43.0,5.0,23.0
96,1996JJ00,,,,,,,1192.0,209.0,47.5,,,,,146.0,8146.0,26442.0,8.4,37.0,30.0,4.0,29.0
97,1997JJ00,,,,,,,1188.0,268.0,,,,,,143.0,8472.0,27679.0,8.3,39.0,30.0,4.0,27.0
98,1998JJ00,,,,,,,1197.0,124.0,,,,,,143.0,8913.0,29440.0,8.3,39.0,30.0,4.0,27.0
99,1999JJ00,,,,,,,,,,,,,,136.0,9426.0,,,,,,
100,2000JJ00,,,,,,,,,,,,,,131.0,9972.0,,,,,,
101,2001JJ00,,,,,,,,,,,,,,129.0,11191.0,,,,,,
102,2002JJ00,,,,,,,,,,,,,,130.0,12487.0,,,,,,
103,2003JJ00,,,,,,,,,,,,,,129.0,13422.0,,,,,,
104,2004JJ00,,,,,,,,,,,,,,129.0,13978.0,,,,,,
