ID,BuildingTypesServicesSector,FloorareaSize,ConstructionPeriod,AverageConsumptionOfNaturalGas_1,AverageConsumptionOfElectricity_2
304,A047475,A025412,ZW25811,18.1,55.3
305,A047475,A025412,ZW25812,16.6,37.9
306,A047475,A025412,ZW25813,13.0,42.0
307,A047475,A025412,ZW25814,11.6,52.4
308,A047475,A025413,ZW25811,14.6,53.4
309,A047475,A025413,ZW25812,14.5,48.8
310,A047475,A025413,ZW25813,10.4,51.4
311,A047475,A025413,ZW25814,12.2,58.6
312,A047475,A025416,ZW25811,,
313,A047475,A025416,ZW25812,12.4,50.6
314,A047475,A025416,ZW25813,9.5,57.9
315,A047475,A025416,ZW25814,10.5,68.1
316,A047475,A025417,ZW25811,,
317,A047475,A025417,ZW25812,9.2,48.9
318,A047475,A025417,ZW25813,9.2,52.1
319,A047475,A025417,ZW25814,21.4,66.6
320,A047477,A025415,ZW25811,18.6,97.0
321,A047477,A025415,ZW25812,16.5,88.0
322,A047477,A025415,ZW25813,14.2,93.3
323,A047477,A025415,ZW25814,14.8,77.6
324,A047477,A025412,ZW25811,17.3,67.6
325,A047477,A025412,ZW25812,15.7,76.5
326,A047477,A025412,ZW25813,14.4,82.9
327,A047477,A025412,ZW25814,15.5,84.2
328,A047477,A025413,ZW25811,,
329,A047477,A025413,ZW25812,13.9,61.6
330,A047477,A025413,ZW25813,12.4,62.8
331,A047477,A025413,ZW25814,10.7,73.4
332,A047477,A025416,ZW25811,,
333,A047477,A025416,ZW25812,9.0,45.2
334,A047477,A025416,ZW25813,9.8,49.3
335,A047477,A025416,ZW25814,19.4,58.2
336,A047477,A025417,ZW25811,,
337,A047477,A025417,ZW25812,,
338,A047477,A025417,ZW25813,,
339,A047477,A025417,ZW25814,,
340,A047479,A025415,ZW25811,19.4,23.9
341,A047479,A025415,ZW25812,18.7,25.4
342,A047479,A025415,ZW25813,16.9,30.0
343,A047479,A025415,ZW25814,13.2,25.8
344,A047479,A025412,ZW25811,16.0,19.0
345,A047479,A025412,ZW25812,16.5,19.7
346,A047479,A025412,ZW25813,14.1,21.2
347,A047479,A025412,ZW25814,13.0,22.5
348,A047479,A025413,ZW25811,13.4,17.4
349,A047479,A025413,ZW25812,14.5,17.5
350,A047479,A025413,ZW25813,12.6,19.5
351,A047479,A025413,ZW25814,10.7,20.5
352,A047479,A025416,ZW25811,10.4,16.4
353,A047479,A025416,ZW25812,10.6,15.7
354,A047479,A025416,ZW25813,8.6,21.4
355,A047479,A025416,ZW25814,8.2,21.2
356,A047479,A025417,ZW25811,,
357,A047479,A025417,ZW25812,,
358,A047479,A025417,ZW25813,,
359,A047479,A025417,ZW25814,,
