ID,Sectoren,Effecten,Perioden,Koerswaarde_1,TotaalEmissie_2,EmissieOpenbaar_3,EmissieOnderhands_4
93,20,11,2010JJ00,,,,
94,20,11,2011JJ00,,,,
95,20,11,2012JJ00,,,,
96,20,11,2013JJ00,,,,
97,20,11,2014JJ00,,,,
98,20,11,2015JJ00,,,,
99,20,22,1983JJ00,,,,
100,20,22,1984JJ00,,,,
101,20,22,1985JJ00,,,,
102,20,22,1986JJ00,,,,
103,20,22,1987JJ00,,,,
104,20,22,1988JJ00,,,,
105,20,22,1989JJ00,,,,
106,20,22,1990JJ00,,,,
107,20,22,1991JJ00,,,,
108,20,22,1992JJ00,,,,
109,20,22,1993JJ00,,38300.0,38300.0,
110,20,22,1994JJ00,127954.0,27500.0,27500.0,
111,20,22,1995JJ00,145380.0,52667.0,52667.0,
112,20,22,1996JJ00,151025.0,33628.0,33628.0,
113,20,22,1997JJ00,153927.0,,,
114,20,22,1998JJ00,161032.0,21362.0,21362.0,
115,20,22,1999JJ00,174164.0,22354.0,22354.0,
116,20,22,2000JJ00,169600.0,15045.0,15045.0,
117,20,22,2001JJ00,171900.0,19809.0,19809.0,
118,20,22,2002JJ00,170400.0,22615.0,22615.0,
119,20,22,2003JJ00,181700.0,34236.0,34236.0,
120,20,22,2004JJ00,195600.0,32295.0,32295.0,
121,20,22,2005JJ00,219600.0,32889.0,32889.0,
122,20,22,2006JJ00,211400.0,21490.0,21490.0,
123,20,22,2007JJ00,209939.0,21090.0,21090.0,
124,20,22,2008JJ00,279742.0,29004.0,29004.0,
125,20,22,2009JJ00,275266.0,48979.0,48979.0,
126,20,22,2010JJ00,304670.0,53687.0,53687.0,
127,20,22,2011JJ00,330014.0,53904.0,53904.0,
128,20,22,2012JJ00,358018.0,67336.0,67336.0,
129,20,22,2013JJ00,370444.0,67336.0,52198.0,
130,20,22,2014JJ00,406187.0,52615.0,52615.0,
131,20,22,2015JJ00,392818.0,49617.0,49617.0,
132,30,11,1983JJ00,6735.0,,,
133,30,11,1984JJ00,8098.0,,,
134,30,11,1985JJ00,14461.0,,,
135,30,11,1986JJ00,13130.0,,,
136,30,11,1987JJ00,9255.0,,,
137,30,11,1988JJ00,13117.0,,,
138,30,11,1989JJ00,16929.0,,,
139,30,11,1990JJ00,13489.0,,,
140,30,11,1991JJ00,15603.0,,,
141,30,11,1992JJ00,19593.0,,,
142,30,11,1993JJ00,30445.0,,2600.0,
143,30,11,1994JJ00,28580.0,,1500.0,
144,30,11,1995JJ00,39404.0,,1022.0,
145,30,11,1996JJ00,60385.0,,3929.0,
146,30,11,1997JJ00,94064.0,,,
147,30,11,1998JJ00,157045.0,,2957.0,
148,30,11,1999JJ00,180690.0,8710.0,2521.0,6189.0
149,30,11,2000JJ00,201376.0,2203.0,1107.0,1096.0
150,30,11,2001JJ00,167373.0,1767.0,0.0,1767.0
151,30,11,2002JJ00,97796.0,142.0,0.0,142.0
152,30,11,2003JJ00,108064.0,485.0,0.0,485.0
153,30,11,2004JJ00,124893.0,307.0,148.0,159.0
154,30,11,2005JJ00,165527.0,2722.0,0.0,2722.0
155,30,11,2006JJ00,202238.0,499.0,416.0,83.0
156,30,11,2007JJ00,193512.0,14997.0,14317.0,680.0
157,30,11,2008JJ00,25144.0,2120.0,0.0,2120.0
158,30,11,2009JJ00,40318.0,8472.0,8462.0,10.0
159,30,11,2010JJ00,41265.0,28.0,0.0,28.0
160,30,11,2011JJ00,31453.0,981.0,903.0,78.0
161,30,11,2012JJ00,40151.0,22.0,2.0,20.0
162,30,11,2013JJ00,58269.0,219.0,63.0,156.0
163,30,11,2014JJ00,70767.0,127.0,0.0,127.0
164,30,11,2015JJ00,99777.0,917.0,804.0,113.0
165,30,22,1983JJ00,,,,
166,30,22,1984JJ00,,,,
167,30,22,1985JJ00,,,,
168,30,22,1986JJ00,,,,
169,30,22,1987JJ00,,,,
170,30,22,1988JJ00,,,,
171,30,22,1989JJ00,,,,
172,30,22,1990JJ00,,,,
173,30,22,1991JJ00,,,,
174,30,22,1992JJ00,,,,
175,30,22,1993JJ00,,3600.0,3600.0,
176,30,22,1994JJ00,31964.0,3200.0,3200.0,
177,30,22,1995JJ00,37529.0,6808.0,6808.0,
178,30,22,1996JJ00,46114.0,5137.0,5137.0,
179,30,22,1997JJ00,51222.0,,,
180,30,22,1998JJ00,57217.0,779.0,779.0,
181,30,22,1999JJ00,87770.0,32684.0,32684.0,
182,30,22,2000JJ00,97500.0,29304.0,29304.0,
183,30,22,2001JJ00,144400.0,58264.0,58264.0,
184,30,22,2002JJ00,171800.0,41764.0,41764.0,
185,30,22,2003JJ00,204200.0,61800.0,61800.0,
186,30,22,2004JJ00,230800.0,60306.0,60306.0,
187,30,22,2005JJ00,277600.0,71268.0,71268.0,
188,30,22,2006JJ00,319700.0,83805.0,83805.0,
189,30,22,2007JJ00,440730.0,124517.0,124517.0,
190,30,22,2008JJ00,476408.0,82018.0,82018.0,
191,30,22,2009JJ00,527217.0,111208.0,111208.0,
192,30,22,2010JJ00,549337.0,152280.0,152280.0,
193,30,22,2011JJ00,579479.0,121329.0,121329.0,
194,30,22,2012JJ00,605137.0,105348.0,105348.0,
195,30,22,2013JJ00,539928.0,105348.0,67036.0,
196,30,22,2014JJ00,526580.0,55943.0,55943.0,
197,30,22,2015JJ00,492632.0,52350.0,52350.0,
198,40,11,1983JJ00,7660.0,,,
199,40,11,1984JJ00,8440.0,,,
200,40,11,1985JJ00,10713.0,,,
201,40,11,1986JJ00,12158.0,,,
202,40,11,1987JJ00,10779.0,,,
203,40,11,1988JJ00,13544.0,,,
204,40,11,1989JJ00,17873.0,,,
205,40,11,1990JJ00,16663.0,,,
206,40,11,1991JJ00,20003.0,,,
207,40,11,1992JJ00,25248.0,,,
208,40,11,1993JJ00,36730.0,,,
209,40,11,1994JJ00,40010.0,,,
210,40,11,1995JJ00,44587.0,,,
211,40,11,1996JJ00,52946.0,,,
212,40,11,1997JJ00,64501.0,,,
213,40,11,1998JJ00,77550.0,,,
214,40,11,1999JJ00,106853.0,5420.0,5414.0,6.0
215,40,11,2000JJ00,86423.0,11470.0,11470.0,0.0
216,40,11,2001JJ00,75909.0,14376.0,13850.0,526.0
217,40,11,2002JJ00,60229.0,6155.0,6041.0,114.0
218,40,11,2003JJ00,64945.0,8045.0,8045.0,0.0
219,40,11,2004JJ00,68367.0,5017.0,5017.0,0.0
220,40,11,2005JJ00,73179.0,6051.0,6051.0,0.0
221,40,11,2006JJ00,90770.0,6733.0,6733.0,0.0
222,40,11,2007JJ00,80648.0,6078.0,6078.0,0.0
223,40,11,2008JJ00,46128.0,4723.0,4723.0,0.0
224,40,11,2009JJ00,55433.0,3099.0,3099.0,0.0
225,40,11,2010JJ00,57904.0,3903.0,3903.0,0.0
226,40,11,2011JJ00,52912.0,4806.0,4806.0,0.0
227,40,11,2012JJ00,54273.0,10.0,10.0,0.0
228,40,11,2013JJ00,52244.0,2881.0,2881.0,0.0
229,40,11,2014JJ00,47011.0,5611.0,5611.0,0.0
230,40,11,2015JJ00,45667.0,5716.0,5716.0,0.0
231,40,22,1983JJ00,,,,
232,40,22,1984JJ00,,,,
233,40,22,1985JJ00,,,,
234,40,22,1986JJ00,,,,
235,40,22,1987JJ00,,,,
236,40,22,1988JJ00,,,,
237,40,22,1989JJ00,,,,
238,40,22,1990JJ00,,,,
239,40,22,1991JJ00,,,,
240,40,22,1992JJ00,,,,
241,40,22,1993JJ00,,,,
242,40,22,1994JJ00,,,,
243,40,22,1995JJ00,,,,
244,40,22,1996JJ00,,,,
245,40,22,1997JJ00,,,,
246,40,22,1998JJ00,,,,
247,40,22,1999JJ00,,,,
248,40,22,2000JJ00,,,,
249,40,22,2001JJ00,,,,
250,40,22,2002JJ00,,,,
251,40,22,2003JJ00,,,,
252,40,22,2004JJ00,,,,
253,40,22,2005JJ00,,,,
254,40,22,2006JJ00,,,,
255,40,22,2007JJ00,,,,
256,40,22,2008JJ00,,,,
257,40,22,2009JJ00,,,,
258,40,22,2010JJ00,,,,
259,40,22,2011JJ00,,,,
260,40,22,2012JJ00,,,,
261,40,22,2013JJ00,,,,
262,40,22,2014JJ00,,,,
263,40,22,2015JJ00,,,,
264,50,11,1983JJ00,1308.0,,,
265,50,11,1984JJ00,1718.0,,,
266,50,11,1985JJ00,2213.0,,,
267,50,11,1986JJ00,2554.0,,,
268,50,11,1987JJ00,3398.0,,,
269,50,11,1988JJ00,5145.0,,,
270,50,11,1989JJ00,6926.0,,,
271,50,11,1990JJ00,5368.0,,,
272,50,11,1991JJ00,5731.0,,,
273,50,11,1992JJ00,4937.0,,,
274,50,11,1993JJ00,7024.0,,,
275,50,11,1994JJ00,6226.0,,,
276,50,11,1995JJ00,6210.0,,,
277,50,11,1996JJ00,7958.0,,,
278,50,11,1997JJ00,9931.0,,,
279,50,11,1998JJ00,10386.0,,,
280,50,11,1999JJ00,11052.0,271.0,61.0,210.0
281,50,11,2000JJ00,13591.0,507.0,425.0,82.0
282,50,11,2001JJ00,13904.0,327.0,276.0,51.0
283,50,11,2002JJ00,11546.0,1024.0,381.0,643.0
284,50,11,2003JJ00,12511.0,342.0,341.0,1.0
285,50,11,2004JJ00,14979.0,272.0,162.0,110.0
286,50,11,2005JJ00,16830.0,388.0,268.0,120.0
287,50,11,2006JJ00,22890.0,447.0,447.0,0.0
288,50,11,2007JJ00,18925.0,521.0,464.0,57.0
289,50,11,2008JJ00,6862.0,385.0,382.0,3.0
290,50,11,2009JJ00,9334.0,641.0,200.0,441.0
291,50,11,2010JJ00,10359.0,702.0,702.0,0.0
292,50,11,2011JJ00,7287.0,314.0,314.0,0.0
293,50,11,2012JJ00,7503.0,35.0,10.0,25.0
294,50,11,2013JJ00,7860.0,454.0,454.0,0.0
295,50,11,2014JJ00,9751.0,733.0,733.0,0.0
296,50,11,2015JJ00,6352.0,544.0,544.0,0.0
297,50,22,1983JJ00,,,,
298,50,22,1984JJ00,,,,
299,50,22,1985JJ00,,,,
300,50,22,1986JJ00,,,,
301,50,22,1987JJ00,,,,
302,50,22,1988JJ00,,,,
303,50,22,1989JJ00,,,,
304,50,22,1990JJ00,,,,
305,50,22,1991JJ00,,,,
306,50,22,1992JJ00,,,,
307,50,22,1993JJ00,,,,
308,50,22,1994JJ00,,,,
309,50,22,1995JJ00,,,,
310,50,22,1996JJ00,,,,
311,50,22,1997JJ00,,,,
312,50,22,1998JJ00,,,,
313,50,22,1999JJ00,,,,
314,50,22,2000JJ00,,,,
315,50,22,2001JJ00,,,,
316,50,22,2002JJ00,,,,
317,50,22,2003JJ00,,,,
318,50,22,2004JJ00,,,,
319,50,22,2005JJ00,,,,
320,50,22,2006JJ00,,,,
321,50,22,2007JJ00,,,,
322,50,22,2008JJ00,,,,
323,50,22,2009JJ00,,,,
324,50,22,2010JJ00,,,,
325,50,22,2011JJ00,,,,
326,50,22,2012JJ00,,,,
327,50,22,2013JJ00,,,,
328,50,22,2014JJ00,,,,
329,50,22,2015JJ00,,,,
330,60,11,1983JJ00,33944.0,,,
331,60,11,1984JJ00,42805.0,,,
332,60,11,1985JJ00,52579.0,,,
333,60,11,1986JJ00,60170.0,,,
334,60,11,1987JJ00,50475.0,,,
335,60,11,1988JJ00,66276.0,,,
336,60,11,1989JJ00,92537.0,,,
337,60,11,1990JJ00,78403.0,,,
338,60,11,1991JJ00,90076.0,,,
339,60,11,1992JJ00,91204.0,,,
340,60,11,1993JJ00,129741.0,,1100.0,
341,60,11,1994JJ00,147807.0,,3000.0,
342,60,11,1995JJ00,168749.0,,718.0,
343,60,11,1996JJ00,236397.0,,4976.0,
344,60,11,1997JJ00,337051.0,,,
345,60,11,1998JJ00,356630.0,,2202.0,
346,60,11,1999JJ00,511768.0,11429.0,7543.0,3886.0
347,60,11,2000JJ00,479880.0,14014.0,12192.0,1822.0
348,60,11,2001JJ00,397305.0,11210.0,6608.0,4602.0
349,60,11,2002JJ00,275730.0,2881.0,798.0,2083.0
350,60,11,2003JJ00,280663.0,3352.0,3022.0,330.0
351,60,11,2004JJ00,282947.0,6033.0,1292.0,4741.0
352,60,11,2005JJ00,349305.0,3739.0,786.0,2953.0
353,60,11,2006JJ00,402485.0,1227.0,176.0,1051.0
354,60,11,2007JJ00,379054.0,3402.0,733.0,2669.0
355,60,11,2008JJ00,210245.0,508.0,6.0,502.0
356,60,11,2009JJ00,278220.0,2483.0,1024.0,1459.0
357,60,11,2010JJ00,314091.0,4030.0,706.0,3324.0
358,60,11,2011JJ00,301424.0,1466.0,18.0,1448.0
359,60,11,2012JJ00,335931.0,4857.0,280.0,4577.0
360,60,11,2013JJ00,388871.0,6755.0,4007.0,2748.0
361,60,11,2014JJ00,425057.0,4011.0,2963.0,1049.0
362,60,11,2015JJ00,451031.0,2277.0,2022.0,255.0
363,60,22,1983JJ00,,,,
364,60,22,1984JJ00,,,,
365,60,22,1985JJ00,,,,
366,60,22,1986JJ00,,,,
367,60,22,1987JJ00,,,,
368,60,22,1988JJ00,,,,
369,60,22,1989JJ00,,,,
370,60,22,1990JJ00,,,,
371,60,22,1991JJ00,,,,
372,60,22,1992JJ00,,,,
373,60,22,1993JJ00,,200.0,200.0,
374,60,22,1994JJ00,5007.0,1400.0,1400.0,
375,60,22,1995JJ00,5696.0,,0.0,
376,60,22,1996JJ00,6567.0,60.0,60.0,
377,60,22,1997JJ00,7015.0,,,
378,60,22,1998JJ00,8583.0,0.0,0.0,
379,60,22,1999JJ00,13761.0,4793.0,4793.0,
380,60,22,2000JJ00,28300.0,17542.0,17542.0,
381,60,22,2001JJ00,35200.0,11741.0,11741.0,
382,60,22,2002JJ00,34200.0,5756.0,5756.0,
383,60,22,2003JJ00,32300.0,4429.0,4429.0,
384,60,22,2004JJ00,26100.0,478.0,478.0,
385,60,22,2005JJ00,24100.0,2715.0,2715.0,
386,60,22,2006JJ00,22300.0,3489.0,3489.0,
387,60,22,2007JJ00,27516.0,5248.0,5248.0,
388,60,22,2008JJ00,26785.0,5479.0,5479.0,
389,60,22,2009JJ00,30569.0,4892.0,4892.0,
390,60,22,2010JJ00,31445.0,2688.0,2688.0,
391,60,22,2011JJ00,32239.0,1934.0,1934.0,
392,60,22,2012JJ00,32014.0,3289.0,3289.0,
393,60,22,2013JJ00,30354.0,3289.0,3135.0,
394,60,22,2014JJ00,26140.0,498.0,498.0,
395,60,22,2015JJ00,27572.0,5073.0,5073.0,
