ID,EnergyCommodities,Periods,IndigenousProduction_1,Imports_2,Exports_3,TotalFinalConsumption_4,IndigenousProductionTonsDryMatter_5,ImportsTonsDryMatter_6,ExportsTonsDryMatter_7,TotalFinalConsumptionTonsDryMatter_8
29,E007224,2024JJ00,13628,542,686,13484,631125,23550,48992,605684
30,E007225,2015JJ00,1675,0,1675,0,119628,0,119628,0
31,E007225,2016JJ00,1870,0,1870,0,133605,0,133605,0
32,E007225,2017JJ00,1649,0,1649,0,117790,0,117790,0
33,E007225,2018JJ00,1652,0,1583,69,117980,0,113051,4929
34,E007225,2019JJ00,1398,0,1280,118,99839,0,91398,8441
35,E007225,2020JJ00,1308,0,925,383,93440,0,66092,27349
36,E007225,2021JJ00,1815,0,988,827,129662,0,70599,59063
37,E007225,2022JJ00,1542,0,618,924,110174,0,44166,66008
38,E007225,2023JJ00,1067,0,559,509,76223,0,39899,36325
39,E007225,2024JJ00,1381,0,686,696,98678,0,48992,49686
40,E007226,2015JJ00,13224,350,106,13468,862442,22798,6886,878354
41,E007226,2016JJ00,12478,349,108,12719,813785,22750,7020,829515
42,E007226,2017JJ00,12336,349,107,12578,804502,22779,6977,820304
43,E007226,2018JJ00,11789,350,107,12031,768823,22835,7001,784657
44,E007226,2019JJ00,11887,352,105,12134,775250,22956,6879,791327
45,E007226,2020JJ00,11605,350,105,11849,756828,22799,6866,772761
46,E007226,2021JJ00,11308,351,105,11554,737503,22894,6867,753531
47,E007226,2022JJ00,10063,350,105,10307,656283,22800,6866,672217
48,E007226,2023JJ00,10028,358,105,10281,654006,23377,6869,670515
49,E007226,2024JJ00,9831,360,105,10085,641124,23485,6869,657740
50,E007228,2015JJ00,2446,139,753,1832,151255,6093,49086,108262
51,E007228,2016JJ00,4582,639,858,4364,242150,25456,55931,211674
52,E007228,2017JJ00,5895,1674,752,6817,290542,66069,49049,307562
53,E007228,2018JJ00,3015,1667,727,3956,180874,65040,47408,198505
54,E007228,2019JJ00,3630,652,576,3707,200798,26235,37536,189497
55,E007228,2020JJ00,2836,310,415,2731,169111,16106,27038,158180
56,E007228,2021JJ00,3209,751,443,3517,185850,37908,28885,194873
57,E007228,2022JJ00,2815,1965,277,4503,160890,76276,18068,219098
58,E007228,2023JJ00,3164,151,250,3065,166148,8269,16332,158084
59,E007228,2024JJ00,2488,74,308,2255,147348,4811,20057,132101
60,E007230,2015JJ00,2137,28,753,1413,139360,1847,49086,92121
61,E007230,2016JJ00,2463,33,858,1638,160645,2131,55931,106845
62,E007230,2017JJ00,2385,62,752,1695,155521,4075,49049,110548
63,E007230,2018JJ00,2426,34,727,1733,158192,2234,47408,113017
64,E007230,2019JJ00,2287,43,576,1754,149126,2802,37536,114393
65,E007230,2020JJ00,2244,157,415,1987,146371,10228,27038,129561
66,E007230,2021JJ00,2333,338,443,2228,152144,22021,28885,145280
67,E007230,2022JJ00,1966,27,277,1716,128241,1744,18068,111917
68,E007230,2023JJ00,1661,91,250,1502,108325,5962,16332,97956
69,E007230,2024JJ00,1930,74,308,1696,125881,4810,20057,110634
70,E007231,2015JJ00,309,110,0,420,11894,4246,0,16141
71,E007231,2016JJ00,2119,606,0,2726,81505,23325,0,104829
72,E007231,2017JJ00,3511,1612,0,5122,135020,61994,0,197014
73,E007231,2018JJ00,590,1633,0,2223,22682,62806,0,85488
74,E007231,2019JJ00,1343,609,0,1953,51672,23433,0,75104
75,E007231,2020JJ00,591,153,0,744,22741,5879,0,28619
76,E007231,2021JJ00,876,413,0,1289,33706,15887,0,49593
77,E007231,2022JJ00,849,1938,0,2787,32649,74532,0,107181
78,E007231,2023JJ00,1503,60,0,1563,57822,2307,0,60129
79,E007231,2024JJ00,558,0,0,558,21467,1,0,21468
80,E007234,2015JJ00,12830,5111,5077,12864,863529,344026,341731,865824
81,E007234,2016JJ00,14570,3600,5225,12944,980685,242280,351704,871261
82,E007234,2017JJ00,17030,1668,6747,11951,1146236,112282,454119,804399
83,E007234,2018JJ00,15952,819,6184,10587,1073714,55125,416236,712604
84,E007234,2019JJ00,17928,673,6017,12584,1206724,45280,405017,846987
85,E007234,2020JJ00,19067,221,8329,10958,1283324,14874,560613,737585
86,E007234,2021JJ00,21353,0,9066,12286,1437201,0,610240,826961
87,E007234,2022JJ00,17163,312,9066,8408,1155176,20998,610230,565944
88,E007234,2023JJ00,20005,276,9067,11213,1346478,18560,610302,754737
89,E007234,2024JJ00,17121,2025,9070,10076,1152345,136327,610499,678173
90,E007235,2015JJ00,11465,5111,3712,12864,771674,344026,249876,865824
91,E007235,2016JJ00,13282,3600,3937,12944,893977,242280,264996,871261
92,E007235,2017JJ00,15609,1668,5326,11951,1050585,112282,358467,804399
93,E007235,2018JJ00,14515,819,4747,10587,976974,55125,319495,712604
94,E007235,2019JJ00,16661,673,4750,12584,1121395,45280,319688,846987
95,E007235,2020JJ00,17442,221,6705,10958,1174001,14874,451291,737585
96,E007235,2021JJ00,19509,0,7222,12286,1313086,0,486125,826961
97,E007235,2022JJ00,15319,312,7222,8408,1031061,20998,486116,565944
98,E007235,2023JJ00,18161,276,7223,11213,1222366,18560,486190,754737
99,E007235,2024JJ00,15278,2025,7228,10076,1028333,136327,486487,678173
100,E007236,2015JJ00,1365,0,1365,0,91855,0,91855,0
101,E007236,2016JJ00,1288,0,1288,0,86708,0,86708,0
102,E007236,2017JJ00,1421,0,1421,0,95651,0,95651,0
103,E007236,2018JJ00,1437,0,1437,0,96740,0,96740,0
104,E007236,2019JJ00,1268,0,1268,0,85329,0,85329,0
105,E007236,2020JJ00,1624,0,1624,0,109323,0,109323,0
106,E007236,2021JJ00,1844,0,1844,0,124116,0,124116,0
107,E007236,2022JJ00,1844,0,1844,0,124114,0,124114,0
108,E007236,2023JJ00,1844,0,1844,0,124112,0,124112,0
109,E007236,2024JJ00,1842,0,1842,0,124011,0,124011,0
110,E007239,2015JJ00,4764,270,3296,1738,244793,9000,169360,84433
111,E007239,2016JJ00,4485,288,2855,1918,230496,9925,146728,93692
112,E007239,2017JJ00,4516,328,2855,1989,232089,11994,146739,97344
113,E007239,2018JJ00,5139,3251,3396,4994,264082,162207,174529,251759
114,E007239,2019JJ00,5366,14627,3388,16605,275742,746800,174105,848438
115,E007239,2020JJ00,5526,39821,4310,41037,283988,2041487,221480,2103995
116,E007239,2021JJ00,5175,55646,3571,57251,265962,2854704,183496,2937170
117,E007239,2022JJ00,4828,46217,1994,49050,248082,2370164,102470,2515775
118,E007239,2023JJ00,4165,31651,1894,33921,214025,1621642,97355,1738312
119,E007239,2024JJ00,4190,28299,1900,30589,215316,1449360,97623,1567053
120,E006574,2015JJ00,0,270,0,270,0,9000,0,9000
121,E006574,2016JJ00,0,270,0,270,0,9000,0,9000
122,E006574,2017JJ00,0,270,0,270,0,9000,0,9000
123,E006574,2018JJ00,0,270,0,270,0,9000,0,9000
124,E006574,2019JJ00,0,270,0,270,0,9000,0,9000
125,E006574,2020JJ00,0,270,0,270,0,9000,0,9000
126,E006574,2021JJ00,0,270,0,270,0,9000,0,9000
127,E006574,2022JJ00,0,270,0,270,0,9000,0,9000
128,E006574,2023JJ00,0,270,0,270,0,9000,0,9000
129,E006574,2024JJ00,0,270,0,270,0,9000,0,9000
130,E007241,2015JJ00,4764,0,3296,1468,244793,0,169360,75433
131,E007241,2016JJ00,4485,18,2855,1648,230496,925,146728,84692
132,E007241,2017JJ00,4516,58,2855,1719,232089,2994,146739,88344
133,E007241,2018JJ00,5139,2981,3396,4724,264082,153207,174529,242759
134,E007241,2019JJ00,5366,14357,3388,16335,275742,737800,174105,839438
135,E007241,2020JJ00,5526,39551,4310,40767,283988,2032487,221480,2094995
136,E007241,2021JJ00,5175,55376,3571,56981,265962,2845704,183496,2928170
137,E007241,2022JJ00,4828,45947,1994,48780,248082,2361164,102470,2506775
138,E007241,2023JJ00,4165,31381,1894,33651,214025,1612642,97355,1729312
139,E007241,2024JJ00,4190,28029,1900,30319,215316,1440360,97623,1558053
140,E007244,2015JJ00,6259,0,3271,2988,485953,0,295363,190591
141,E007244,2016JJ00,2951,0,2528,423,201342,0,186253,15089
142,E007244,2017JJ00,3522,0,2413,1109,217499,1,177886,39614
143,E007244,2018JJ00,5518,0,2689,2829,426508,2,224133,202376
144,E007244,2019JJ00,7386,0,2591,4794,471119,3,256869,214253
145,E007244,2020JJ00,14191,659,2149,12702,737576,102218,195068,644726
146,E007244,2021JJ00,16680,432,2010,15102,814821,66985,179779,702026
147,E007244,2022JJ00,19937,78,2010,18005,868448,12099,179775,700773
148,E007244,2023JJ00,16314,44,2011,14347,715463,6844,179829,542477
149,E007244,2024JJ00,15720,0,2008,13712,699328,2,179615,519716
150,E007245,2015JJ00,2200,0,1497,703,340985,0,231996,108989
151,E007245,2016JJ00,804,0,804,0,124682,0,124682,0
152,E007245,2017JJ00,769,0,769,0,119175,1,119176,0
153,E007245,2018JJ00,1923,0,1074,850,298122,2,166433,131691
154,E007245,2019JJ00,1738,0,1377,361,269415,3,213512,55905
155,E007245,2020JJ00,1934,659,992,1602,299820,102218,153754,248284
156,E007245,2021JJ00,1837,432,905,1364,284707,66985,140311,211380
157,E007245,2022JJ00,1311,78,905,484,203226,12099,140308,75018
158,E007245,2023JJ00,1114,44,906,252,172597,6844,140363,39077
159,E007245,2024JJ00,1156,0,905,251,179191,2,140213,38980
160,E006575,2015JJ00,4059,0,1774,2285,144968,0,63366,81602
161,E006575,2016JJ00,2146,0,1724,423,76660,0,61570,15089
162,E006575,2017JJ00,2753,0,1644,1109,98324,0,58710,39614
163,E006575,2018JJ00,3595,0,1616,1979,128386,0,57701,70686
164,E006575,2019JJ00,5648,0,1214,4434,201704,0,43357,158347
165,E006575,2020JJ00,12257,0,1157,11100,437756,0,41314,396442
166,E006575,2021JJ00,14843,0,1105,13738,530114,0,39468,490646
167,E006575,2022JJ00,18626,0,1105,17521,665223,0,39467,625755
168,E006575,2023JJ00,15200,0,1105,14095,542866,0,39466,503400
169,E006575,2024JJ00,14564,0,1103,13461,520138,0,39402,480736
