ID,HerkomstEnBestemming,Perioden,TotaalZwareMetalenInEquivalenten_1,ArseenverbindingenAlsAs_2,CadmiumverbindingenAlsCd_3,ChroomverbindingenAlsCr_4,KoperverbindingenAlsCu_5,KwikverbindingenAlsHg_6,LoodverbindingenAlsPb_7,NikkelverbindingenAlsNi_8,ZinkverbindingenAlsZn_9,TotaalNutrientenInEquivalenten_10,FosforverbindingenAlsP_11,StikstofverbindingenAlsN_12
12,300025 ,1995JJ00,107.3,9214.0,2308.0,33090.0,101571.0,1296.0,37052.0,86166.0,464804.0,26473.0,13335442.0,131371910.0
13,300025 ,2000JJ00,69.9,9154.0,1778.0,15744.0,94624.0,394.0,24751.0,70498.0,428229.0,24282.0,11531350.0,127509338.0
14,300025 ,2005JJ00,50.1,8034.0,1137.0,12107.0,74755.0,211.0,17142.0,51469.0,324187.0,16471.0,8207287.0,82640949.0
15,300025 ,2010JJ00,43.9,7443.0,1042.0,5800.0,68282.0,113.0,12653.0,52080.0,329092.0,15837.0,7775400.0,80615681.0
16,300025 ,2013JJ00,41.1,7591.0,927.0,4604.0,66498.0,88.0,10966.0,47089.0,307884.0,13624.0,7111931.0,65120029.0
17,300025 ,2014JJ00,40.3,7520.0,912.0,4519.0,66743.0,73.0,10679.0,46848.0,300974.0,13613.0,7049302.0,65641796.0
18,301000 ,1995JJ00,18.0,0.0,932.0,0.0,20934.0,,2872.0,45056.0,190855.0,13257.0,5086612.0,81700689.0
19,301000 ,2000JJ00,18.6,0.0,935.0,9.0,21654.0,,2768.0,45687.0,200714.0,13576.0,5197126.0,83785317.0
20,301000 ,2005JJ00,13.0,0.0,646.0,0.0,15711.0,,1909.0,31266.0,137232.0,8256.0,3597292.0,46589831.0
21,301000 ,2010JJ00,15.2,0.0,746.0,0.0,18227.0,,2219.0,37191.0,163841.0,8918.0,3807974.0,51104320.0
22,301000 ,2013JJ00,14.4,0.0,699.0,0.0,17514.0,,2090.0,34803.0,153944.0,7651.0,3570549.0,40804079.0
23,301000 ,2014JJ00,14.4,0.0,699.0,0.0,17511.0,,2088.0,34803.0,153931.0,7635.0,3560149.0,40744712.0
24,300002 ,1995JJ00,36.2,2454.0,890.0,27414.0,40266.0,408.0,13053.0,28869.0,91518.0,7433.0,5391283.0,20414005.0
25,300002 ,2000JJ00,20.4,2091.0,364.0,10418.0,30330.0,165.0,8362.0,12573.0,63879.0,4702.0,3268213.0,14342770.0
26,300002 ,2005JJ00,13.6,1312.0,233.0,8492.0,22300.0,86.0,3706.0,10389.0,49463.0,3334.0,1929056.0,14045206.0
27,300002 ,2010JJ00,6.6,830.0,59.0,2761.0,13454.0,23.0,1512.0,5493.0,25867.0,3029.0,1740726.0,12883695.0
28,300002 ,2013JJ00,6.3,696.0,48.0,2347.0,12164.0,27.0,1588.0,4723.0,26503.0,2380.0,1361662.0,10179922.0
29,300002 ,2014JJ00,5.5,662.0,39.0,2215.0,12362.0,12.0,1296.0,4468.0,20166.0,2383.0,1308156.0,10745182.0
30,305700 ,1995JJ00,0.0,11.0,3.0,39.0,38.0,0.0,43.0,29.0,261.0,85.0,84093.0,5604.0
31,305700 ,2000JJ00,0.0,5.0,0.0,185.0,32.0,0.0,11.0,3.0,268.0,3.0,80.0,24687.0
32,305700 ,2005JJ00,0.2,9.0,11.0,241.0,191.0,0.0,154.0,121.0,540.0,3.0,1208.0,13973.0
33,305700 ,2010JJ00,0.1,5.0,3.0,94.0,80.0,1.0,53.0,128.0,593.0,,,
34,305700 ,2013JJ00,0.2,3.0,20.0,99.0,63.0,2.0,198.0,19.0,801.0,,,
35,305700 ,2014JJ00,0.1,0.0,14.0,93.0,55.0,,320.0,95.0,336.0,,,
36,307500 ,1995JJ00,30.6,1837.0,819.0,24649.0,36661.0,299.0,11977.0,27060.0,84424.0,6703.0,5247191.0,14561176.0
37,307500 ,2000JJ00,14.7,1799.0,326.0,9358.0,28344.0,32.0,6327.0,11254.0,55583.0,4266.0,3126954.0,11388352.0
38,307500 ,2005JJ00,11.3,1059.0,184.0,7651.0,20629.0,45.0,3212.0,9272.0,44996.0,2984.0,1805760.0,11785853.0
39,307500 ,2010JJ00,5.5,567.0,47.0,2282.0,11766.0,15.0,1169.0,4512.0,21593.0,2140.0,1279394.0,8601391.0
40,307500 ,2013JJ00,5.5,419.0,23.0,1940.0,11312.0,22.0,1148.0,3826.0,22618.0,1916.0,1107552.0,8081886.0
41,307500 ,2014JJ00,4.9,422.0,22.0,1637.0,11699.0,9.0,704.0,3072.0,16324.0,1936.0,1129587.0,8068018.0
42,307610 ,1995JJ00,2.6,225.0,86.0,1448.0,3838.0,11.0,940.0,1507.0,12078.0,2396.0,1826272.0,5697912.0
43,307610 ,2000JJ00,1.3,82.0,15.0,416.0,2760.0,1.0,223.0,557.0,8071.0,2025.0,1501537.0,5230420.0
44,307610 ,2005JJ00,1.1,145.0,11.0,747.0,2210.0,1.0,190.0,755.0,7960.0,1835.0,1394821.0,4397221.0
45,307610 ,2010JJ00,0.7,118.0,9.0,551.0,1467.0,1.0,170.0,599.0,4987.0,1487.0,980202.0,5067611.0
46,307610 ,2013JJ00,0.5,62.0,5.0,315.0,878.0,1.0,114.0,353.0,3428.0,1258.0,834994.0,4233711.0
47,307610 ,2014JJ00,0.4,59.0,4.0,275.0,784.0,0.0,98.0,372.0,2987.0,1274.0,831526.0,4422772.0
48,312505 ,1995JJ00,1.3,10.0,3.0,2904.0,2999.0,0.0,90.0,528.0,4768.0,114.0,51490.0,627072.0
49,312505 ,2000JJ00,1.2,1.0,0.0,1013.0,3169.0,0.0,169.0,409.0,1774.0,73.0,9533.0,630229.0
50,312505 ,2005JJ00,0.7,0.0,1.0,605.0,1821.0,,64.0,125.0,1766.0,47.0,8589.0,386220.0
51,312505 ,2010JJ00,0.2,2.0,0.0,56.0,628.0,0.0,79.0,122.0,409.0,22.0,12938.0,89595.0
52,312505 ,2013JJ00,0.4,2.0,0.0,413.0,972.0,0.0,14.0,337.0,862.0,46.0,12648.0,332554.0
53,312505 ,2014JJ00,0.3,0.0,0.0,197.0,919.0,,10.0,296.0,794.0,34.0,11753.0,222854.0
54,315810 ,1995JJ00,1.0,5.0,1.0,629.0,1966.0,3.0,107.0,172.0,5372.0,127.0,61871.0,655302.0
55,315810 ,2000JJ00,0.5,87.0,8.0,165.0,835.0,2.0,128.0,200.0,2674.0,100.0,61161.0,389866.0
56,315810 ,2005JJ00,0.5,44.0,8.0,374.0,587.0,5.0,67.0,176.0,2181.0,89.0,45821.0,432790.0
57,315810 ,2010JJ00,0.2,28.0,2.0,78.0,440.0,1.0,32.0,112.0,1075.0,71.0,32974.0,379267.0
58,315810 ,2013JJ00,0.2,24.0,1.0,125.0,506.0,1.0,24.0,108.0,1233.0,72.0,35138.0,371971.0
59,315810 ,2014JJ00,0.3,31.0,2.0,121.0,524.0,1.0,26.0,109.0,1260.0,79.0,35947.0,433292.0
60,315800 ,1995JJ00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,
61,315800 ,2000JJ00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,50.0
62,315800 ,2005JJ00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,
63,315800 ,2010JJ00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,
64,315800 ,2013JJ00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,
65,315800 ,2014JJ00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,
66,317100 ,1995JJ00,0.9,4.0,1.0,599.0,1719.0,3.0,102.0,99.0,5324.0,126.0,61742.0,645463.0
67,317100 ,2000JJ00,0.5,87.0,8.0,157.0,777.0,2.0,121.0,190.0,2606.0,100.0,61081.0,388435.0
68,317100 ,2005JJ00,0.5,44.0,8.0,373.0,548.0,5.0,67.0,173.0,2172.0,89.0,45804.0,432434.0
69,317100 ,2010JJ00,0.2,28.0,2.0,76.0,417.0,1.0,32.0,111.0,1069.0,71.0,32974.0,379228.0
70,317100 ,2013JJ00,0.2,24.0,1.0,124.0,492.0,1.0,24.0,107.0,1229.0,72.0,35138.0,371971.0
71,317100 ,2014JJ00,0.3,31.0,2.0,120.0,511.0,1.0,26.0,108.0,1254.0,79.0,35947.0,433292.0
72,318600 ,1995JJ00,0.1,1.0,0.0,31.0,247.0,0.0,5.0,72.0,47.0,1.0,129.0,9839.0
73,318600 ,2000JJ00,0.0,0.0,0.0,8.0,58.0,0.0,8.0,10.0,67.0,0.0,80.0,1381.0
74,318600 ,2005JJ00,0.0,0.0,0.0,1.0,38.0,0.0,0.0,3.0,8.0,0.0,17.0,356.0
75,318600 ,2010JJ00,0.0,0.0,0.0,1.0,23.0,,0.0,1.0,4.0,0.0,,39.0
76,318600 ,2013JJ00,0.0,0.0,0.0,1.0,14.0,,0.0,0.0,4.0,,,
77,318600 ,2014JJ00,0.0,0.0,0.0,1.0,13.0,,0.0,0.0,5.0,,,
78,320000 ,1995JJ00,0.6,59.0,1.0,65.0,33.0,15.0,30.0,42.0,801.0,41.0,5861.0,352191.0
79,320000 ,2000JJ00,0.8,33.0,3.0,85.0,2337.0,0.0,32.0,287.0,480.0,68.0,8680.0,589137.0
80,320000 ,2005JJ00,0.8,119.0,8.0,271.0,53.0,20.0,59.0,674.0,1067.0,101.0,50724.0,506980.0
81,320000 ,2010JJ00,0.3,65.0,1.0,161.0,149.0,7.0,156.0,967.0,799.0,55.0,26527.0,279933.0
82,320000 ,2013JJ00,0.6,136.0,4.0,86.0,149.0,15.0,86.0,813.0,792.0,53.0,29918.0,227552.0
83,320000 ,2014JJ00,0.1,113.0,1.0,0.0,87.0,2.0,8.0,423.0,351.0,53.0,28526.0,247758.0
84,320705 ,1995JJ00,14.1,654.0,514.0,7002.0,8549.0,216.0,5603.0,6293.0,28350.0,3667.0,3191348.0,4758700.0
85,320705 ,2000JJ00,4.4,578.0,165.0,2515.0,4942.0,25.0,1632.0,3563.0,27846.0,1783.0,1468994.0,3141787.0
86,320705 ,2005JJ00,3.4,513.0,120.0,3159.0,3910.0,15.0,1542.0,2011.0,22281.0,595.0,243455.0,3511885.0
87,320705 ,2010JJ00,0.8,199.0,10.0,600.0,1027.0,3.0,150.0,1096.0,8878.0,395.0,182903.0,2120967.0
88,320705 ,2013JJ00,0.7,152.0,6.0,408.0,593.0,2.0,292.0,1064.0,9687.0,377.0,150527.0,2263226.0
89,320705 ,2014JJ00,0.6,175.0,6.0,561.0,686.0,3.0,118.0,859.0,7123.0,392.0,184304.0,2078185.0
90,320700 ,1995JJ00,14.0,654.0,506.0,7001.0,8386.0,216.0,5331.0,6131.0,27685.0,3592.0,3140946.0,4507032.0
91,320700 ,2000JJ00,4.3,577.0,157.0,2495.0,4780.0,25.0,1622.0,3328.0,26936.0,1684.0,1416894.0,2670605.0
92,320700 ,2005JJ00,3.3,506.0,120.0,3147.0,3761.0,15.0,1538.0,1959.0,21810.0,504.0,192690.0,3113717.0
93,320700 ,2010JJ00,0.8,199.0,10.0,555.0,891.0,3.0,150.0,1080.0,8305.0,346.0,158679.0,1872758.0
94,320700 ,2013JJ00,0.7,152.0,6.0,396.0,585.0,2.0,292.0,1052.0,9371.0,320.0,109549.0,2101623.0
95,320700 ,2014JJ00,0.6,175.0,6.0,543.0,564.0,3.0,118.0,807.0,6330.0,284.0,102991.0,1811195.0
96,323200 ,1995JJ00,0.1,0.0,8.0,1.0,164.0,0.0,271.0,163.0,665.0,76.0,50402.0,251668.0
97,323200 ,2000JJ00,0.1,1.0,8.0,20.0,162.0,0.0,10.0,235.0,910.0,99.0,52101.0,471182.0
98,323200 ,2005JJ00,0.1,7.0,0.0,12.0,149.0,0.0,4.0,52.0,471.0,91.0,50765.0,398168.0
99,323200 ,2010JJ00,0.1,0.0,0.0,45.0,136.0,0.0,0.0,16.0,573.0,49.0,24224.0,248209.0
100,323200 ,2013JJ00,0.0,0.0,0.0,12.0,8.0,0.0,0.0,11.0,316.0,57.0,40978.0,161603.0
101,323200 ,2014JJ00,0.1,0.0,0.0,18.0,122.0,0.0,0.0,52.0,793.0,108.0,81313.0,266991.0
102,323705 ,1995JJ00,0.4,5.0,33.0,80.0,510.0,0.0,97.0,34.0,381.0,8.0,3202.0,47258.0
103,323705 ,2000JJ00,0.1,2.0,6.0,77.0,123.0,0.0,57.0,43.0,484.0,16.0,6460.0,90618.0
104,323705 ,2005JJ00,0.1,1.0,1.0,43.0,112.0,0.0,60.0,21.0,1170.0,47.0,6324.0,405983.0
105,323705 ,2010JJ00,0.0,1.0,0.0,8.0,44.0,0.0,18.0,21.0,262.0,8.0,3577.0,48964.0
106,323705 ,2013JJ00,0.0,0.0,0.0,4.0,24.0,0.0,8.0,9.0,173.0,7.0,2787.0,40750.0
107,323705 ,2014JJ00,0.0,0.0,0.0,3.0,27.0,0.0,6.0,9.0,166.0,10.0,5595.0,45127.0
108,323700 ,1995JJ00,0.3,0.0,33.0,55.0,438.0,0.0,42.0,8.0,185.0,5.0,2979.0,19247.0
109,323700 ,2000JJ00,0.1,1.0,5.0,4.0,50.0,0.0,6.0,8.0,170.0,8.0,6075.0,17448.0
110,323700 ,2005JJ00,0.0,0.0,0.0,5.0,18.0,0.0,6.0,4.0,735.0,38.0,4299.0,336127.0
111,323700 ,2010JJ00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,71.0,3.0,1401.0,15361.0
112,323700 ,2013JJ00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,64.0,3.0,1338.0,15138.0
113,323700 ,2014JJ00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,78.0,7.0,4987.0,18362.0
114,324600 ,1995JJ00,0.0,5.0,0.0,25.0,72.0,,56.0,26.0,196.0,3.0,223.0,28011.0
115,324600 ,2000JJ00,0.0,2.0,0.0,73.0,73.0,0.0,51.0,35.0,313.0,8.0,385.0,73170.0
116,324600 ,2005JJ00,0.1,1.0,1.0,38.0,94.0,0.0,54.0,18.0,436.0,9.0,2025.0,69856.0
117,324600 ,2010JJ00,0.0,1.0,0.0,8.0,44.0,,18.0,20.0,191.0,6.0,2176.0,33603.0
118,324600 ,2013JJ00,0.0,0.0,0.0,4.0,24.0,,8.0,9.0,109.0,4.0,1449.0,25612.0
119,324600 ,2014JJ00,0.0,0.0,0.0,3.0,27.0,,6.0,9.0,88.0,3.0,609.0,26765.0
120,328105 ,1995JJ00,5.6,877.0,161.0,11220.0,4897.0,51.0,2143.0,14203.0,25159.0,236.0,55599.0,1808225.0
121,328105 ,2000JJ00,2.8,1008.0,123.0,4755.0,4128.0,3.0,1888.0,5306.0,10882.0,98.0,33790.0,637944.0
122,328105 ,2005JJ00,1.2,231.0,27.0,2281.0,1743.0,5.0,622.0,4449.0,7090.0,98.0,37613.0,601171.0
123,328105 ,2010JJ00,0.5,152.0,23.0,811.0,313.0,2.0,537.0,1528.0,4848.0,79.0,20275.0,586076.0
124,328105 ,2013JJ00,0.5,43.0,7.0,570.0,299.0,3.0,596.0,1064.0,6018.0,84.0,26892.0,568962.0
125,328105 ,2014JJ00,0.4,43.0,8.0,462.0,273.0,3.0,420.0,804.0,3296.0,88.0,30935.0,567975.0
126,328100 ,1995JJ00,3.2,875.0,110.0,2307.0,1660.0,42.0,720.0,2062.0,14849.0,145.0,31182.0,1140496.0
127,328100 ,2000JJ00,1.7,1007.0,123.0,1689.0,1726.0,3.0,1150.0,1254.0,5758.0,76.0,25095.0,511783.0
128,328100 ,2005JJ00,0.6,221.0,26.0,852.0,590.0,4.0,441.0,828.0,2997.0,66.0,17853.0,481934.0
129,328100 ,2010JJ00,0.3,151.0,20.0,130.0,187.0,2.0,527.0,865.0,1984.0,68.0,11023.0,574304.0
130,328100 ,2013JJ00,0.3,42.0,6.0,146.0,144.0,3.0,579.0,184.0,1837.0,67.0,11646.0,556209.0
131,328100 ,2014JJ00,0.2,42.0,7.0,95.0,92.0,2.0,416.0,164.0,1843.0,65.0,8950.0,560605.0
132,330300 ,1995JJ00,2.4,2.0,51.0,8914.0,3237.0,10.0,1423.0,12141.0,10311.0,91.0,24417.0,667729.0
133,330300 ,2000JJ00,1.1,1.0,0.0,3066.0,2402.0,0.0,737.0,4051.0,5124.0,21.0,8694.0,126161.0
134,330300 ,2005JJ00,0.6,10.0,1.0,1429.0,1153.0,1.0,181.0,3622.0,4092.0,32.0,19761.0,119237.0
135,330300 ,2010JJ00,0.2,1.0,3.0,682.0,125.0,,10.0,663.0,2863.0,10.0,9253.0,11773.0
136,330300 ,2013JJ00,0.2,0.0,1.0,423.0,155.0,0.0,18.0,880.0,4181.0,17.0,15246.0,12754.0
137,330300 ,2014JJ00,0.2,1.0,1.0,367.0,181.0,1.0,4.0,640.0,1453.0,23.0,21985.0,7369.0
138,332910 ,1995JJ00,1.2,0.0,2.0,558.0,2837.0,1.0,1330.0,1855.0,3228.0,50.0,22694.0,271599.0
139,332910 ,2000JJ00,0.4,4.0,2.0,125.0,1074.0,0.0,928.0,260.0,1071.0,42.0,14134.0,282072.0
140,332910 ,2005JJ00,0.4,2.0,4.0,57.0,1082.0,0.0,236.0,178.0,334.0,70.0,6810.0,634070.0
141,332910 ,2010JJ00,0.0,1.0,1.0,2.0,30.0,1.0,6.0,13.0,51.0,8.0,7560.0,973.0
142,332910 ,2013JJ00,0.0,0.0,0.0,1.0,54.0,,1.0,16.0,31.0,5.0,5225.0,2074.0
143,332910 ,2014JJ00,0.1,1.0,0.0,2.0,279.0,,2.0,62.0,29.0,1.0,,8121.0
144,336500 ,1995JJ00,1.3,0.0,2.0,633.0,3220.0,1.0,1509.0,2093.0,3663.0,57.0,25766.0,308155.0
145,336500 ,2000JJ00,0.6,5.0,3.0,158.0,1358.0,0.0,1175.0,328.0,1355.0,54.0,17905.0,357330.0
146,336500 ,2005JJ00,0.6,3.0,5.0,78.0,1485.0,0.0,323.0,244.0,460.0,96.0,9348.0,870292.0
147,336500 ,2010JJ00,0.1,1.0,2.0,3.0,44.0,1.0,8.0,19.0,77.0,11.0,11340.0,1460.0
148,336500 ,2013JJ00,0.0,0.0,0.0,2.0,88.0,,1.0,25.0,51.0,9.0,8552.0,3395.0
149,336500 ,2014JJ00,0.2,1.0,0.0,4.0,477.0,,4.0,106.0,51.0,1.0,,13913.0
150,339205 ,1995JJ00,2.7,0.0,16.0,106.0,7787.0,0.0,127.0,272.0,564.0,6.0,3089.0,33376.0
151,339205 ,2000JJ00,2.5,0.0,0.0,45.0,7592.0,0.0,92.0,290.0,907.0,8.0,4745.0,37466.0
152,339205 ,2005JJ00,2.5,0.0,0.0,35.0,7617.0,,49.0,635.0,669.0,6.0,2229.0,38941.0
153,339205 ,2010JJ00,2.5,0.0,0.0,11.0,7624.0,,14.0,32.0,197.0,4.0,1098.0,26545.0
154,339205 ,2013JJ00,2.6,0.0,0.0,15.0,7750.0,,11.0,34.0,331.0,5.0,872.0,37692.0
155,339205 ,2014JJ00,2.5,0.0,0.0,11.0,7642.0,,12.0,29.0,255.0,4.0,1000.0,28022.0
156,300023 ,1995JJ00,0.0,0.0,0.0,4.0,25.0,,2.0,63.0,60.0,0.0,1.0,1387.0
157,300023 ,2000JJ00,0.0,0.0,0.0,2.0,26.0,,4.0,11.0,39.0,0.0,14.0,1482.0
158,300023 ,2005JJ00,0.0,0.0,0.0,1.0,8.0,,0.0,4.0,17.0,0.0,27.0,301.0
159,300023 ,2010JJ00,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,11.0,,,
160,300023 ,2013JJ00,0.0,0.0,0.0,1.0,1.0,,0.0,3.0,12.0,,,
161,300023 ,2014JJ00,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,11.0,,,
162,346600 ,1995JJ00,0.1,2.0,1.0,5.0,71.0,1.0,28.0,4.0,204.0,1.0,53.0,8636.0
163,346600 ,2000JJ00,0.1,1.0,1.0,44.0,344.0,0.0,27.0,157.0,402.0,6.0,2542.0,33773.0
164,346600 ,2005JJ00,0.3,4.0,1.0,5.0,886.0,1.0,26.0,34.0,200.0,38.0,907.0,371287.0
165,346600 ,2010JJ00,0.1,3.0,0.0,2.0,259.0,1.0,21.0,11.0,359.0,24.0,4935.0,190640.0
166,346600 ,2013JJ00,0.1,0.0,0.0,2.0,94.0,1.0,20.0,13.0,160.0,12.0,3584.0,79809.0
167,346600 ,2014JJ00,0.0,2.0,0.0,5.0,81.0,0.0,22.0,6.0,148.0,32.0,3340.0,285680.0
168,348000 ,1995JJ00,5.5,605.0,68.0,2721.0,3496.0,107.0,1006.0,1775.0,6630.0,644.0,59946.0,5838589.0
169,348000 ,2000JJ00,5.5,286.0,38.0,831.0,1610.0,133.0,1997.0,1160.0,7626.0,428.0,138636.0,2895959.0
170,348000 ,2005JJ00,1.9,241.0,36.0,594.0,595.0,39.0,313.0,963.0,3727.0,309.0,121181.0,1874093.0
171,348000 ,2010JJ00,0.9,254.0,9.0,384.0,1348.0,6.0,269.0,842.0,3322.0,866.0,456398.0,4091664.0
172,348000 ,2013JJ00,0.5,274.0,5.0,306.0,695.0,2.0,222.0,864.0,2923.0,452.0,250526.0,2018227.0
173,348000 ,2014JJ00,0.4,238.0,3.0,480.0,527.0,3.0,250.0,1295.0,3359.0,414.0,175229.0,2391484.0
174,350000 ,1995JJ00,0.6,0.0,0.0,51.0,1344.0,0.0,509.0,38.0,3860.0,6.0,5416.0,4183.0
175,350000 ,2000JJ00,0.6,0.0,0.0,2.0,1505.0,0.0,483.0,2.0,2951.0,0.0,44.0,1966.0
176,350000 ,2005JJ00,0.6,0.0,0.0,1.0,1427.0,,440.0,1.0,2793.0,0.0,,1186.0
177,350000 ,2010JJ00,0.6,3.0,0.0,5.0,1420.0,0.0,425.0,10.0,2487.0,1.0,577.0,3754.0
178,350000 ,2013JJ00,0.5,0.0,0.0,1.0,1330.0,0.0,375.0,1.0,2177.0,,,
179,350000 ,2014JJ00,0.5,0.0,0.0,1.0,1313.0,0.0,364.0,7.0,2134.0,1.0,685.0,5419.0
180,300006 ,1995JJ00,5.4,1106.0,6.0,135.0,11422.0,0.0,8996.0,55.0,33829.0,20.0,5396.0,146881.0
181,300006 ,2000JJ00,5.1,1188.0,6.0,90.0,12050.0,0.0,1504.0,71.0,28804.0,233.0,216322.0,167694.0
182,300006 ,2005JJ00,5.0,1109.0,4.0,40.0,11681.0,1.0,1680.0,73.0,26408.0,35.0,24834.0,99030.0
183,300006 ,2010JJ00,6.0,1045.0,5.0,35.0,14615.0,0.0,1368.0,17.0,30664.0,4.0,368.0,37514.0
184,300006 ,2013JJ00,6.3,1014.0,11.0,27.0,15323.0,0.0,1354.0,9.0,31189.0,3.0,737.0,22626.0
185,300006 ,2014JJ00,6.2,1003.0,5.0,24.0,15274.0,0.0,1357.0,15.0,30579.0,4.0,1329.0,30452.0
186,354200 ,1995JJ00,1.1,2.0,0.0,22.0,2573.0,0.0,993.0,4.0,7108.0,11.0,3697.0,69186.0
187,354200 ,2000JJ00,1.2,1.0,0.0,18.0,2895.0,0.0,935.0,6.0,5996.0,224.0,214078.0,94364.0
188,354200 ,2005JJ00,1.2,1.0,0.0,10.0,2877.0,0.0,884.0,7.0,5679.0,31.0,24052.0,71589.0
189,354200 ,2010JJ00,1.2,0.0,0.0,33.0,2894.0,0.0,860.0,15.0,5029.0,1.0,341.0,7134.0
190,354200 ,2013JJ00,1.2,0.0,6.0,21.0,2968.0,,839.0,5.0,4898.0,2.0,438.0,13773.0
191,354200 ,2014JJ00,1.2,0.0,0.0,21.0,2984.0,,843.0,6.0,4877.0,3.0,549.0,22936.0
192,383100 ,1995JJ00,4.0,1105.0,6.0,113.0,8328.0,0.0,7805.0,51.0,25293.0,9.0,1700.0,77695.0
193,383100 ,2000JJ00,3.7,1188.0,5.0,71.0,8570.0,0.0,378.0,65.0,21658.0,10.0,2244.0,73329.0
194,383100 ,2005JJ00,3.5,1108.0,4.0,24.0,8216.0,1.0,616.0,65.0,19592.0,3.0,782.0,26541.0
195,383100 ,2010JJ00,4.6,1045.0,5.0,2.0,11110.0,,329.0,1.0,24617.0,3.0,27.0,30380.0
196,383100 ,2013JJ00,4.8,1014.0,5.0,6.0,11688.0,0.0,326.0,4.0,25220.0,1.0,299.0,8853.0
197,383100 ,2014JJ00,4.8,1003.0,5.0,3.0,11599.0,0.0,321.0,8.0,24608.0,2.0,780.0,7517.0
198,383200 ,1995JJ00,1.3,4.0,1.0,34.0,3461.0,0.0,253.0,50.0,2908.0,6.0,681.0,57094.0
199,383200 ,2000JJ00,1.3,3.0,1.0,15.0,3732.0,0.0,224.0,61.0,2402.0,6.0,1669.0,44597.0
200,383200 ,2005JJ00,1.4,0.0,0.0,5.0,3955.0,0.0,209.0,53.0,2255.0,2.0,392.0,12940.0
201,383200 ,2010JJ00,1.5,0.0,0.0,2.0,4308.0,,203.0,1.0,1942.0,1.0,,11157.0
202,383200 ,2013JJ00,1.6,0.0,0.0,2.0,4580.0,0.0,196.0,2.0,1943.0,0.0,299.0,1097.0
203,383200 ,2014JJ00,1.6,0.0,0.0,2.0,4560.0,0.0,191.0,3.0,1944.0,1.0,780.0,730.0
204,384900 ,1995JJ00,2.3,,5.0,,3990.0,,7413.0,,21351.0,,,
205,384900 ,2000JJ00,1.9,,4.0,,3899.0,,18.0,,18303.0,,,
206,384900 ,2005JJ00,1.7,,3.0,,3540.0,,16.0,,16453.0,,,
207,384900 ,2010JJ00,2.8,,5.0,,6219.0,,15.0,,22016.0,0.0,,1168.0
208,384900 ,2013JJ00,2.9,,5.0,,6543.0,,16.0,,22589.0,,,
