ID,Energiedragers,NederlandseEconomie,Perioden,Winning_1,IntermediairEnHuishoudelijkVerbruik_2,Invoer_3,Productie_4,NettoEnergieverbruik_5,Uitvoer_6
247,T001027,340200 ,2021JJ00,0.0,1.9,,0.0,1.9,
248,T001027,340200 ,2022JJ00,0.0,1.9,,0.0,1.9,
249,T001027,340200 ,2023JJ00,0.0,1.5,,0.0,1.5,
250,T001027,900046 ,2014JJ00,,3.8,,,3.8,
251,T001027,900046 ,2015JJ00,,3.8,,,3.8,
252,T001027,900046 ,2016JJ00,,4.0,,,4.0,
253,T001027,900046 ,2017JJ00,,3.9,,,3.9,
254,T001027,900046 ,2018JJ00,0.0,3.7,,0.0,3.7,
255,T001027,900046 ,2019JJ00,0.0,3.5,,0.0,3.5,
256,T001027,900046 ,2020JJ00,0.0,3.3,,0.0,3.3,
257,T001027,900046 ,2021JJ00,0.1,3.6,,0.1,3.6,
258,T001027,900046 ,2022JJ00,0.2,3.5,,0.2,3.5,
259,T001027,900046 ,2023JJ00,0.2,3.0,,0.2,3.0,
260,T001027,344400 ,2014JJ00,,3.1,,,3.1,
261,T001027,344400 ,2015JJ00,,3.2,,,3.2,
262,T001027,344400 ,2016JJ00,,3.4,,,3.4,
263,T001027,344400 ,2017JJ00,,3.1,,,3.1,
264,T001027,344400 ,2018JJ00,0.0,3.0,,0.0,3.0,
265,T001027,344400 ,2019JJ00,0.0,3.2,,0.0,3.2,
266,T001027,344400 ,2020JJ00,0.0,2.9,,0.0,2.9,
267,T001027,344400 ,2021JJ00,0.0,3.2,,0.0,3.2,
268,T001027,344400 ,2022JJ00,0.0,2.5,,0.0,2.5,
269,T001027,344400 ,2023JJ00,0.1,2.6,,0.1,2.6,
270,T001027,346600 ,2014JJ00,21.9,739.0,,399.5,361.5,
271,T001027,346600 ,2015JJ00,28.5,752.8,,404.5,376.8,
272,T001027,346600 ,2016JJ00,33.1,757.1,,418.0,372.2,
273,T001027,346600 ,2017JJ00,43.2,721.3,,411.4,353.2,
274,T001027,346600 ,2018JJ00,47.0,669.2,,394.0,322.2,
275,T001027,346600 ,2019JJ00,54.5,682.1,,413.5,323.1,
276,T001027,346600 ,2020JJ00,75.0,607.4,,393.2,289.2,
277,T001027,346600 ,2021JJ00,93.2,579.7,,382.7,290.2,
278,T001027,346600 ,2022JJ00,120.9,546.2,,386.2,280.9,
279,T001027,346600 ,2023JJ00,159.2,456.6,,376.9,239.0,
280,T001027,348000 ,2014JJ00,0.0,144.2,,83.4,60.9,
281,T001027,348000 ,2015JJ00,0.0,142.6,,80.7,61.9,
282,T001027,348000 ,2016JJ00,0.0,149.7,,83.2,66.5,
283,T001027,348000 ,2017JJ00,0.0,151.3,,85.9,65.4,
284,T001027,348000 ,2018JJ00,0.1,149.0,,80.7,68.4,
285,T001027,348000 ,2019JJ00,0.1,146.9,,79.9,67.1,
286,T001027,348000 ,2020JJ00,0.3,151.4,,84.4,67.2,
287,T001027,348000 ,2021JJ00,0.4,160.6,,90.8,70.2,
288,T001027,348000 ,2022JJ00,0.5,150.8,,86.7,64.7,
