ID,Persoonskenmerken,Perioden,k_20UurOfMeerPerWeek_1,k_10Tot20UurPerWeek_2,k_5Tot10UurPerWeek_3,k_1Tot5UurPerWeek_4,MinderDan1UurPerWeek_5,KijktDagelijksTelevisiejournaal_6,AbonnementDagblad_7,LeestDagelijksDeKrant_8,LeestWelEensEenBoek_9,JaEnGeleendAfgelopen2Maanden_10,JaEnNietGeleendAfgelopen2Maanden_11,HuishoudensMetPcMetInternet_12,HuishoudensMetPcZonderInternet_13,HuishoudensZonderPc_14,PersonenMetThuisPcMetInternet_15,PersonenMetThuisPcZonderInternet_16,PersonenZonderPc_17,HuishoudensMetToegangTotInternet_18,PCEnOpAndereWijze_19,AlleenViaPc_20,AlleenOpAndereWijze_21,ViaDesktopMinitower_22,ViaLaptop_23,OpAndereWijze_24,AnaloogModem_25,ISDN_26,BreedbandKabel_27,AndereBreedband_28,OpAndereWijze_29,PersonenMetThuisToegangTotInternet_30,ViaPcEnOpAnderWijze_31,AlleenViaPc_32,AlleenOpAndereWijze_33,ViaDesktopMinitower_34,ViaLaptop_35,ViaMobieleTelefoon_36,OpAndereWijze_37,AnaloogModem_38,ISDN_39,Kabel_40,AndereBreedband_41,OpAndereWijze_42,GeenInteresseNietZinvol_43,GeenPcGeenGeschiktePcVoorInternet_44,InternetgebruikTeDuur_45,BenodigdeApparatuurTeDuur_46,GeenKennisVaardigheden_47,VoeltZichTeOud_48,GeenTijdOmDezeTeGebruiken_49,HeeftMogelijkheidEldersTeInternetten_50,BezorgdOmPrivacyEnOfVeiligheid_51,GeenSpecialeReden_52,AndereReden_53,HeeftEenPersonalComputerGebruikt_54,VanAlleInwonersNederlandVanaf12Jr_55,VanDePersonalComputerGebruikers_56,VanAlleInwonersNederlandVanaf12Jr_57,VanDegenenDieThuisEenPcBezitten_58,VoorPriveDoeleinden_59,VoorHetWerk_60,ZowelVoorPriveEnWerkDoeleinden_61,Dagelijks_62,EenKeerPerWeek_63,EenKeerPerMaand_64,HelemaalNiet_65,HeeftEldersPcGebruikt_66,HeeftPcBijOpleidingsinstGebruikt_67,Dagelijks_68,EenKeerPerWeek_69,EenKeerPerMaand_70,HelemaalNiet_71,HeeftPcErgensAndersGebruikt_72,HeeftOoitGeinternetEnOfGeeMaild_73,HeeftInternetInDeAfg4WknGebruikt_74,VanAlleInwonersNederlandVanaf12Jr_75,VanDeInternetgebruikers_76,VanAlleInwonersNederlandVanaf12Jr_77,VanDegeneDieThuisInternetBezitten_78,VoorPriveDoeleinden_79,VoorHetWerk_80,ZowelVoorPriveAlsWerkDoeleinden_81,Dagelijks_82,EenKeerPerWeek_83,EenKeerPerMaand_84,HelemaalNiet_85,SurfenHalenVanGratisInformatie_86,EMailen_87,DownloadenSoftware_88,ElektronischWinkelen_89,AndereActiviteiten_90,HeeftEldersInternetGebruikt_91,HeeftInternetBijOplInstGebruikt_92,Dagelijks_93,EenKeerPerWeek_94,EenKeerPerMaand_95,HelemaalNiet_96,HeeftInternetErgensAndersGebruikt_97,BijEenCommercieleInstelling_98,BijEenOpenbaarGebouw_99,BijBurenVriendenOfFamilie_100,AnderePlaats_101,Dagelijks_102,EenKeerPerWeek_103,EenKeerPerMaand_104,EMailen_105,ChattenTelefoneren_106,ZomaarWatSurfen_107,HeeftSpecifiekeInformatieGezocht_108,OnderwijsOpleiding_109,ActualiteitNieuws_110,Gezondheid_111,CommercieleProductenDiensten_112,WerkVacatures_113,IetsAnders_114,HeeftGratisSoftwareGedownload_115,Spelletjes_116,Muziek_117,AndereSoftware_118,HeeftSiteSVanDeOverheidBezocht_119,VanAlleInwonersNederlandVanaf12Jr_120,VanDegenenDieThuisInternetHebben_121,VanDeInternetgebruikers_122,VanAlleInwonersNederlandVanaf12Jr_123,VanDegenenDieThuisInternetHebben_124,VanDeInternetgebruikers_125,ReizenVakantiesAccommodaties_126,VideoSDvdSMuziek_127,LiteratuurBoekenTijdschriften_128,Levensmiddelen_129,AandFinanDienstverlVerzekering_130,Software_131,HardwareElektronischeApparaten_132,KledingSportartikelen_133,KaartjesVoorEvenemConcVoorstel_134,AndereGoederen_135,AfgelopenVierWeken_136,LangerDan4WknKorterDan2MndGel_137,TweeADrieMaandenGeleden_138,GemiddeldBedragLaatsteAankoop_139,HeeftCreditcardGegevensDoorgegeven_140,GeenBehoefte_141,WilHetProductZelfZien_142,UitGewoonte_143,VanwegeVeiligheidPrivacy_144,NietVerkrijgbaarGeenVertrOngerust_145,HeeftErGeenErvaringMee_146,GeenComputerInternetverbinding_147,AndereRedenen_148
10, 10,2007JJ00,29.0,37.0,20.0,11.0,3.0,70.0,50.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11, 10,2008JJ00,30.0,37.0,19.0,11.0,3.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, 11,1997JJ00,30.0,37.0,19.0,11.0,3.0,77.0,64.0,70.0,47.0,22.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, 11,1998JJ00,30.0,38.0,19.0,10.0,3.0,78.0,63.0,68.0,,21.0,10.0,,,,18.0,45.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 11,1999JJ00,30.0,37.0,19.0,11.0,3.0,77.0,62.0,67.0,,20.0,9.0,,,,29.0,39.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 11,2000JJ00,30.0,38.0,19.0,10.0,3.0,75.0,62.0,68.0,,20.0,11.0,,,,48.0,25.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 11,2001JJ00,31.0,38.0,18.0,10.0,3.0,77.0,60.0,66.0,43.0,18.0,10.0,,,,59.0,18.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, 11,2002JJ00,29.0,39.0,19.0,10.0,3.0,78.0,59.0,67.0,,18.0,11.0,,,,67.0,14.0,19.0,,,,,,,,,,,,,69.0,18.0,80.0,2.0,95.0,18.0,15.0,2.0,56.0,18.0,22.0,5.0,2.0,37.0,23.0,12.0,5.0,7.0,8.0,2.0,8.0,2.0,5.0,14.0,77.0,13.0,17.0,69.0,86.0,49.0,6.0,46.0,44.0,36.0,6.0,14.0,61.0,45.0,11.0,27.0,7.0,55.0,22.0,73.0,66.0,5.0,7.0,57.0,83.0,61.0,3.0,36.0,34.0,41.0,8.0,17.0,,,,,,46.0,33.0,6.0,19.0,8.0,67.0,14.0,11.0,10.0,74.0,21.0,11.0,43.0,45.0,79.0,19.0,40.0,83.0,22.0,47.0,17.0,56.0,21.0,57.0,32.0,11.0,21.0,18.0,22.0,32.0,44.0,48.0,17.0,23.0,25.0,30.0,28.0,31.0,6.0,12.0,14.0,21.0,18.0,18.0,23.0,61.0,24.0,15.0,273.0,29.0,46.0,30.0,6.0,28.0,10.0,7.0,4.0,6.0
18, 11,2003JJ00,29.0,38.0,19.0,11.0,3.0,76.0,57.0,65.0,39.0,16.0,10.0,,,,71.0,11.0,18.0,,,,,,,,,,,,,72.0,19.0,80.0,2.0,93.0,19.0,15.0,2.0,46.0,16.0,27.0,11.0,2.0,35.0,29.0,11.0,5.0,8.0,8.0,3.0,9.0,2.0,6.0,12.0,78.0,14.0,18.0,71.0,88.0,50.0,6.0,44.0,48.0,33.0,6.0,12.0,61.0,54.0,15.0,29.0,10.0,46.0,21.0,75.0,69.0,5.0,8.0,61.0,85.0,60.0,5.0,35.0,39.0,38.0,7.0,15.0,,,,,,48.0,41.0,11.0,22.0,8.0,59.0,15.0,12.0,8.0,74.0,20.0,12.0,43.0,45.0,80.0,22.0,40.0,84.0,25.0,52.0,17.0,59.0,19.0,53.0,36.0,10.0,24.0,20.0,26.0,37.0,49.0,52.0,20.0,26.0,28.0,34.0,26.0,31.0,3.0,11.0,16.0,24.0,17.0,20.0,28.0,60.0,24.0,16.0,289.0,32.0,51.0,30.0,8.0,29.0,15.0,10.0,5.0,7.0
19, 11,2004JJ00,31.0,39.0,18.0,9.0,3.0,76.0,56.0,65.0,,15.0,11.0,,,,76.0,9.0,16.0,,,,,,,,,,,,,77.0,21.0,78.0,1.0,94.0,24.0,16.0,2.0,31.0,14.0,31.0,23.0,3.0,33.0,32.0,10.0,6.0,10.0,9.0,3.0,12.0,1.0,6.0,13.0,80.0,15.0,19.0,74.0,88.0,48.0,4.0,47.0,53.0,31.0,4.0,12.0,62.0,55.0,15.0,32.0,8.0,45.0,22.0,78.0,72.0,6.0,9.0,66.0,86.0,58.0,4.0,38.0,44.0,36.0,5.0,14.0,,,,,,50.0,43.0,12.0,24.0,7.0,57.0,16.0,9.0,11.0,78.0,18.0,12.0,48.0,39.0,82.0,26.0,43.0,86.0,24.0,55.0,20.0,62.0,23.0,53.0,39.0,11.0,25.0,23.0,29.0,43.0,53.0,58.0,25.0,31.0,34.0,37.0,27.0,29.0,4.0,13.0,18.0,25.0,17.0,23.0,31.0,62.0,21.0,17.0,363.0,34.0,54.0,27.0,8.0,27.0,16.0,10.0,3.0,8.0
20, 11,2005JJ00,30.0,39.0,18.0,10.0,3.0,75.0,52.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21, 11,2006JJ00,28.0,38.0,21.0,11.0,2.0,72.0,52.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22, 11,2007JJ00,28.0,36.0,21.0,11.0,3.0,72.0,50.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23, 11,2008JJ00,28.0,38.0,20.0,11.0,3.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24, 12,1997JJ00,33.0,36.0,18.0,11.0,3.0,76.0,61.0,61.0,61.0,35.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25, 12,1998JJ00,33.0,37.0,18.0,9.0,3.0,76.0,61.0,61.0,,35.0,10.0,,,,14.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26, 12,1999JJ00,33.0,36.0,18.0,10.0,3.0,74.0,60.0,60.0,,35.0,10.0,,,,24.0,39.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27, 12,2000JJ00,33.0,36.0,18.0,10.0,3.0,75.0,59.0,63.0,,34.0,10.0,,,,42.0,25.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28, 12,2001JJ00,33.0,36.0,19.0,10.0,3.0,76.0,58.0,60.0,60.0,32.0,10.0,,,,53.0,19.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29, 12,2002JJ00,33.0,36.0,19.0,10.0,3.0,79.0,58.0,60.0,,30.0,11.0,,,,61.0,14.0,25.0,,,,,,,,,,,,,61.0,12.0,86.0,2.0,93.0,16.0,9.0,1.0,57.0,20.0,21.0,2.0,2.0,34.0,24.0,11.0,6.0,6.0,12.0,2.0,7.0,2.0,6.0,11.0,64.0,7.0,11.0,55.0,74.0,60.0,7.0,34.0,26.0,37.0,12.0,26.0,44.0,46.0,10.0,26.0,9.0,54.0,15.0,60.0,51.0,2.0,4.0,43.0,70.0,73.0,3.0,24.0,20.0,36.0,14.0,30.0,,,,,,30.0,33.0,7.0,18.0,8.0,67.0,10.0,12.0,13.0,76.0,12.0,6.0,44.0,50.0,78.0,19.0,30.0,77.0,27.0,31.0,28.0,39.0,19.0,55.0,16.0,4.0,11.0,5.0,12.0,21.0,31.0,38.0,11.0,16.0,20.0,29.0,18.0,35.0,7.0,5.0,4.0,8.0,32.0,17.0,19.0,53.0,24.0,23.0,194.0,16.0,48.0,33.0,5.0,25.0,9.0,9.0,4.0,6.0
30, 12,2003JJ00,33.0,36.0,18.0,10.0,3.0,76.0,56.0,58.0,55.0,30.0,13.0,,,,66.0,11.0,23.0,,,,,,,,,,,,,65.0,14.0,85.0,1.0,94.0,16.0,10.0,1.0,49.0,18.0,26.0,7.0,2.0,32.0,30.0,13.0,6.0,9.0,12.0,2.0,7.0,2.0,5.0,11.0,66.0,8.0,12.0,58.0,77.0,59.0,6.0,35.0,31.0,37.0,10.0,23.0,46.0,51.0,10.0,31.0,9.0,49.0,14.0,63.0,55.0,3.0,5.0,47.0,73.0,72.0,3.0,25.0,24.0,38.0,11.0,27.0,,,,,,33.0,37.0,7.0,21.0,9.0,63.0,10.0,9.0,10.0,83.0,12.0,8.0,45.0,47.0,80.0,22.0,30.0,80.0,27.0,34.0,30.0,40.0,21.0,49.0,17.0,5.0,13.0,5.0,16.0,25.0,37.0,44.0,13.0,19.0,23.0,32.0,18.0,32.0,3.0,4.0,6.0,8.0,34.0,20.0,23.0,54.0,28.0,18.0,208.0,23.0,54.0,39.0,8.0,28.0,11.0,11.0,5.0,5.0
