ID,Geslacht,Leeftijd,Cijfersoort,RegioS,LevensverwInGoedErvarenGezondheid_1,LevensverwZonderLichBeperkingen_2,LevensverwZonderChronischeZiektes_3
54,2,6 ,1,LD04,42.8,49.5,30.5
55,2,6 ,2,NL01,0.1,0.2,0.2
56,2,6 ,2,LD01,0.4,0.5,0.7
57,2,6 ,2,LD02,0.3,0.4,0.5
58,2,6 ,2,LD03,0.2,0.2,0.3
59,2,6 ,2,LD04,0.3,0.4,0.5
60,2,7 ,1,NL01,39.8,45.4,27.6
61,2,7 ,1,LD01,40.1,45.6,26.8
62,2,7 ,1,LD02,39.9,45.3,28.1
63,2,7 ,1,LD03,40.3,45.8,28.0
64,2,7 ,1,LD04,38.4,44.7,26.7
65,2,7 ,2,NL01,0.1,0.2,0.2
66,2,7 ,2,LD01,0.4,0.5,0.7
67,2,7 ,2,LD02,0.3,0.4,0.5
68,2,7 ,2,LD03,0.2,0.2,0.3
69,2,7 ,2,LD04,0.3,0.4,0.5
70,2,8 ,1,NL01,35.3,40.7,23.8
71,2,8 ,1,LD01,35.7,40.9,23.1
72,2,8 ,1,LD02,35.4,40.6,24.2
73,2,8 ,1,LD03,35.8,41.0,24.1
74,2,8 ,1,LD04,34.0,40.0,22.9
75,2,8 ,2,NL01,0.1,0.2,0.2
76,2,8 ,2,LD01,0.4,0.5,0.6
77,2,8 ,2,LD02,0.3,0.4,0.5
78,2,8 ,2,LD03,0.2,0.2,0.3
79,2,8 ,2,LD04,0.3,0.4,0.4
80,2,9 ,1,NL01,30.9,35.9,20.1
81,2,9 ,1,LD01,31.3,36.1,19.7
82,2,9 ,1,LD02,31.0,35.8,20.4
83,2,9 ,1,LD03,31.4,36.2,20.4
84,2,9 ,1,LD04,29.6,35.2,19.4
85,2,9 ,2,NL01,0.1,0.2,0.2
86,2,9 ,2,LD01,0.4,0.5,0.6
87,2,9 ,2,LD02,0.3,0.4,0.4
88,2,9 ,2,LD03,0.2,0.2,0.3
89,2,9 ,2,LD04,0.3,0.4,0.4
90,2,10,1,NL01,26.6,31.2,16.7
91,2,10,1,LD01,27.1,31.5,16.2
92,2,10,1,LD02,26.7,31.1,17.1
93,2,10,1,LD03,27.2,31.6,17.1
94,2,10,1,LD04,25.3,30.5,15.9
95,2,10,2,NL01,0.1,0.2,0.2
96,2,10,2,LD01,0.4,0.5,0.6
97,2,10,2,LD02,0.3,0.4,0.4
98,2,10,2,LD03,0.2,0.2,0.3
99,2,10,2,LD04,0.3,0.4,0.4
100,2,11,1,NL01,22.6,26.7,13.5
101,2,11,1,LD01,23.0,26.9,13.3
102,2,11,1,LD02,22.6,26.6,13.8
103,2,11,1,LD03,23.1,27.1,13.8
104,2,11,1,LD04,21.3,26.0,12.7
105,2,11,2,NL01,0.1,0.2,0.2
106,2,11,2,LD01,0.4,0.5,0.6
107,2,11,2,LD02,0.3,0.4,0.4
108,2,11,2,LD03,0.2,0.2,0.3
109,2,11,2,LD04,0.2,0.3,0.4
110,2,12,1,NL01,18.8,22.6,10.8
111,2,12,1,LD01,19.1,22.8,10.4
112,2,12,1,LD02,18.8,22.5,11.0
113,2,12,1,LD03,19.4,22.9,11.1
114,2,12,1,LD04,17.6,22.0,10.0
115,2,12,2,NL01,0.1,0.2,0.2
116,2,12,2,LD01,0.3,0.5,0.5
117,2,12,2,LD02,0.2,0.4,0.4
118,2,12,2,LD03,0.2,0.2,0.3
119,2,12,2,LD04,0.2,0.3,0.4
120,2,13,1,NL01,15.4,18.7,8.4
121,2,13,1,LD01,15.8,18.7,8.1
122,2,13,1,LD02,15.4,18.8,8.6
123,2,13,1,LD03,15.9,19.0,8.7
124,2,13,1,LD04,14.5,18.2,7.7
125,2,13,2,NL01,0.1,0.2,0.2
126,2,13,2,LD01,0.3,0.5,0.5
127,2,13,2,LD02,0.2,0.3,0.4
128,2,13,2,LD03,0.2,0.2,0.3
129,2,13,2,LD04,0.2,0.3,0.3
130,2,14,1,NL01,12.4,15.1,6.3
131,2,14,1,LD01,12.8,15.3,6.4
132,2,14,1,LD02,12.3,15.0,6.4
133,2,14,1,LD03,12.8,15.3,6.5
134,2,14,1,LD04,11.7,14.6,5.6
135,2,14,2,NL01,0.1,0.2,0.2
136,2,14,2,LD01,0.3,0.5,0.5
137,2,14,2,LD02,0.2,0.3,0.4
138,2,14,2,LD03,0.2,0.2,0.2
139,2,14,2,LD04,0.2,0.3,0.3
140,2,15,1,NL01,9.7,11.6,4.6
141,2,15,1,LD01,10.0,11.8,4.6
142,2,15,1,LD02,9.6,11.6,5.0
143,2,15,1,LD03,9.9,11.7,4.7
144,2,15,1,LD04,9.1,11.0,4.0
145,2,15,2,NL01,0.1,0.2,0.2
146,2,15,2,LD01,0.3,0.5,0.5
147,2,15,2,LD02,0.2,0.3,0.3
148,2,15,2,LD03,0.2,0.2,0.2
149,2,15,2,LD04,0.2,0.3,0.3
150,2,16,1,NL01,7.1,8.5,3.3
151,2,16,1,LD01,7.4,9.0,3.3
152,2,16,1,LD02,6.9,8.4,3.4
153,2,16,1,LD03,7.3,8.6,3.5
154,2,16,1,LD04,6.6,7.9,2.8
155,2,16,2,NL01,0.1,0.2,0.1
156,2,16,2,LD01,0.3,0.5,0.4
157,2,16,2,LD02,0.2,0.3,0.3
158,2,16,2,LD03,0.2,0.2,0.2
159,2,16,2,LD04,0.2,0.3,0.3
160,2,17,1,NL01,5.1,6.0,2.3
161,2,17,1,LD01,5.4,6.6,2.4
162,2,17,1,LD02,5.0,6.0,2.3
163,2,17,1,LD03,5.3,6.1,2.4
164,2,17,1,LD04,4.6,5.4,1.9
165,2,17,2,NL01,0.1,0.2,0.1
166,2,17,2,LD01,0.3,0.5,0.4
167,2,17,2,LD02,0.2,0.4,0.3
168,2,17,2,LD03,0.2,0.2,0.2
169,2,17,2,LD04,0.2,0.3,0.3
170,2,18,1,NL01,3.6,3.9,1.6
171,2,18,1,LD01,3.8,4.4,1.6
172,2,18,1,LD02,3.5,3.9,1.5
173,2,18,1,LD03,3.7,3.9,1.7
174,2,18,1,LD04,3.4,3.6,1.5
175,2,18,2,NL01,0.1,0.2,0.2
176,2,18,2,LD01,0.3,0.5,0.5
177,2,18,2,LD02,0.2,0.4,0.3
178,2,18,2,LD03,0.2,0.3,0.2
179,2,18,2,LD04,0.2,0.4,0.3
180,3,1 ,1,NL01,61.8,68.3,42.0
181,3,1 ,1,LD01,62.8,68.1,42.0
182,3,1 ,1,LD02,61.9,68.4,41.9
183,3,1 ,1,LD03,61.9,68.6,42.4
184,3,1 ,1,LD04,60.9,67.8,41.4
185,3,1 ,2,NL01,0.2,,0.3
186,3,1 ,2,LD01,0.5,,0.8
187,3,1 ,2,LD02,0.3,,0.6
188,3,1 ,2,LD03,0.2,,0.4
189,3,1 ,2,LD04,0.3,,0.5
190,3,2 ,1,NL01,61.1,67.6,41.3
191,3,2 ,1,LD01,62.1,67.3,41.3
192,3,2 ,1,LD02,61.1,67.7,41.1
193,3,2 ,1,LD03,61.2,67.9,41.6
194,3,2 ,1,LD04,60.2,67.0,40.6
195,3,2 ,2,NL01,0.2,,0.3
196,3,2 ,2,LD01,0.5,,0.8
197,3,2 ,2,LD02,0.3,,0.6
198,3,2 ,2,LD03,0.2,,0.4
199,3,2 ,2,LD04,0.3,,0.6
200,3,3 ,1,NL01,57.4,63.7,37.8
201,3,3 ,1,LD01,58.4,63.4,37.8
202,3,3 ,1,LD02,57.5,63.7,37.7
203,3,3 ,1,LD03,57.5,64.0,38.1
204,3,3 ,1,LD04,56.4,63.1,37.1
205,3,3 ,2,NL01,0.2,,0.3
206,3,3 ,2,LD01,0.5,,0.8
207,3,3 ,2,LD02,0.3,,0.6
208,3,3 ,2,LD03,0.2,,0.4
209,3,3 ,2,LD04,0.3,,0.5
210,3,4 ,1,NL01,52.7,58.7,33.4
211,3,4 ,1,LD01,53.7,58.4,33.4
212,3,4 ,1,LD02,52.7,58.8,33.5
213,3,4 ,1,LD03,52.8,59.0,33.7
214,3,4 ,1,LD04,51.6,58.1,32.7
215,3,4 ,2,NL01,0.2,0.2,0.2
216,3,4 ,2,LD01,0.5,0.6,0.7
217,3,4 ,2,LD02,0.3,0.5,0.6
218,3,4 ,2,LD03,0.2,0.3,0.4
219,3,4 ,2,LD04,0.3,0.5,0.5
220,3,5 ,1,NL01,48.0,53.9,29.3
221,3,5 ,1,LD01,49.0,53.6,29.2
222,3,5 ,1,LD02,48.1,53.9,29.2
223,3,5 ,1,LD03,48.2,54.2,29.6
224,3,5 ,1,LD04,47.0,53.3,28.6
225,3,5 ,2,NL01,0.1,0.2,0.2
226,3,5 ,2,LD01,0.5,0.6,0.7
227,3,5 ,2,LD02,0.3,0.5,0.6
228,3,5 ,2,LD03,0.2,0.3,0.4
229,3,5 ,2,LD04,0.3,0.5,0.5
230,3,6 ,1,NL01,43.7,49.1,25.8
231,3,6 ,1,LD01,44.6,48.7,25.8
232,3,6 ,1,LD02,43.8,49.1,25.8
233,3,6 ,1,LD03,43.9,49.4,26.1
234,3,6 ,1,LD04,42.8,48.4,25.2
235,3,6 ,2,NL01,0.1,0.2,0.2
236,3,6 ,2,LD01,0.4,0.6,0.7
237,3,6 ,2,LD02,0.3,0.5,0.5
238,3,6 ,2,LD03,0.2,0.3,0.3
239,3,6 ,2,LD04,0.3,0.5,0.5
240,3,7 ,1,NL01,39.5,44.3,22.7
241,3,7 ,1,LD01,40.4,44.0,22.7
242,3,7 ,1,LD02,39.5,44.3,22.6
243,3,7 ,1,LD03,39.7,44.6,23.0
244,3,7 ,1,LD04,38.6,43.7,22.2
245,3,7 ,2,NL01,0.1,0.2,0.2
246,3,7 ,2,LD01,0.4,0.6,0.7
247,3,7 ,2,LD02,0.3,0.5,0.5
248,3,7 ,2,LD03,0.2,0.3,0.3
249,3,7 ,2,LD04,0.3,0.4,0.5
250,3,8 ,1,NL01,35.2,39.5,19.7
251,3,8 ,1,LD01,36.0,39.2,19.7
252,3,8 ,1,LD02,35.2,39.5,19.6
253,3,8 ,1,LD03,35.4,39.9,20.0
254,3,8 ,1,LD04,34.3,39.0,19.2
255,3,8 ,2,NL01,0.1,0.2,0.2
256,3,8 ,2,LD01,0.4,0.6,0.6
257,3,8 ,2,LD02,0.3,0.5,0.5
258,3,8 ,2,LD03,0.2,0.3,0.3
259,3,8 ,2,LD04,0.3,0.4,0.5
260,3,9 ,1,NL01,31.0,34.8,16.8
261,3,9 ,1,LD01,31.8,34.7,16.7
262,3,9 ,1,LD02,31.1,34.9,16.9
263,3,9 ,1,LD03,31.2,35.2,16.9
264,3,9 ,1,LD04,30.2,34.2,16.2
265,3,9 ,2,NL01,0.1,0.2,0.2
266,3,9 ,2,LD01,0.4,0.6,0.6
267,3,9 ,2,LD02,0.3,0.5,0.5
268,3,9 ,2,LD03,0.2,0.3,0.3
269,3,9 ,2,LD04,0.3,0.4,0.4
270,3,10,1,NL01,27.0,30.3,14.0
271,3,10,1,LD01,27.7,30.1,13.9
272,3,10,1,LD02,27.0,30.3,14.2
273,3,10,1,LD03,27.1,30.6,14.1
274,3,10,1,LD04,26.2,29.6,13.6
275,3,10,2,NL01,0.1,0.2,0.2
276,3,10,2,LD01,0.4,0.6,0.6
277,3,10,2,LD02,0.3,0.5,0.4
278,3,10,2,LD03,0.2,0.3,0.3
279,3,10,2,LD04,0.3,0.4,0.4
280,3,11,1,NL01,23.1,25.9,11.5
281,3,11,1,LD01,23.8,25.7,11.0
282,3,11,1,LD02,23.1,25.8,11.4
283,3,11,1,LD03,23.3,26.3,11.6
284,3,11,1,LD04,22.4,25.2,11.2
285,3,11,2,NL01,0.1,0.2,0.2
286,3,11,2,LD01,0.4,0.6,0.6
287,3,11,2,LD02,0.3,0.5,0.4
288,3,11,2,LD03,0.2,0.3,0.3
289,3,11,2,LD04,0.3,0.4,0.4
290,3,12,1,NL01,19.6,21.9,9.1
291,3,12,1,LD01,20.2,21.7,8.7
292,3,12,1,LD02,19.5,21.8,9.0
293,3,12,1,LD03,19.9,22.1,9.3
294,3,12,1,LD04,18.9,21.4,9.0
295,3,12,2,NL01,0.1,0.2,0.2
296,3,12,2,LD01,0.4,0.6,0.5
297,3,12,2,LD02,0.3,0.5,0.4
298,3,12,2,LD03,0.2,0.3,0.3
299,3,12,2,LD04,0.3,0.4,0.4
300,3,13,1,NL01,16.4,18.1,7.3
301,3,13,1,LD01,17.1,17.9,6.8
302,3,13,1,LD02,16.3,18.1,7.3
303,3,13,1,LD03,16.6,18.4,7.6
304,3,13,1,LD04,15.7,17.6,7.1
305,3,13,2,NL01,0.1,0.2,0.2
306,3,13,2,LD01,0.4,0.6,0.5
307,3,13,2,LD02,0.3,0.4,0.4
308,3,13,2,LD03,0.2,0.3,0.2
309,3,13,2,LD04,0.3,0.4,0.4
310,3,14,1,NL01,13.5,14.5,5.7
311,3,14,1,LD01,14.0,14.3,5.1
312,3,14,1,LD02,13.2,14.3,5.5
313,3,14,1,LD03,13.7,14.9,5.8
314,3,14,1,LD04,12.9,14.2,5.7
315,3,14,2,NL01,0.1,0.2,0.2
316,3,14,2,LD01,0.4,0.6,0.5
317,3,14,2,LD02,0.3,0.4,0.4
318,3,14,2,LD03,0.2,0.3,0.2
319,3,14,2,LD04,0.3,0.4,0.4
320,3,15,1,NL01,10.6,10.9,4.1
321,3,15,1,LD01,11.0,10.7,3.7
322,3,15,1,LD02,10.4,10.9,3.9
323,3,15,1,LD03,10.8,11.2,4.3
324,3,15,1,LD04,10.1,10.7,4.1
325,3,15,2,NL01,0.1,0.2,0.2
326,3,15,2,LD01,0.4,0.6,0.4
327,3,15,2,LD02,0.3,0.4,0.4
328,3,15,2,LD03,0.2,0.3,0.2
329,3,15,2,LD04,0.2,0.4,0.3
330,3,16,1,NL01,8.0,7.7,2.9
331,3,16,1,LD01,8.6,7.6,2.7
332,3,16,1,LD02,7.8,7.5,2.7
333,3,16,1,LD03,8.2,7.9,3.1
334,3,16,1,LD04,7.5,7.4,2.8
335,3,16,2,NL01,0.1,0.2,0.1
336,3,16,2,LD01,0.3,0.6,0.4
337,3,16,2,LD02,0.3,0.4,0.3
338,3,16,2,LD03,0.2,0.2,0.2
339,3,16,2,LD04,0.2,0.4,0.3
340,3,17,1,NL01,5.9,4.9,2.1
341,3,17,1,LD01,6.1,4.6,1.5
342,3,17,1,LD02,5.8,4.7,2.3
343,3,17,1,LD03,6.1,5.1,2.3
344,3,17,1,LD04,5.5,4.7,1.9
345,3,17,2,NL01,0.1,0.2,0.1
346,3,17,2,LD01,0.3,0.6,0.4
347,3,17,2,LD02,0.2,0.4,0.3
348,3,17,2,LD03,0.1,0.2,0.2
349,3,17,2,LD04,0.2,0.4,0.3
350,3,18,1,NL01,4.3,3.0,1.5
351,3,18,1,LD01,4.4,2.9,0.9
352,3,18,1,LD02,4.2,3.1,1.8
353,3,18,1,LD03,4.3,3.0,1.6
354,3,18,1,LD04,4.0,3.1,1.5
355,3,18,2,NL01,0.1,0.2,0.1
356,3,18,2,LD01,0.3,0.6,0.4
357,3,18,2,LD02,0.2,0.4,0.4
358,3,18,2,LD03,0.1,0.2,0.2
359,3,18,2,LD04,0.2,0.4,0.3
