ID,NECSectoren,EmissiesNaarLucht,Perioden,EmissiesNaarLucht_1
165,A025447  ,A044112,2001JJ00,142.0
166,A025447  ,A044112,2002JJ00,138.5
167,A025447  ,A044112,2003JJ00,139.1
168,A025447  ,A044112,2004JJ00,131.4
169,A025447  ,A044112,2005JJ00,128.1
170,A025447  ,A044112,2006JJ00,121.1
171,A025447  ,A044112,2007JJ00,111.0
172,A025447  ,A044112,2008JJ00,110.2
173,A025447  ,A044112,2009JJ00,98.9
174,A025447  ,A044112,2010JJ00,105.7
175,A025447  ,A044112,2011JJ00,94.3
176,A025447  ,A044112,2012JJ00,90.8
177,A025447  ,A044112,2013JJ00,87.9
178,A025447  ,A044112,2014JJ00,77.6
179,A025447  ,A044112,2015JJ00,78.5
180,A025447  ,A044112,2016JJ00,72.3
181,A025447  ,A044112,2017JJ00,68.2
182,A025447  ,A044112,2018JJ00,65.3
183,A025447  ,A044112,2019JJ00,61.9
184,A025447  ,A044112,2020JJ00,56.4
185,A025447  ,A044112,2021JJ00,57.4
186,A025447  ,A044112,2022JJ00,51.7
187,A025447  ,A044112,2023JJ00,46.3
188,A025447  ,A044112,2024JJ00,45.4
189,A025447  ,A044114,1990JJ00,170.7
190,A025447  ,A044114,1995JJ00,109.7
191,A025447  ,A044114,2000JJ00,63.1
192,A025447  ,A044114,2001JJ00,67.1
193,A025447  ,A044114,2002JJ00,60.6
194,A025447  ,A044114,2003JJ00,56.4
195,A025447  ,A044114,2004JJ00,59.1
196,A025447  ,A044114,2005JJ00,57.9
197,A025447  ,A044114,2006JJ00,58.3
198,A025447  ,A044114,2007JJ00,55.3
199,A025447  ,A044114,2008JJ00,47.8
200,A025447  ,A044114,2009JJ00,35.4
201,A025447  ,A044114,2010JJ00,32.9
202,A025447  ,A044114,2011JJ00,33.3
203,A025447  ,A044114,2012JJ00,33.6
204,A025447  ,A044114,2013JJ00,29.3
205,A025447  ,A044114,2014JJ00,28.8
206,A025447  ,A044114,2015JJ00,30.0
207,A025447  ,A044114,2016JJ00,27.9
208,A025447  ,A044114,2017JJ00,26.3
209,A025447  ,A044114,2018JJ00,24.4
210,A025447  ,A044114,2019JJ00,22.0
211,A025447  ,A044114,2020JJ00,19.0
212,A025447  ,A044114,2021JJ00,20.3
213,A025447  ,A044114,2022JJ00,19.0
214,A025447  ,A044114,2023JJ00,16.8
215,A025447  ,A044114,2024JJ00,15.2
