ID,AshoogtenWindmolens,Perioden,InGebruikGenomenWindmolens_1,UitGebruikGenomenWindmolens_2,OpgesteldeWindmolensEindeVanJaar_3,InGebruikGenomenRotoroppervlak_4,UitGebruikGenomenRotoroppervlak_5,OpgesteldRotoroppervlakEindeJaar_6,InGebruikGenomenVemogen_7,UitGebruikGenomenVermogen_8,OpgesteldVermogenEindeJaar_9,Elektriciteitsproductie_10,Productiefactor_11,ProductiePerRotoroppervlak_12,AantalVollasturen_13
22,A044968,2012JJ00,65.0,65.0,1882.0,353.0,104.0,4909.0,161.0,44.0,2205.0,4193.0,22.4,884.0,1968.0
23,A044968,2013JJ00,111.0,16.0,1977.0,789.0,39.0,5658.0,295.0,15.0,2485.0,4856.0,23.0,891.0,2013.0
24,A044968,2014JJ00,62.0,11.0,2028.0,394.0,35.0,6018.0,169.0,17.0,2637.0,5049.0,22.8,875.0,1996.0
25,A044968,2015JJ00,148.0,144.0,2032.0,1065.0,128.0,6953.0,454.0,59.0,3034.0,6420.0,25.6,986.0,2247.0
26,A044968,2016JJ00,98.0,88.0,2042.0,839.0,128.0,7663.0,323.0,56.0,3300.0,5901.0,21.0,794.0,1845.0
27,A044968,2017JJ00,64.0,125.0,1981.0,246.0,306.0,7605.0,84.0,139.0,3245.0,6869.0,24.2,908.0,2116.0
28,A044968,2018JJ00,66.0,18.0,2029.0,632.0,38.0,8199.0,207.0,16.0,3436.0,6918.0,23.7,877.0,2075.0
29,A044968,2019JJ00,49.0,46.0,2032.0,485.0,168.0,8515.0,159.0,68.0,3527.0,7935.0,25.9,943.0,2265.0
30,A044968,2020JJ00,206.0,88.0,2150.0,2252.0,212.0,10555.0,745.0,84.0,4188.0,9794.0,29.0,1035.0,2549.0
31,A044968,2021JJ00,285.0,127.0,2308.0,3673.0,328.0,13900.0,1147.0,149.0,5186.0,10058.0,24.2,809.0,2122.0
32,A044968,2022JJ00,257.0,119.0,2446.0,3522.0,323.0,17099.0,1085.0,141.0,6131.0,13440.0,27.3,873.0,2388.0
33,A044968,2023JJ00,133.0,88.0,2491.0,2244.0,252.0,19091.0,670.0,109.0,6692.0,17842.0,31.7,981.0,2776.0
34,A044968,2024JJ00,56.0,30.0,2517.0,1005.0,83.0,20013.0,301.0,39.0,6955.0,18021.0,29.7,909.0,2613.0
35,A044969,1990JJ00,37.0,,249.0,16.0,,68.0,8.0,,33.0,,,,
36,A044969,1991JJ00,115.0,37.0,327.0,54.0,14.0,109.0,32.0,8.0,58.0,,,,
37,A044969,1992JJ00,34.0,11.0,350.0,18.0,1.0,126.0,8.0,0.0,66.0,,,,
38,A044969,1993JJ00,60.0,8.0,402.0,30.0,1.0,156.0,14.0,0.0,80.0,,,,
39,A044969,1994JJ00,21.0,11.0,412.0,11.0,1.0,165.0,4.0,0.0,83.0,,,,
40,A044969,1995JJ00,31.0,33.0,410.0,18.0,11.0,172.0,6.0,5.0,84.0,,,,
41,A044969,1996JJ00,9.0,18.0,401.0,5.0,4.0,172.0,2.0,2.0,84.0,,,,
42,A044969,1997JJ00,3.0,55.0,349.0,1.0,25.0,149.0,0.0,14.0,71.0,,,,
43,A044969,1998JJ00,5.0,15.0,339.0,3.0,4.0,148.0,1.0,2.0,70.0,,,,
44,A044969,1999JJ00,5.0,4.0,340.0,3.0,1.0,150.0,1.0,0.0,70.0,,,,
45,A044969,2000JJ00,,5.0,335.0,,2.0,148.0,,1.0,69.0,,,,
46,A044969,2001JJ00,,6.0,329.0,,2.0,147.0,,1.0,69.0,,,,
47,A044969,2002JJ00,2.0,3.0,328.0,1.0,0.0,147.0,0.0,0.0,69.0,118.0,19.4,802.0,1703.0
48,A044969,2003JJ00,1.0,10.0,319.0,0.0,3.0,144.0,0.0,1.0,68.0,95.0,15.8,653.0,1384.0
49,A044969,2004JJ00,3.0,23.0,299.0,2.0,9.0,137.0,1.0,4.0,65.0,105.0,18.4,762.0,1615.0
50,A044969,2005JJ00,3.0,15.0,287.0,1.0,4.0,134.0,0.0,2.0,63.0,82.0,14.6,606.0,1280.0
51,A044969,2006JJ00,,18.0,269.0,,7.0,127.0,,3.0,60.0,97.0,18.0,745.0,1574.0
52,A044969,2007JJ00,1.0,47.0,223.0,1.0,24.0,104.0,0.0,11.0,49.0,101.0,19.8,822.0,1734.0
53,A044969,2008JJ00,1.0,21.0,203.0,0.0,9.0,95.0,0.0,5.0,45.0,82.0,20.4,845.0,1794.0
54,A044969,2009JJ00,1.0,11.0,193.0,0.0,3.0,92.0,0.0,1.0,44.0,66.0,17.0,704.0,1492.0
55,A044969,2010JJ00,6.0,4.0,195.0,0.0,2.0,91.0,0.0,1.0,43.0,51.0,13.4,559.0,1177.0
56,A044969,2011JJ00,1.0,24.0,172.0,0.0,18.0,73.0,0.0,8.0,36.0,56.0,16.6,706.0,1451.0
57,A044969,2012JJ00,,12.0,160.0,,5.0,68.0,,2.0,34.0,46.0,15.5,675.0,1366.0
58,A044969,2013JJ00,,,160.0,,,68.0,,,34.0,43.0,14.5,626.0,1268.0
59,A044969,2014JJ00,2.0,,162.0,0.0,,69.0,0.0,,34.0,36.0,12.1,524.0,1062.0
60,A044969,2015JJ00,,59.0,103.0,,26.0,43.0,,16.0,18.0,32.0,13.5,563.0,1186.0
61,A044969,2016JJ00,2.0,15.0,90.0,0.0,6.0,36.0,0.0,3.0,15.0,19.0,13.2,487.0,1163.0
62,A044969,2017JJ00,21.0,25.0,86.0,2.0,12.0,26.0,0.0,5.0,10.0,16.0,17.5,585.0,1535.0
63,A044969,2018JJ00,0.0,1.0,85.0,0.0,0.0,26.0,0.0,0.0,10.0,15.0,16.9,562.0,1484.0
64,A044969,2019JJ00,0.0,0.0,85.0,0.0,0.0,26.0,0.0,0.0,10.0,16.0,18.8,625.0,1649.0
65,A044969,2020JJ00,0.0,7.0,78.0,0.0,3.0,23.0,0.0,1.0,9.0,16.0,20.0,670.0,1758.0
66,A044969,2021JJ00,0.0,2.0,76.0,,,23.0,0.0,0.0,9.0,13.0,16.7,558.0,1459.0
67,A044969,2022JJ00,1.0,6.0,71.0,0.0,1.0,22.0,0.0,1.0,9.0,12.0,15.9,532.0,1395.0
68,A044969,2023JJ00,0.0,3.0,68.0,0.0,1.0,21.0,0.0,1.0,8.0,13.0,17.8,592.0,1562.0
69,A044969,2024JJ00,0.0,3.0,65.0,0.0,0.0,21.0,0.0,0.0,8.0,11.0,16.2,536.0,1426.0
70,A044970,1990JJ00,33.0,,73.0,15.0,,33.0,6.0,,15.0,,,,
71,A044970,1991JJ00,28.0,,101.0,17.0,,50.0,9.0,,24.0,,,,
72,A044970,1992JJ00,54.0,9.0,146.0,30.0,7.0,73.0,14.0,4.0,34.0,,,,
73,A044970,1993JJ00,84.0,1.0,229.0,37.0,0.0,110.0,16.0,0.0,50.0,,,,
74,A044970,1994JJ00,85.0,4.0,310.0,50.0,2.0,158.0,19.0,1.0,68.0,,,,
75,A044970,1995JJ00,303.0,18.0,595.0,247.0,12.0,393.0,101.0,5.0,164.0,,,,
76,A044970,1996JJ00,109.0,6.0,698.0,95.0,1.0,486.0,37.0,0.0,200.0,,,,
77,A044970,1997JJ00,79.0,1.0,776.0,91.0,1.0,576.0,38.0,0.0,238.0,,,,
78,A044970,1998JJ00,21.0,2.0,795.0,29.0,2.0,604.0,11.0,1.0,249.0,,,,
79,A044970,1999JJ00,31.0,6.0,820.0,41.0,2.0,643.0,17.0,1.0,265.0,,,,
80,A044970,2000JJ00,16.0,4.0,832.0,17.0,1.0,659.0,6.0,0.0,271.0,,,,
81,A044970,2001JJ00,20.0,3.0,849.0,29.0,3.0,685.0,11.0,1.0,280.0,,,,
82,A044970,2002JJ00,13.0,37.0,825.0,22.0,28.0,679.0,8.0,13.0,276.0,481.0,20.1,714.0,1757.0
83,A044970,2003JJ00,56.0,40.0,841.0,116.0,13.0,782.0,47.0,5.0,317.0,462.0,17.7,630.0,1553.0
84,A044970,2004JJ00,53.0,85.0,809.0,112.0,60.0,833.0,46.0,28.0,335.0,609.0,20.8,739.0,1829.0
85,A044970,2005JJ00,42.0,53.0,798.0,82.0,36.0,878.0,34.0,15.0,354.0,614.0,20.1,710.0,1760.0
86,A044970,2006JJ00,24.0,13.0,809.0,45.0,6.0,917.0,19.0,2.0,371.0,707.0,21.9,777.0,1921.0
87,A044970,2007JJ00,15.0,10.0,814.0,28.0,11.0,933.0,12.0,4.0,378.0,774.0,23.8,845.0,2088.0
88,A044970,2008JJ00,8.0,14.0,808.0,15.0,12.0,936.0,7.0,4.0,380.0,777.0,23.4,835.0,2059.0
89,A044970,2009JJ00,5.0,107.0,706.0,9.0,85.0,861.0,3.0,35.0,348.0,666.0,20.1,716.0,1762.0
90,A044970,2010JJ00,4.0,23.0,687.0,7.0,28.0,839.0,3.0,14.0,337.0,546.0,18.5,652.0,1624.0
91,A044970,2011JJ00,6.0,8.0,685.0,11.0,11.0,839.0,4.0,4.0,337.0,689.0,23.4,823.0,2048.0
92,A044970,2012JJ00,10.0,39.0,656.0,19.0,40.0,818.0,8.0,15.0,330.0,632.0,21.7,771.0,1910.0
93,A044970,2013JJ00,6.0,11.0,651.0,13.0,14.0,816.0,5.0,5.0,330.0,658.0,22.8,807.0,1996.0
94,A044970,2014JJ00,11.0,3.0,659.0,19.0,5.0,830.0,9.0,2.0,337.0,637.0,21.8,773.0,1906.0
95,A044970,2015JJ00,28.0,74.0,613.0,62.0,74.0,818.0,24.0,30.0,332.0,702.0,24.3,864.0,2126.0
96,A044970,2016JJ00,4.0,42.0,575.0,8.0,34.0,791.0,4.0,15.0,320.0,543.0,19.1,679.0,1678.0
97,A044970,2017JJ00,19.0,34.0,560.0,41.0,42.0,791.0,16.0,16.0,320.0,587.0,21.2,752.0,1856.0
98,A044970,2018JJ00,0.0,7.0,553.0,0.0,7.0,784.0,0.0,3.0,318.0,544.0,19.5,693.0,1709.0
99,A044970,2019JJ00,2.0,11.0,544.0,3.0,19.0,768.0,2.0,8.0,312.0,584.0,21.4,762.0,1878.0
100,A044970,2020JJ00,4.0,39.0,509.0,6.0,27.0,746.0,3.0,10.0,304.0,631.0,23.7,848.0,2084.0
101,A044970,2021JJ00,1.0,62.0,448.0,,,680.0,1.0,27.0,278.0,489.0,19.8,707.0,1732.0
102,A044970,2022JJ00,10.0,47.0,411.0,16.0,65.0,631.0,9.0,27.0,260.0,485.0,20.9,754.0,1834.0
103,A044970,2023JJ00,6.0,17.0,400.0,12.0,7.0,636.0,5.0,3.0,262.0,556.0,24.1,870.0,2115.0
104,A044970,2024JJ00,2.0,7.0,395.0,0.0,5.0,631.0,0.0,2.0,260.0,496.0,21.7,784.0,1904.0
105,A044971,1990JJ00,,,1.0,,,2.0,,,1.0,,,,
106,A044971,1991JJ00,,,1.0,,,2.0,,,1.0,,,,
107,A044971,1992JJ00,,,1.0,,,2.0,,,1.0,,,,
108,A044971,1993JJ00,1.0,,2.0,1.0,,2.0,0.0,,1.0,,,,
109,A044971,1994JJ00,,,2.0,,,2.0,,,1.0,,,,
110,A044971,1995JJ00,2.0,1.0,3.0,4.0,2.0,4.0,2.0,1.0,2.0,,,,
111,A044971,1996JJ00,13.0,,16.0,23.0,,27.0,9.0,,11.0,,,,
112,A044971,1997JJ00,7.0,,23.0,11.0,,38.0,4.0,,15.0,,,,
113,A044971,1998JJ00,36.0,,59.0,72.0,,110.0,29.0,,45.0,,,,
114,A044971,1999JJ00,33.0,,92.0,70.0,,180.0,30.0,,74.0,,,,
115,A044971,2000JJ00,30.0,,122.0,69.0,,249.0,30.0,,104.0,,,,
116,A044971,2001JJ00,40.0,,162.0,92.0,,341.0,29.0,,134.0,,,,
117,A044971,2002JJ00,117.0,1.0,278.0,349.0,1.0,690.0,150.0,0.0,283.0,324.0,20.9,735.0,1831.0
118,A044971,2003JJ00,122.0,6.0,394.0,378.0,10.0,1058.0,160.0,4.0,440.0,636.0,19.5,703.0,1711.0
119,A044971,2004JJ00,87.0,4.0,477.0,218.0,7.0,1269.0,98.0,3.0,534.0,953.0,22.2,818.0,1952.0
120,A044971,2005JJ00,46.0,1.0,522.0,127.0,2.0,1394.0,57.0,1.0,591.0,1013.0,20.6,762.0,1800.0
121,A044971,2006JJ00,57.0,5.0,574.0,248.0,11.0,1630.0,120.0,5.0,706.0,1277.0,22.3,833.0,1951.0
122,A044971,2007JJ00,33.0,4.0,603.0,132.0,12.0,1750.0,58.0,5.0,759.0,1474.0,22.9,870.0,2010.0
123,A044971,2008JJ00,27.0,8.0,622.0,60.0,14.0,1796.0,23.0,5.0,777.0,1564.0,23.1,878.0,2027.0
124,A044971,2009JJ00,12.0,,634.0,27.0,,1823.0,11.0,,788.0,1430.0,20.9,791.0,1829.0
125,A044971,2010JJ00,11.0,1.0,644.0,25.0,3.0,1845.0,11.0,1.0,797.0,1224.0,17.6,664.0,1538.0
126,A044971,2011JJ00,12.0,10.0,646.0,41.0,37.0,1849.0,23.0,8.0,812.0,1564.0,22.3,853.0,1955.0
127,A044971,2012JJ00,12.0,9.0,649.0,41.0,28.0,1862.0,23.0,14.0,822.0,1482.0,20.7,800.0,1818.0
128,A044971,2013JJ00,2.0,5.0,646.0,8.0,25.0,1845.0,5.0,10.0,816.0,1518.0,21.3,823.0,1862.0
129,A044971,2014JJ00,1.0,7.0,640.0,2.0,26.0,1821.0,1.0,13.0,804.0,1437.0,20.3,786.0,1780.0
130,A044971,2015JJ00,5.0,10.0,635.0,20.0,25.0,1815.0,12.0,11.0,805.0,1636.0,23.3,905.0,2045.0
131,A044971,2016JJ00,4.0,22.0,617.0,27.0,49.0,1793.0,9.0,20.0,794.0,1278.0,18.4,714.0,1613.0
132,A044971,2017JJ00,6.0,27.0,596.0,25.0,97.0,1721.0,14.0,42.0,765.0,1312.0,19.2,746.0,1679.0
133,A044971,2018JJ00,6.0,8.0,594.0,14.0,19.0,1716.0,14.0,7.0,772.0,1260.0,18.7,733.0,1639.0
134,A044971,2019JJ00,7.0,25.0,576.0,27.0,77.0,1667.0,16.0,30.0,757.0,1321.0,19.5,772.0,1710.0
135,A044971,2020JJ00,3.0,30.0,549.0,12.0,87.0,1592.0,6.0,39.0,725.0,1403.0,22.1,883.0,1945.0
136,A044971,2021JJ00,1.0,44.0,506.0,,,1441.0,3.0,72.0,656.0,1010.0,16.8,668.0,1470.0
137,A044971,2022JJ00,0.0,53.0,453.0,0.0,207.0,1233.0,0.0,91.0,565.0,951.0,17.7,707.0,1547.0
138,A044971,2023JJ00,0.0,58.0,395.0,0.0,154.0,1079.0,0.0,75.0,490.0,921.0,20.3,811.0,1782.0
139,A044971,2024JJ00,1.0,10.0,386.0,5.0,18.0,1066.0,3.0,7.0,486.0,760.0,17.8,711.0,1562.0
140,A044972,1990JJ00,,,,,,,,,,,,,
141,A044972,1991JJ00,,,,,,,,,,,,,
142,A044972,1992JJ00,,,,,,,,,,,,,
143,A044972,1993JJ00,,,,,,,,,,,,,
144,A044972,1994JJ00,,,,,,,,,,,,,
145,A044972,1995JJ00,,,,,,,,,,,,,
146,A044972,1996JJ00,,,,,,,,,,,,,
147,A044972,1997JJ00,,,,,,,,,,,,,
148,A044972,1998JJ00,,,,,,,,,,,,,
149,A044972,1999JJ00,1.0,,1.0,2.0,,2.0,1.0,,1.0,,,,
150,A044972,2000JJ00,1.0,,2.0,4.0,,6.0,2.0,,2.0,,,,
151,A044972,2001JJ00,,,2.0,,,6.0,,,2.0,,,,
152,A044972,2002JJ00,21.0,,23.0,86.0,,92.0,42.0,,45.0,24.0,19.4,795.0,1698.0
153,A044972,2003JJ00,21.0,,44.0,72.0,,165.0,36.0,,81.0,127.0,20.9,895.0,1827.0
154,A044972,2004JJ00,25.0,,69.0,130.0,,295.0,61.0,,141.0,204.0,23.2,999.0,2042.0
155,A044972,2005JJ00,33.0,,102.0,161.0,,456.0,72.0,,214.0,357.0,22.7,947.0,1991.0
156,A044972,2006JJ00,36.0,,138.0,174.0,,630.0,90.0,,303.0,557.0,24.3,1019.0,2128.0
157,A044972,2007JJ00,71.0,,209.0,318.0,,947.0,135.0,,438.0,731.0,24.4,1020.0,2139.0
158,A044972,2008JJ00,20.0,1.0,228.0,106.0,4.0,1049.0,50.0,2.0,486.0,975.0,24.6,999.0,2158.0
159,A044972,2009JJ00,6.0,,234.0,34.0,,1083.0,14.0,,500.0,982.0,22.6,915.0,1983.0
160,A044972,2010JJ00,7.0,,241.0,26.0,,1109.0,16.0,,515.0,861.0,19.5,789.0,1707.0
161,A044972,2011JJ00,26.0,,267.0,160.0,,1268.0,67.0,,582.0,1195.0,24.7,999.0,2160.0
162,A044972,2012JJ00,19.0,5.0,281.0,104.0,30.0,1342.0,48.0,13.0,617.0,1215.0,23.2,937.0,2042.0
163,A044972,2013JJ00,34.0,,315.0,262.0,,1604.0,87.0,,703.0,1404.0,24.0,940.0,2105.0
164,A044972,2014JJ00,9.0,1.0,323.0,61.0,4.0,1662.0,28.0,2.0,729.0,1488.0,24.0,921.0,2100.0
165,A044972,2015JJ00,52.0,1.0,374.0,425.0,3.0,2083.0,140.0,2.0,868.0,1876.0,27.5,1034.0,2409.0
166,A044972,2016JJ00,19.0,9.0,384.0,149.0,39.0,2193.0,49.0,18.0,898.0,1805.0,23.3,843.0,2050.0
167,A044972,2017JJ00,6.0,36.0,354.0,21.0,138.0,2077.0,8.0,68.0,838.0,1924.0,25.5,905.0,2229.0
168,A044972,2018JJ00,20.0,0.0,374.0,200.0,0.0,2277.0,70.0,0.0,908.0,1866.0,24.7,871.0,2168.0
169,A044972,2019JJ00,5.0,7.0,372.0,33.0,44.0,2266.0,12.0,21.0,899.0,2102.0,26.3,917.0,2308.0
170,A044972,2020JJ00,20.0,1.0,391.0,93.0,2.0,2357.0,44.0,1.0,942.0,2416.0,29.5,1037.0,2592.0
171,A044972,2021JJ00,55.0,19.0,427.0,,,2872.0,216.0,50.0,1108.0,2095.0,23.7,809.0,2075.0
172,A044972,2022JJ00,44.0,12.0,459.0,513.0,42.0,3342.0,185.0,20.0,1273.0,2516.0,24.9,837.0,2179.0
173,A044972,2023JJ00,26.0,6.0,479.0,329.0,56.0,3615.0,100.0,17.0,1356.0,3496.0,29.9,985.0,2622.0
174,A044972,2024JJ00,0.0,9.0,470.0,0.0,53.0,3562.0,0.0,26.0,1329.0,3180.0,27.1,889.0,2380.0
175,A044973,1990JJ00,,,,,,,,,,,,,
176,A044973,1991JJ00,,,,,,,,,,,,,
177,A044973,1992JJ00,,,,,,,,,,,,,
178,A044973,1993JJ00,,,,,,,,,,,,,
179,A044973,1994JJ00,,,,,,,,,,,,,
180,A044973,1995JJ00,,,,,,,,,,,,,
181,A044973,1996JJ00,,,,,,,,,,,,,
182,A044973,1997JJ00,,,,,,,,,,,,,
183,A044973,1998JJ00,,,,,,,,,,,,,
184,A044973,1999JJ00,,,,,,,,,,,,,
185,A044973,2000JJ00,,,,,,,,,,,,,
186,A044973,2001JJ00,,,,,,,,,,,,,
187,A044973,2002JJ00,,,,,,,,,,,,,
188,A044973,2003JJ00,,,,,,,,,,,,,
189,A044973,2004JJ00,,,,,,,,,,,,,
190,A044973,2005JJ00,1.0,,1.0,7.0,,7.0,2.0,,2.0,1.0,21.2,616.0,621.0
191,A044973,2006JJ00,4.0,,5.0,25.0,,32.0,12.0,,14.0,28.0,22.0,853.0,1930.0
192,A044973,2007JJ00,3.0,1.0,7.0,16.0,7.0,41.0,7.0,2.0,19.0,29.0,22.6,864.0,1983.0
193,A044973,2008JJ00,75.0,,82.0,423.0,,464.0,217.0,,236.0,266.0,26.1,1099.0,2292.0
194,A044973,2009JJ00,28.0,,110.0,154.0,,618.0,81.0,,317.0,703.0,26.2,1180.0,2297.0
195,A044973,2010JJ00,,,110.0,,,618.0,,,317.0,632.0,22.8,1022.0,1997.0
196,A044973,2011JJ00,2.0,,112.0,12.0,,630.0,4.0,,321.0,795.0,28.3,1264.0,2481.0
197,A044973,2012JJ00,24.0,,136.0,188.0,,819.0,82.0,,403.0,817.0,26.3,1171.0,2314.0
198,A044973,2013JJ00,69.0,,205.0,505.0,,1324.0,199.0,,602.0,1233.0,24.9,1002.0,2179.0
199,A044973,2014JJ00,39.0,,244.0,312.0,,1636.0,132.0,,734.0,1451.0,25.6,1011.0,2246.0
200,A044973,2015JJ00,63.0,,307.0,558.0,,2194.0,278.0,,1012.0,2174.0,26.9,1078.0,2360.0
201,A044973,2016JJ00,69.0,,376.0,655.0,,2850.0,261.0,,1273.0,2256.0,21.6,848.0,1901.0
202,A044973,2017JJ00,12.0,3.0,385.0,157.0,17.0,2990.0,47.0,8.0,1311.0,3031.0,27.1,1056.0,2375.0
203,A044973,2018JJ00,40.0,2.0,423.0,418.0,13.0,3395.0,124.0,6.0,1429.0,3233.0,26.8,1005.0,2351.0
204,A044973,2019JJ00,35.0,3.0,455.0,421.0,28.0,3788.0,130.0,9.0,1550.0,3912.0,29.8,1081.0,2609.0
205,A044973,2020JJ00,179.0,11.0,623.0,2141.0,93.0,5837.0,692.0,33.0,2209.0,5328.0,32.3,1116.0,2838.0
206,A044973,2021JJ00,228.0,0.0,851.0,,,8883.0,928.0,1.0,3136.0,6450.0,26.8,848.0,2345.0
207,A044973,2022JJ00,202.0,1.0,1052.0,2991.0,6.0,11868.0,891.0,3.0,4024.0,9476.0,30.2,913.0,2643.0
208,A044973,2023JJ00,101.0,4.0,1149.0,1901.0,31.0,13738.0,565.0,13.0,4576.0,12855.0,34.1,1002.0,2985.0
209,A044973,2024JJ00,53.0,1.0,1201.0,999.0,6.0,14731.0,298.0,3.0,4871.0,13574.0,32.2,934.0,2824.0
