ID,BedrijfstakkenBranches,Seizoencorrectie,Perioden,ProductieBedrAfgelopen3Mnd_1,ProductieBedrKomende3Mnd_2,OmzetAfgelopen3Mnd_3,OmzetKomende3Mnd_4,BuitenlandseOmzetAfgelopen3Mnd_5,BuitenlandseOmzetKomende3Mnd_6,VerkoopprijzenTarievenKomende3Mnd_7,PersoneelssterkteAfgelopen3Mnd_8,PersoneelssterkteKomende3Mnd_9,EconomischKlimaatAfgelopen3Mnd_10,WinstgevendheidAfgelopen3Mnd_11
60,301000,A042501,2016KW03,15.7,3.5,5.8,-6.2,5.1,-5.5,-0.2,10.6,1.1,-4.5,7.0
61,301000,A042501,2016KW04,8.1,0.5,9.6,5.4,8.7,13.1,6.2,4.3,-1.0,12.2,6.8
62,301000,A042501,2017KW01,1.6,21.3,-4.9,13.9,4.3,14.8,9.3,-3.8,18.6,-2.3,-0.4
63,301000,A042501,2017KW02,26.1,23.0,29.2,17.8,19.9,13.5,-4.1,22.3,21.8,16.5,14.5
64,301000,A042501,2017KW03,20.4,3.3,21.8,2.9,9.3,0.8,0.3,21.4,4.8,7.7,8.2
65,301000,A042501,2017KW04,8.1,13.7,13.2,11.7,14.5,16.4,9.0,11.9,9.6,10.6,9.8
66,301000,A042501,2018KW01,11.9,18.6,12.9,17.6,13.3,18.5,21.1,5.7,24.8,16.2,5.1
67,301000,A042501,2018KW02,22.0,29.0,15.4,24.3,15.7,16.2,1.8,26.8,30.6,4.4,2.8
68,301000,A042501,2018KW03,23.1,2.1,15.4,2.5,7.3,1.6,6.8,24.1,9.2,8.7,-5.9
69,301000,A042501,2018KW04,11.5,7.4,5.7,4.3,1.8,11.7,11.6,9.9,4.0,-1.3,-8.7
70,301000,A042501,2019KW01,6.8,16.0,6.2,12.4,8.5,11.9,20.4,6.6,15.5,-4.6,-6.7
71,301000,A042501,2019KW02,17.0,32.1,14.9,29.7,9.7,14.0,3.9,21.0,23.5,0.5,-4.3
72,301000,A042501,2019KW03,27.4,12.5,28.4,9.7,13.6,5.0,3.8,22.4,10.5,2.4,6.1
73,301000,A042501,2019KW04,6.8,-3.0,7.1,-2.6,8.1,10.3,8.5,7.3,-5.7,-10.6,-5.9
74,301000,A042501,2020KW01,2.5,2.4,1.6,6.3,3.4,11.4,19.3,4.3,12.0,-11.4,-9.5
75,301000,A042501,2020KW02,-1.7,-20.3,0.2,-27.4,3.7,-28.7,-25.3,5.5,2.4,-32.9,-23.7
76,301000,A042501,2020KW03,0.1,0.2,-5.1,-3.8,-4.2,-0.8,0.8,7.8,-1.9,-19.6,-14.3
77,301000,A042501,2020KW04,0.9,-5.2,-4.5,-4.5,-5.1,0.3,1.3,3.5,-4.6,-16.6,-9.3
78,301000,A042501,2021KW01,-7.7,2.8,-7.7,-1.0,0.3,3.2,8.0,0.9,7.8,-12.2,-6.5
79,301000,A042501,2021KW02,15.6,23.0,15.4,23.7,8.9,15.3,13.4,6.8,15.8,9.2,1.8
80,301000,A042501,2021KW03,24.0,3.1,26.6,-7.1,14.1,-0.3,10.0,14.1,12.4,7.7,2.0
81,301000,A042501,2021KW04,8.8,10.2,7.5,8.8,7.6,10.7,38.7,1.5,8.4,-3.4,-6.0
