ID,Sources,Periods,CO_1,VOCByCombustion_2,VOCByEvaporation_3,VOCTotal_4,NOx_5,PM10_6,SO2_7,CO2_8,CH4_9,N2O_10,NMVOC_11,CO_12,VOCByCombustion_13,NOx_14,PM10_15,SO2_16,CO2_17,CH4_18,N2O_19,NMVOC_20
24,Totot,2014JJ00,411.1,40.51,3.27,43.78,236.2,11.7,23.91,39610,2.857,0.996,40.92,31.4,3.1,18.0,0.7,1.82,3023,0.22,0.08,2.9
25,Totot,2015JJ00,409.8,39.87,3.32,43.19,241.0,11.03,12.38,40630,2.843,1.037,40.34,30.4,3.0,17.9,0.7,0.92,3012,0.21,0.08,2.7
26,Totot,2016JJ00,401.1,38.41,3.57,41.97,234.3,9.75,5.84,40920,2.785,1.032,39.19,29.8,2.8,17.4,0.6,0.43,3036,0.21,0.08,2.6
27,Totot,2017JJ00,400.4,38.25,3.54,41.8,228.5,9.38,5.6,41170,2.79,1.042,39.01,29.5,2.8,16.8,0.5,0.41,3036,0.21,0.08,2.6
28,Totot,2018JJ00,396.1,34.82,3.54,38.36,223.8,9.15,5.6,41850,2.605,1.018,35.75,28.8,2.5,16.3,0.5,0.41,3042,0.19,0.07,2.3
29,Vvtot,1990JJ00,737.5,163.23,39.53,202.76,308.3,20.05,23.77,27240,7.764,0.393,195.0,85.5,18.9,35.8,2.1,2.76,3159,0.9,0.05,18.0
30,Vvtot,1991JJ00,641.3,137.91,35.9,173.81,298.6,19.33,24.11,27380,6.586,0.489,167.22,74.1,15.9,34.5,2.0,2.78,3162,0.76,0.06,15.2
31,Vvtot,1992JJ00,617.4,129.97,33.34,163.31,291.1,18.97,24.7,28570,6.276,0.608,157.03,68.3,14.4,32.2,1.9,2.73,3161,0.69,0.07,13.7
32,Vvtot,1993JJ00,572.2,118.63,31.81,150.44,273.3,17.86,24.68,28630,5.754,0.69,144.68,63.3,13.1,30.2,1.7,2.73,3164,0.64,0.08,12.5
33,Vvtot,1994JJ00,538.7,110.04,29.96,140.0,257.2,16.97,24.19,28970,5.414,0.782,134.59,58.8,12.0,28.1,1.6,2.64,3164,0.59,0.09,11.4
34,Vvtot,1995JJ00,517.9,102.67,25.91,128.59,245.1,16.04,23.48,29030,5.134,0.849,123.45,56.4,11.2,26.7,1.5,2.56,3162,0.56,0.09,10.6
35,Vvtot,1996JJ00,502.1,96.23,22.5,118.73,234.8,15.13,20.79,29360,4.883,0.879,113.85,54.1,10.4,25.3,1.4,2.24,3162,0.53,0.09,9.8
36,Vvtot,1997JJ00,477.7,88.97,20.28,109.25,231.0,14.76,17.6,30340,4.603,0.911,104.65,49.8,9.3,24.1,1.3,1.83,3163,0.48,0.09,8.8
37,Vvtot,1998JJ00,455.9,82.42,17.77,100.19,220.1,14.07,17.69,30820,4.322,0.915,95.87,46.8,8.5,22.6,1.2,1.82,3164,0.44,0.09,8.0
38,Vvtot,1999JJ00,446.2,76.54,15.63,92.18,220.6,14.09,18.35,32220,4.082,0.935,88.1,43.8,7.5,21.7,1.2,1.8,3164,0.4,0.09,7.1
39,Vvtot,2000JJ00,429.9,66.69,12.6,79.29,213.8,13.6,17.06,32360,3.728,0.972,75.56,42.0,6.5,20.9,1.1,1.67,3165,0.36,0.1,6.2
40,Vvtot,2001JJ00,428.4,61.13,11.08,72.21,207.7,13.09,14.78,32750,3.581,0.962,68.63,41.4,5.9,20.1,1.1,1.43,3165,0.35,0.09,5.6
41,Vvtot,2002JJ00,432.6,57.0,8.73,65.73,199.8,12.4,14.45,33060,3.497,0.945,62.23,41.4,5.5,19.1,1.0,1.38,3166,0.33,0.09,5.1
42,Vvtot,2003JJ00,434.3,53.33,7.43,60.75,195.4,11.88,14.13,33410,3.417,0.925,57.33,41.2,5.1,18.5,0.9,1.34,3167,0.32,0.09,4.7
43,Vvtot,2004JJ00,433.5,49.4,6.32,55.73,191.4,11.48,14.14,33970,3.298,0.91,52.43,40.4,4.6,17.9,0.9,1.32,3168,0.31,0.08,4.3
44,Vvtot,2005JJ00,423.0,46.54,5.32,51.86,187.2,11.08,13.61,33960,3.185,0.87,48.68,39.5,4.3,17.5,0.8,1.27,3168,0.3,0.08,4.0
45,Vvtot,2006JJ00,417.8,44.48,5.28,49.76,184.0,10.72,14.17,34020,3.103,0.841,46.65,38.9,4.1,17.1,0.8,1.32,3163,0.29,0.08,3.8
46,Vvtot,2007JJ00,421.9,44.8,4.81,49.61,182.3,10.46,13.18,34250,3.151,0.847,46.46,38.6,4.1,16.7,0.8,1.2,3131,0.29,0.08,3.8
47,Vvtot,2008JJ00,416.7,43.83,4.4,48.22,180.5,10.06,11.22,34530,3.115,0.869,45.11,37.8,4.0,16.4,0.7,1.02,3129,0.28,0.08,3.7
48,Vvtot,2009JJ00,408.3,41.79,4.24,46.04,165.3,9.34,10.13,33800,3.001,0.89,43.04,37.7,3.9,15.3,0.7,0.94,3119,0.28,0.08,3.6
49,Vvtot,2010JJ00,401.7,40.43,4.29,44.72,161.8,8.75,6.74,34130,2.932,0.899,41.78,36.9,3.7,14.9,0.6,0.62,3135,0.27,0.08,3.4
50,Vvtot,2011JJ00,392.6,38.96,4.22,43.18,157.8,8.23,4.69,34060,2.847,0.902,40.33,36.0,3.6,14.5,0.6,0.43,3124,0.26,0.08,3.3
51,Vvtot,2012JJ00,378.4,37.57,4.16,41.74,153.6,7.78,4.73,33800,2.758,0.901,38.98,34.9,3.5,14.2,0.5,0.44,3121,0.25,0.08,3.2
52,Vvtot,2013JJ00,370.1,36.26,4.13,40.4,143.9,7.24,4.26,33040,2.705,0.898,37.69,35.0,3.4,13.6,0.5,0.4,3129,0.26,0.08,3.2
53,Vvtot,2014JJ00,358.2,34.62,3.27,37.88,141.4,6.96,4.53,33120,2.621,0.89,35.26,33.7,3.3,13.3,0.5,0.43,3119,0.25,0.08,3.0
54,Vvtot,2015JJ00,357.3,34.04,3.32,37.35,141.8,6.7,1.61,33830,2.609,0.922,34.74,32.9,3.1,13.1,0.4,0.15,3119,0.24,0.08,2.9
55,Vvtot,2016JJ00,349.3,32.98,3.57,36.54,137.0,6.32,1.42,34300,2.568,0.92,33.98,31.8,3.0,12.5,0.4,0.13,3123,0.23,0.08,2.8
56,Vvtot,2017JJ00,348.9,33.11,3.54,36.66,134.2,6.19,1.43,34400,2.584,0.931,34.07,31.6,3.0,12.1,0.4,0.13,3113,0.23,0.08,2.8
57,Vvtot,2018JJ00,344.6,29.67,3.54,33.22,129.5,5.96,1.43,35090,2.4,0.907,30.82,29.9,2.8,11.5,0.4,0.13,3112,0.22,0.08,2.6
58,Wgtot,1990JJ00,710.4,156.43,36.54,192.97,255.1,17.32,12.78,23940,7.61,0.313,185.36,93.7,20.6,33.6,2.0,1.69,3157,1.0,0.04,19.6
59,Wgtot,1991JJ00,615.3,131.46,32.8,164.26,246.3,16.59,13.02,24060,6.436,0.408,157.82,80.7,17.2,32.3,1.9,1.71,3157,0.84,0.05,16.4
60,Wgtot,1992JJ00,591.4,123.56,30.19,153.75,239.4,16.21,13.5,25220,6.127,0.527,147.62,74.0,15.5,30.0,1.8,1.69,3158,0.77,0.07,14.7
61,Wgtot,1993JJ00,544.2,111.73,27.02,138.75,221.7,15.07,13.34,25190,5.605,0.607,133.15,68.2,14.0,27.8,1.6,1.67,3159,0.7,0.08,13.3
62,Wgtot,1994JJ00,512.5,103.61,24.64,128.25,206.6,14.16,12.91,25520,5.269,0.698,122.98,63.4,12.8,25.6,1.5,1.6,3159,0.65,0.09,12.2
63,Wgtot,1995JJ00,489.5,95.71,21.71,117.42,193.5,13.22,11.9,25500,4.988,0.763,112.43,60.7,11.9,24.0,1.4,1.47,3160,0.62,0.09,11.2
64,Wgtot,1996JJ00,472.4,89.15,19.15,108.3,182.4,12.3,8.91,25750,4.74,0.791,103.56,58.0,10.9,22.4,1.2,1.09,3160,0.58,0.1,10.4
65,Wgtot,1997JJ00,447.3,81.87,16.91,98.78,172.1,11.57,4.18,26290,4.445,0.812,94.34,53.8,9.8,20.7,1.1,0.5,3160,0.53,0.1,9.3
66,Wgtot,1998JJ00,425.8,75.5,14.83,90.33,164.3,11.09,4.37,26950,4.175,0.82,86.15,49.9,8.9,19.3,1.0,0.51,3161,0.49,0.1,8.4
67,Wgtot,1999JJ00,415.0,69.54,12.96,82.5,163.7,11.08,4.72,28250,3.935,0.837,78.57,46.4,7.8,18.3,1.0,0.53,3162,0.44,0.09,7.3
68,Wgtot,2000JJ00,398.1,59.62,10.24,69.86,155.0,10.52,2.99,28260,3.579,0.871,66.28,44.6,6.7,17.3,0.9,0.34,3162,0.4,0.1,6.3
69,Wgtot,2001JJ00,395.9,54.06,8.24,62.31,147.8,10.03,0.75,28560,3.433,0.859,58.88,43.8,6.0,16.4,0.8,0.08,3163,0.38,0.1,5.6
70,Wgtot,2002JJ00,399.8,50.14,6.56,56.7,141.8,9.51,0.77,28980,3.356,0.844,53.35,43.6,5.5,15.5,0.8,0.08,3164,0.37,0.09,5.1
71,Wgtot,2003JJ00,400.6,46.53,5.19,51.72,136.7,9.03,0.48,29250,3.276,0.822,48.44,43.3,5.0,14.8,0.7,0.05,3165,0.35,0.09,4.7
72,Wgtot,2004JJ00,399.6,42.83,4.23,47.06,134.2,8.76,0.55,29900,3.162,0.81,43.9,42.3,4.5,14.2,0.7,0.06,3165,0.33,0.09,4.2
73,Wgtot,2005JJ00,389.5,40.37,3.38,43.75,130.8,8.46,0.23,29920,3.053,0.771,40.69,41.2,4.3,13.8,0.6,0.02,3166,0.32,0.08,3.9
74,Wgtot,2006JJ00,384.6,38.5,2.81,41.31,127.1,8.08,0.28,29950,2.973,0.74,38.34,40.6,4.1,13.4,0.6,0.03,3160,0.31,0.08,3.7
75,Wgtot,2007JJ00,388.9,39.05,2.47,41.52,125.3,7.89,0.28,30150,3.022,0.745,38.5,40.3,4.0,13.0,0.6,0.03,3124,0.31,0.08,3.7
76,Wgtot,2008JJ00,383.6,38.12,2.28,40.4,121.3,7.49,0.18,30110,2.982,0.759,37.42,39.8,4.0,12.6,0.5,0.02,3120,0.31,0.08,3.6
77,Wgtot,2009JJ00,375.9,36.4,2.12,38.52,113.5,6.97,0.18,29860,2.873,0.759,35.65,39.2,3.8,11.8,0.5,0.02,3111,0.3,0.08,3.5
78,Wgtot,2010JJ00,369.1,35.16,2.05,37.21,107.6,6.63,0.18,30030,2.801,0.76,34.41,38.4,3.7,11.2,0.4,0.02,3127,0.29,0.08,3.4
79,Wgtot,2011JJ00,359.8,33.84,2.09,35.93,102.8,6.23,0.18,29810,2.715,0.755,33.22,37.6,3.5,10.7,0.4,0.02,3115,0.28,0.08,3.3
80,Wgtot,2012JJ00,345.8,32.62,1.99,34.61,97.0,5.76,0.18,29380,2.625,0.746,31.98,36.6,3.5,10.3,0.3,0.02,3112,0.28,0.08,3.2
81,Wgtot,2013JJ00,338.1,31.69,1.96,33.65,90.1,5.34,0.18,28800,2.578,0.749,31.07,36.5,3.4,9.7,0.3,0.02,3111,0.28,0.08,3.1
82,Wgtot,2014JJ00,326.2,30.19,1.82,32.01,85.1,5.02,0.17,28690,2.491,0.735,29.52,35.3,3.3,9.2,0.3,0.02,3109,0.27,0.08,3.0
83,Wgtot,2015JJ00,325.4,29.77,1.81,31.58,84.2,4.9,0.18,29150,2.476,0.76,29.1,34.7,3.2,9.0,0.2,0.02,3109,0.26,0.08,2.9
84,Wgtot,2016JJ00,317.1,28.86,1.91,30.77,80.5,4.67,0.18,29860,2.44,0.765,28.32,33.1,3.0,8.4,0.2,0.02,3113,0.25,0.08,2.8
85,Wgtot,2017JJ00,316.7,29.0,1.88,30.88,77.1,4.53,0.18,29980,2.457,0.773,28.42,32.9,3.0,8.0,0.2,0.02,3111,0.26,0.08,2.8
86,Wgtot,2018JJ00,312.5,25.57,1.88,27.45,72.7,4.26,0.19,30670,2.273,0.749,25.17,31.8,2.6,7.4,0.2,0.02,3119,0.23,0.08,2.4
87,Wgpea,1990JJ00,592.8,105.64,34.62,140.26,142.7,6.89,4.62,15520,5.257,0.245,135.0,120.3,21.4,29.0,1.1,0.94,3149,1.07,0.05,20.4
88,Wgpea,1991JJ00,502.6,86.98,31.1,118.08,130.4,6.22,4.46,15400,4.396,0.324,113.68,102.8,17.8,26.7,1.0,0.91,3150,0.9,0.07,16.9
89,Wgpea,1992JJ00,475.4,79.98,29.03,109.02,121.9,6.03,4.45,16090,4.124,0.427,104.89,93.1,15.7,23.9,0.9,0.87,3150,0.81,0.08,14.9
90,Wgpea,1993JJ00,427.0,69.91,26.02,95.93,109.3,5.51,4.17,15920,3.672,0.492,92.25,84.6,13.8,21.6,0.8,0.83,3152,0.73,0.1,13.1
91,Wgpea,1994JJ00,398.2,63.31,23.67,86.97,100.6,5.3,3.99,16260,3.397,0.573,83.58,77.2,12.3,19.5,0.8,0.77,3153,0.66,0.11,11.6
92,Wgpea,1995JJ00,379.5,57.52,20.82,78.35,91.2,5.01,3.55,16070,3.208,0.628,75.14,74.5,11.3,17.9,0.7,0.7,3154,0.63,0.12,10.7
93,Wgpea,1996JJ00,364.5,52.84,18.31,71.15,86.2,4.82,2.7,16320,3.037,0.649,68.11,70.4,10.2,16.7,0.7,0.52,3154,0.59,0.13,9.6
94,Wgpea,1997JJ00,342.4,46.76,16.09,62.84,79.5,4.62,1.49,16660,2.789,0.66,60.06,64.8,8.9,15.0,0.6,0.28,3154,0.53,0.12,8.3
95,Wgpea,1998JJ00,323.8,41.67,14.04,55.71,73.8,4.52,1.59,17030,2.573,0.659,53.14,60.0,7.7,13.7,0.6,0.29,3155,0.48,0.12,7.2
96,Wgpea,1999JJ00,316.1,37.72,12.15,49.87,70.1,4.54,1.74,17660,2.431,0.664,47.44,56.5,6.7,12.5,0.5,0.31,3156,0.43,0.12,6.3
97,Wgpea,2000JJ00,303.4,31.04,9.43,40.47,63.0,4.36,1.26,17780,2.213,0.694,38.25,53.9,5.5,11.2,0.5,0.22,3157,0.39,0.12,5.1
98,Wgpea,2001JJ00,304.6,27.88,7.46,35.34,57.5,4.17,0.48,17980,2.169,0.683,33.17,53.5,4.9,10.1,0.5,0.09,3158,0.38,0.12,4.5
99,Wgpea,2002JJ00,309.7,25.44,5.8,31.24,53.1,4.03,0.54,18360,2.156,0.673,29.08,53.3,4.4,9.1,0.4,0.09,3159,0.37,0.12,4.0
100,Wgpea,2003JJ00,313.1,23.58,4.45,28.03,49.5,3.9,0.29,18570,2.149,0.651,25.88,53.3,4.0,8.4,0.4,0.05,3160,0.37,0.11,3.6
101,Wgpea,2004JJ00,314.9,22.2,3.49,25.69,46.9,3.84,0.33,19050,2.136,0.637,23.56,52.2,3.7,7.8,0.4,0.05,3161,0.35,0.11,3.3
102,Wgpea,2005JJ00,306.6,20.5,2.65,23.16,43.1,3.71,0.17,18960,2.056,0.598,21.1,51.1,3.4,7.2,0.4,0.03,3162,0.34,0.1,3.1
103,Wgpea,2006JJ00,303.0,19.43,2.09,21.52,40.5,3.61,0.2,19010,2.011,0.569,19.51,50.3,3.2,6.7,0.3,0.03,3155,0.33,0.09,2.9
104,Wgpea,2007JJ00,304.7,18.92,1.72,20.64,38.5,3.56,0.2,19050,2.006,0.544,18.63,49.9,3.1,6.3,0.3,0.03,3121,0.33,0.09,2.8
105,Wgpea,2008JJ00,298.3,18.61,1.49,20.1,36.2,3.41,0.11,18760,1.99,0.52,18.11,49.5,3.1,6.0,0.3,0.02,3115,0.33,0.09,2.8
106,Wgpea,2009JJ00,290.8,17.89,1.31,19.2,33.7,3.25,0.11,18670,1.932,0.487,17.27,48.4,3.0,5.6,0.3,0.02,3104,0.32,0.08,2.7
107,Wgpea,2010JJ00,284.2,17.32,1.22,18.54,32.4,3.17,0.11,18790,1.889,0.457,16.65,47.1,2.9,5.4,0.3,0.02,3114,0.31,0.08,2.6
108,Wgpea,2011JJ00,276.1,17.06,1.25,18.31,31.8,3.01,0.11,18800,1.854,0.426,16.46,45.6,2.8,5.3,0.2,0.02,3105,0.31,0.07,2.5
109,Wgpea,2012JJ00,264.1,16.44,1.15,17.59,30.9,2.84,0.11,18640,1.793,0.395,15.79,44.0,2.7,5.2,0.2,0.02,3106,0.3,0.07,2.4
110,Wgpea,2013JJ00,259.5,16.12,1.13,17.24,30.4,2.71,0.11,18490,1.774,0.387,15.47,43.6,2.7,5.1,0.2,0.02,3105,0.3,0.07,2.4
111,Wgpea,2014JJ00,250.1,15.43,0.99,16.42,29.9,2.58,0.11,18440,1.726,0.354,14.7,42.1,2.6,5.0,0.2,0.02,3104,0.29,0.06,2.3
112,Wgpea,2015JJ00,251.5,15.55,1.0,16.55,31.3,2.53,0.11,18610,1.737,0.353,14.81,41.9,2.6,5.2,0.1,0.02,3101,0.29,0.06,2.3
113,Wgpea,2016JJ00,244.8,15.21,1.09,16.3,29.7,2.43,0.11,18900,1.728,0.332,14.57,40.3,2.5,4.9,0.1,0.02,3107,0.28,0.05,2.2
114,Wgpea,2017JJ00,247.1,15.22,1.08,16.3,29.7,2.4,0.11,18870,1.737,0.336,14.56,40.7,2.5,4.9,0.1,0.02,3105,0.29,0.06,2.2
115,Wgpea,2018JJ00,233.6,14.67,1.05,15.73,28.3,2.31,0.11,19120,1.69,0.296,14.04,37.9,2.4,4.6,0.1,0.02,3105,0.27,0.05,2.1
116,Wgvra,1990JJ00,66.7,18.6,1.48,20.07,98.6,8.42,7.21,7260,0.799,0.056,19.27,29.1,8.1,43.1,3.4,3.15,3168,0.35,0.02,7.8
117,Wgvra,1991JJ00,64.4,18.45,1.29,19.74,102.2,8.54,7.61,7520,0.789,0.072,18.95,27.1,7.8,43.0,3.3,3.2,3168,0.33,0.03,7.4
118,Wgvra,1992JJ00,63.2,17.7,0.72,18.42,104.1,8.42,8.09,7970,0.755,0.087,17.66,25.1,7.0,41.4,3.1,3.22,3168,0.3,0.03,6.7
119,Wgvra,1993JJ00,60.5,16.1,0.54,16.64,99.3,7.88,8.23,8100,0.688,0.102,15.95,23.7,6.3,38.8,2.8,3.22,3168,0.27,0.04,6.0
120,Wgvra,1994JJ00,54.8,14.19,0.48,14.68,93.0,7.26,8.01,8080,0.605,0.112,14.07,21.5,5.6,36.5,2.6,3.14,3168,0.24,0.04,5.3
121,Wgvra,1995JJ00,49.1,12.38,0.38,12.76,89.5,6.67,7.51,8240,0.526,0.122,12.24,18.9,4.8,34.4,2.3,2.89,3168,0.2,0.05,4.6
122,Wgvra,1996JJ00,43.1,10.54,0.3,10.84,83.6,6.02,5.59,8210,0.447,0.129,10.4,16.6,4.1,32.3,2.1,2.16,3168,0.17,0.05,3.9
123,Wgvra,1997JJ00,38.3,9.1,0.27,9.37,80.5,5.55,2.42,8410,0.385,0.138,8.99,14.4,3.4,30.3,1.9,0.91,3168,0.15,0.05,3.3
124,Wgvra,1998JJ00,34.2,8.05,0.23,8.28,78.7,5.24,2.51,8700,0.34,0.147,7.94,12.5,2.9,28.7,1.7,0.92,3168,0.12,0.05,2.8
125,Wgvra,1999JJ00,31.6,7.5,0.23,7.73,81.7,5.18,2.72,9360,0.315,0.159,7.42,10.7,2.5,27.7,1.5,0.92,3168,0.11,0.05,2.4
126,Wgvra,2000JJ00,28.5,6.74,0.2,6.94,80.2,4.99,1.57,9260,0.29,0.162,6.65,9.8,2.3,27.5,1.5,0.54,3169,0.1,0.06,2.2
127,Wgvra,2001JJ00,26.2,6.19,0.16,6.35,78.9,4.79,0.23,9350,0.278,0.161,6.07,8.9,2.1,26.7,1.4,0.08,3169,0.09,0.05,2.0
128,Wgvra,2002JJ00,23.9,5.57,0.13,5.7,77.4,4.43,0.19,9380,0.256,0.156,5.45,8.1,1.9,26.1,1.3,0.06,3169,0.09,0.05,1.8
129,Wgvra,2003JJ00,22.2,5.01,0.11,5.11,76.5,4.15,0.17,9450,0.236,0.156,4.88,7.4,1.7,25.7,1.2,0.06,3169,0.08,0.05,1.6
130,Wgvra,2004JJ00,21.6,4.73,0.1,4.83,77.2,4.01,0.19,9640,0.228,0.158,4.6,7.1,1.6,25.4,1.1,0.06,3169,0.07,0.05,1.5
131,Wgvra,2005JJ00,20.5,4.46,0.07,4.53,77.8,3.87,0.05,9740,0.218,0.158,4.32,6.7,1.5,25.3,1.1,0.02,3169,0.07,0.05,1.4
132,Wgvra,2006JJ00,19.8,4.12,0.06,4.18,77.2,3.65,0.06,9710,0.202,0.155,3.97,6.5,1.3,25.2,1.0,0.02,3165,0.07,0.05,1.3
133,Wgvra,2007JJ00,20.1,3.84,0.04,3.89,77.5,3.51,0.07,9820,0.19,0.183,3.7,6.4,1.2,24.7,0.9,0.02,3125,0.06,0.06,1.2
134,Wgvra,2008JJ00,20.3,3.45,0.04,3.49,76.4,3.27,0.06,10040,0.173,0.217,3.32,6.3,1.1,23.8,0.8,0.02,3125,0.05,0.07,1.0
135,Wgvra,2009JJ00,20.0,2.96,0.04,3.0,71.5,2.97,0.06,9840,0.146,0.247,2.86,6.3,0.9,22.7,0.8,0.02,3119,0.05,0.08,0.9
136,Wgvra,2010JJ00,19.4,2.59,0.03,2.62,67.4,2.74,0.06,9870,0.129,0.276,2.49,6.2,0.8,21.5,0.7,0.02,3150,0.04,0.09,0.8
137,Wgvra,2011JJ00,18.7,2.28,0.03,2.31,63.5,2.53,0.06,9630,0.115,0.3,2.19,6.1,0.7,20.6,0.6,0.02,3132,0.04,0.1,0.7
138,Wgvra,2012JJ00,17.8,1.95,0.02,1.97,59.2,2.27,0.06,9400,0.1,0.321,1.87,5.9,0.6,19.6,0.6,0.02,3121,0.03,0.11,0.6
139,Wgvra,2013JJ00,16.4,1.67,0.02,1.69,53.4,2.04,0.05,9000,0.087,0.33,1.61,5.7,0.6,18.5,0.5,0.02,3121,0.03,0.11,0.6
140,Wgvra,2014JJ00,15.5,1.49,0.02,1.51,49.6,1.88,0.05,8980,0.079,0.349,1.43,5.4,0.5,17.2,0.4,0.02,3119,0.03,0.12,0.5
141,Wgvra,2015JJ00,14.8,1.45,0.02,1.47,47.7,1.81,0.06,9270,0.077,0.373,1.39,5.0,0.5,16.1,0.4,0.02,3122,0.03,0.13,0.5
142,Wgvra,2016JJ00,14.6,1.39,0.02,1.41,45.9,1.66,0.06,9680,0.076,0.397,1.34,4.7,0.4,14.8,0.3,0.02,3123,0.02,0.13,0.4
143,Wgvra,2017JJ00,14.0,1.34,0.02,1.35,42.8,1.53,0.06,9830,0.076,0.4,1.28,4.5,0.4,13.6,0.3,0.02,3121,0.02,0.13,0.4
144,Wgvra,2018JJ00,13.8,1.31,0.02,1.33,40.1,1.44,0.06,10170,0.078,0.413,1.25,4.2,0.4,12.3,0.3,0.02,3121,0.02,0.13,0.4
145,Wgovg,1990JJ00,51.0,32.2,0.45,32.64,13.8,2.02,0.95,1170,1.554,0.012,31.09,139.1,87.9,37.8,5.5,2.59,3194,4.24,0.03,84.9
146,Wgovg,1991JJ00,48.4,26.03,0.42,26.45,13.7,1.83,0.95,1130,1.251,0.012,25.19,136.0,73.1,38.4,5.2,2.66,3174,3.51,0.03,70.8
