ID,Kredietverstrekkers,Perioden,VerstrekteLeningen_1,UitstaandeContracten_2,VerstrektKrediet_3,Rente_4,Aflossingen_5,UitstaandSaldo_6,UitstaandSaldoExclusiefRente_7,UitstaandeContracten_8,ToegezegdeLimieten_9,NieuweToegezegdeLimieten_10,VerstrektKrediet_11,Rente_12,Aflossingen_13,UitstaandSaldo_14,ToegezegdeLimieten_15,NieuweToegezegdeLimieten_16,UitstaandeContracten_17,ToegezegdeLimieten_18,NieuweToegezegdeLimieten_19,VerstrektKrediet_20,Rente_21,Aflossingen_22,UitstaandSaldo_23,ToegezegdeLimieten_24,NieuweToegezegdeLimieten_25
45,10,2001MM10,18.0,669.0,105.0,23.0,143.0,2967.0,2439.0,,7461.0,145.0,572.0,86.0,568.0,10771.0,20142.0,411.0,,97.0,2.0,47.0,12.0,57.0,1558.0,1645.0,33.0
46,10,2001MM11,16.0,667.0,93.0,21.0,134.0,2947.0,2415.0,,7427.0,150.0,519.0,86.0,518.0,10857.0,20280.0,381.0,,97.0,1.0,34.0,12.0,57.0,1547.0,1641.0,26.0
47,10,2001MM12,11.0,659.0,65.0,17.0,147.0,2883.0,2357.0,,7447.0,112.0,434.0,85.0,534.0,10842.0,20294.0,303.0,,95.0,1.0,14.0,11.0,46.0,1526.0,1639.0,12.0
48,10,2002MM01,15.0,644.0,100.0,19.0,185.0,2818.0,2304.0,,7481.0,134.0,500.0,86.0,591.0,10837.0,20489.0,333.0,,94.0,1.0,16.0,11.0,46.0,1507.0,1593.0,14.0
49,10,2002MM02,14.0,641.0,89.0,18.0,127.0,2797.0,2276.0,,7510.0,116.0,497.0,86.0,537.0,10883.0,20628.0,353.0,,93.0,1.0,11.0,11.0,41.0,1488.0,1586.0,11.0
50,10,2002MM03,15.0,637.0,97.0,19.0,137.0,2776.0,2264.0,,7525.0,119.0,519.0,86.0,534.0,10954.0,20756.0,402.0,,92.0,1.0,14.0,11.0,39.0,1475.0,1695.0,13.0
51,10,2002MM04,16.0,633.0,102.0,20.0,141.0,2758.0,2246.0,,7568.0,133.0,568.0,86.0,572.0,11036.0,20875.0,382.0,,91.0,1.0,21.0,11.0,41.0,1465.0,1686.0,19.0
52,10,2002MM05,15.0,630.0,101.0,19.0,135.0,2743.0,2235.0,,7607.0,109.0,508.0,86.0,573.0,11057.0,20998.0,375.0,,91.0,1.0,16.0,11.0,38.0,1453.0,1698.0,19.0
53,10,2002MM06,15.0,628.0,99.0,18.0,124.0,2736.0,2232.0,,7592.0,127.0,497.0,86.0,536.0,11104.0,21056.0,365.0,,91.0,1.0,18.0,11.0,31.0,1451.0,1699.0,14.0
54,10,2002MM07,17.0,625.0,117.0,20.0,144.0,2729.0,2225.0,,7607.0,146.0,587.0,82.0,548.0,11225.0,21405.0,434.0,,91.0,1.0,21.0,10.0,43.0,1440.0,1701.0,20.0
55,10,2002MM08,14.0,618.0,92.0,18.0,124.0,2714.0,2217.0,,7678.0,124.0,534.0,86.0,523.0,11322.0,21500.0,385.0,,90.0,1.0,23.0,11.0,36.0,1437.0,1700.0,21.0
56,10,2002MM09,14.0,605.0,90.0,17.0,122.0,2700.0,2202.0,,7758.0,119.0,547.0,87.0,478.0,11478.0,21640.0,360.0,,90.0,1.0,26.0,11.0,33.0,1441.0,1708.0,29.0
57,10,2002MM10,18.0,606.0,108.0,19.0,137.0,2690.0,2192.0,,7891.0,137.0,627.0,88.0,623.0,11570.0,21892.0,435.0,,90.0,1.0,29.0,11.0,36.0,1444.0,1712.0,24.0
58,10,2002MM11,15.0,609.0,93.0,18.0,143.0,2658.0,2165.0,,7935.0,138.0,556.0,88.0,547.0,11667.0,22028.0,401.0,,90.0,2.0,30.0,11.0,43.0,1441.0,1713.0,23.0
59,10,2002MM12,13.0,608.0,80.0,16.0,119.0,2634.0,2145.0,,7847.0,103.0,520.0,89.0,578.0,11698.0,22081.0,319.0,,91.0,1.0,25.0,11.0,34.0,1443.0,1721.0,20.0
60,10,2003MM01,15.0,593.0,103.0,19.0,143.0,2614.0,2135.0,,8071.0,139.0,500.0,89.0,603.0,11684.0,22344.0,362.0,,90.0,1.0,27.0,10.0,40.0,1440.0,1601.0,28.0
61,10,2003MM02,13.0,581.0,85.0,17.0,117.0,2599.0,2127.0,,8024.0,85.0,496.0,90.0,523.0,11746.0,22452.0,303.0,,90.0,1.0,30.0,10.0,38.0,1441.0,1601.0,31.0
62,10,2003MM03,13.0,569.0,91.0,18.0,125.0,2582.0,2116.0,,7967.0,123.0,524.0,88.0,538.0,11820.0,22566.0,364.0,,91.0,1.0,32.0,9.0,40.0,1442.0,1605.0,33.0
63,10,2003MM04,14.0,559.0,92.0,18.0,130.0,2562.0,2106.0,,7911.0,120.0,521.0,88.0,533.0,11896.0,22632.0,334.0,,91.0,2.0,28.0,9.0,38.0,1441.0,1606.0,35.0
64,10,2003MM05,13.0,547.0,91.0,18.0,114.0,2556.0,2102.0,,7731.0,109.0,533.0,92.0,571.0,11950.0,22644.0,356.0,,91.0,1.0,26.0,9.0,43.0,1434.0,1599.0,32.0
65,10,2003MM06,14.0,537.0,92.0,17.0,112.0,2554.0,2109.0,,7494.0,133.0,466.0,88.0,529.0,11976.0,22547.0,332.0,,90.0,1.0,25.0,9.0,41.0,1427.0,1594.0,29.0
66,10,2003MM07,16.0,527.0,122.0,20.0,136.0,2559.0,2119.0,,7558.0,129.0,559.0,89.0,559.0,12065.0,22826.0,358.0,,90.0,1.0,31.0,9.0,42.0,1425.0,1597.0,31.0
67,10,2003MM08,13.0,515.0,90.0,18.0,107.0,2560.0,2120.0,,7522.0,111.0,512.0,92.0,521.0,12148.0,22905.0,325.0,,90.0,1.0,27.0,9.0,39.0,1422.0,1593.0,25.0
