ID,Perioden,TotaalBinnenlandseLiquiditeiten_1,TotaalGeldhoeveelheid_2,TotaalChartaalGeld_3,Bankbiljetten_4,MuntenEnMuntbiljetten_5,GiraalGeld_6,SecundaireLiquiditeiten_7,LagereOverheid_8,Fondsen_9,GezinnenEnBedrijven_10,WisseldiscontoNederlandscheBank_11,VoorschotrenteDNBUltimoJaarstand_12,PromesseDiscontoDNBUltimoJaarstand_13,k_1Maandsgemiddelde_14,k_3Maandsgemiddelde_15,k_6Maandsgemiddelde_16,k_12Maandsgemiddelde_17,GewoneSpaarrekeningen_18,GewoneRekeningCourant_19,k_3Maanden_20,k_2Jaar_21,k_4Jaar_22,k_5Jaar_23,CreditrenteGirorekening_24,DaggeldleningenOngedektGemiddelde_25,RendementEeuwigdurendeStaatsleningen_26,DebetvoorschotrenteEffectenUltimoDec_27,Rente3MaandEuroDepositoS_28,HeffingsEnInvorderingsrenteBelasting_29,k_3MaandSchatkistpapierUltimoJaarstand_30,KasgeldleningADLagereOverheid_31,Kapitaalmarktrente_32,TotaalGoudEnDeviezen_33,TotaalGoudEnNettoDeviezenbezit_34,Goud_35,NettoDeviezenbezit_36,NettoBuitenlandsActiefVanDeBanken_37,Aandelen_38,Obligaties_39,InternationaleConcerns_40,LokaleOndernemingen_41,Algemeen_42,AlgemeenExclusiefKoninklijkeOlie_43,InternationaleConcerns_44,LokaleFondsen_45,FinancieleInstellingen_46,NietFinancieleInstellingen_47,ConsumentengoederenIndustrie_48,KapitaalgoederenIndustrie_49,Basisindustrie_50,BouwnijverheidEnInstallatiebedrijven_51,TransportOpslagEnCommunicatie_52,NietFinancieleDienstverlening_53,Handel_54,BankenEnOverigeFinancieleDienstverl_55,Verzekeringsinstellingen_56,Algemeen_57,AlgemeenExclKoninklijkeOlie_58,InternationaleConcerns_59,LokaleFondsen_60,FinancieleInstellingen_61,NietFinancieleInstellingen_62,ConsumentengoederenIndustrie_63,KapitaalgoederenIndustrie_64,Basisindustrie_65,BouwnijverheidEnInstallatiebedrijven_66,TransportOpslagEnCommunicatie_67,NietFinancieleDienstverlening_68,Handel_69,BankenEnOverigeFinancieleDienstverl_70,Verzekeringsinstellingen_71,TotaleKoerswaardeVanAandelen_72,InternationaleConcerns_73,LokaleOndernemingen_74,Staatsleningen35Jaar_75,Staatsleningen58Jaar_76,Staatsleningen810Jaar_77,ObligatiesAlgemeen_78,StaatsleningenAlgemeen_79,StaatsleningenVasteLooptijd_80,Staatsleningen03Jaar_81,Staatsleningen35Jaar_82,Staatsleningen58Jaar_83,Staatsleningen8Jaar_84,GewoneObligatiesTLVFinInstelling_85,AchtergesteldeObligatiesFinInstel_86,GewoneObligatiesTLVSupernatInst_87,Eeuwigdurende_88,Algemeen_89,k_23Jaar_90,k_34Jaar_91,k_35Jaar_92,k_38Jaar_93,k_45Jaar_94,k_56Jaar_95,k_58Jaar_96,k_67Jaar_97,k_78Jaar_98,k_89Jaar_99,k_910Jaar_100,k_5Langstlopende_101,ObligatiesTLVAlgemeneBanken_102,Kapitaalobligaties_103,PandEnBankbriefleningen_104,OblTLVSupraNationaleInstellingen_105,TotaalOpenbareEmissies_106,Rijk_107,Aandelen_108,Obligaties_109,TotaalVerstrektKrediet_110,TotaalGeldkrediet_111,Geldleningen_112,Betaalzegelkrediet_113,Pandkrediet_114,DoorlopendGeldkrediet_115,OverigGeldkrediet_116,Financieringskrediet_117,Goederenkrediet_118,Uitstaand_119,Stortingen_120,Terugbetalingen_121,Spaarverschil_122,BijgeschrevenRente_123,Besparingen_124,SpaartegoedTotaal_125,GewoneSpaarrekeningen_126,DepositoSMetSpaargeldBehandeling_127,GemiddeldeRentevoet_128,Aantal_129,Bedrag_130,GemiddeldeRentevoet_131,Aantal_132,Bedrag_133,Aantal_134,Bedrag_135
10,1938JJ00,,982.0,476.0,460.0,,506.0,,,,,2.0,,,,,,,,,,,,,,,2.99,,,,,0.21,,,,663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,10.0,7.0,,,,,,,,,,,343.0,315.0,28.0,15.0,42,815,,,3.95,67,260,,,,753.0,2746.0
11,1939JJ00,,999.0,559.0,511.0,,440.0,,,,,3.0,,,,,,,,,,,,,,,3.56,,,,,1.22,,,,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,136.0,7.0,47.0,,,,,,,,,,,275.0,329.0,-54.0,20.0,-34,763,,,3.97,57,201,,,,753.0,2745.0
12,1940JJ00,,1359.0,769.0,723.0,,589.0,,,,,3.0,,,,,,,,,,,,,,,3.98,,,,,1.76,,,,533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,104.0,1.0,0.0,,,,,,,,,,,219.0,350.0,-132.0,18.0,-113,655,,,4.38,42,138,,,,737.0,2684.0
13,1941JJ00,,1792.0,1063.0,1012.0,,729.0,,,,,2.5,,,,,,,,,,,,,,,3.58,,,,,2.02,,,,410.0,,,245.0,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.0,448.0,6.0,0.0,8.0,8.0,3.0,4.0,2.0,,,,,,254.0,268.0,-14.0,16.0,2,648,,,4.18,45,159,,,,690.0,2506.0
14,1942JJ00,,2158.0,1407.0,1289.0,,751.0,,,,,2.5,,,,,,,,,,,,,,,3.21,,,,,1.75,,,,423.0,,,255.0,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.0,271.0,5.0,182.0,6.0,6.0,2.0,2.0,1.0,,,,,,324.0,225.0,99.0,18.0,117,764,,,4.1,42,197,,,,636.0,2335.0
15,1943JJ00,,2686.0,1644.0,1806.0,,1042.0,,,,,2.5,,,,,,,,,,,,,,,3.11,,,,,1.17,,,,423.0,,,94.0,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.0,453.0,6.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,550.0,254.0,296.0,22.0,319,1077,,,4.02,35,191,,,,566.0,2184.0
16,1944JJ00,,3660.0,2312.0,2464.0,,1348.0,,,,,2.5,,,,,,,,,,,,,,,3.09,,,,,0.97,,,,326.0,,,28.0,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,10.0,16.0,2.0,2.0,1.0,0.0,0.0,,,,,,461.0,215.0,246.0,28.0,274,1350,,,4.07,20,101,,,,513.0,2048.0
17,1945JJ00,,1681.0,777.0,777.0,,904.0,,,,,2.5,,,,,,,,,,,,,,,,,,,,1.71,,,,,,1419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,1.0,0.0,0.0,,,,,,517.0,0.0,448.0,39.0,940,2281,,,4.05,9,49,,,,483.0,1988.0
18,1946JJ00,,3106.0,1262.0,1247.0,,1843.0,,,,,2.5,,,,,,,,,,,,,,,2.99,,,,,1.2,,,217.0,317.0,-100.0,,50.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.0,,60.0,887.0,6.0,6.0,4.0,2.0,1.0,,,,,,559.0,961.0,-402.0,38.0,-364,1926,,,4.01,33,178,,,,485.0,2048.0
19,1947JJ00,,3338.0,1394.0,1370.0,,1944.0,,,,,2.5,,,,,,,,,,,,,,,3.06,,,,,1.35,,,315.0,276.0,39.0,,163.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,,,,,,,,,,,,,,,,,116.0,,45.0,71.0,10.0,10.0,5.0,4.0,1.0,,,,,,489.0,520.0,-31.0,35.0,5,1929,,,3.93,49,250,,,,493.0,2106.0
20,1948JJ00,,3353.0,1453.0,1430.0,,1900.0,,,,,2.5,,,,,,,,,,,,,,,3.09,,,,,1.29,,,261.0,199.0,62.0,,185.0,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,,,,,,,,,,,,,,,,,,403.0,122.0,240.0,41.0,15.0,15.0,7.0,6.0,2.0,,,,,,550.0,646.0,-96.0,38.0,-58,1871,,,3.74,61,356,,,,503.0,2191.0
21,1949JJ00,,3307.0,1425.0,1397.0,,1882.0,,,,,2.5,,,,,,,,,,,,,,,3.12,,,,,1.27,,,545.0,336.0,209.0,,157.0,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,,,,,,,,,,,,,,,,,,56.0,,13.0,43.0,22.0,22.0,11.0,9.0,2.0,,,,,,640.0,620.0,20.0,38.0,58,1933,,,3.74,71,398,,,,520.0,2340.0
22,1950JJ00,4514.0,3086.0,1368.0,1287.0,80.0,1718.0,1428.0,,,,3.0,3.5,,,,,,,,,,,,,,3.12,,,,,1.41,,598.0,663.0,533.0,130.0,-65.0,162.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,,,,,,,,,,,,,,,,,,149.0,91.0,26.0,33.0,26.0,26.0,12.0,11.0,2.0,,,,,,632.0,692.0,-61.0,40.0,-21,1921,,,3.74,80,481,,,,544.0,2552.0
23,1951JJ00,4458.0,3196.0,1399.0,1311.0,88.0,1797.0,1262.0,,,,4.0,4.5,4.5,,,,,,,,,,,,,3.42,,,,1.36,1.36,,749.0,750.0,542.0,207.0,-1.0,171.0,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2676.0,,,,,,,,,,,,,,,,3.42,,,,,,,,,,,,,,,,,,290.0,168.0,89.0,33.0,31.0,31.0,15.0,13.0,3.0,,,,,,674.0,746.0,-72.0,40.0,-32,1893,,,4.0,82,516,,,,568.0,2777.0
24,1952JJ00,4940.0,3522.0,1463.0,1373.0,90.0,2059.0,1419.0,,,,3.0,3.5,3.5,,,,,,,,,,,,,3.41,,,,1.08,1.08,,1680.0,1710.0,935.0,775.0,-30.0,144.0,323.0,,,13.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818.0,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,408.0,,41.0,367.0,32.0,32.0,15.0,13.0,3.0,,,,,,836.0,754.0,82.0,44.0,126,2012,,,4.46,76,435,,,,591.0,2971.0
25,1953JJ00,5090.0,3750.0,1561.0,1469.0,92.0,2189.0,1340.0,,,,2.5,3.0,3.0,,,,,,,,,,,,,3.17,,,,0.57,0.57,,2249.0,2174.0,1267.0,907.0,75.0,215.0,380.0,,,15.5,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3418.0,,,,,,,,,,,,,,,,3.16,,,,,,,,,,,,,,,,,,397.0,335.0,14.0,48.0,33.0,33.0,17.0,14.0,3.0,,,,,,916.0,778.0,138.0,49.0,186,2195,,,4.19,83,535,,,,618.0,3220.0
26,1954JJ00,5440.0,4018.0,1693.0,1595.0,97.0,2325.0,1422.0,,,,2.5,3.0,3.0,,,,,,,,,,,,,3.18,,,,0.54,0.55,,2352.0,2250.0,1368.0,882.0,102.0,388.0,348.0,,,26.0,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5692.0,3843.0,1849.0,,,,,,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,339.0,202.0,24.0,113.0,36.0,36.0,19.0,15.0,3.0,,,,,,1054.0,869.0,184.0,53.0,237,2435,,,3.88,92,634,,,,643.0,3495.0
27,1955JJ00,5843.0,4349.0,1861.0,1757.0,105.0,2488.0,1494.0,,,,2.5,3.0,3.0,,,,,,,,,,,,,3.19,,,,0.96,0.96,,2448.0,2246.0,1486.0,760.0,202.0,387.0,295.0,,,30.6,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7150.0,4839.0,2312.0,,,,,,,,,,,,,,3.19,,,,,,,,,,,,,,,,,,784.0,386.0,200.0,199.0,39.0,39.0,21.0,15.0,3.0,,,,,,1213.0,948.0,264.0,59.0,324,2747,,,3.79,95,787,,,,667.0,3863.0
28,1956JJ00,5719.0,4187.0,1912.0,1783.0,128.0,2275.0,1532.0,,,,3.75,4.25,4.25,,,,,,,,,,,,,3.44,,,,2.44,2.39,3.97,1997.0,1886.0,1448.0,437.0,111.0,213.0,287.0,,,32.4,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7413.0,5263.0,2150.0,,,,,,,,,,,,,,3.44,,,,,,,,,,,,,3.97,,,,,450.0,180.0,66.0,204.0,41.0,41.0,22.0,16.0,3.0,,,,,,1310.0,1131.0,178.0,68.0,246,3006,,,4.0,97,884,,,,692.0,4302.0
29,1957JJ00,5925.0,4107.0,1973.0,1839.0,134.0,2134.0,1819.0,,,,5.0,5.5,5.5,,,,,,,,,,,,3.29,4.22,,,,4.16,5.47,4.9,2000.0,1797.0,1276.0,521.0,202.0,189.0,275.0,,,28.2,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6562.0,4599.0,1963.0,,,,,,,,,,,,,,4.22,,,,,,,,,,,,,4.9,,,,,455.0,,30.0,425.0,44.0,44.0,25.0,17.0,3.0,,,,,,1383.0,1348.0,34.0,82.0,116,3166,,,4.88,86,787,,,,712.0,4673.0
30,1958JJ00,6751.0,4600.0,2078.0,1942.0,136.0,2522.0,2151.0,,,,3.0,3.5,3.5,,,,,,,,,,,,2.48,4.19,,,,3.08,3.8,4.44,2901.0,2644.0,1802.0,841.0,257.0,247.0,331.0,,,38.1,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9474.0,7059.0,2415.0,,,,,,,,,,,,,,4.19,,,,,,,,,,,,,4.44,,,,,982.0,111.0,408.0,463.0,49.0,49.0,30.0,16.0,3.0,,,,,,1635.0,1321.0,314.0,99.0,413,3631,,,5.18,87,866,,,,736.0,5137.0
31,1959JJ00,7036.0,4805.0,2125.0,1986.0,138.0,2680.0,2232.0,,,,3.5,3.25,4.0,,,,,3.25,,,,,,,1.57,4.27,,,,1.88,2.29,4.4,3353.0,2483.0,1943.0,540.0,869.0,452.0,442.0,,,48.6,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12238.0,8691.0,3546.0,,,,,,,,,,,,,,4.27,,,,,,,,,,,,,4.4,,,,,868.0,358.0,52.0,458.0,56.0,56.0,37.0,16.0,3.0,,,,,,1885.0,1500.0,386.0,117.0,502,4216,,,4.9,105,1068,,,,769.0,5657.0
32,1960JJ00,7354.0,5129.0,2308.0,2162.0,147.0,2821.0,2224.0,168.0,388.0,6797.0,3.5,3.25,4.0,,,,,3.25,,,,,,,1.68,4.38,,,,2.18,2.58,4.46,4128.0,3195.0,2490.0,705.0,933.0,452.0,416.0,,,49.7,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12957.0,8758.0,4199.0,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,4.46,,,,,980.0,425.0,77.0,478.0,65.0,65.0,46.0,17.0,3.0,,,,,,2118.0,1738.0,380.0,138.0,518,4921,,,4.83,112,1289,,,,801.0,6320.0
33,1961JJ00,7716.0,5522.0,2481.0,2320.0,162.0,3040.0,2194.0,210.0,425.0,7081.0,3.5,3.25,4.0,,,,,3.25,,,,,,,1.02,4.2,,,,1.14,1.72,4.18,3998.0,3161.0,2586.0,575.0,837.0,393.0,463.0,,,49.8,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13798.0,9501.0,4296.0,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,4.18,,,,,796.0,292.0,61.0,444.0,188.0,74.0,54.0,17.0,3.0,,,114.0,,228.0,2858.0,2296.0,562.0,161.0,723,5630,,,4.78,124,1833,,,,840.0,7311.0
34,1962JJ00,8229.0,5938.0,2698.0,2527.0,171.0,3240.0,2291.0,124.0,423.0,7682.0,4.0,4.5,4.5,,,,,3.25,,,,,,,1.81,4.39,,,,1.88,2.51,4.24,4011.0,3137.0,2586.0,552.0,874.0,315.0,469.0,,,44.6,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13097.0,9104.0,3993.0,,,,,,,,,,,,,,4.39,,,,,,,,,,,,,4.24,,,,,982.0,135.0,368.0,479.0,217.0,88.0,68.0,18.0,3.0,,,129.0,,262.0,3138.0,2568.0,570.0,184.0,754,6377,,,4.79,130,2165,,,,880.0,8522.0
35,1963JJ00,9031.0,6483.0,2913.0,2732.0,181.0,3570.0,2548.0,162.0,477.0,8392.0,3.5,4.0,4.0,,,,,3.25,,,,,,,1.51,4.39,,,,1.98,2.82,4.31,4295.0,3416.0,2618.0,797.0,879.0,377.0,464.0,,,48.2,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14790.0,10100.0,4690.0,,,,,,,,,,,,,,4.39,,,,,,,,,,,,,4.31,,,,,840.0,452.0,34.0,353.0,255.0,110.0,87.0,19.0,4.0,,,146.0,,297.0,3723.0,3033.0,690.0,210.0,900,7275,,,4.81,143,2669,,,,923.0,10075.0
36,1964JJ00,9968.0,7007.0,3255.0,3059.0,195.0,3752.0,2961.0,127.0,462.0,9379.0,4.5,5.0,5.0,,,,,3.5,,,,,,,2.47,4.84,,,,3.45,4.35,5.09,4347.0,3825.0,2759.0,1066.0,522.0,348.0,515.0,,,54.8,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16254.0,11374.0,4880.0,,,,,,,,,,,,,,4.84,,,,,,,,,,,,,5.09,,,,,849.0,296.0,95.0,458.0,283.0,126.0,103.0,19.0,4.0,,,166.0,,356.0,4587.0,3922.0,665.0,253.0,918,8183,,,5.24,153,3458,,,,964.0,11961.0
37,1965JJ00,10583.0,7711.0,3571.0,3361.0,210.0,4140.0,2872.0,209.0,418.0,9916.0,4.5,5.0,5.0,,,,,3.5,,,,,,,3.19,5.19,,,,3.96,4.73,5.5,4387.0,3948.0,2871.0,1077.0,439.0,330.0,535.0,,,48.7,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15439.0,10630.0,4809.0,,,,,,,,,,,,,,5.19,,,,,,,,,,,,,5.5,,,,,1085.0,197.0,59.0,829.0,328.0,146.0,123.0,19.0,5.0,,,182.0,,398.0,5069.0,4442.0,627.0,292.0,909,9093,,,5.75,148,3179,,115.0,1896.0,1008.0,13686.0
38,1966JJ00,11207.0,8240.0,3839.0,3617.0,223.0,4400.0,2967.0,217.0,548.0,10571.0,5.0,5.5,5.5,,,,,3.5,,,,,,,4.45,5.86,,,,4.87,6.44,6.58,4265.0,4016.0,2829.0,1187.0,249.0,265.0,475.0,,,39.3,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12565.0,8295.0,4270.0,,,,,,,,,,,,,,5.86,,,,,,,,,,,,,6.58,,,,,1067.0,203.0,31.0,833.0,355.0,164.0,141.0,18.0,5.0,,,191.0,,442.0,5698.0,5084.0,614.0,332.0,943,10025,,,6.34,139,3089,,108.0,1750.0,1044.0,15434.0
39,1967JJ00,12431.0,8753.0,3955.0,3740.0,215.0,4798.0,3678.0,276.0,616.0,11607.0,4.5,5.0,5.0,,,,,4.0,,,,,,,4.22,5.67,,,,4.69,5.67,6.42,4404.0,4294.0,2798.0,1496.0,111.0,,,,,50.7,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16391.0,11913.0,4478.0,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,6.42,,,,,1067.0,359.0,27.0,681.0,434.0,211.0,187.0,18.0,5.0,,,223.0,,519.0,6610.0,5591.0,1018.0,388.0,1406,11430,,,6.58,138,3211,,108.0,1718.0,1087.0,17224.0
