ID,Versie,Voertuigcategorie,Wegtype,Bouwjaar,CO_1,VOS_2,NOx_3,PM10_4
55,Nie,Paben,3,2001 ,0.55,0.01,0.04,0.008
56,Nie,Paben,3,2002 ,0.53,0.01,0.04,0.008
57,Nie,Paben,3,2003 ,0.48,0.01,0.03,0.008
58,Nie,Paben,3,2004 ,0.46,0.01,0.03,0.008
59,Nie,Paben,3,2005 ,0.43,0.01,0.02,0.008
60,Nie,Padie,1,-1996,0.91,0.17,0.58,0.176
61,Nie,Padie,1,1997 ,0.97,0.17,0.97,0.108
62,Nie,Padie,1,1998 ,0.86,0.16,1.01,0.113
63,Nie,Padie,1,1999 ,0.69,0.14,1.08,0.12
64,Nie,Padie,1,2000 ,0.66,0.1,0.99,0.093
65,Nie,Padie,1,2001 ,0.6,0.05,0.89,0.064
66,Nie,Padie,1,2002 ,0.6,0.05,0.89,0.064
67,Nie,Padie,1,2003 ,0.6,0.05,0.89,0.064
68,Nie,Padie,1,2004 ,0.6,0.05,0.89,0.064
69,Nie,Padie,1,2005 ,0.25,0.02,0.51,0.05
70,Nie,Padie,2,-1996,0.21,0.07,0.37,0.077
71,Nie,Padie,2,1997 ,0.13,0.05,0.42,0.053
72,Nie,Padie,2,1998 ,0.1,0.04,0.46,0.049
73,Nie,Padie,2,1999 ,0.07,0.04,0.52,0.044
74,Nie,Padie,2,2000 ,0.05,0.03,0.51,0.037
75,Nie,Padie,2,2001 ,0.03,0.01,0.5,0.03
76,Nie,Padie,2,2002 ,0.03,0.01,0.5,0.03
77,Nie,Padie,2,2003 ,0.03,0.01,0.5,0.03
78,Nie,Padie,2,2004 ,0.03,0.01,0.5,0.03
79,Nie,Padie,2,2005 ,0.02,0.0,0.27,0.024
80,Nie,Padie,3,-1996,0.19,0.06,0.51,0.089
81,Nie,Padie,3,1997 ,0.1,0.02,0.61,0.062
82,Nie,Padie,3,1998 ,0.09,0.02,0.62,0.069
83,Nie,Padie,3,1999 ,0.07,0.02,0.66,0.082
84,Nie,Padie,3,2000 ,0.05,0.02,0.62,0.069
85,Nie,Padie,3,2001 ,0.04,0.01,0.58,0.054
86,Nie,Padie,3,2002 ,0.04,0.01,0.58,0.054
87,Nie,Padie,3,2003 ,0.04,0.01,0.58,0.054
88,Nie,Padie,3,2004 ,0.04,0.01,0.58,0.054
89,Nie,Padie,3,2005 ,0.05,0.01,0.25,0.05
90,Nie,PaLPG,1,-1996,6.99,1.05,1.09,0.014
91,Nie,PaLPG,1,1997 ,7.04,0.59,0.46,0.009
92,Nie,PaLPG,1,1998 ,6.91,0.58,0.45,0.009
93,Nie,PaLPG,1,1999 ,6.95,0.58,0.44,0.009
94,Nie,PaLPG,1,2000 ,4.66,0.47,0.4,0.007
95,Nie,PaLPG,1,2001 ,2.33,0.37,0.35,0.005
96,Nie,PaLPG,1,2002 ,2.28,0.36,0.35,0.005
97,Nie,PaLPG,1,2003 ,2.05,0.37,0.24,0.005
98,Nie,PaLPG,1,2004 ,1.93,0.37,0.19,0.005
99,Nie,PaLPG,1,2005 ,1.81,0.37,0.14,0.005
100,Nie,PaLPG,2,-1996,2.99,0.29,0.79,0.01
101,Nie,PaLPG,2,1997 ,4.55,0.04,0.36,0.005
102,Nie,PaLPG,2,1998 ,4.59,0.04,0.34,0.005
103,Nie,PaLPG,2,1999 ,4.93,0.04,0.33,0.005
104,Nie,PaLPG,2,2000 ,2.84,0.04,0.26,0.003
105,Nie,PaLPG,2,2001 ,0.51,0.04,0.19,0.002
106,Nie,PaLPG,2,2002 ,0.49,0.04,0.19,0.002
107,Nie,PaLPG,2,2003 ,0.49,0.04,0.12,0.002
108,Nie,PaLPG,2,2004 ,0.49,0.04,0.09,0.002
109,Nie,PaLPG,2,2005 ,0.49,0.04,0.06,0.002
110,Nie,PaLPG,3,-1996,1.21,0.44,1.28,0.009
111,Nie,PaLPG,3,1997 ,1.44,0.07,0.51,0.005
112,Nie,PaLPG,3,1998 ,1.4,0.06,0.49,0.005
113,Nie,PaLPG,3,1999 ,1.39,0.06,0.48,0.005
114,Nie,PaLPG,3,2000 ,1.08,0.04,0.29,0.007
115,Nie,PaLPG,3,2001 ,0.78,0.02,0.12,0.01
116,Nie,PaLPG,3,2002 ,0.75,0.02,0.12,0.01
117,Nie,PaLPG,3,2003 ,0.48,0.02,0.08,0.01
118,Nie,PaLPG,3,2004 ,0.34,0.02,0.06,0.01
119,Nie,PaLPG,3,2005 ,0.22,0.02,0.04,0.01
120,Nie,Baben,1,-1996,15.18,2.47,1.96,0.033
121,Nie,Baben,1,1997 ,3.7,0.23,0.28,0.007
122,Nie,Baben,1,1998 ,3.64,0.23,0.28,0.007
123,Nie,Baben,1,1999 ,3.66,0.23,0.27,0.007
124,Nie,Baben,1,2000 ,2.67,0.22,0.18,0.006
125,Nie,Baben,1,2001 ,1.64,0.2,0.09,0.004
126,Nie,Baben,1,2002 ,1.6,0.2,0.09,0.004
127,Nie,Baben,1,2003 ,1.45,0.2,0.07,0.004
128,Nie,Baben,1,2004 ,1.38,0.2,0.06,0.004
129,Nie,Baben,1,2005 ,1.31,0.19,0.06,0.004
130,Nie,Baben,2,-1996,6.71,1.01,1.8,0.02
131,Nie,Baben,2,1997 ,1.63,0.07,0.2,0.005
132,Nie,Baben,2,1998 ,1.64,0.06,0.19,0.005
133,Nie,Baben,2,1999 ,1.76,0.06,0.19,0.005
134,Nie,Baben,2,2000 ,1.35,0.04,0.1,0.003
135,Nie,Baben,2,2001 ,0.83,0.02,0.02,0.001
136,Nie,Baben,2,2002 ,0.8,0.01,0.02,0.001
137,Nie,Baben,2,2003 ,0.49,0.01,0.03,0.001
138,Nie,Baben,2,2004 ,0.35,0.01,0.03,0.001
139,Nie,Baben,2,2005 ,0.21,0.01,0.03,0.001
140,Nie,Baben,3,-1996,6.74,0.7,2.93,0.022
141,Nie,Baben,3,1997 ,1.87,0.06,0.08,0.005
142,Nie,Baben,3,1998 ,1.81,0.05,0.07,0.005
143,Nie,Baben,3,1999 ,1.8,0.05,0.07,0.005
144,Nie,Baben,3,2000 ,1.17,0.03,0.05,0.006
145,Nie,Baben,3,2001 ,0.55,0.01,0.04,0.008
146,Nie,Baben,3,2002 ,0.53,0.01,0.04,0.008
147,Nie,Baben,3,2003 ,0.48,0.01,0.03,0.008
148,Nie,Baben,3,2004 ,0.46,0.01,0.03,0.008
149,Nie,Baben,3,2005 ,0.43,0.01,0.02,0.008
150,Nie,Badie,1,-1996,1.62,0.24,1.15,0.265
151,Nie,Badie,1,1997 ,1.1,0.21,1.4,0.146
152,Nie,Badie,1,1998 ,0.96,0.19,1.47,0.152
153,Nie,Badie,1,1999 ,0.72,0.16,1.59,0.162
154,Nie,Badie,1,2000 ,0.64,0.11,1.42,0.128
155,Nie,Badie,1,2001 ,0.51,0.05,1.24,0.093
156,Nie,Badie,1,2002 ,0.51,0.05,1.24,0.093
157,Nie,Badie,1,2003 ,0.51,0.05,1.24,0.093
158,Nie,Badie,1,2004 ,0.51,0.05,1.24,0.093
159,Nie,Badie,1,2005 ,0.15,0.02,0.65,0.067
160,Nie,Badie,2,-1996,0.4,0.16,0.8,0.142
161,Nie,Badie,2,1997 ,0.17,0.07,0.67,0.093
162,Nie,Badie,2,1998 ,0.13,0.07,0.73,0.086
163,Nie,Badie,2,1999 ,0.08,0.06,0.82,0.074
164,Nie,Badie,2,2000 ,0.05,0.04,0.78,0.062
165,Nie,Badie,2,2001 ,0.02,0.01,0.73,0.049
166,Nie,Badie,2,2002 ,0.02,0.01,0.73,0.049
167,Nie,Badie,2,2003 ,0.02,0.01,0.73,0.049
168,Nie,Badie,2,2004 ,0.02,0.01,0.73,0.049
169,Nie,Badie,2,2005 ,0.02,0.0,0.36,0.035
170,Nie,Badie,3,-1996,0.38,0.16,1.12,0.166
171,Nie,Badie,3,1997 ,0.13,0.04,0.96,0.11
172,Nie,Badie,3,1998 ,0.12,0.04,0.99,0.12
173,Nie,Badie,3,1999 ,0.1,0.04,1.05,0.14
174,Nie,Badie,3,2000 ,0.07,0.03,0.95,0.118
175,Nie,Badie,3,2001 ,0.05,0.02,0.84,0.093
176,Nie,Badie,3,2002 ,0.05,0.02,0.84,0.093
177,Nie,Badie,3,2003 ,0.05,0.02,0.84,0.093
178,Nie,Badie,3,2004 ,0.05,0.02,0.84,0.093
179,Nie,Badie,3,2005 ,0.07,0.01,0.33,0.073
180,Nie,BaLPG,1,-1996,13.12,3.05,3.52,0.02
181,Nie,BaLPG,1,1997 ,9.84,0.5,0.56,0.007
182,Nie,BaLPG,1,1998 ,9.73,0.49,0.54,0.007
183,Nie,BaLPG,1,1999 ,10.01,0.49,0.53,0.007
184,Nie,BaLPG,1,2000 ,5.86,0.38,0.43,0.005
185,Nie,BaLPG,1,2001 ,1.54,0.26,0.33,0.003
186,Nie,BaLPG,1,2002 ,1.5,0.25,0.32,0.003
187,Nie,BaLPG,1,2003 ,1.2,0.22,0.23,0.003
188,Nie,BaLPG,1,2004 ,1.05,0.21,0.19,0.003
189,Nie,BaLPG,1,2005 ,0.92,0.19,0.15,0.003
190,Nie,BaLPG,2,-1996,9.3,2.04,3.52,0.012
191,Nie,BaLPG,2,1997 ,10.13,0.05,0.49,0.005
192,Nie,BaLPG,2,1998 ,10.23,0.05,0.48,0.005
193,Nie,BaLPG,2,1999 ,11.01,0.05,0.46,0.005
194,Nie,BaLPG,2,2000 ,6.3,0.05,0.36,0.003
195,Nie,BaLPG,2,2001 ,1.03,0.06,0.26,0.002
196,Nie,BaLPG,2,2002 ,0.99,0.05,0.26,0.002
197,Nie,BaLPG,2,2003 ,0.68,0.04,0.19,0.002
198,Nie,BaLPG,2,2004 ,0.52,0.03,0.16,0.002
199,Nie,BaLPG,2,2005 ,0.39,0.03,0.13,0.002
200,Nie,BaLPG,3,-1996,4.11,1.46,5.52,0.016
201,Nie,BaLPG,3,1997 ,3.28,0.09,0.71,0.005
202,Nie,BaLPG,3,1998 ,3.18,0.09,0.69,0.005
203,Nie,BaLPG,3,1999 ,3.15,0.09,0.67,0.005
204,Nie,BaLPG,3,2000 ,2.46,0.06,0.41,0.007
205,Nie,BaLPG,3,2001 ,1.77,0.03,0.17,0.01
206,Nie,BaLPG,3,2002 ,1.7,0.02,0.17,0.01
207,Nie,BaLPG,3,2003 ,1.16,0.02,0.12,0.01
208,Nie,BaLPG,3,2004 ,0.89,0.02,0.1,0.01
209,Nie,BaLPG,3,2005 ,0.65,0.01,0.08,0.01
210,Nie,Vadie,1,-1996,3.44,1.54,13.78,0.701
211,Nie,Vadie,1,1997 ,1.97,0.66,12.68,0.243
212,Nie,Vadie,1,1998 ,1.96,0.66,12.63,0.239
213,Nie,Vadie,1,1999 ,1.96,0.66,12.67,0.239
214,Nie,Vadie,1,2000 ,2.01,0.66,12.58,0.249
215,Nie,Vadie,1,2001 ,2.04,0.64,11.27,0.263
216,Nie,Vadie,1,2002 ,2.07,0.62,10.45,0.275
217,Nie,Vadie,1,2003 ,2.07,0.62,10.45,0.275
218,Nie,Vadie,1,2004 ,2.07,0.62,10.45,0.275
219,Nie,Vadie,1,2005 ,1.6,0.47,9.35,0.218
220,Nie,Vadie,2,-1996,1.96,0.76,10.18,0.399
221,Nie,Vadie,2,1997 ,1.24,0.36,8.99,0.156
222,Nie,Vadie,2,1998 ,1.23,0.36,8.96,0.154
223,Nie,Vadie,2,1999 ,1.23,0.36,8.98,0.154
224,Nie,Vadie,2,2000 ,1.25,0.36,8.87,0.157
225,Nie,Vadie,2,2001 ,1.22,0.34,7.81,0.157
226,Nie,Vadie,2,2002 ,1.2,0.33,7.14,0.158
227,Nie,Vadie,2,2003 ,1.2,0.33,7.14,0.158
228,Nie,Vadie,2,2004 ,1.2,0.33,7.14,0.158
229,Nie,Vadie,2,2005 ,0.93,0.25,6.44,0.125
230,Nie,Vadie,3,-1996,1.42,0.55,8.9,0.3
231,Nie,Vadie,3,1997 ,0.88,0.28,7.57,0.128
232,Nie,Vadie,3,1998 ,0.87,0.27,7.54,0.126
233,Nie,Vadie,3,1999 ,0.87,0.27,7.56,0.126
234,Nie,Vadie,3,2000 ,0.88,0.27,7.36,0.127
235,Nie,Vadie,3,2001 ,0.84,0.26,6.18,0.123
236,Nie,Vadie,3,2002 ,0.82,0.25,5.4,0.12
237,Nie,Vadie,3,2003 ,0.82,0.25,5.4,0.12
238,Nie,Vadie,3,2004 ,0.82,0.25,5.4,0.12
239,Nie,Vadie,3,2005 ,0.64,0.19,4.92,0.095
240,Nie,Trdie,1,-1996,3.36,1.38,16.47,0.767
241,Nie,Trdie,1,1997 ,2.31,0.79,15.57,0.3
242,Nie,Trdie,1,1998 ,2.3,0.78,15.57,0.296
243,Nie,Trdie,1,1999 ,2.3,0.78,15.57,0.296
244,Nie,Trdie,1,2000 ,2.31,0.77,15.2,0.3
245,Nie,Trdie,1,2001 ,2.35,0.75,13.71,0.315
246,Nie,Trdie,1,2002 ,2.38,0.73,12.59,0.326
247,Nie,Trdie,1,2003 ,2.38,0.73,12.59,0.326
248,Nie,Trdie,1,2004 ,2.38,0.73,12.59,0.326
249,Nie,Trdie,1,2005 ,1.84,0.56,11.29,0.26
250,Nie,Trdie,2,-1996,1.84,0.65,11.34,0.42
251,Nie,Trdie,2,1997 ,1.32,0.42,10.34,0.178
252,Nie,Trdie,2,1998 ,1.32,0.42,10.34,0.175
253,Nie,Trdie,2,1999 ,1.32,0.42,10.34,0.175
254,Nie,Trdie,2,2000 ,1.32,0.41,10.05,0.176
255,Nie,Trdie,2,2001 ,1.31,0.4,8.9,0.18
256,Nie,Trdie,2,2002 ,1.31,0.39,8.03,0.183
257,Nie,Trdie,2,2003 ,1.31,0.39,8.03,0.183
258,Nie,Trdie,2,2004 ,1.31,0.39,8.03,0.183
259,Nie,Trdie,2,2005 ,1.01,0.29,7.25,0.145
260,Nie,Trdie,3,-1996,1.29,0.45,9.07,0.297
261,Nie,Trdie,3,1997 ,0.99,0.29,8.13,0.136
262,Nie,Trdie,3,1998 ,0.99,0.29,8.13,0.134
263,Nie,Trdie,3,1999 ,0.99,0.29,8.13,0.134
264,Nie,Trdie,3,2000 ,0.98,0.29,7.87,0.133
265,Nie,Trdie,3,2001 ,0.94,0.27,6.8,0.13
266,Nie,Trdie,3,2002 ,0.91,0.26,5.99,0.127
267,Nie,Trdie,3,2003 ,0.91,0.26,5.99,0.127
268,Nie,Trdie,3,2004 ,0.91,0.26,5.99,0.127
269,Nie,Trdie,3,2005 ,0.71,0.2,5.44,0.1
270,Nie,Abdie,1,-1996,4.3,2.13,13.26,0.854
271,Nie,Abdie,1,1997 ,2.42,0.58,12.24,0.242
272,Nie,Abdie,1,1998 ,2.42,0.58,12.25,0.239
273,Nie,Abdie,1,1999 ,2.42,0.58,12.25,0.239
274,Nie,Abdie,1,2000 ,2.39,0.57,12.06,0.239
275,Nie,Abdie,1,2001 ,2.31,0.55,11.33,0.237
276,Nie,Abdie,1,2002 ,2.24,0.53,10.77,0.236
277,Nie,Abdie,1,2003 ,2.24,0.53,10.77,0.236
278,Nie,Abdie,1,2004 ,2.24,0.53,10.77,0.236
279,Nie,Abdie,1,2005 ,1.74,0.4,9.63,0.19
280,Nie,Abdie,2,-1996,2.39,1.02,9.4,0.461
281,Nie,Abdie,2,1997 ,1.14,0.31,8.07,0.14
282,Nie,Abdie,2,1998 ,1.13,0.31,8.07,0.139
283,Nie,Abdie,2,1999 ,1.13,0.31,8.07,0.139
284,Nie,Abdie,2,2000 ,1.12,0.31,7.86,0.138
285,Nie,Abdie,2,2001 ,1.09,0.29,6.98,0.136
286,Nie,Abdie,2,2002 ,1.06,0.28,6.33,0.135
287,Nie,Abdie,2,2003 ,1.06,0.28,6.33,0.135
288,Nie,Abdie,2,2004 ,1.06,0.28,6.33,0.135
289,Nie,Abdie,2,2005 ,0.82,0.22,5.72,0.107
290,Nie,Abdie,3,-1996,1.67,0.75,8.01,0.326
291,Nie,Abdie,3,1997 ,0.67,0.26,6.52,0.112
292,Nie,Abdie,3,1998 ,0.67,0.25,6.52,0.111
293,Nie,Abdie,3,1999 ,0.67,0.25,6.52,0.111
294,Nie,Abdie,3,2000 ,0.67,0.25,6.25,0.111
295,Nie,Abdie,3,2001 ,0.67,0.24,5.17,0.11
296,Nie,Abdie,3,2002 ,0.67,0.23,4.36,0.109
297,Nie,Abdie,3,2003 ,0.67,0.23,4.36,0.109
298,Nie,Abdie,3,2004 ,0.67,0.23,4.36,0.109
299,Nie,Abdie,3,2005 ,0.52,0.17,3.98,0.086
300,Nie,Mtben,1,-1996,26.07,3.65,0.08,0.015
301,Nie,Mtben,1,1997 ,29.11,4.0,0.1,0.017
302,Nie,Mtben,1,1998 ,25.66,3.49,0.1,0.016
303,Nie,Mtben,1,1999 ,17.04,2.21,0.13,0.016
304,Nie,Mtben,1,2000 ,11.87,1.44,0.14,0.015
305,Nie,Mtben,1,2001 ,11.87,1.44,0.14,0.015
306,Nie,Mtben,1,2002 ,11.87,1.44,0.14,0.015
307,Nie,Mtben,1,2003 ,11.87,1.44,0.14,0.015
308,Nie,Mtben,1,2004 ,11.87,1.44,0.14,0.015
309,Nie,Mtben,1,2005 ,11.87,1.44,0.14,0.015
310,Nie,Mtben,2,-1996,15.7,1.53,0.14,0.015
311,Nie,Mtben,2,1997 ,17.36,1.63,0.17,0.017
312,Nie,Mtben,2,1998 ,15.1,1.43,0.18,0.016
313,Nie,Mtben,2,1999 ,9.46,0.95,0.21,0.016
314,Nie,Mtben,2,2000 ,6.07,0.66,0.22,0.015
315,Nie,Mtben,2,2001 ,6.07,0.66,0.22,0.015
316,Nie,Mtben,2,2002 ,6.07,0.66,0.22,0.015
317,Nie,Mtben,2,2003 ,6.07,0.66,0.22,0.015
318,Nie,Mtben,2,2004 ,6.07,0.66,0.22,0.015
319,Nie,Mtben,2,2005 ,6.07,0.66,0.22,0.015
320,Nie,Mtben,3,-1996,25.27,1.34,0.37,0.015
321,Nie,Mtben,3,1997 ,27.97,1.35,0.42,0.017
322,Nie,Mtben,3,1998 ,26.11,1.16,0.43,0.016
323,Nie,Mtben,3,1999 ,21.45,0.7,0.47,0.016
324,Nie,Mtben,3,2000 ,18.65,0.42,0.49,0.015
325,Nie,Mtben,3,2001 ,18.65,0.42,0.49,0.015
326,Nie,Mtben,3,2002 ,18.65,0.42,0.49,0.015
327,Nie,Mtben,3,2003 ,18.65,0.42,0.49,0.015
328,Nie,Mtben,3,2004 ,18.65,0.42,0.49,0.015
329,Nie,Mtben,3,2005 ,18.65,0.42,0.49,0.015
330,Nie,Bfben,1,-1996,8.85,5.31,0.04,0.035
331,Nie,Bfben,1,1997 ,10.0,6.0,0.05,0.04
332,Nie,Bfben,1,1998 ,10.0,6.0,0.05,0.04
333,Nie,Bfben,1,1999 ,10.0,6.0,0.05,0.04
334,Nie,Bfben,1,2000 ,10.0,6.0,0.05,0.04
335,Nie,Bfben,1,2001 ,10.0,6.0,0.05,0.04
336,Nie,Bfben,1,2002 ,10.0,6.0,0.05,0.04
337,Nie,Bfben,1,2003 ,10.0,6.0,0.05,0.04
338,Nie,Bfben,1,2004 ,10.0,6.0,0.05,0.04
339,Nie,Bfben,1,2005 ,10.0,6.0,0.05,0.04
340,Nie,Bfben,2,-1996,8.85,5.31,0.04,0.035
341,Nie,Bfben,2,1997 ,10.0,6.0,0.05,0.04
342,Nie,Bfben,2,1998 ,10.0,6.0,0.05,0.04
343,Nie,Bfben,2,1999 ,10.0,6.0,0.05,0.04
344,Nie,Bfben,2,2000 ,10.0,6.0,0.05,0.04
345,Nie,Bfben,2,2001 ,10.0,6.0,0.05,0.04
346,Nie,Bfben,2,2002 ,10.0,6.0,0.05,0.04
347,Nie,Bfben,2,2003 ,10.0,6.0,0.05,0.04
348,Nie,Bfben,2,2004 ,10.0,6.0,0.05,0.04
349,Nie,Bfben,2,2005 ,10.0,6.0,0.05,0.04
350,Nie,Bfben,3,-1996,,,,
351,Nie,Bfben,3,1997 ,,,,
352,Nie,Bfben,3,1998 ,,,,
353,Nie,Bfben,3,1999 ,,,,
354,Nie,Bfben,3,2000 ,,,,
355,Nie,Bfben,3,2001 ,,,,
356,Nie,Bfben,3,2002 ,,,,
357,Nie,Bfben,3,2003 ,,,,
358,Nie,Bfben,3,2004 ,,,,
359,Nie,Bfben,3,2005 ,,,,
360,Oud,Totot,1,-1996,9.78,1.53,1.19,0.076
361,Oud,Totot,1,1997 ,4.81,0.67,0.92,0.064
362,Oud,Totot,1,1998 ,4.27,0.6,1.05,0.069
363,Oud,Totot,1,1999 ,3.77,0.58,1.21,0.075
364,Oud,Totot,1,2000 ,2.38,0.48,1.36,0.073
365,Oud,Totot,1,2001 ,1.3,0.42,1.39,0.07
366,Oud,Totot,1,2002 ,1.21,0.39,1.19,0.068
367,Oud,Totot,1,2003 ,1.34,0.42,1.28,0.073
368,Oud,Totot,1,2004 ,1.35,0.41,1.31,0.073
369,Oud,Totot,1,2005 ,1.26,0.39,1.18,0.05
370,Oud,Totot,2,-1996,2.63,0.38,0.95,0.039
371,Oud,Totot,2,1997 ,1.44,0.09,0.49,0.023
372,Oud,Totot,2,1998 ,1.3,0.08,0.56,0.027
373,Oud,Totot,2,1999 ,1.17,0.08,0.66,0.031
374,Oud,Totot,2,2000 ,0.77,0.07,0.69,0.027
375,Oud,Totot,2,2001 ,0.34,0.06,0.72,0.026
376,Oud,Totot,2,2002 ,0.31,0.05,0.6,0.025
377,Oud,Totot,2,2003 ,0.44,0.08,0.87,0.033
378,Oud,Totot,2,2004 ,0.44,0.08,0.87,0.032
379,Oud,Totot,2,2005 ,0.45,0.08,0.85,0.025
380,Oud,Totot,3,-1996,3.29,0.36,1.91,0.059
381,Oud,Totot,3,1997 ,1.9,0.09,1.03,0.045
382,Oud,Totot,3,1998 ,1.64,0.08,1.2,0.05
383,Oud,Totot,3,1999 ,1.46,0.09,1.39,0.056
384,Oud,Totot,3,2000 ,0.89,0.06,1.26,0.05
385,Oud,Totot,3,2001 ,0.48,0.06,1.34,0.046
386,Oud,Totot,3,2002 ,0.42,0.05,1.04,0.042
387,Oud,Totot,3,2003 ,0.34,0.04,0.88,0.04
388,Oud,Totot,3,2004 ,0.33,0.04,0.9,0.04
389,Oud,Totot,3,2005 ,0.31,0.04,0.79,0.031
390,Oud,Paben,1,-1996,11.19,1.66,0.81,0.017
391,Oud,Paben,1,1997 ,5.93,0.65,0.24,0.011
392,Oud,Paben,1,1998 ,5.79,0.64,0.23,0.011
393,Oud,Paben,1,1999 ,5.65,0.63,0.23,0.011
394,Oud,Paben,1,2000 ,3.06,0.4,0.16,0.011
395,Oud,Paben,1,2001 ,0.6,0.18,0.1,0.011
396,Oud,Paben,1,2002 ,0.6,0.18,0.09,0.011
397,Oud,Paben,1,2003 ,0.78,0.18,0.08,0.011
398,Oud,Paben,1,2004 ,0.87,0.18,0.08,0.011
399,Oud,Paben,1,2005 ,0.96,0.18,0.07,0.011
400,Oud,Paben,2,-1996,2.73,0.36,0.64,0.008
401,Oud,Paben,2,1997 ,1.77,0.05,0.09,0.002
402,Oud,Paben,2,1998 ,1.78,0.05,0.09,0.002
403,Oud,Paben,2,1999 ,1.79,0.05,0.09,0.002
404,Oud,Paben,2,2000 ,1.01,0.03,0.05,0.002
405,Oud,Paben,2,2001 ,0.23,0.01,0.02,0.002
406,Oud,Paben,2,2002 ,0.24,0.01,0.02,0.002
407,Oud,Paben,2,2003 ,0.28,0.01,0.02,0.002
408,Oud,Paben,2,2004 ,0.3,0.01,0.02,0.002
409,Oud,Paben,2,2005 ,0.32,0.01,0.02,0.002
410,Oud,Paben,3,-1996,3.49,0.34,1.41,0.017
411,Oud,Paben,3,1997 ,2.58,0.06,0.12,0.015
412,Oud,Paben,3,1998 ,2.52,0.06,0.12,0.015
413,Oud,Paben,3,1999 ,2.46,0.05,0.11,0.015
414,Oud,Paben,3,2000 ,1.4,0.03,0.07,0.015
415,Oud,Paben,3,2001 ,0.4,0.01,0.02,0.015
416,Oud,Paben,3,2002 ,0.4,0.01,0.02,0.015
