ID,BedrijfSector,Perioden,TotaalUitgaven_1,TotaalUitgavenVoorVerwarming_2,Aardgas_3,Warmte_4,OverigeEnergieVoorVerwarming_5,Elektriciteit_6,Motorbrandstoffen_7,TotaalEnergieverbruik_8,TotaalEnergieVoorVerwarming_9,Aardgas_10,Warmte_11,OverigeEnergieVoorVerwarming_12,Elektriciteit_13,Motorbrandstoffen_14,TotaalEnergieverbruik_15,TotaalEnergieVoorVerwarming_16,Aardgas_17,Warmte_18,OverigeEnergieVoorVerwarming_19,Elektriciteit_20,Motorbrandstoffen_21,TotaalPerM2Glas_22,EnergieVoorVerwarming_23,Elektriciteit_24,Motorbrandstoffen_25,TotaalUitgavenPerM2Glas_26,EnergieVoorVerwarming_27,Elektriciteit_28,Motorbrandstoffen_29,TotaalEnergieverbruikPerBedrijf_30,TotaalEnergieVoorVerwarming_31,Aardgas_32,Warmte_33,OverigeEnergieVoorVerwarming_34,Elektriciteit_35,Motorbrandstoffen_36,TotaalUitgavenPerBedrijf_37,TotaalEnergieVoorVerwarming_38,Aardgas_39,Warmte_40,OverigeEnergieVoorVerwarming_41,Elektriciteit_42,Motorbrandstoffen_43,TotaalEnergieverbruikPerBedrijf_44,TotaalEnergieVoorVerwarming_45,Aardgas_46,Warmte_47,OverigeEnergieVoorVerwarming_48,Elektriciteit_49,Motorbrandstoffen_50
45,02,1998JJ00,8.8,1.2,1.1,,0.1,5.3,2.4,0.75,0.22,0.21,0.0,0.01,0.26,0.27,23.6,7.0,6.6,0.0,0.4,71.0,7.5,,,,,,,,,440.0,130.0,123.0,,7.0,151.0,158.0,5173.0,681.0,635.0,,45.0,3086.0,1407.0,13887.0,4121.0,3900.0,,221.0,42024.0,4398.0
46,02,1999JJ00,5.5,0.4,0.3,,0.1,2.6,2.5,0.4,0.05,0.04,0.0,0.0,0.1,0.25,12.6,1.5,1.3,0.0,0.1,28.0,7.0,,,,,,,,,244.0,28.0,26.0,,3.0,61.0,154.0,3360.0,221.0,179.0,,43.0,1593.0,1545.0,7719.0,899.0,811.0,,78.0,17081.0,4304.0
47,02,2000JJ00,6.2,0.5,0.4,,0.1,2.6,3.0,0.41,0.06,0.05,0.0,0.01,0.1,0.25,12.8,1.8,1.7,0.0,0.1,27.0,7.0,,,,,,,,,278.0,40.0,36.0,,4.0,67.0,172.0,4242.0,344.0,276.0,,68.0,1816.0,2083.0,8789.0,1252.0,1138.0,,101.0,18502.0,4794.0
48,02,2001JJ00,6.4,0.6,0.5,,0.1,3.0,2.9,0.41,0.06,0.05,0.0,0.01,0.1,0.25,13.0,1.9,1.7,0.0,0.2,28.0,6.9,,,,,,,,,316.0,46.0,42.0,,4.0,78.0,191.0,4960.0,454.0,378.0,,76.0,2295.0,2211.0,9969.0,1461.0,1326.0,,119.0,21631.0,5336.0
49,02,2002JJ00,4.8,0.4,0.3,,0.1,2.7,1.7,0.4,0.05,0.05,0.0,0.01,0.1,0.24,12.5,1.7,1.6,0.0,0.2,28.0,6.7,,,,,,,,,320.0,44.0,40.0,,5.0,81.0,195.0,3885.0,330.0,248.0,,82.0,2199.0,1355.0,10105.0,1405.0,1260.0,,129.0,22393.0,5429.0
50,02,2003JJ00,,,,,,,,0.63,0.1,0.1,0.0,0.0,0.35,0.18,19.8,3.1,3.1,0.0,0.0,96.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,02,2004JJ00,,,,,,,,0.46,0.05,0.05,0.0,0.0,0.2,0.2,14.4,1.6,1.6,0.0,0.0,55.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,02,2005JJ00,,,,,,,,0.5,0.06,0.05,0.0,0.01,0.27,0.17,15.8,2.0,1.5,0.0,0.4,75.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,02,2006JJ00,,,,,,,,0.55,0.05,0.05,0.0,0.0,0.28,0.22,17.4,1.7,1.7,0.0,0.0,77.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,03,1989JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
