ID,NederlandseEconomie,Energiedragers,Perioden,Winning_1,IntermediairEnHuishoudelijkVerbruik_2,Invoer_3,Productie_4,NettoEnergieverbruik_5,Uitvoer_6
394,B000579,E006533,2016JJ00,,229.0,348.6,482.0,,635.6
395,B000579,E006533,2017JJ00,,184.6,329.6,495.2,,655.9
396,B000579,E006533,2018JJ00,,152.1,260.0,363.1,,484.7
397,B000579,E006533,2019JJ00,,166.3,233.4,363.6,,408.1
398,B000579,E006533,2020JJ00,,176.4,210.9,382.7,,422.8
399,B000579,E006534,2000JJ00,,119.5,268.9,445.0,,577.3
400,B000579,E006534,2001JJ00,,108.5,300.9,404.0,,619.7
401,B000579,E006534,2002JJ00,,115.9,308.0,442.9,,640.7
402,B000579,E006534,2003JJ00,,86.2,313.7,432.3,,644.9
403,B000579,E006534,2004JJ00,,96.4,328.0,506.2,,737.1
404,B000579,E006534,2005JJ00,,110.0,441.1,485.3,,806.2
405,B000579,E006534,2006JJ00,,118.3,617.8,484.9,,974.1
406,B000579,E006534,2007JJ00,,154.8,640.4,447.0,,935.0
407,B000579,E006534,2008JJ00,,147.3,655.7,409.1,,904.2
408,B000579,E006534,2009JJ00,,138.4,698.4,407.7,,961.7
409,B000579,E006534,2010JJ00,,182.4,755.5,491.1,,1071.3
410,B000579,E006534,2011JJ00,,220.2,889.6,435.1,,1120.0
411,B000579,E006534,2012JJ00,,212.5,829.8,475.0,,1082.2
412,B000579,E006534,2013JJ00,,232.5,791.8,443.1,,1001.8
413,B000579,E006534,2014JJ00,,255.7,739.7,449.5,,928.7
