ID,SBI93,Perioden,Ondernemingen_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,WettelijkBudgetEnOfSubsidies_4,TotaalOverigeNettoOmzet_5,DBCOpbrengstenBSegment_6,TotNietGebudgetteerdeZorgprestaties_7,ZorgprestatiesTussenInstellingen_8,PersoonsgebondenEnVolgendeBudgetten_9,OvNietGebudgetteerdeZorgprestaties_10,OverigeDienstverlening_11,TotaalOverigeBedrijfsopbrengsten_12,WmoSubsidiesHuishoudelijkeHulp_13,OverigeSubsidiesEnBijdragen_14,NietEerderGenoemdeBedrijfsopbrengsten_15,TotaalBedrijfslasten_16,TotaalArbeidskosten_17,LonenEnSalarissen_18,PensioenlastenEnSocialeLasten_19,AfschrijvingenOpVasteActiva_20,BijzondereWaardeverminderingen_21,TotaalOverigeBedrijfslasten_22,TotaalAnderePersoneelskosten_23,KostenUitzendkrachtenEnOverigeInleen_24,OverigePersoneelskosten_25,TotaalNietEerderGenoemdeBedrLasten_26,VoedingEnHotelmatigeKosten_27,AlgemeneKosten_28,ClientEnBewonersgebondenKosten_29,OnderhoudEnEnergiekosten_30,HuurOperationeleLeasingKapGoederen_31,AndereBedrijfslasten_32,Bedrijfsresultaat_33,FinancieleBaten_34,FinancieleLasten_35,FinancieelResultaat_36,BuitengewoneBaten_37,BuitengewoneLasten_38,BuitengewoonResultaat_39,ResultaatVoorBelastingen_40,TotaalWettelijkBudget_41,ZiekenhEnRevalidZorgExclGGZ_42,GeestelijkeGezondheidszorgGGZ_43,IntraEnSemimuraleGehandicaptenzorg_44,IntramuraleVerplegingEnVerzorging_45,ZorgThuisEnDagactiviteit_46,OverigeZorg_47,OpbrengstenTerDekkingWettelijkBudget_48,FinancieringsverschilBudgetOpbrengsten_49,TotaalActiva_50,ImmaterieleVasteActiva_51,MaterieleVasteActiva_52,TotaalFinancieleVasteActiva_53,Deelnemingen_54,OverigeLanglopendeVorderingen_55,TotaalVoorradenInclOhwUHVDBCS_56,Voorraden_57,OnderhandenWerkUHVDBCS_58,TotaalKortlVordInclFinTekort_59,TotaalKortlopendeVorderingen_60,VorderingenOpDebiteuren_61,OverigeKortlopendeVorderingen_62,Financieringstekort_63,Effecten_64,LiquideMiddelen_65,TotaalPassiva_66,TotaalEigenVermogen_67,Kapitaal_68,CollectiefGefinGebVermogen_69,NietCollectiefGefinVrijVermogen_70,Voorzieningen_71,LanglopendeSchulden_72,TotKortlSchInclFinOverschot_73,TotaalKortlopendeSchulden_74,SchuldenAanKredietinstellingen_75,Crediteuren_76,AflossingsverplLanglLen_77,OvKortlopendeSchulden_78,Financieringsoverschot_79,BoekwaardePer1Januari_80,Investeringen_81,Herwaarderingen_82,Desinvesteringen_83,Afschrijvingen_84,BijzondereWaardeverminderingen_85,TerugnameAfgeschrevenActiva_86,BoekwaardePer31December_87,TotaalWerknemers_88,TotaalOverheadEnFacilitaireFuncties_89,AlgemeneEnAdministratieveFuncties_90,Hotelfuncties_91,TerreinEnGebouwgebondenFuncties_92,TotaalPatientEnBewonergebFuncties_93,VerpleegkundigEnVerzorgendPersoneel_94,MedischEnSociaalWetenschappFuncties_95,OvPatientEnBewonergebFuncties_96,LeerlingVerpleegkundigEnVerzorgend_97,OverigPersoneelInLoondienst_98,TotaalWerknemers_99,TotaalOverheadEnFacilitaireFuncties_100,AlgemeneEnAdministratieveFuncties_101,Hotelfuncties_102,TerreinEnGebouwgebondenFuncties_103,TotaalPatientEnBewonergebFuncties_104,VerpleegkundigEnVerzorgendPersoneel_105,MedischEnSociaalWetenschappFuncties_106,OvPatientEnBewonergebFuncties_107,LeerlingVerpleegkundigEnVerzorgend_108,OverigPersoneelInLoondienst_109,TotaalWerknemers_110,TotaalOverheadEnFacilitaireFuncties_111,AlgemeneEnAdministratieveFuncties_112,Hotelfuncties_113,TerreinEnGebouwgebondenFuncties_114,TotaalPatientEnBewonergebFuncties_115,VerpleegkundigEnVerzorgendPersoneel_116,MedischEnSociaalWetenschappFuncties_117,OvPatientEnBewonergebFuncties_118,LeerlingVerpleegkundigEnVerzorgend_119,OverigPersoneelInLoondienst_120,BeddenKlinischeDagDeeltijdbehand_121,KlinischeVerpleegdagen_122,DagEnDeeltijdbehandelingen_123,EerstePolikliniekbezoeken_124,KlinischeOpnamen_125,BeddenKlinischeBehandeling_126,PoliklinischeBehandelplaatsen_127,KlinischeVerpleegdagen_128,Revalidatiebehandeluren_129,EersteConsulten_130,BeddenKlinischeEnDeeltijdbehandGGZ_131,PlaatsenBeschermdWonen_132,KlinischeVerpleegdagenGGZ_133,VerzorgingsdagenBeschermdWonen_134,Deeltijdbehandelingen_135,PoliklinischeFaceToFaceContacten_136,EersteKlinischeOpnamen_137,IntramurPlaatsenMetBehandelingGHZ_138,IntramurPlaatsZonderBehandelingGHZ_139,KlinischeVerpleegdagenGHZ_140,KlinischeVerzorgingsdagenGHZ_141,IntramurPlaatsenMetBehandelingVPH_142,IntramurVerpleegdMetBehandelingVPH_143,NachtenNachtverpleging_144,IntramurPlaatsenZonderBehandelingVZH_145,IntramurVerzorgingsdagenZBehandVZH_146,DagenKortdurendVerblijf_147,NachtenNachtverzorging_148,UrenExtramuraleHuishoudelijkeVerz_149,UrenExtramuralePersoonlijkeVerz_150,UrenExtramuraleVerpleging_151,UrenExtramBegeleidingExclDagact_152,UrenExtramuraleBehandeling_153,UrenPrenataleZorg_154,DagdelenGroepsgewijzeDagactiviteiten_155,Capaciteit_156,Jeugdigen_157,Zorgaanspraken_158,Capaciteit_159,Jeugdigen_160,Zorgaanspraken_161,Capaciteit_162,Jeugdigen_163,Zorgaanspraken_164,Capaciteit_165,Jeugdigen_166,Zorgaanspraken_167,Capaciteit_168,Jeugdigen_169,Zorgaanspraken_170,Capaciteit_171,Jeugdigen_172
10, 3,2008JJ00,79.0,11724.0,11039.0,8384.0,2655.0,2045.0,315.0,127.0,0.0,188.0,295.0,685.0,27.0,263.0,395.0,11331.0,6157.0,4981.0,1176.0,894.0,,4279.0,570.0,337.0,233.0,3710.0,432.0,671.0,2148.0,308.0,81.0,70.0,393.0,40.0,316.0,-277.0,16.0,16.0,0.0,116.0,8293,7602,167.0,0,416,87,22,8787.0,-493.0,13762.0,15.0,9103.0,272.0,32.0,240.0,1142.0,148.0,995.0,2732.0,2661.0,1954.0,707.0,71.0,3.0,495.0,13762.0,1416.0,78.0,1184.0,153.0,313.0,5223.0,6809.0,4937.0,1498.0,659.0,485.0,2294.0,1873.0,8537.0,1781.0,,250.0,947.0,,18.0,9103.0,183920.0,58390.0,32980.0,23490.0,1920.0,118880.0,71540.0,8940.0,38400.0,4690.0,1960.0,125460.0,37890.0,22370.0,13720.0,1800.0,82630.0,47710.0,7610.0,27310.0,3990.0,960.0,4981.0,1305.0,836.0,400.0,68.0,3528.0,1895.0,624.0,1009.0,95.0,53.0,45060,8765,1455,8995,1540,30.0,40.0,7.0,64.0,3.0,1050.0,0.0,262.0,0.0,86.0,371.0,11.0,,,,,4390.0,1588.0,0.0,3230.0,1151.0,33.0,0.0,1442,785,211,219,7,1,485,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
11, 3,2009JJ00,78.0,12659.0,11857.0,8008.0,3850.0,3235.0,333.0,149.0,1.0,183.0,282.0,802.0,36.0,285.0,481.0,12171.0,6452.0,5241.0,1211.0,979.0,22.0,4718.0,636.0,384.0,252.0,4082.0,459.0,797.0,2326.0,340.0,82.0,78.0,488.0,12.0,298.0,-286.0,13.0,0.0,13.0,215.0,7922,7226,172.0,0,385,101,37,8279.0,-358.0,14187.0,128.0,9485.0,255.0,24.0,231.0,898.0,176.0,722.0,2890.0,2789.0,2140.0,649.0,100.0,3.0,528.0,14187.0,1684.0,67.0,1454.0,163.0,348.0,5494.0,6661.0,5107.0,1652.0,644.0,534.0,2276.0,1554.0,9122.0,1925.0,43.0,518.0,933.0,59.0,96.0,9485.0,190640.0,59290.0,33770.0,23560.0,1960.0,124950.0,74170.0,9550.0,41230.0,4320.0,2070.0,129790.0,38530.0,23100.0,13600.0,1830.0,86110.0,49030.0,8090.0,28990.0,3790.0,1360.0,5241.0,1361.0,884.0,407.0,70.0,3722.0,1963.0,677.0,1082.0,87.0,71.0,44800,8680,1600,9329,1615,30.0,40.0,8.0,68.0,3.0,1050.0,0.0,354.0,0.0,130.0,533.0,11.0,0.0,0.0,0.0,0.0,4130.0,1511.0,0.0,3050.0,1105.0,42.0,0.0,1934,1065,268,322,7,0,459,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
12, 4,2006JJ00,28.0,835.0,751.0,584.0,167.0,,,,,,,84.0,0.0,42.0,42.0,800.0,507.0,414.0,94.0,54.0,,238.0,53.0,26.0,26.0,186.0,30.0,55.0,65.0,24.0,8.0,2.0,36.0,1.0,24.0,-23.0,2.0,0.0,2.0,14.0,584,560,0.0,18,0,6,0,487.0,98.0,1000.0,22.0,680.0,23.0,,,39.0,,,204.0,,,,,0.0,33.0,1000.0,166.0,,,,28.0,412.0,394.0,,,,,,,,93.0,,,,,,680.0,14080.0,4150.0,2530.0,1390.0,230.0,9760.0,3900.0,1320.0,4540.0,170.0,,9900.0,2950.0,1900.0,850.0,200.0,6830.0,2640.0,1090.0,3100.0,120.0,,414.0,105.0,76.0,23.0,7.0,305.0,94.0,85.0,126.0,4.0,,1960,199,28,93,17,1770.0,980.0,457.0,2090.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,710.0,230.0,253.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,13,0,0,78,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
13, 4,2007JJ00,27.0,911.0,795.0,611.0,184.0,110.0,19.0,17.0,0.0,2.0,54.0,116.0,0.0,73.0,43.0,880.0,551.0,451.0,100.0,56.0,,272.0,51.0,29.0,22.0,221.0,32.0,59.0,87.0,31.0,9.0,3.0,31.0,2.0,25.0,-23.0,2.0,2.0,-1.0,8.0,611,580,0.0,14,0,13,3,616.0,-6.0,1039.0,3.0,729.0,11.0,1.0,10.0,50.0,5.0,46.0,203.0,185.0,106.0,79.0,18.0,3.0,39.0,1039.0,181.0,10.0,127.0,45.0,37.0,405.0,415.0,380.0,152.0,38.0,29.0,161.0,36.0,692.0,112.0,,17.0,58.0,,0.0,729.0,15280.0,4350.0,2860.0,1270.0,220.0,10750.0,3780.0,1240.0,5730.0,100.0,70.0,10770.0,3020.0,2070.0,770.0,180.0,7610.0,2560.0,940.0,4110.0,80.0,60.0,451.0,110.0,81.0,23.0,6.0,337.0,95.0,78.0,163.0,2.0,2.0,1830,134,30,124,18,1770.0,1030.0,447.0,2195.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,160.0,251.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,28,5,0,121,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
14, 4,2008JJ00,27.0,980.0,830.0,613.0,218.0,123.0,28.0,11.0,0.0,17.0,66.0,149.0,0.0,95.0,54.0,940.0,586.0,480.0,106.0,66.0,,288.0,59.0,35.0,24.0,229.0,35.0,63.0,88.0,29.0,13.0,3.0,39.0,1.0,26.0,-25.0,2.0,0.0,2.0,16.0,616,527,0.0,70,0,14,5,615.0,1.0,1131.0,1.0,746.0,13.0,6.0,7.0,70.0,5.0,65.0,240.0,196.0,115.0,81.0,44.0,8.0,53.0,1131.0,184.0,9.0,129.0,47.0,31.0,431.0,484.0,443.0,158.0,40.0,37.0,208.0,40.0,723.0,89.0,,2.0,61.0,,4.0,746.0,15910.0,4790.0,3330.0,1260.0,200.0,10720.0,3780.0,1210.0,5730.0,140.0,260.0,11410.0,3440.0,2490.0,780.0,170.0,7710.0,2590.0,930.0,4190.0,100.0,160.0,480.0,128.0,98.0,24.0,6.0,344.0,97.0,82.0,165.0,3.0,5.0,1830,156,40,149,19,1880.0,1080.0,448.0,2285.0,40.0,,,,,,,,710.0,230.0,250.0,75.0,,,,,,,,0,1,5,32,2,0,166,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
15, 4,2009JJ00,25.0,1064.0,892.0,649.0,243.0,149.0,33.0,12.0,1.0,20.0,61.0,173.0,0.0,110.0,63.0,1023.0,636.0,517.0,119.0,75.0,0.0,313.0,60.0,36.0,24.0,252.0,37.0,74.0,100.0,30.0,9.0,1.0,41.0,1.0,23.0,-22.0,2.0,0.0,1.0,20.0,610,505,0.0,83,0,14,7,603.0,6.0,1230.0,0.0,788.0,10.0,5.0,5.0,102.0,7.0,95.0,278.0,229.0,137.0,92.0,49.0,9.0,43.0,1230.0,214.0,9.0,146.0,58.0,37.0,418.0,561.0,527.0,247.0,54.0,33.0,193.0,34.0,746.0,129.0,0.0,17.0,69.0,0.0,0.0,788.0,16840.0,5070.0,3580.0,1290.0,210.0,11410.0,3950.0,1240.0,6230.0,80.0,280.0,11550.0,3470.0,2530.0,770.0,170.0,7850.0,2600.0,940.0,4300.0,60.0,170.0,517.0,137.0,106.0,24.0,6.0,373.0,101.0,91.0,181.0,1.0,6.0,1440,162,42,153,20,1880.0,1130.0,445.0,2265.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,230.0,247.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,5,36,3,0,175,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
16, 6,2006JJ00,100.0,4308.0,3784.0,3690.0,93.0,,40.0,28.0,2.0,9.0,54.0,524.0,0.0,431.0,93.0,4181.0,2831.0,2302.0,529.0,183.0,,1167.0,264.0,132.0,132.0,903.0,194.0,308.0,122.0,149.0,118.0,11.0,127.0,4.0,61.0,-57.0,3.0,2.0,0.0,70.0,3678,0,3583.0,12,59,24,0,3655.0,23.0,2965.0,34.0,2399.0,11.0,,,7.0,7.0,0.0,179.0,132.0,,,47.0,1.0,334.0,2965.0,621.0,14.0,531.0,76.0,142.0,1174.0,1028.0,979.0,,,,,49.0,,409.0,,,,,,2399.0,75860.0,19720.0,13370.0,5490.0,860.0,54340.0,28940.0,9720.0,15680.0,1800.0,,57760.0,14490.0,10100.0,3650.0,740.0,41660.0,22000.0,7810.0,11860.0,1610.0,,2302.0,533.0,393.0,108.0,32.0,1733.0,783.0,450.0,500.0,36.0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21240.0,7970.0,7461.0,2719.0,1351.0,10113.0,50.0,180.0,0.0,52.0,0.0,770.0,278.0,0.0,340.0,123.0,3.0,0.0,12,43,36,887,25,0,6073,,1,1.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,0,0
17, 6,2007JJ00,102.0,4630.0,3967.0,3872.0,95.0,0.0,38.0,24.0,3.0,10.0,57.0,663.0,0.0,549.0,114.0,4519.0,3031.0,2478.0,554.0,204.0,,1284.0,283.0,148.0,136.0,1000.0,210.0,335.0,136.0,154.0,150.0,15.0,111.0,9.0,66.0,-56.0,8.0,0.0,8.0,63.0,3866,0,3764.0,12,59,31,0,3784.0,82.0,3175.0,7.0,2599.0,15.0,2.0,13.0,7.0,7.0,0.0,271.0,176.0,53.0,124.0,94.0,0.0,275.0,3175.0,705.0,15.0,591.0,99.0,145.0,1243.0,1083.0,1059.0,174.0,156.0,77.0,652.0,24.0,2402.0,515.0,,114.0,205.0,,0.0,2599.0,80010.0,20350.0,13280.0,6220.0,860.0,57250.0,31780.0,10470.0,15000.0,1700.0,710.0,60080.0,14560.0,9890.0,3950.0,720.0,43450.0,24270.0,8120.0,11060.0,1540.0,540.0,2478.0,554.0,412.0,116.0,26.0,1874.0,894.0,508.0,473.0,34.0,16.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20950.0,9350.0,7235.0,2761.0,1347.0,11395.0,52.0,140.0,10.0,53.0,4.0,770.0,280.0,0.0,340.0,117.0,2.0,0.0,6,46,36,1204,33,0,6966,0.0,1,1.0,0.0,0,0.0,0.0,1,1.0,0.0,0,0.0,0.0,0,0.0,0,0
18, 6,2008JJ00,97.0,4862.0,4055.0,3963.0,92.0,0.0,44.0,23.0,6.0,15.0,48.0,807.0,0.0,668.0,139.0,4753.0,3187.0,2579.0,608.0,214.0,,1351.0,318.0,169.0,149.0,1033.0,216.0,345.0,146.0,157.0,153.0,17.0,110.0,18.0,104.0,-85.0,3.0,1.0,2.0,26.0,3984,0,3879.0,11,68,26,0,3569.0,415.0,4803.0,8.0,2780.0,19.0,3.0,16.0,668.0,7.0,661.0,1208.0,782.0,393.0,389.0,425.0,0.0,120.0,4803.0,724.0,19.0,596.0,109.0,154.0,1434.0,2490.0,2451.0,1369.0,179.0,102.0,801.0,39.0,2603.0,551.0,,149.0,223.0,,1.0,2780.0,81380.0,20790.0,13850.0,6110.0,830.0,58290.0,32240.0,10350.0,15700.0,1610.0,700.0,61560.0,15240.0,10560.0,3960.0,730.0,44330.0,24450.0,8220.0,11660.0,1490.0,500.0,2579.0,586.0,439.0,119.0,27.0,1943.0,939.0,515.0,489.0,33.0,18.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20490.0,9610.0,6561.0,2985.0,1123.0,11813.0,50.0,130.0,10.0,45.0,4.0,770.0,284.0,0.0,410.0,138.0,5.0,0.0,18,63,35,1745,29,0,5897,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
19, 6,2009JJ00,95.0,5238.0,4319.0,4226.0,93.0,0.0,47.0,23.0,6.0,18.0,46.0,919.0,1.0,770.0,149.0,5057.0,3357.0,2762.0,595.0,224.0,5.0,1472.0,329.0,172.0,157.0,1143.0,230.0,382.0,145.0,162.0,175.0,49.0,181.0,12.0,94.0,-82.0,2.0,3.0,0.0,99.0,4233,0,4123.0,15,95,0,0,4458.0,-225.0,4962.0,7.0,2929.0,24.0,2.0,21.0,584.0,6.0,578.0,1247.0,998.0,513.0,485.0,249.0,1.0,169.0,4962.0,816.0,20.0,674.0,122.0,171.0,1498.0,2477.0,2096.0,1010.0,177.0,107.0,803.0,381.0,2760.0,625.0,0.0,220.0,225.0,9.0,1.0,2929.0,83690.0,20760.0,14350.0,5580.0,830.0,60050.0,31870.0,10610.0,17570.0,1660.0,1220.0,63440.0,15370.0,11030.0,3630.0,720.0,45780.0,24180.0,8270.0,13330.0,1460.0,820.0,2762.0,603.0,467.0,111.0,26.0,2096.0,990.0,528.0,578.0,36.0,26.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20840.0,10530.0,7337.0,3532.0,1150.0,12298.0,49.0,130.0,10.0,44.0,3.0,770.0,289.0,0.0,400.0,140.0,6.0,0.0,27,71,31,1847,24,0,6758,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0,0
20, 9,2006JJ00,158.0,5557.0,5229.0,5051.0,177.0,,113.0,18.0,67.0,28.0,65.0,329.0,0.0,210.0,119.0,5400.0,3577.0,2917.0,660.0,257.0,,1566.0,282.0,148.0,134.0,1284.0,362.0,334.0,149.0,233.0,182.0,24.0,158.0,7.0,103.0,-96.0,0.0,0.0,0.0,61.0,5017,0,42.0,3837,42,1095,0,4835.0,181.0,4385.0,92.0,3472.0,8.0,,,9.0,9.0,0.0,326.0,176.0,,,150.0,4.0,474.0,4385.0,853.0,7.0,755.0,91.0,223.0,1727.0,1583.0,1523.0,,,,,59.0,,606.0,,,,,,3472.0,141730.0,21170.0,9990.0,10100.0,1070.0,115870.0,94890.0,2590.0,18390.0,2960.0,1730.0,88680.0,13840.0,7200.0,5730.0,900.0,71140.0,57020.0,1750.0,12360.0,2360.0,1330.0,2917.0,453.0,275.0,148.0,31.0,2357.0,1823.0,83.0,452.0,46.0,60.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,500.0,36.0,179.0,15.0,58.0,0.0,40740.0,22050.0,14593.0,7692.0,440.0,157.0,0.0,370.0,179.0,3.0,0.0,295,617,319,8423,676,0,12754,,1,1.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,0,0
21, 9,2007JJ00,150.0,5883.0,5527.0,5333.0,194.0,0.0,133.0,19.0,81.0,33.0,60.0,356.0,2.0,224.0,130.0,5718.0,3752.0,3055.0,697.0,266.0,,1701.0,326.0,181.0,145.0,1375.0,390.0,350.0,159.0,240.0,210.0,26.0,165.0,10.0,110.0,-100.0,2.0,2.0,0.0,65.0,5340,0,80.0,4024,34,1197,5,5176.0,164.0,4630.0,7.0,3738.0,23.0,1.0,21.0,8.0,8.0,0.0,430.0,184.0,52.0,131.0,247.0,6.0,418.0,4630.0,930.0,8.0,822.0,100.0,211.0,1852.0,1637.0,1604.0,520.0,200.0,119.0,765.0,33.0,3523.0,632.0,,152.0,263.0,,3.0,3738.0,148250.0,22280.0,10840.0,10360.0,1080.0,120190.0,98400.0,2630.0,19160.0,3540.0,2240.0,92570.0,14330.0,7790.0,5630.0,920.0,73690.0,59010.0,1810.0,12860.0,2850.0,1700.0,3055.0,486.0,309.0,147.0,30.0,2446.0,1880.0,93.0,473.0,50.0,73.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,210.0,640.0,71.0,335.0,34.0,56.0,0.0,40770.0,23300.0,14668.0,8188.0,340.0,123.0,0.0,320.0,154.0,3.0,0.0,96,649,450,8271,607,1,13206,1.0,1,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
22, 9,2008JJ00,150.0,6432.0,6057.0,5829.0,228.0,0.0,165.0,24.0,107.0,34.0,63.0,375.0,2.0,233.0,140.0,6222.0,4014.0,3276.0,738.0,290.0,,1918.0,387.0,210.0,178.0,1531.0,439.0,376.0,162.0,264.0,240.0,50.0,210.0,12.0,124.0,-112.0,5.0,4.0,1.0,99.0,5778,0,89.0,4359,25,1297,7,5572.0,205.0,4871.0,5.0,3931.0,39.0,1.0,38.0,12.0,8.0,4.0,458.0,181.0,59.0,121.0,277.0,7.0,419.0,4871.0,1026.0,9.0,925.0,92.0,254.0,1878.0,1714.0,1663.0,535.0,196.0,137.0,796.0,50.0,3738.0,667.0,,171.0,299.0,,4.0,3931.0,152790.0,22390.0,11090.0,10200.0,1100.0,123540.0,100190.0,2750.0,20600.0,4040.0,2810.0,95860.0,14690.0,8160.0,5590.0,940.0,75930.0,59990.0,1890.0,14050.0,3210.0,2030.0,3276.0,508.0,328.0,149.0,31.0,2625.0,2004.0,98.0,523.0,63.0,80.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,210.0,1040.0,78.0,361.0,30.0,60.0,0.0,42510.0,24400.0,15173.0,8568.0,210.0,75.0,0.0,280.0,137.0,2.0,0.0,100,671,372,8615,737,1,13082,1.0,2,2.0,0.0,1,1.0,1.0,1,1.0,0.0,1,1.0,0.0,0,0.0,0,0
23, 9,2009JJ00,141.0,6928.0,6525.0,6289.0,236.0,0.0,183.0,27.0,121.0,35.0,52.0,403.0,4.0,251.0,148.0,6617.0,4215.0,3471.0,743.0,368.0,13.0,2022.0,385.0,211.0,174.0,1637.0,456.0,410.0,172.0,293.0,254.0,52.0,310.0,9.0,108.0,-100.0,2.0,5.0,-2.0,209.0,6273,0,110.0,4751,75,1330,7,6058.0,216.0,5348.0,1.0,4278.0,56.0,2.0,55.0,21.0,7.0,14.0,451.0,185.0,68.0,116.0,266.0,5.0,536.0,5348.0,1247.0,8.0,1132.0,107.0,319.0,2077.0,1704.0,1675.0,423.0,213.0,153.0,886.0,29.0,4148.0,764.0,6.0,12.0,267.0,360.0,1.0,4278.0,158700.0,23130.0,11560.0,10400.0,1170.0,127530.0,103540.0,3030.0,20960.0,4610.0,3440.0,98870.0,15040.0,8440.0,5650.0,950.0,77860.0,61660.0,2170.0,14030.0,3510.0,2460.0,3471.0,554.0,367.0,153.0,34.0,2751.0,2112.0,112.0,527.0,76.0,90.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,240.0,1230.0,86.0,425.0,23.0,67.0,0.0,44410.0,23690.0,15868.0,8289.0,710.0,259.0,0.0,880.0,351.0,8.0,0.0,196,874,348,8947,823,0,13575,0.0,1,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0,0
24,12,2006JJ00,550.0,13241.0,12513.0,11572.0,941.0,,,,,,,727.0,0.0,311.0,416.0,12811.0,8294.0,6778.0,1516.0,608.0,,3909.0,1004.0,605.0,399.0,2905.0,855.0,768.0,305.0,438.0,498.0,41.0,429.0,31.0,351.0,-319.0,13.0,7.0,5.0,115.0,11496,124,16.0,85,7499,3772,0,11313.0,183.0,9940.0,221.0,7246.0,103.0,,,36.0,,,841.0,,,,,18.0,1474.0,9939.0,2171.0,,,,484.0,3905.0,3379.0,,,,,,,,1556.0,,,,,,7246.0,404010.0,92830.0,30190.0,59010.0,3620.0,292880.0,262660.0,3670.0,26550.0,18300.0,,221680.0,51570.0,20080.0,28760.0,2720.0,155880.0,138000.0,2470.0,15410.0,14230.0,,6778.0,1726.0,758.0,862.0,105.0,4734.0,3686.0,156.0,892.0,318.0,,700,152,20,144,26,0.0,0.0,0.0,0.0,0.0,50.0,220.0,16.0,79.0,8.0,74.0,0.0,850.0,640.0,349.0,226.0,61660.0,21992.0,13.0,98840.0,34598.0,1123.0,6.0,51755,25955,11702,7469,53,82,8712,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
25,12,2007JJ00,537.0,13598.0,11848.0,10910.0,938.0,16.0,534.0,45.0,28.0,461.0,389.0,1749.0,1017.0,130.0,602.0,13456.0,8581.0,7052.0,1529.0,703.0,,4172.0,1070.0,686.0,384.0,3102.0,912.0,802.0,351.0,462.0,536.0,40.0,142.0,51.0,243.0,-192.0,6.0,9.0,-3.0,-53.0,10834,127,24.0,126,7744,2812,1,10638.0,197.0,10343.0,28.0,7857.0,133.0,17.0,115.0,42.0,25.0,17.0,1065.0,724.0,364.0,360.0,341.0,17.0,1201.0,10343.0,2234.0,30.0,1743.0,461.0,448.0,4153.0,3508.0,3435.0,640.0,495.0,317.0,1983.0,73.0,7395.0,1441.0,,345.0,604.0,,30.0,7857.0,388660.0,102550.0,31670.0,66280.0,4590.0,270670.0,231190.0,4560.0,34920.0,10990.0,4460.0,210230.0,55470.0,20070.0,32240.0,3150.0,144670.0,120880.0,2700.0,21080.0,8240.0,1860.0,7052.0,1856.0,826.0,927.0,103.0,4937.0,3895.0,159.0,883.0,161.0,98.0,700,137,27,140,25,0.0,0.0,0.0,0.0,0.0,20.0,220.0,8.0,136.0,10.0,112.0,0.0,1170.0,640.0,451.0,212.0,62740.0,22465.0,13.0,97200.0,33829.0,1067.0,2.0,51267,28860,10694,9147,78,78,8991,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
