ID,Geslacht,Kenmerken,Perioden,WerknemersMetKinderenTot8Jaar_1,WerknemersMetOuderschapsverlof_2,GeenOuderschapsverlofWelBehoefte_3,GeenOuderschapsverlofGeenBehoefte_4,OuderschapsverlofOnbekend_5
155,1,15,2005JJ00,5.0,5.0,,,
156,1,15,2007JJ00,3.0,3.0,,,
157,1,15,2009JJ00,3.0,3.0,,,
158,1,15,2011JJ00,6.0,6.0,,,
159,1,15,2013JJ00,3.0,3.0,,,
160,1,16,2005JJ00,22.0,22.0,,,
161,1,16,2007JJ00,20.0,20.0,,,
162,1,16,2009JJ00,21.0,21.0,,,
163,1,16,2011JJ00,25.0,25.0,,,
164,1,16,2013JJ00,22.0,22.0,,,
165,1,17,2005JJ00,17.0,17.0,,,
166,1,17,2007JJ00,25.0,25.0,,,
167,1,17,2009JJ00,21.0,21.0,,,
168,1,17,2011JJ00,32.0,32.0,,,
169,1,17,2013JJ00,33.0,33.0,,,
170,1,18,2005JJ00,26.0,,26.0,,
171,1,18,2007JJ00,26.0,,26.0,,
172,1,18,2009JJ00,28.0,,28.0,,
173,1,18,2011JJ00,16.0,,16.0,,
174,1,18,2013JJ00,20.0,,20.0,,
175,1,19,2005JJ00,3.0,,3.0,,
176,1,19,2007JJ00,2.0,,2.0,,
177,1,19,2009JJ00,2.0,,2.0,,
178,1,19,2011JJ00,2.0,,2.0,,
179,1,19,2013JJ00,,,,,
180,1,20,2005JJ00,2.0,,2.0,,
181,1,20,2007JJ00,2.0,,2.0,,
182,1,20,2009JJ00,,,,,
183,1,20,2011JJ00,,,,,
184,1,20,2013JJ00,,,,,
185,1,21,2005JJ00,28.0,,28.0,,
186,1,21,2007JJ00,37.0,,37.0,,
187,1,21,2009JJ00,28.0,,28.0,,
188,1,21,2011JJ00,20.0,,20.0,,
189,1,21,2013JJ00,23.0,,23.0,,
190,1,22,2005JJ00,5.0,,5.0,,
191,1,22,2007JJ00,6.0,,6.0,,
192,1,22,2009JJ00,7.0,,7.0,,
193,1,22,2011JJ00,4.0,,4.0,,
194,1,22,2013JJ00,4.0,,4.0,,
195,1,23,2005JJ00,2.0,,2.0,,
196,1,23,2007JJ00,,,,,
197,1,23,2009JJ00,2.0,,2.0,,
198,1,23,2011JJ00,,,,,
199,1,23,2013JJ00,2.0,,2.0,,
200,1,24,2005JJ00,,,,,
