ID,SBI93,Grootteklassen,Perioden,Bedrijven_1,WerkzamePersonen_2,Werknemers_3,VerloondeSocialeVerzekeringsdagen_4,GewerkteDagen_5,Totaal_6,ProductieBouwbedrijf_7,OmzetHandelEnOverigeOpbrengsten_8,Totaal_9,Totaal_10,VoorBouwactiviteiten_11,VoorHandelEnOvActiviteiten_12,BetalingenAanOnderaannemers_13,KostenEnergieverbruik_14,OverigeBedrijfskosten_15,Totaal_16,Arbeidskosten_17,SubsidiesEnHeffingen_18,Totaal_19,SaldoInterest_20,SaldoBatenEnLasten_21,SaldoVoorzieningen_22,AfschrijvingenOpVasteActiva_23,SaldoBouwactiviteitenBuitenland_24,ResultaatVoorBelastingen_25,CodeBedrijfsactiviteit_26
565,45332 ,D,1998JJ00,32,9.0,9.0,2096.0,1752.0,975.0,962.0,13.0,650.0,354.0,353.0,1.0,177.0,1.0,118.0,325.0,287.0,0.0,38.0,0.0,2.0,-1.0,13.0,8.0,34.0,45332 
566,45332 ,D,1999JJ00,33,9.0,9.0,2145.0,1823.0,1034.0,1016.0,17.0,690.0,356.0,351.0,5.0,187.0,1.0,147.0,344.0,299.0,1.0,46.0,-1.0,0.0,2.0,15.0,11.0,43.0,45332 
567,4534  ,T,1997JJ00,302,9.0,9.0,2136.0,1778.0,1433.0,1013.0,419.0,1175.0,952.0,611.0,278.0,77.0,2.0,146.0,257.0,291.0,0.0,-35.0,-1.0,3.0,0.0,21.0,110.0,56.0,4534  
568,4534  ,T,1998JJ00,289,11.0,11.0,2700.0,2257.0,2076.0,1498.0,578.0,1605.0,1227.0,808.0,368.0,123.0,3.0,254.0,471.0,419.0,0.0,52.0,0.0,6.0,5.0,29.0,63.0,98.0,4534  
569,4534  ,T,1999JJ00,272,11.0,11.0,2867.0,2465.0,2614.0,1626.0,987.0,2051.0,1678.0,795.0,817.0,149.0,3.0,224.0,563.0,444.0,0.0,119.0,-32.0,13.0,0.0,35.0,42.0,108.0,4534  
570,4534  ,K,1997JJ00,253,1.0,0.0,106.0,93.0,54.0,51.0,3.0,35.0,25.0,0.0,0.0,1.0,0.0,9.0,20.0,11.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,8.0,4534  
571,4534  ,K,1998JJ00,230,1.0,0.0,100.0,86.0,44.0,41.0,4.0,27.0,20.0,0.0,0.0,1.0,0.0,7.0,17.0,11.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,4534  
572,4534  ,K,1999JJ00,212,0.0,0.0,73.0,68.0,39.0,33.0,5.0,24.0,18.0,0.0,0.0,1.0,0.0,5.0,15.0,9.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,4534  
573,4534  ,G,1997JJ00,49,8.0,8.0,2031.0,1684.0,1378.0,962.0,416.0,1140.0,928.0,611.0,278.0,76.0,2.0,137.0,237.0,280.0,0.0,-43.0,-1.0,3.0,0.0,20.0,109.0,48.0,4534  
574,4534  ,G,1998JJ00,59,10.0,10.0,2600.0,2171.0,2032.0,1458.0,574.0,1577.0,1208.0,808.0,368.0,123.0,3.0,248.0,455.0,408.0,0.0,46.0,1.0,6.0,5.0,28.0,63.0,93.0,4534  
