ID,KenmerkenGebruikers,Cijfersoort,Perioden,HasjOfMarihuana_1,Cocaine_2,Amfetaminen_3,Ecstasy_4,Heroine_5,PrestatieverbeterendeMiddelen_6,LSD_7,HasjOfMarihuana_8,Cocaine_9,Amfetaminen_10,Ecstasy_11,Heroine_12,PrestatieverbeterendeMiddelen_13,LSD_14
13,101,2,2008JJ00,30.3,6.2,3.9,7.2,0.8,2.3,2.2,5.6,0.5,0.2,0.3,0.0,,0.0
14,101,2,2009JJ00,31.1,6.8,4.1,7.3,0.4,2.2,1.5,5.4,0.5,0.2,0.2,0.0,,0.0
15,101,3,2007JJ00,31.3,7.3,4.8,8.6,1.2,3.5,3.3,6.9,0.9,0.4,0.8,0.2,,0.2
16,101,3,2008JJ00,33.8,8.3,5.5,9.4,1.6,3.6,3.5,7.5,1.2,0.8,0.9,0.3,,0.0
17,101,3,2009JJ00,34.7,9.0,5.7,9.5,1.1,3.5,2.7,7.3,1.2,0.6,0.7,0.0,,0.3
18,102,1,2007JJ00,18.1,2.3,1.4,2.9,0.1,0.2,0.8,2.1,0.2,0.1,0.3,0.0,,0.0
19,102,1,2008JJ00,19.2,2.4,1.4,3.6,0.2,0.1,0.5,1.7,0.3,0.1,0.5,0.0,,0.0
20,102,1,2009JJ00,18.4,2.5,1.4,4.0,0.3,0.4,1.0,2.0,0.2,0.1,0.4,0.1,,0.1
21,102,2,2007JJ00,16.6,1.8,1.0,2.3,0.1,0.1,0.5,1.6,0.1,0.0,0.1,0.0,,0.0
22,102,2,2008JJ00,17.8,1.8,1.0,3.0,0.1,0.0,0.3,1.3,0.2,0.0,0.3,0.0,,0.0
23,102,2,2009JJ00,17.0,2.0,1.0,3.3,0.1,0.2,0.7,1.5,0.1,0.0,0.2,0.0,,0.0
24,102,3,2007JJ00,19.6,3.0,2.0,3.7,0.4,0.4,1.3,2.7,0.5,0.4,0.3,0.0,,0.0
25,102,3,2008JJ00,20.7,3.0,1.9,4.4,0.5,0.3,0.8,2.3,0.6,0.3,0.9,0.0,,0.0
26,102,3,2009JJ00,20.0,3.2,1.9,4.9,0.6,0.7,1.5,2.7,0.5,0.4,0.8,0.4,,0.4
