ID,TypeLozing,IndustrieVolgensSBI93,Perioden,FosforverbindingenAlsP_1,StikstofverbindingenAlsN_2,AntimoonverbindingenAlsSb_3,ArseenverbindingenAlsAs_4,CadmiumverbindingenAlsCd_5,ChroomverbindingenAlsCr_6,KobaltverbindingenAlsCo_7,KoperverbindingenAlsCu_8,KwikverbindingenAlsHg_9,LoodverbindingenAlsPb_10,NikkelverbindingenAlsNi_11,ZinkverbindingenAlsZn_12,Benzeen_13,Ethylbenzeen_14,Isopropylbenzeen_15,SomPAK6VanBorneff_16,Tolueen_17,XyleenTotaal_18,Dichloorethaan12_19,Hexachloorbutadieen_20,TetrachlooretheenPer_21,TetrachloormethaanTetra_22,DrinsAldrinDieldrinEnz_23,Hexachloorbenzenen_24,Pentachloorfenol_25,ChloorverbAnorgChloridenAlsCl_26,Fluoriden_27,CyanidenAnorganischAlsCN_28,CZV_29
211,T         ,245       ,2004JJ00  ,1.0,28.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,1.0,3.0,88.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,2871.0
212,T         ,245       ,2005JJ00  ,1.0,153.0,0.0,0.0,0.0,8.1,0.0,8.0,0.0,0.0,1.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,2453.0
213,T         ,245       ,2006JJ00  ,2.0,45.0,0.0,0.0,0.0,0.9,0.0,4.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,2199.0
214,T         ,245       ,2007JJ00  ,5.0,49.0,0.0,0.0,0.0,0.6,0.0,2.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,2351.0
215,T         ,245       ,2008JJ00  ,13.0,17.0,0.0,0.0,0.0,0.8,0.0,2.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,1154.0
216,T         ,246       ,1990JJ00  ,56.0,232.0,0.0,1.0,0.0,10.3,,554.0,2.706,131.0,54.0,495.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16146.0,0.0,0.0,3302.0
217,T         ,246       ,1995JJ00  ,4.0,102.0,0.0,2.4,1.573,101.4,,212.0,2.393,100.0,138.0,561.0,0.0,1.2,0.0,0.0,14.5,2.7,0.0,0.0,1.986,0.0,0.0,0.0,0.0,5450.0,0.0,0.0,887.0
218,T         ,246       ,2000JJ00  ,17.0,333.0,0.0,19.5,39.212,68.3,,153.0,1.038,63.0,178.0,357.0,0.1,0.2,0.0,0.1,1.2,1.5,0.0,0.0,0.881,0.0,0.0,0.0,0.006,14962.0,0.0,0.0,2118.0
219,T         ,246       ,2003JJ00  ,20.0,759.0,0.0,223.0,13.416,117.0,8.3,409.0,10.712,75.0,186.0,842.0,0.5,0.3,0.0,0.5,1.1,0.6,0.0,0.0,0.262,0.0,0.0,0.0,0.0,11358.0,0.0,2.0,3571.0
220,T         ,246       ,2004JJ00  ,14.0,313.0,0.0,135.9,10.348,70.0,47.7,201.0,5.547,44.0,122.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,11173.0,0.0,2.0,3365.0
