ID,Huishoudkenmerken,Perioden,ToegangTotPC_1,Desktop_2,Laptop_3,WelToegangInternet_4,GeenToegangInternet_5,EldersInternetten_6,WilNietGeenInteresse_7,FinancieleRedenen_8,OnvoldoendeKennisFysiekeBeperking_9,PrivacyEnVeiligheid_10,AndereReden_11,TotaalGeenBreedband_12,AnaloogModem_13,ISDN_14,MobieleTelefoonWAPGPRS_15,TotaalBreedband_16,ADSL_17,Kabel_18,TotaalGeenBreedband_19,AnaloogModem_20,ISDN_21,MobieleTelefoonWAPGPRS_22,TotaalBreedband_23,ADSL_24,Kabel_25,PersonalComputer_26,PCDesktop_27,Laptop_28,MobieleTelefoon_29,AndereApparatuur_30,PersonalComputer_31,PCDesktop_32,Laptop_33,MobieleTelefoon_34,AndereApparatuur_35
50,21650,2010JJ00,100.0,63.0,92.0,95.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,6.0,6.0,79.0,53.0,30.0,17.0,0.0,6.0,6.0,83.0,55.0,32.0,95.0,60.0,87.0,39.0,7.0,99.0,63.0,92.0,40.0,7.0
51,21650,2011JJ00,100.0,72.0,91.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,93.0,,,1.0,,,,93.0,,,100.0,72.0,91.0,85.0,59.0,100.0,72.0,91.0,85.0,59.0
52,21650,2012JJ00,97.0,59.0,90.0,96.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,5.0,,,,91.0,,,6.0,,,,94.0,,,96.0,58.0,89.0,77.0,38.0,100.0,60.0,92.0,80.0,40.0
53,21650,2013JJ00,99.0,80.0,91.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,90.0,,,9.0,,,,91.0,,,99.0,77.0,90.0,87.0,73.0,99.0,77.0,90.0,87.0,74.0
54,21720,2005JJ00,76.0,72.0,22.0,70.0,30.0,2.0,16.0,7.0,4.0,1.0,7.0,20.0,15.0,4.0,3.0,50.0,28.0,23.0,29.0,22.0,6.0,4.0,71.0,41.0,33.0,69.0,66.0,15.0,11.0,3.0,99.0,94.0,22.0,16.0,5.0
55,21720,2006JJ00,75.0,69.0,25.0,70.0,30.0,4.0,15.0,5.0,5.0,0.0,4.0,12.0,7.0,4.0,1.0,57.0,37.0,22.0,18.0,11.0,6.0,2.0,82.0,53.0,32.0,70.0,66.0,18.0,9.0,3.0,100.0,94.0,26.0,13.0,5.0
56,21720,2007JJ00,77.0,69.0,28.0,72.0,28.0,3.0,17.0,4.0,5.0,1.0,2.0,8.0,3.0,3.0,1.0,64.0,40.0,25.0,12.0,4.0,4.0,2.0,88.0,56.0,35.0,72.0,62.0,24.0,12.0,8.0,100.0,87.0,33.0,16.0,11.0
57,21720,2008JJ00,76.0,66.0,36.0,75.0,25.0,2.0,14.0,5.0,5.0,0.0,3.0,13.0,6.0,5.0,1.0,62.0,37.0,27.0,18.0,8.0,7.0,1.0,82.0,50.0,36.0,72.0,60.0,34.0,14.0,9.0,96.0,80.0,45.0,19.0,11.0
58,21720,2009JJ00,82.0,69.0,46.0,81.0,19.0,0.0,13.0,4.0,3.0,0.0,2.0,11.0,3.0,3.0,0.0,70.0,49.0,28.0,14.0,3.0,4.0,0.0,86.0,62.0,35.0,80.0,64.0,43.0,20.0,18.0,99.0,79.0,53.0,25.0,22.0
59,21720,2010JJ00,83.0,63.0,51.0,82.0,18.0,3.0,14.0,3.0,4.0,1.0,0.0,10.0,2.0,3.0,2.0,72.0,47.0,29.0,12.0,3.0,3.0,2.0,88.0,58.0,36.0,81.0,60.0,48.0,21.0,18.0,99.0,74.0,59.0,26.0,22.0
