ID,WoonlandVanGasten,Sterklassen,Perioden,Gasten_1,Overnachtingen_2
236,00018,104,2013KW04,184.0,367.0
237,00018,104,2013JJ00,832.0,1718.0
238,00018,104,2014MM01,48.0,91.0
239,00018,104,2014MM02,54.0,97.0
240,00018,104,2014MM03,71.0,128.0
241,00018,104,2014KW01,172.0,316.0
242,00018,104,2014MM04,80.0,149.0
243,00018,104,2014MM05,86.0,163.0
244,00018,104,2014MM06,82.0,170.0
245,00018,104,2014KW02,247.0,482.0
246,00018,104,2014MM07,89.0,186.0
247,00018,104,2014MM08,94.0,202.0
248,00018,104,2014MM09,83.0,165.0
249,00018,104,2014KW03,265.0,553.0
250,00018,104,2014MM10,80.0,152.0
251,00018,104,2014MM11,65.0,124.0
252,00018,104,2014MM12,60.0,116.0
253,00018,104,2014KW04,205.0,392.0
254,00018,104,2014JJ00,890.0,1743.0
255,00018,104,2015MM01,44.0,91.0
256,00018,104,2015MM02,54.0,98.0
257,00018,104,2015MM03,58.0,112.0
258,00018,104,2015KW01,156.0,302.0
259,00018,104,2015MM04,74.0,145.0
260,00018,104,2015MM05,77.0,158.0
261,00018,104,2015MM06,77.0,163.0
262,00018,104,2015KW02,229.0,465.0
263,00018,104,2015MM07,78.0,174.0
264,00018,104,2015MM08,89.0,191.0
265,00018,104,2015MM09,80.0,165.0
266,00018,104,2015KW03,247.0,530.0
267,00018,104,2015MM10,75.0,148.0
268,00018,104,2015MM11,62.0,118.0
269,00018,104,2015MM12,58.0,108.0
270,00018,104,2015KW04,195.0,374.0
271,00018,104,2015JJ00,826.0,1672.0
272,00018,105,2012MM01,318.0,533.0
273,00018,105,2012MM02,348.0,582.0
274,00018,105,2012MM03,428.0,728.0
275,00018,105,2012KW01,1094.0,1842.0
276,00018,105,2012MM04,520.0,964.0
277,00018,105,2012MM05,551.0,997.0
278,00018,105,2012MM06,525.0,965.0
279,00018,105,2012KW02,1595.0,2926.0
280,00018,105,2012MM07,553.0,1050.0
281,00018,105,2012MM08,590.0,1158.0
282,00018,105,2012MM09,534.0,973.0
283,00018,105,2012KW03,1677.0,3181.0
284,00018,105,2012MM10,509.0,904.0
285,00018,105,2012MM11,415.0,701.0
286,00018,105,2012MM12,355.0,616.0
287,00018,105,2012KW04,1279.0,2221.0
288,00018,105,2012JJ00,5645.0,10171.0
289,00018,105,2013MM01,333.0,573.0
290,00018,105,2013MM02,359.0,614.0
291,00018,105,2013MM03,461.0,807.0
292,00018,105,2013KW01,1153.0,1994.0
293,00018,105,2013MM04,520.0,949.0
294,00018,105,2013MM05,586.0,1069.0
295,00018,105,2013MM06,560.0,1014.0
296,00018,105,2013KW02,1666.0,3032.0
297,00018,105,2013MM07,575.0,1094.0
298,00018,105,2013MM08,618.0,1205.0
299,00018,105,2013MM09,551.0,1003.0
300,00018,105,2013KW03,1744.0,3302.0
301,00018,105,2013MM10,529.0,946.0
302,00018,105,2013MM11,440.0,747.0
303,00018,105,2013MM12,397.0,674.0
304,00018,105,2013KW04,1366.0,2367.0
305,00018,105,2013JJ00,5930.0,10695.0
306,00018,105,2014MM01,362.0,608.0
307,00018,105,2014MM02,389.0,642.0
308,00018,105,2014MM03,499.0,858.0
309,00018,105,2014KW01,1251.0,2108.0
310,00018,105,2014MM04,572.0,1030.0
311,00018,105,2014MM05,606.0,1106.0
312,00018,105,2014MM06,603.0,1108.0
313,00018,105,2014KW02,1781.0,3244.0
314,00018,105,2014MM07,611.0,1138.0
315,00018,105,2014MM08,662.0,1265.0
316,00018,105,2014MM09,602.0,1097.0
317,00018,105,2014KW03,1875.0,3500.0
318,00018,105,2014MM10,574.0,1027.0
319,00018,105,2014MM11,481.0,824.0
320,00018,105,2014MM12,410.0,706.0
321,00018,105,2014KW04,1465.0,2557.0
322,00018,105,2014JJ00,6372.0,11409.0
323,00018,105,2015MM01,351.0,621.0
324,00018,105,2015MM02,399.0,703.0
325,00018,105,2015MM03,459.0,810.0
326,00018,105,2015KW01,1209.0,2135.0
327,00018,105,2015MM04,570.0,1078.0
328,00018,105,2015MM05,623.0,1131.0
329,00018,105,2015MM06,600.0,1084.0
330,00018,105,2015KW02,1793.0,3293.0
331,00018,105,2015MM07,636.0,1192.0
332,00018,105,2015MM08,683.0,1302.0
333,00018,105,2015MM09,589.0,1065.0
334,00018,105,2015KW03,1908.0,3560.0
335,00018,105,2015MM10,583.0,1050.0
336,00018,105,2015MM11,493.0,844.0
337,00018,105,2015MM12,441.0,775.0
338,00018,105,2015KW04,1517.0,2669.0
339,00018,105,2015JJ00,6427.0,11657.0
340,00018,106,2012MM01,729.0,1100.0
341,00018,106,2012MM02,725.0,1130.0
342,00018,106,2012MM03,867.0,1349.0
343,00018,106,2012KW01,2321.0,3579.0
344,00018,106,2012MM04,999.0,1694.0
345,00018,106,2012MM05,1025.0,1718.0
346,00018,106,2012MM06,972.0,1587.0
347,00018,106,2012KW02,2996.0,4998.0
348,00018,106,2012MM07,982.0,1758.0
349,00018,106,2012MM08,1030.0,1877.0
350,00018,106,2012MM09,999.0,1611.0
351,00018,106,2012KW03,3012.0,5246.0
352,00018,106,2012MM10,975.0,1532.0
353,00018,106,2012MM11,862.0,1316.0
354,00018,106,2012MM12,774.0,1223.0
355,00018,106,2012KW04,2611.0,4072.0
356,00018,106,2012JJ00,10940.0,17895.0
357,00018,106,2013MM01,700.0,1064.0
358,00018,106,2013MM02,703.0,1085.0
359,00018,106,2013MM03,875.0,1375.0
360,00018,106,2013KW01,2278.0,3524.0
361,00018,106,2013MM04,972.0,1578.0
362,00018,106,2013MM05,1055.0,1750.0
363,00018,106,2013MM06,1019.0,1634.0
364,00018,106,2013KW02,3046.0,4961.0
365,00018,106,2013MM07,1020.0,1797.0
366,00018,106,2013MM08,1068.0,1948.0
367,00018,106,2013MM09,1009.0,1602.0
368,00018,106,2013KW03,3097.0,5347.0
369,00018,106,2013MM10,1018.0,1622.0
370,00018,106,2013MM11,900.0,1386.0
371,00018,106,2013MM12,815.0,1297.0
372,00018,106,2013KW04,2732.0,4305.0
373,00018,106,2013JJ00,11153.0,18137.0
374,00018,106,2014MM01,735.0,1116.0
375,00018,106,2014MM02,745.0,1136.0
376,00018,106,2014MM03,934.0,1462.0
377,00018,106,2014KW01,2414.0,3713.0
378,00018,106,2014MM04,1012.0,1691.0
379,00018,106,2014MM05,1110.0,1820.0
380,00018,106,2014MM06,1053.0,1727.0
381,00018,106,2014KW02,3175.0,5238.0
382,00018,106,2014MM07,1069.0,1869.0
383,00018,106,2014MM08,1148.0,2077.0
384,00018,106,2014MM09,1055.0,1695.0
385,00018,106,2014KW03,3271.0,5641.0
386,00018,106,2014MM10,1070.0,1680.0
387,00018,106,2014MM11,926.0,1428.0
388,00018,106,2014MM12,856.0,1356.0
389,00018,106,2014KW04,2853.0,4464.0
390,00018,106,2014JJ00,11712.0,19056.0
