ID,Geslacht,Leeftijd,Cijfersoort,Perioden,HasjOfMarihuana_1,Cocaine_2,Amfetaminen_3,Ecstasy_4,Heroine_5,PrestatieverbeterendeMiddelen_6,LSD_7,HasjOfMarihuana_8,Cocaine_9,Amfetaminen_10,Ecstasy_11,Heroine_12,PrestatieverbeterendeMiddelen_13,LSD_14
83,2,4,1,2009JJ00,46.4,13.9,9.3,17.2,0.6,3.2,3.8,8.1,1.5,0.5,0.5,0.0,,0.0
84,2,4,2,2007JJ00,34.2,6.5,3.6,9.7,0.3,2.1,3.0,4.7,0.5,0.0,0.2,0.0,,0.0
85,2,4,2,2008JJ00,37.1,9.4,5.3,12.4,0.6,2.5,2.2,5.4,0.4,0.1,0.6,0.1,,0.0
86,2,4,2,2009JJ00,42.0,11.1,7.0,14.1,0.2,2.0,2.5,5.9,0.7,0.2,0.2,0.0,,0.0
87,2,4,3,2007JJ00,42.5,11.5,7.6,15.6,1.9,5.1,6.9,9.0,2.7,0.8,2.0,0.9,,0.0
88,2,4,3,2008JJ00,45.6,15.2,10.1,18.7,2.5,5.8,5.7,10.0,2.4,1.6,3.0,1.4,,0.0
89,2,4,3,2009JJ00,50.7,17.4,12.2,20.9,1.7,5.0,5.8,10.9,3.3,1.5,1.5,0.0,,
90,2,5,1,2007JJ00,24.7,3.8,2.8,3.3,0.9,1.9,1.5,3.0,0.0,0.0,0.0,0.0,,0.0
91,2,5,1,2008JJ00,27.1,6.3,4.1,5.6,1.7,1.8,1.7,4.6,0.3,0.5,0.1,0.0,,0.0
92,2,5,1,2009JJ00,28.2,6.4,1.9,4.5,0.6,2.1,0.8,3.5,0.3,0.0,0.0,0.0,,0.0
93,2,5,2,2007JJ00,21.2,2.4,1.8,2.0,0.3,1.1,0.8,1.8,0.0,0.0,0.0,0.0,,0.0
94,2,5,2,2008JJ00,23.7,4.6,2.7,3.9,0.9,1.0,0.9,3.1,0.1,0.2,0.0,0.0,,0.0
