ID,StationDistrict,Perioden,Temperatuur_1,Zonneschijn_2,Neerslag_3
97,Kooy,1985MM07,16.3,208.7,120.0
98,Kooy,1985MM08,15.6,191.0,105.0
99,Kooy,1985MM09,14.3,127.7,44.0
100,Kooy,1985MM10,11.2,122.8,43.0
101,Kooy,1985MM11,3.6,55.5,112.0
102,Kooy,1985MM12,6.0,19.4,88.0
103,Kooy,1985JJ00,8.8,1444.8,876.0
104,Kooy,1986MM01,2.5,50.6,96.0
105,Kooy,1986MM02,-3.5,140.1,6.0
106,Kooy,1986MM03,2.8,105.4,51.0
107,Kooy,1986MM04,5.5,144.2,35.0
108,Kooy,1986MM05,11.5,277.0,44.0
109,Kooy,1986MM06,14.8,274.7,46.0
110,Kooy,1986MM07,16.1,221.0,80.0
111,Kooy,1986MM08,15.3,188.3,102.0
112,Kooy,1986MM09,12.5,164.3,41.0
113,Kooy,1986MM10,11.7,111.4,112.0
114,Kooy,1986MM11,8.8,57.3,93.0
115,Kooy,1986MM12,5.8,26.7,136.0
116,Kooy,1986JJ00,8.7,1761.0,842.0
117,Kooy,1987MM01,-1.4,61.7,64.0
118,Kooy,1987MM02,1.9,69.2,35.0
119,Kooy,1987MM03,1.5,128.0,60.0
120,Kooy,1987MM04,9.0,169.2,19.0
121,Kooy,1987MM05,9.2,198.7,46.0
122,Kooy,1987MM06,12.6,146.6,79.0
123,Kooy,1987MM07,16.3,203.0,129.0
124,Kooy,1987MM08,15.8,144.2,70.0
125,Kooy,1987MM09,14.6,156.6,81.0
126,Kooy,1987MM10,10.9,98.2,107.0
127,Kooy,1987MM11,7.8,31.1,110.0
128,Kooy,1987MM12,4.7,27.3,53.0
129,Kooy,1987JJ00,8.6,1433.8,853.0
130,Kooy,1988MM01,6.0,32.4,138.0
131,Kooy,1988MM02,5.0,70.9,78.0
132,Kooy,1988MM03,5.1,98.6,99.0
133,Kooy,1988MM04,7.8,186.8,11.0
134,Kooy,1988MM05,13.1,229.4,36.0
135,Kooy,1988MM06,13.9,130.9,26.0
136,Kooy,1988MM07,15.7,160.4,154.0
137,Kooy,1988MM08,16.2,173.0,68.0
138,Kooy,1988MM09,14.5,117.8,102.0
139,Kooy,1988MM10,11.2,88.6,85.0
140,Kooy,1988MM11,7.0,62.9,50.0
141,Kooy,1988MM12,7.2,27.9,53.0
142,Kooy,1988JJ00,10.2,1379.6,900.0
143,Kooy,1989MM01,5.7,62.8,21.0
144,Kooy,1989MM02,5.7,94.7,52.0
145,Kooy,1989MM03,7.8,110.1,81.0
146,Kooy,1989MM04,6.5,128.9,53.0
147,Kooy,1989MM05,13.1,334.2,8.0
148,Kooy,1989MM06,15.2,261.2,51.0
149,Kooy,1989MM07,17.2,228.8,59.0
150,Kooy,1989MM08,16.9,197.1,40.0
151,Kooy,1989MM09,15.9,159.3,32.0
152,Kooy,1989MM10,12.9,98.4,88.0
153,Kooy,1989MM11,6.4,119.6,48.0
154,Kooy,1989MM12,5.3,33.8,89.0
155,Kooy,1989JJ00,10.7,1828.9,622.0
156,Kooy,1990MM01,6.0,24.3,47.0
157,Kooy,1990MM02,7.3,79.5,83.0
158,Kooy,1990MM03,8.0,164.1,50.0
159,Kooy,1990MM04,8.3,236.2,46.0
160,Kooy,1990MM05,12.8,291.7,44.0
161,Kooy,1990MM06,14.5,163.4,46.0
162,Kooy,1990MM07,16.3,244.4,29.0
163,Kooy,1990MM08,18.1,239.5,45.0
164,Kooy,1990MM09,14.1,108.1,124.0
165,Kooy,1990MM10,12.4,117.3,70.0
166,Kooy,1990MM11,7.1,47.7,115.0
167,Kooy,1990MM12,5.1,23.4,61.0
168,Kooy,1990JJ00,10.8,1739.6,760.0
169,Kooy,1990X001,2.7,46.2,63.3
170,Kooy,1990X002,2.6,74.5,41.0
171,Kooy,1990X003,4.6,119.2,51.5
172,Kooy,1990X004,7.3,165.5,41.4
173,Kooy,1990X005,11.3,223.5,42.2
174,Kooy,1990X006,14.2,215.9,48.6
175,Kooy,1990X007,16.2,204.1,64.9
176,Kooy,1990X008,16.6,199.9,67.7
177,Kooy,1990X009,14.6,140.8,82.2
178,Kooy,1990X010,11.3,98.9,82.6
179,Kooy,1990X011,7.1,54.7,91.0
180,Kooy,1990X012,4.2,37.8,75.6
181,Kooy,1990X013,9.4,1581.0,752.0
182,Kooy,1991MM01,3.6,77.7,56.4
183,Kooy,1991MM02,-0.6,82.4,23.9
184,Kooy,1991MM03,7.5,112.6,33.8
185,Kooy,1991MM04,8.1,213.0,35.4
186,Kooy,1991MM05,9.4,160.3,31.9
187,Kooy,1991MM06,12.3,128.0,84.6
188,Kooy,1991MM07,18.1,261.6,35.7
189,Kooy,1991MM08,17.6,236.4,15.0
190,Kooy,1991MM09,15.5,138.6,62.5
191,Kooy,1991MM10,10.7,104.9,74.0
192,Kooy,1991MM11,6.6,56.2,125.2
193,Kooy,1991MM12,5.0,60.5,41.3
194,Kooy,1991JJ00,9.5,1632.2,619.7
195,Kooy,1992MM01,4.1,46.4,34.9
196,Kooy,1992MM02,5.2,80.2,31.3
197,Kooy,1992MM03,6.4,102.1,74.1
198,Kooy,1992MM04,8.2,159.1,52.8
199,Kooy,1992MM05,14.7,310.3,67.7
200,Kooy,1992MM06,16.8,266.5,70.5
201,Kooy,1992MM07,17.7,238.0,53.4
202,Kooy,1992MM08,17.2,175.9,115.2
203,Kooy,1992MM09,14.7,125.2,72.8
204,Kooy,1992MM10,8.8,99.7,153.4
205,Kooy,1992MM11,8.2,55.3,143.0
206,Kooy,1992MM12,4.3,47.8,47.7
207,Kooy,1992JJ00,10.5,1706.5,916.8
208,Kooy,1993MM01,4.5,56.8,70.0
209,Kooy,1993MM02,3.4,,25.0
210,Kooy,1993MM03,5.1,,11.8
211,Kooy,1993MM04,9.6,196.3,34.2
212,Kooy,1993MM05,12.9,279.3,56.7
213,Kooy,1993MM06,14.9,230.6,41.2
214,Kooy,1993MM07,15.6,193.9,83.3
215,Kooy,1993MM08,15.3,191.8,82.0
216,Kooy,1993MM09,13.4,135.4,123.6
217,Kooy,1993MM10,9.6,104.8,99.8
218,Kooy,1993MM11,2.8,66.5,68.7
219,Kooy,1993MM12,5.3,29.0,151.4
220,Kooy,1993JJ00,9.4,,847.7
221,Kooy,1994MM01,5.5,63.7,90.9
222,Kooy,1994MM02,1.4,106.8,27.7
223,Kooy,1994MM03,6.5,135.9,88.6
224,Kooy,1994MM04,7.9,181.2,66.9
225,Kooy,1994MM05,11.6,174.4,54.1
226,Kooy,1994MM06,14.3,224.2,31.3
227,Kooy,1994MM07,19.8,300.2,48.1
228,Kooy,1994MM08,17.7,210.7,72.2
229,Kooy,1994MM09,14.1,112.3,183.1
230,Kooy,1994MM10,10.1,122.3,113.8
231,Kooy,1994MM11,9.9,44.8,59.8
232,Kooy,1994MM12,6.4,58.9,98.4
233,Kooy,1994JJ00,10.4,1735.4,934.9
234,Kooy,1995MM01,4.2,61.6,119.2
235,Kooy,1995MM02,6.4,100.3,80.5
236,Kooy,1995MM03,5.5,192.3,91.2
237,Kooy,1995MM04,8.2,184.9,21.5
238,Kooy,1995MM05,12.1,243.6,50.6
239,Kooy,1995MM06,13.6,206.3,62.7
240,Kooy,1995MM07,18.6,308.4,86.6
241,Kooy,1995MM08,19.3,297.7,38.0
242,Kooy,1995MM09,14.9,137.9,152.1
243,Kooy,1995MM10,13.3,139.5,33.1
244,Kooy,1995MM11,7.6,66.6,58.4
245,Kooy,1995MM12,-0.6,73.3,28.5
246,Kooy,1995JJ00,10.3,2012.4,822.3
247,Kooy,1996MM01,-1.1,86.5,10.8
248,Kooy,1996MM02,-0.3,85.9,50.9
249,Kooy,1996MM03,2.4,144.6,16.3
250,Kooy,1996MM04,8.1,243.0,11.6
251,Kooy,1996MM05,9.6,173.7,54.4
252,Kooy,1996MM06,14.2,227.1,23.4
253,Kooy,1996MM07,15.8,196.2,30.0
254,Kooy,1996MM08,17.6,211.8,88.2
255,Kooy,1996MM09,13.6,185.0,54.5
256,Kooy,1996MM10,11.7,127.8,91.9
257,Kooy,1996MM11,7.0,74.6,154.7
258,Kooy,1996MM12,1.3,70.4,43.8
259,Kooy,1996JJ00,8.3,1826.6,630.5
260,Kooy,1997MM01,-0.9,82.3,7.7
261,Kooy,1997MM02,5.1,85.6,61.9
262,Kooy,1997MM03,6.7,139.1,27.4
263,Kooy,1997MM04,7.3,191.6,24.4
264,Kooy,1997MM05,11.5,215.1,54.0
265,Kooy,1997MM06,15.0,226.7,104.1
266,Kooy,1997MM07,17.0,237.6,60.2
267,Kooy,1997MM08,20.5,266.4,41.0
268,Kooy,1997MM09,15.2,187.0,40.9
269,Kooy,1997MM10,10.7,126.2,93.1
270,Kooy,1997MM11,6.5,59.8,50.6
271,Kooy,1997MM12,5.2,45.2,91.8
272,Kooy,1997JJ00,10.1,1862.6,657.1
273,Kooy,1998MM01,5.1,70.1,92.8
274,Kooy,1998MM02,6.3,113.4,19.9
275,Kooy,1998MM03,7.0,105.9,73.8
276,Kooy,1998MM04,8.7,134.7,98.2
277,Kooy,1998MM05,13.4,221.8,24.2
278,Kooy,1998MM06,15.1,176.0,99.7
279,Kooy,1998MM07,15.9,174.9,54.0
280,Kooy,1998MM08,16.3,213.0,71.0
281,Kooy,1998MM09,15.0,103.2,130.2
282,Kooy,1998MM10,10.5,74.7,166.0
283,Kooy,1998MM11,4.5,91.0,85.7
284,Kooy,1998MM12,4.8,66.4,81.5
285,Kooy,1998JJ00,10.2,1545.1,997.0
286,Kooy,1999MM01,5.3,80.6,86.8
287,Kooy,1999MM02,3.9,135.0,54.8
288,Kooy,1999MM03,6.6,105.7,83.7
289,Kooy,1999MM04,9.3,211.8,50.4
290,Kooy,1999MM05,13.0,268.2,30.9
291,Kooy,1999MM06,14.5,261.1,88.7
292,Kooy,1999MM07,18.1,252.7,37.0
293,Kooy,1999MM08,17.7,186.4,94.6
294,Kooy,1999MM09,17.6,162.8,92.2
295,Kooy,1999MM10,11.6,132.8,88.1
296,Kooy,1999MM11,8.1,79.0,85.0
297,Kooy,1999MM12,5.7,58.3,166.6
298,Kooy,1999JJ00,10.8,1934.4,938.8
299,Kooy,2000MM01,5.1,63.8,52.4
300,Kooy,2000MM02,5.8,110.6,67.6
301,Eeld,1960X001,0.9,47.1,61.0
302,Eeld,1960X002,1.3,63.9,46.0
303,Eeld,1960X003,3.9,111.2,40.0
304,Eeld,1960X004,7.5,158.3,45.0
305,Eeld,1960X005,11.5,208.5,52.0
306,Eeld,1960X006,14.5,207.7,54.0
307,Eeld,1960X007,16.3,186.6,86.0
308,Eeld,1960X008,16.3,179.0,86.0
309,Eeld,1960X009,13.7,139.4,69.0
310,Eeld,1960X010,9.4,93.5,70.0
311,Eeld,1960X011,5.4,45.9,69.0
312,Eeld,1960X012,2.5,37.6,58.0
313,Eeld,1960X013,8.6,1478.7,736.0
314,Eeld,1980X001,1.2,41.1,61.0
315,Eeld,1980X002,1.3,61.0,44.0
316,Eeld,1980X003,3.9,106.1,46.0
317,Eeld,1980X004,7.2,156.7,47.0
318,Eeld,1980X005,11.4,198.4,55.0
319,Eeld,1980X006,14.7,205.9,62.0
320,Eeld,1980X007,15.9,181.9,88.0
321,Eeld,1980X008,15.9,179.6,85.0
322,Eeld,1980X009,13.5,135.0,69.0
323,Eeld,1980X010,9.7,93.3,68.0
324,Eeld,1980X011,5.4,51.8,77.0
325,Eeld,1980X012,2.6,35.0,74.0
326,Eeld,1980X013,8.6,1445.8,776.0
327,Eeld,1980MM01,-1.0,41.0,52.0
328,Eeld,1980MM02,3.1,60.8,52.0
329,Eeld,1980MM03,3.8,88.2,49.0
330,Eeld,1980MM04,7.3,161.6,44.0
331,Eeld,1980MM05,10.9,280.5,18.0
332,Eeld,1980MM06,14.2,140.7,92.0
333,Eeld,1980MM07,15.0,113.7,144.0
334,Eeld,1980MM08,16.2,153.6,63.0
335,Eeld,1980MM09,14.4,149.2,47.0
336,Eeld,1980MM10,8.6,87.3,110.0
337,Eeld,1980MM11,4.6,60.8,99.0
338,Eeld,1980MM12,3.1,40.9,77.0
339,Eeld,1980JJ00,8.4,1378.3,847.0
340,Eeld,1981MM01,1.8,46.6,85.0
341,Eeld,1981MM02,0.9,42.1,44.0
342,Eeld,1981MM03,7.2,49.8,133.0
343,Eeld,1981MM04,7.6,168.0,18.0
344,Eeld,1981MM05,13.4,197.0,50.0
345,Eeld,1981MM06,14.0,129.0,79.0
346,Eeld,1981MM07,15.7,160.7,71.0
347,Eeld,1981MM08,16.2,156.4,49.0
348,Eeld,1981MM09,14.5,155.4,61.0
349,Eeld,1981MM10,8.1,85.6,125.0
350,Eeld,1981MM11,5.9,47.6,91.0
351,Eeld,1981MM12,-2.3,25.6,59.0
352,Eeld,1981JJ00,8.6,1263.7,878.0
353,Eeld,1982MM01,-0.5,64.0,75.0
354,Eeld,1982MM02,2.1,94.3,17.0
355,Eeld,1982MM03,4.5,117.5,67.0
356,Eeld,1982MM04,6.7,206.6,34.0
357,Eeld,1982MM05,11.8,249.8,51.0
358,Eeld,1982MM06,15.9,204.1,93.0
359,Eeld,1982MM07,17.9,251.6,20.0
360,Eeld,1982MM08,17.1,183.3,81.0
361,Eeld,1982MM09,14.8,154.3,33.0
362,Eeld,1982MM10,10.9,73.9,91.0
363,Eeld,1982MM11,7.2,39.3,62.0
364,Eeld,1982MM12,2.8,25.8,75.0
365,Eeld,1982JJ00,9.3,1664.5,699.0
366,Eeld,1983MM01,5.6,29.3,97.0
367,Eeld,1983MM02,0.1,88.0,41.0
368,Eeld,1983MM03,5.2,86.0,85.0
369,Eeld,1983MM04,8.0,103.5,97.0
370,Eeld,1983MM05,10.8,101.7,142.0
371,Eeld,1983MM06,15.7,251.0,42.0
372,Eeld,1983MM07,18.4,251.2,18.0
373,Eeld,1983MM08,17.5,211.8,20.0
374,Eeld,1983MM09,13.8,115.1,78.0
375,Eeld,1983MM10,10.2,97.9,89.0
376,Eeld,1983MM11,5.9,63.9,64.0
377,Eeld,1983MM12,2.7,43.4,62.0
378,Eeld,1983JJ00,9.5,1442.8,835.0
379,Eeld,1984MM01,2.7,25.3,134.0
380,Eeld,1984MM02,1.0,69.2,47.0
381,Eeld,1984MM03,3.0,124.9,54.0
382,Eeld,1984MM04,6.9,207.3,19.0
383,Eeld,1984MM05,10.3,113.2,67.0
384,Eeld,1984MM06,12.8,104.8,76.0
385,Eeld,1984MM07,14.8,98.3,67.0
386,Eeld,1984MM08,17.1,184.5,18.0
387,Eeld,1984MM09,12.8,78.3,115.0
388,Eeld,1984MM10,11.0,80.7,108.0
389,Eeld,1984MM11,6.7,59.3,74.0
390,Eeld,1984MM12,3.5,27.8,42.0
391,Eeld,1984JJ00,8.6,1173.6,821.0
392,Eeld,1985MM01,-3.7,31.9,73.0
393,Eeld,1985MM02,-1.2,80.4,6.0
394,Eeld,1985MM03,3.5,46.1,62.0
395,Eeld,1985MM04,8.0,112.0,55.0
396,Eeld,1985MM05,12.9,182.0,45.0
397,Eeld,1985MM06,12.9,125.4,132.0
398,Eeld,1985MM07,16.1,174.1,102.0
399,Eeld,1985MM08,15.4,165.9,103.0
400,Eeld,1985MM09,13.3,122.9,59.0
401,Eeld,1985MM10,10.0,98.9,30.0
402,Eeld,1985MM11,1.8,47.0,107.0
403,Eeld,1985MM12,5.4,8.8,80.0
404,Eeld,1985JJ00,8.1,1195.4,854.0
405,Eeld,1986MM01,1.6,44.6,105.0
406,Eeld,1986MM02,-4.9,105.4,4.0
407,Eeld,1986MM03,2.7,71.9,53.0
408,Eeld,1986MM04,5.8,125.6,38.0
409,Eeld,1986MM05,12.6,223.0,32.0
410,Eeld,1986MM06,15.0,245.0,77.0
411,Eeld,1986MM07,15.9,142.0,48.0
412,Eeld,1986MM08,15.0,161.5,85.0
413,Eeld,1986MM09,11.0,125.0,55.0
414,Eeld,1986MM10,10.4,93.0,86.0
415,Eeld,1986MM11,7.5,44.3,69.0
416,Eeld,1986MM12,3.9,28.6,147.0
417,Eeld,1986JJ00,8.9,1409.9,777.0
418,Eeld,1987MM01,-3.8,53.4,51.0
419,Eeld,1987MM02,0.9,66.0,34.0
420,Eeld,1987MM03,0.5,132.3,71.0
421,Eeld,1987MM04,9.4,154.2,21.0
422,Eeld,1987MM05,9.1,162.1,68.0
423,Eeld,1987MM06,12.8,93.3,100.0
424,Eeld,1987MM07,15.9,184.2,101.0
425,Eeld,1987MM08,15.3,112.7,71.0
426,Eeld,1987MM09,13.5,145.6,91.0
427,Eeld,1987MM10,10.3,111.3,74.0
428,Eeld,1987MM11,7.0,23.0,96.0
429,Eeld,1987MM12,4.0,22.3,52.0
430,Eeld,1987JJ00,7.9,1260.4,830.0
431,Eeld,1988MM01,5.3,20.1,121.0
432,Eeld,1988MM02,3.9,51.3,102.0
433,Eeld,1988MM03,4.2,64.8,125.0
434,Eeld,1988MM04,7.4,169.1,6.0
435,Eeld,1988MM05,13.8,231.6,24.0
436,Eeld,1988MM06,14.3,100.0,62.0
437,Eeld,1988MM07,15.4,116.5,168.0
438,Eeld,1988MM08,15.7,178.2,97.0
439,Eeld,1988MM09,13.3,118.6,88.0
440,Eeld,1988MM10,9.7,89.4,77.0
441,Eeld,1988MM11,5.2,57.8,48.0
442,Eeld,1988MM12,5.8,17.4,70.0
443,Eeld,1988JJ00,9.5,1214.8,988.0
444,Eeld,1989MM01,4.2,57.3,20.0
445,Eeld,1989MM02,4.7,88.2,51.0
446,Eeld,1989MM03,7.2,88.5,95.0
447,Eeld,1989MM04,6.0,104.6,58.0
448,Eeld,1989MM05,12.8,316.8,13.0
449,Eeld,1989MM06,15.3,266.7,89.0
450,Eeld,1989MM07,16.7,164.8,51.0
451,Eeld,1989MM08,16.0,172.6,54.0
452,Eeld,1989MM09,14.8,148.9,37.0
453,Eeld,1989MM10,11.4,95.8,89.0
454,Eeld,1989MM11,4.0,97.9,22.0
455,Eeld,1989MM12,3.4,27.9,83.0
456,Eeld,1989JJ00,9.7,1630.0,662.0
457,Eeld,1990MM01,5.0,25.9,48.0
458,Eeld,1990MM02,6.9,70.3,82.0
459,Eeld,1990MM03,7.5,142.8,51.0
460,Eeld,1990MM04,7.9,224.1,48.0
461,Eeld,1990MM05,12.7,267.2,29.0
462,Eeld,1990MM06,14.6,116.5,70.0
463,Eeld,1990MM07,15.7,217.5,56.0
464,Eeld,1990MM08,17.3,217.2,56.0
465,Eeld,1990MM09,12.2,92.6,130.0
466,Eeld,1990MM10,11.2,117.1,52.0
467,Eeld,1990MM11,5.3,46.3,131.0
468,Eeld,1990MM12,3.7,29.9,67.0
469,Eeld,1990JJ00,10.0,1567.4,818.0
470,Eeld,1990X001,1.3,39.0,65.4
471,Eeld,1990X002,1.6,65.5,44.9
472,Eeld,1990X003,4.1,101.8,57.9
473,Eeld,1990X004,7.2,151.0,48.4
474,Eeld,1990X005,11.6,195.1,58.4
475,Eeld,1990X006,14.6,192.1,69.1
476,Eeld,1990X007,15.9,179.5,75.2
477,Eeld,1990X008,16.0,182.0,67.2
478,Eeld,1990X009,13.4,129.3,71.5
479,Eeld,1990X010,9.8,93.5,67.9
480,Eeld,1990X011,5.4,52.6,78.3
481,Eeld,1990X012,2.5,33.4,75.4
482,Eeld,1990X013,8.6,1414.8,779.6
483,Eeld,1991MM01,2.6,63.0,62.4
484,Eeld,1991MM02,-1.1,92.9,18.1
485,Eeld,1991MM03,7.6,109.2,16.5
486,Eeld,1991MM04,7.7,204.7,39.1
487,Eeld,1991MM05,9.1,136.7,49.0
488,Eeld,1991MM06,12.1,108.2,145.0
489,Eeld,1991MM07,18.4,257.9,45.3
490,Eeld,1991MM08,17.1,221.3,20.3
491,Eeld,1991MM09,14.4,121.2,51.3
492,Eeld,1991MM10,9.2,112.3,62.5
493,Eeld,1991MM11,5.0,48.2,87.4
494,Eeld,1991MM12,3.2,42.3,51.4
495,Eeld,1991JJ00,8.8,1517.9,648.3
496,Eeld,1992MM01,2.8,42.7,43.1
497,Eeld,1992MM02,4.6,68.5,39.0
498,Eeld,1992MM03,6.0,85.1,94.9
499,Eeld,1992MM04,7.9,124.1,50.4
500,Eeld,1992MM05,14.7,292.7,51.3
501,Eeld,1992MM06,17.1,248.9,43.4
502,Eeld,1992MM07,17.5,218.4,57.4
503,Eeld,1992MM08,17.0,168.4,67.2
504,Eeld,1992MM09,13.8,148.8,65.4
505,Eeld,1992MM10,7.2,98.7,75.4
506,Eeld,1992MM11,6.9,66.3,132.3
507,Eeld,1992MM12,3.0,37.9,45.9
508,Eeld,1992JJ00,9.9,1600.5,765.7
509,Eeld,1993MM01,3.3,66.9,106.4
510,Eeld,1993MM02,2.0,52.3,29.7
511,Eeld,1993MM03,4.6,184.2,10.5
512,Eeld,1993MM04,10.4,159.4,48.6
513,Eeld,1993MM05,13.3,234.6,82.9
514,Eeld,1993MM06,14.5,212.1,37.9
515,Eeld,1993MM07,15.1,138.0,131.7
516,Eeld,1993MM08,14.2,143.4,93.6
517,Eeld,1993MM09,12.1,105.3,122.9
518,Eeld,1993MM10,8.4,88.8,119.1
519,Eeld,1993MM11,1.4,56.6,41.7
520,Eeld,1993MM12,4.1,34.4,148.8
521,Eeld,1993JJ00,8.6,1441.6,973.8
522,Eeld,1994MM01,4.3,59.6,86.8
523,Eeld,1994MM02,0.1,104.1,21.5
524,Eeld,1994MM03,6.2,124.3,110.8
525,Eeld,1994MM04,7.9,139.1,57.7
526,Eeld,1994MM05,11.6,146.7,73.4
527,Eeld,1994MM06,14.4,190.2,66.1
528,Eeld,1994MM07,20.3,295.0,70.1
529,Eeld,1994MM08,16.7,190.0,58.2
530,Eeld,1994MM09,13.1,112.3,132.7
531,Eeld,1994MM10,8.4,106.2,91.8
532,Eeld,1994MM11,8.2,55.9,72.4
533,Eeld,1994MM12,4.4,59.1,108.3
534,Eeld,1994JJ00,9.6,1582.5,949.8
535,Eeld,1995MM01,2.7,68.2,143.2
536,Eeld,1995MM02,5.5,75.3,102.3
537,Eeld,1995MM03,4.3,169.3,89.9
538,Eeld,1995MM04,8.2,148.2,31.8
539,Eeld,1995MM05,11.7,227.9,73.9
540,Eeld,1995MM06,13.7,183.1,87.2
541,Eeld,1995MM07,18.9,284.0,62.1
542,Eeld,1995MM08,18.3,266.9,56.2
543,Eeld,1995MM09,13.5,119.8,128.7
544,Eeld,1995MM10,12.2,132.8,16.4
545,Eeld,1995MM11,5.5,64.0,52.7
546,Eeld,1995MM12,-0.2,76.1,24.4
547,Eeld,1995JJ00,9.5,1815.6,868.8
548,Eeld,1996MM01,-2.0,101.8,7.9
549,Eeld,1996MM02,-1.6,82.0,51.4
550,Eeld,1996MM03,1.8,129.5,9.7
551,Eeld,1996MM04,8.4,203.0,6.2
552,Eeld,1996MM05,9.7,128.6,50.2
553,Eeld,1996MM06,14.5,166.1,32.4
554,Eeld,1996MM07,15.6,155.8,51.9
555,Eeld,1996MM08,17.5,190.6,99.0
