ID,Landen,Perioden,Totaal_1,PlantaardigeProducten_2,Totaal_3,Dieren_4,DierlijkeProducten_5,Landbouwdiensten_6,NietTotDeLandbouwBehorendeNevena_7,IntermediairVerbruik_8,BrutoToegevoegdeWaardeBasisprijzen_9,BrutoToegevoegdeWaardeBasisprijzen_10,VerbruikVanVasteActiva_11,NietProductgebondenBelastingen_12,NietProductgebondenSubsidies_13,Landbouwinkomen_14,Arbeidsvolume_15,Inkomensindex2010100_16,MutatieTOVVoorafgaandJaar_17
490,10430,2001JJ00,3994.0,1395.0,2525.0,1248.0,1277.0,0.0,75.0,2073.0,1921.0,1921.0,677.0,0.0,300.0,1544.0,70.0,95.2,-3.0
491,10430,2002JJ00,4344.0,1512.0,2754.0,1367.0,1387.0,0.0,78.0,2295.0,2049.0,2049.0,720.0,0.0,343.0,1673.0,69.0,99.2,4.2
492,10430,2003JJ00,3905.0,1349.0,2480.0,1250.0,1230.0,0.0,76.0,2191.0,1714.0,1714.0,682.0,0.0,516.0,1547.0,67.0,97.6,-1.6
493,10430,2004JJ00,3756.0,1307.0,2371.0,1204.0,1166.0,0.0,79.0,2113.0,1643.0,1643.0,656.0,0.0,477.0,1464.0,64.0,94.9,-2.8
494,10430,2005JJ00,3843.0,1315.0,2447.0,1249.0,1197.0,0.0,81.0,2209.0,1634.0,1634.0,716.0,0.0,499.0,1418.0,66.0,79.0,-16.7
495,10430,2006JJ00,3868.0,1292.0,2491.0,1284.0,1207.0,0.0,86.0,2234.0,1634.0,1634.0,732.0,0.0,481.0,1383.0,63.0,74.2,-6.0
496,10430,2007JJ00,4028.0,1334.0,2607.0,1341.0,1266.0,0.0,87.0,2265.0,1763.0,1763.0,756.0,0.0,542.0,1549.0,61.0,82.9,11.6
497,10430,2008JJ00,4306.0,1476.0,2736.0,1476.0,1261.0,0.0,93.0,2424.0,1882.0,1882.0,782.0,0.0,556.0,1656.0,59.0,85.0,2.6
498,10430,2009JJ00,4121.0,1361.0,2668.0,1411.0,1257.0,0.0,91.0,2409.0,1712.0,1712.0,764.0,0.0,538.0,1486.0,54.0,94.0,10.5
499,10430,2010JJ00,4626.0,1503.0,3020.0,1579.0,1441.0,0.0,104.0,2627.0,1999.0,1999.0,865.0,0.0,604.0,1739.0,51.0,100.0,6.4
500,10430,2011JJ00,4835.0,1546.0,3182.0,1664.0,1518.0,0.0,107.0,2753.0,2081.0,2081.0,918.0,0.0,666.0,1829.0,50.0,98.1,-1.9
501,10430,2012JJ00,5298.0,1758.0,3440.0,1781.0,1659.0,0.0,101.0,3081.0,2217.0,2217.0,976.0,0.0,760.0,2002.0,49.0,101.8,3.8
502,10430,2013JJ00,5177.0,1684.0,3404.0,1800.0,1604.0,0.0,89.0,3085.0,2093.0,2093.0,967.0,0.0,740.0,1865.0,48.0,98.8,-2.9
503,10430,2014JJ00,5105.0,1756.0,3265.0,1713.0,1553.0,0.0,84.0,3028.0,2077.0,2077.0,923.0,0.0,710.0,1865.0,47.0,107.8,9.1
504,10430,2015JJ00,5078.0,1799.0,3200.0,1665.0,1535.0,0.0,79.0,2945.0,2133.0,2133.0,885.0,0.0,662.0,1910.0,46.0,124.0,15.0
505,10430,2016JJ00,4836.0,1687.0,3070.0,1639.0,1431.0,0.0,79.0,2833.0,2003.0,2003.0,881.0,0.0,617.0,1739.0,45.0,116.2,-6.3
