ID,NederlandseEconomie,Perioden,RamingCO2EmissieMlnKg_1,RamingCO2EmissieJaarmutatie_2,RamingCO2EmissieWeersgecorrigeerd_3
154,A044977,2018KW02,,1.2,
155,A044977,2018KW03,,1.0,
156,A044977,2018KW04,,2.8,
157,A044977,2019KW01,,0.8,
158,A044977,2019KW02,,1.5,
159,A044977,2019KW03,,1.7,
160,A044977,2019KW04,,-0.9,
161,A044977,2020KW01,,-6.9,
162,A044977,2020KW02,,-48.3,
163,A044977,2020KW03,,-40.6,
164,A044977,2020KW04,,-24.7,
165,A044977,2021KW01,101.0,-25.8,
166,A044977,2021KW02,4269.0,23.5,
167,A044977,2021KW03,6478.0,28.1,
168,A044977,2021KW04,6601.0,25.6,
169,A044977,2021JJ00,22964.0,7.3,
170,A044977,2022KW01,5068.0,8.8,
171,A044977,2022KW02,5947.0,16.4,
172,A044977,2022KW03,5928.0,0.7,
173,A044977,2022KW04,6461.0,6.9,
174,A044977,2022JJ00,23404.0,7.9,
175,A044977,2023KW01,6134.0,8.8,
176,A044977,2023KW02,6799.0,6.1,
177,A044977,2023KW03,5759.0,-1.9,
178,A044977,2023KW04,5926.0,-2.5,
179,A044977,2023JJ00,23485.0,1.8,
180,A044977,2024KW01,5513.0,1.2,
181,A044977,2024KW02,6633.0,3.8,
182,A044977,2024KW03,6097.0,-2.3,
183,A044977,2024KW04,5528.0,-8.3,
184,A044977,2024JJ00,23455.0,-1.7,
185,A044977,2025KW01,6180.0,4.2,
186,A044977,2025KW02,5698.0,3.3,
187,A044977,2025KW03,7172.0,5.0,
188,A044978,2015KW01,,2.6,
189,A044978,2015KW02,,-3.9,
190,A044978,2015KW03,,0.2,
191,A044978,2015KW04,,1.9,
192,A044978,2016KW01,,-1.5,
193,A044978,2016KW02,,2.7,
194,A044978,2016KW03,,-2.2,
195,A044978,2016KW04,,2.3,
196,A044978,2017KW01,,1.7,
197,A044978,2017KW02,,0.3,
198,A044978,2017KW03,,4.1,
199,A044978,2017KW04,,5.0,
200,A044978,2018KW01,,3.9,
201,A044978,2018KW02,,1.8,
202,A044978,2018KW03,,0.5,
203,A044978,2018KW04,,0.5,
204,A044978,2019KW01,,0.0,
205,A044978,2019KW02,,0.4,
206,A044978,2019KW03,,-5.4,
207,A044978,2019KW04,,2.6,
208,A044978,2020KW01,,-2.5,
209,A044978,2020KW02,,-9.2,
210,A044978,2020KW03,,-4.3,
211,A044978,2020KW04,,-3.9,
212,A044978,2021KW01,29970.0,-1.9,
213,A044978,2021KW02,15815.0,16.9,
214,A044978,2021KW03,13442.0,-3.1,
215,A044978,2021KW04,13937.0,-12.7,
216,A044978,2021JJ00,59204.0,-0.5,
217,A044978,2022KW01,14529.0,-12.2,
218,A044978,2022KW02,12902.0,-15.9,
219,A044978,2022KW03,11511.0,-16.2,
220,A044978,2022KW04,11906.0,-15.1,
221,A044978,2022JJ00,50848.0,-14.7,
222,A044978,2023KW01,12503.0,-5.9,
223,A044978,2023KW02,11642.0,-3.7,
224,A044978,2023KW03,13070.0,1.5,
225,A044978,2023KW04,13888.0,3.8,
226,A044978,2023JJ00,54147.0,-1.7,
227,A044978,2024KW01,14477.0,0.9,
228,A044978,2024KW02,13620.0,2.4,
229,A044978,2024KW03,12506.0,0.0,
230,A044978,2024KW04,13538.0,-1.7,
231,A044978,2024JJ00,52823.0,0.5,
232,A044978,2025KW01,14136.0,0.2,
233,A044978,2025KW02,12065.0,-10.1,
234,A044978,2025KW03,11462.0,-7.0,
235,A044979,2015KW01,,8.3,
236,A044979,2015KW02,,4.7,
237,A044979,2015KW03,,1.9,
238,A044979,2015KW04,,-5.8,
239,A044979,2016KW01,,-1.3,
240,A044979,2016KW02,,-1.5,
241,A044979,2016KW03,,-6.2,
242,A044979,2016KW04,,15.0,
243,A044979,2017KW01,,0.0,
244,A044979,2017KW02,,0.7,
245,A044979,2017KW03,,8.2,
246,A044979,2017KW04,,-4.4,
247,A044979,2018KW01,,6.3,
248,A044979,2018KW02,,-9.3,
249,A044979,2018KW03,,-2.9,
250,A044979,2018KW04,,1.1,
251,A044979,2019KW01,,-3.6,
252,A044979,2019KW02,,16.8,
253,A044979,2019KW03,,3.1,
254,A044979,2019KW04,,1.0,
255,A044979,2020KW01,,-6.0,
256,A044979,2020KW02,,-11.8,
257,A044979,2020KW03,,2.8,
258,A044979,2020KW04,,-8.3,
259,A044979,2021KW01,3798.0,5.4,
260,A044979,2021KW02,3089.0,16.9,
261,A044979,2021KW03,2216.0,-5.5,
262,A044979,2021KW04,4156.0,4.9,
263,A044979,2021JJ00,14212.0,4.5,
264,A044979,2022KW01,3929.0,-15.0,
265,A044979,2022KW02,2390.0,-13.1,
266,A044979,2022KW03,1826.0,-2.4,
267,A044979,2022KW04,3307.0,-15.6,
268,A044979,2022JJ00,11453.0,-13.0,
269,A044979,2023KW01,3674.0,-8.8,
270,A044979,2023KW02,2437.0,0.5,
271,A044979,2023KW03,1720.0,-14.4,
272,A044979,2023KW04,3516.0,-3.8,
273,A044979,2023JJ00,12064.0,-5.9,
274,A044979,2024KW01,3843.0,-4.5,
275,A044979,2024KW02,2360.0,-13.1,
276,A044979,2024KW03,2042.0,3.9,
277,A044979,2024KW04,3674.0,-3.6,
278,A044979,2024JJ00,12400.0,-5.2,
279,A044979,2025KW01,4224.0,0.3,
280,A044979,2025KW02,2160.0,-13.5,
281,A044979,2025KW03,2016.0,-9.4,
