ID,Zorgfuncties,FinancieringsvormenZorg,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
55,A019168,A019164,2024JJ00,7890.0
56,A019168,A019165,2021JJ00,5094.0
57,A019168,A019165,2022JJ00,5306.0
58,A019168,A019165,2023JJ00,5474.0
59,A019168,A019165,2024JJ00,5679.0
60,A019170,A019149,2021JJ00,42689.0
61,A019170,A019149,2022JJ00,44773.0
62,A019170,A019149,2023JJ00,48593.0
63,A019170,A019149,2024JJ00,52395.0
64,A019170,A019150,2021JJ00,36441.0
65,A019170,A019150,2022JJ00,37774.0
66,A019170,A019150,2023JJ00,40854.0
67,A019170,A019150,2024JJ00,44300.0
68,A019170,A019151,2021JJ00,2617.0
69,A019170,A019151,2022JJ00,2638.0
70,A019170,A019151,2023JJ00,2829.0
71,A019170,A019151,2024JJ00,3166.0
72,A019170,A019152,2021JJ00,33824.0
73,A019170,A019152,2022JJ00,35136.0
74,A019170,A019152,2023JJ00,38025.0
75,A019170,A019152,2024JJ00,41134.0
76,A019170,A019154,2021JJ00,95.0
77,A019170,A019154,2022JJ00,103.0
78,A019170,A019154,2023JJ00,121.0
79,A019170,A019154,2024JJ00,129.0
80,A019170,A019155,2021JJ00,
81,A019170,A019155,2022JJ00,
82,A019170,A019155,2023JJ00,
83,A019170,A019155,2024JJ00,
84,A019170,A019156,2021JJ00,33729.0
85,A019170,A019156,2022JJ00,35033.0
86,A019170,A019156,2023JJ00,37904.0
87,A019170,A019156,2024JJ00,41005.0
88,A019170,A041720,2021JJ00,6249.0
89,A019170,A041720,2022JJ00,6999.0
90,A019170,A041720,2023JJ00,7739.0
91,A019170,A041720,2024JJ00,8095.0
92,A019170,A019157,2021JJ00,1521.0
93,A019170,A019157,2022JJ00,1529.0
94,A019170,A019157,2023JJ00,1579.0
95,A019170,A019157,2024JJ00,1593.0
96,A019170,A019158,2021JJ00,1521.0
97,A019170,A019158,2022JJ00,1529.0
98,A019170,A019158,2023JJ00,1579.0
99,A019170,A019158,2024JJ00,1593.0
100,A019170,A019161,2021JJ00,0.0
101,A019170,A019161,2022JJ00,0.0
102,A019170,A019161,2023JJ00,0.0
103,A019170,A019161,2024JJ00,0.0
104,A019170,A019162,2021JJ00,0.0
105,A019170,A019162,2022JJ00,0.0
106,A019170,A019162,2023JJ00,0.0
107,A019170,A019162,2024JJ00,0.0
108,A019170,A019163,2021JJ00,4727.0
109,A019170,A019163,2022JJ00,5470.0
110,A019170,A019163,2023JJ00,6160.0
111,A019170,A019163,2024JJ00,6502.0
112,A019170,A019164,2021JJ00,2720.0
113,A019170,A019164,2022JJ00,3369.0
114,A019170,A019164,2023JJ00,3970.0
115,A019170,A019164,2024JJ00,4257.0
116,A019170,A019165,2021JJ00,2007.0
117,A019170,A019165,2022JJ00,2100.0
118,A019170,A019165,2023JJ00,2191.0
119,A019170,A019165,2024JJ00,2245.0
120,A019181,A019149,2021JJ00,13291.0
121,A019181,A019149,2022JJ00,13457.0
122,A019181,A019149,2023JJ00,14354.0
123,A019181,A019149,2024JJ00,15404.0
124,A019181,A019150,2021JJ00,12493.0
125,A019181,A019150,2022JJ00,12594.0
126,A019181,A019150,2023JJ00,13460.0
127,A019181,A019150,2024JJ00,14491.0
128,A019181,A019151,2021JJ00,893.0
129,A019181,A019151,2022JJ00,816.0
130,A019181,A019151,2023JJ00,886.0
131,A019181,A019151,2024JJ00,991.0
132,A019181,A019152,2021JJ00,11600.0
133,A019181,A019152,2022JJ00,11778.0
134,A019181,A019152,2023JJ00,12574.0
135,A019181,A019152,2024JJ00,13500.0
136,A019181,A019154,2021JJ00,0.0
137,A019181,A019154,2022JJ00,0.0
138,A019181,A019154,2023JJ00,0.0
139,A019181,A019154,2024JJ00,0.0
140,A019181,A019155,2021JJ00,
141,A019181,A019155,2022JJ00,
142,A019181,A019155,2023JJ00,
143,A019181,A019155,2024JJ00,
144,A019181,A019156,2021JJ00,11600.0
145,A019181,A019156,2022JJ00,11778.0
146,A019181,A019156,2023JJ00,12574.0
147,A019181,A019156,2024JJ00,13500.0
148,A019181,A041720,2021JJ00,798.0
149,A019181,A041720,2022JJ00,863.0
150,A019181,A041720,2023JJ00,894.0
151,A019181,A041720,2024JJ00,912.0
152,A019181,A019157,2021JJ00,13.0
153,A019181,A019157,2022JJ00,22.0
154,A019181,A019157,2023JJ00,31.0
155,A019181,A019157,2024JJ00,31.0
156,A019181,A019158,2021JJ00,13.0
157,A019181,A019158,2022JJ00,22.0
158,A019181,A019158,2023JJ00,31.0
159,A019181,A019158,2024JJ00,31.0
160,A019181,A019161,2021JJ00,0.0
161,A019181,A019161,2022JJ00,0.0
162,A019181,A019161,2023JJ00,0.0
163,A019181,A019161,2024JJ00,0.0
164,A019181,A019162,2021JJ00,0.0
165,A019181,A019162,2022JJ00,0.0
166,A019181,A019162,2023JJ00,0.0
167,A019181,A019162,2024JJ00,0.0
168,A019181,A019163,2021JJ00,786.0
169,A019181,A019163,2022JJ00,841.0
170,A019181,A019163,2023JJ00,863.0
171,A019181,A019163,2024JJ00,881.0
172,A019181,A019164,2021JJ00,41.0
173,A019181,A019164,2022JJ00,69.0
174,A019181,A019164,2023JJ00,69.0
175,A019181,A019164,2024JJ00,67.0
176,A019181,A019165,2021JJ00,744.0
177,A019181,A019165,2022JJ00,772.0
178,A019181,A019165,2023JJ00,793.0
179,A019181,A019165,2024JJ00,814.0
180,A019171,A019149,2021JJ00,2702.0
181,A019171,A019149,2022JJ00,2955.0
182,A019171,A019149,2023JJ00,3272.0
183,A019171,A019149,2024JJ00,3536.0
184,A019171,A019150,2021JJ00,2523.0
185,A019171,A019150,2022JJ00,2760.0
186,A019171,A019150,2023JJ00,3063.0
187,A019171,A019150,2024JJ00,3321.0
188,A019171,A019151,2021JJ00,75.0
189,A019171,A019151,2022JJ00,60.0
190,A019171,A019151,2023JJ00,70.0
191,A019171,A019151,2024JJ00,80.0
192,A019171,A019152,2021JJ00,2448.0
193,A019171,A019152,2022JJ00,2700.0
194,A019171,A019152,2023JJ00,2993.0
195,A019171,A019152,2024JJ00,3241.0
196,A019171,A019154,2021JJ00,0.0
197,A019171,A019154,2022JJ00,0.0
198,A019171,A019154,2023JJ00,0.0
199,A019171,A019154,2024JJ00,0.0
200,A019171,A019155,2021JJ00,
201,A019171,A019155,2022JJ00,
202,A019171,A019155,2023JJ00,
203,A019171,A019155,2024JJ00,
204,A019171,A019156,2021JJ00,2448.0
205,A019171,A019156,2022JJ00,2700.0
206,A019171,A019156,2023JJ00,2993.0
207,A019171,A019156,2024JJ00,3241.0
208,A019171,A041720,2021JJ00,179.0
209,A019171,A041720,2022JJ00,195.0
210,A019171,A041720,2023JJ00,208.0
211,A019171,A041720,2024JJ00,214.0
212,A019171,A019157,2021JJ00,3.0
213,A019171,A019157,2022JJ00,4.0
214,A019171,A019157,2023JJ00,3.0
215,A019171,A019157,2024JJ00,3.0
216,A019171,A019158,2021JJ00,3.0
217,A019171,A019158,2022JJ00,4.0
218,A019171,A019158,2023JJ00,3.0
219,A019171,A019158,2024JJ00,3.0
220,A019171,A019161,2021JJ00,0.0
221,A019171,A019161,2022JJ00,0.0
222,A019171,A019161,2023JJ00,0.0
223,A019171,A019161,2024JJ00,0.0
224,A019171,A019162,2021JJ00,0.0
225,A019171,A019162,2022JJ00,0.0
226,A019171,A019162,2023JJ00,0.0
227,A019171,A019162,2024JJ00,0.0
228,A019171,A019163,2021JJ00,176.0
229,A019171,A019163,2022JJ00,191.0
230,A019171,A019163,2023JJ00,206.0
231,A019171,A019163,2024JJ00,211.0
232,A019171,A019164,2021JJ00,0.0
233,A019171,A019164,2022JJ00,0.0
234,A019171,A019164,2023JJ00,0.0
235,A019171,A019164,2024JJ00,0.0
236,A019171,A019165,2021JJ00,176.0
237,A019171,A019165,2022JJ00,191.0
238,A019171,A019165,2023JJ00,206.0
239,A019171,A019165,2024JJ00,211.0
240,A019174,A019149,2021JJ00,26105.0
241,A019174,A019149,2022JJ00,27782.0
242,A019174,A019149,2023JJ00,30345.0
243,A019174,A019149,2024JJ00,32807.0
244,A019174,A019150,2021JJ00,20878.0
245,A019174,A019150,2022JJ00,21887.0
246,A019174,A019150,2023JJ00,23758.0
247,A019174,A019150,2024JJ00,25892.0
248,A019174,A019151,2021JJ00,1650.0
249,A019174,A019151,2022JJ00,1762.0
250,A019174,A019151,2023JJ00,1873.0
251,A019174,A019151,2024JJ00,2095.0
252,A019174,A019152,2021JJ00,19229.0
253,A019174,A019152,2022JJ00,20125.0
254,A019174,A019152,2023JJ00,21885.0
255,A019174,A019152,2024JJ00,23797.0
256,A019174,A019154,2021JJ00,95.0
257,A019174,A019154,2022JJ00,103.0
258,A019174,A019154,2023JJ00,121.0
259,A019174,A019154,2024JJ00,129.0
260,A019174,A019155,2021JJ00,
261,A019174,A019155,2022JJ00,
262,A019174,A019155,2023JJ00,
263,A019174,A019155,2024JJ00,
264,A019174,A019156,2021JJ00,19134.0
265,A019174,A019156,2022JJ00,20022.0
266,A019174,A019156,2023JJ00,21764.0
267,A019174,A019156,2024JJ00,23668.0
268,A019174,A041720,2021JJ00,5226.0
269,A019174,A041720,2022JJ00,5895.0
270,A019174,A041720,2023JJ00,6587.0
271,A019174,A041720,2024JJ00,6916.0
272,A019174,A019157,2021JJ00,1491.0
273,A019174,A019157,2022JJ00,1487.0
274,A019174,A019157,2023JJ00,1529.0
275,A019174,A019157,2024JJ00,1542.0
276,A019174,A019158,2021JJ00,1491.0
277,A019174,A019158,2022JJ00,1487.0
278,A019174,A019158,2023JJ00,1529.0
279,A019174,A019158,2024JJ00,1542.0
280,A019174,A019161,2021JJ00,0.0
281,A019174,A019161,2022JJ00,0.0
282,A019174,A019161,2023JJ00,0.0
283,A019174,A019161,2024JJ00,0.0
284,A019174,A019162,2021JJ00,0.0
285,A019174,A019162,2022JJ00,0.0
286,A019174,A019162,2023JJ00,0.0
287,A019174,A019162,2024JJ00,0.0
288,A019174,A019163,2021JJ00,3735.0
289,A019174,A019163,2022JJ00,4408.0
290,A019174,A019163,2023JJ00,5058.0
291,A019174,A019163,2024JJ00,5373.0
292,A019174,A019164,2021JJ00,2669.0
293,A019174,A019164,2022JJ00,3290.0
294,A019174,A019164,2023JJ00,3889.0
295,A019174,A019164,2024JJ00,4178.0
296,A019174,A019165,2021JJ00,1066.0
297,A019174,A019165,2022JJ00,1117.0
298,A019174,A019165,2023JJ00,1169.0
299,A019174,A019165,2024JJ00,1195.0
300,A047384,A019149,2021JJ00,4869.0
301,A047384,A019149,2022JJ00,5194.0
302,A047384,A019149,2023JJ00,5595.0
303,A047384,A019149,2024JJ00,6191.0
304,A047384,A019150,2021JJ00,4787.0
305,A047384,A019150,2022JJ00,5100.0
306,A047384,A019150,2023JJ00,5494.0
307,A047384,A019150,2024JJ00,6085.0
308,A047384,A019151,2021JJ00,31.0
309,A047384,A019151,2022JJ00,13.0
310,A047384,A019151,2023JJ00,13.0
311,A047384,A019151,2024JJ00,16.0
312,A047384,A019152,2021JJ00,4757.0
313,A047384,A019152,2022JJ00,5087.0
314,A047384,A019152,2023JJ00,5480.0
315,A047384,A019152,2024JJ00,6069.0
316,A047384,A019154,2021JJ00,0.0
317,A047384,A019154,2022JJ00,0.0
318,A047384,A019154,2023JJ00,0.0
319,A047384,A019154,2024JJ00,0.0
320,A047384,A019155,2021JJ00,
321,A047384,A019155,2022JJ00,
322,A047384,A019155,2023JJ00,
323,A047384,A019155,2024JJ00,
324,A047384,A019156,2021JJ00,4757.0
325,A047384,A019156,2022JJ00,5087.0
326,A047384,A019156,2023JJ00,5480.0
327,A047384,A019156,2024JJ00,6069.0
328,A047384,A041720,2021JJ00,82.0
329,A047384,A041720,2022JJ00,94.0
330,A047384,A041720,2023JJ00,102.0
331,A047384,A041720,2024JJ00,106.0
332,A047384,A019157,2021JJ00,16.0
333,A047384,A019157,2022JJ00,19.0
334,A047384,A019157,2023JJ00,23.0
335,A047384,A019157,2024JJ00,24.0
336,A047384,A019158,2021JJ00,16.0
337,A047384,A019158,2022JJ00,19.0
338,A047384,A019158,2023JJ00,23.0
339,A047384,A019158,2024JJ00,24.0
340,A047384,A019161,2021JJ00,0.0
341,A047384,A019161,2022JJ00,0.0
342,A047384,A019161,2023JJ00,0.0
343,A047384,A019161,2024JJ00,0.0
344,A047384,A019162,2021JJ00,0.0
345,A047384,A019162,2022JJ00,0.0
346,A047384,A019162,2023JJ00,0.0
347,A047384,A019162,2024JJ00,0.0
348,A047384,A019163,2021JJ00,66.0
349,A047384,A019163,2022JJ00,75.0
350,A047384,A019163,2023JJ00,79.0
351,A047384,A019163,2024JJ00,82.0
352,A047384,A019164,2021JJ00,14.0
353,A047384,A019164,2022JJ00,23.0
354,A047384,A019164,2023JJ00,23.0
355,A047384,A019164,2024JJ00,25.0
356,A047384,A019165,2021JJ00,51.0
357,A047384,A019165,2022JJ00,53.0
358,A047384,A019165,2023JJ00,55.0
359,A047384,A019165,2024JJ00,57.0
360,A019175,A019149,2021JJ00,2289.0
361,A019175,A019149,2022JJ00,2343.0
362,A019175,A019149,2023JJ00,2450.0
363,A019175,A019149,2024JJ00,2538.0
364,A019175,A019150,2021JJ00,660.0
365,A019175,A019150,2022JJ00,714.0
366,A019175,A019150,2023JJ00,794.0
367,A019175,A019150,2024JJ00,849.0
368,A019175,A019151,2021JJ00,14.0
369,A019175,A019151,2022JJ00,9.0
370,A019175,A019151,2023JJ00,9.0
371,A019175,A019151,2024JJ00,11.0
372,A019175,A019152,2021JJ00,645.0
373,A019175,A019152,2022JJ00,705.0
374,A019175,A019152,2023JJ00,785.0
375,A019175,A019152,2024JJ00,838.0
376,A019175,A019154,2021JJ00,95.0
377,A019175,A019154,2022JJ00,103.0
378,A019175,A019154,2023JJ00,121.0
379,A019175,A019154,2024JJ00,129.0
380,A019175,A019155,2021JJ00,
381,A019175,A019155,2022JJ00,
382,A019175,A019155,2023JJ00,
383,A019175,A019155,2024JJ00,
384,A019175,A019156,2021JJ00,550.0
385,A019175,A019156,2022JJ00,602.0
386,A019175,A019156,2023JJ00,664.0
387,A019175,A019156,2024JJ00,709.0
388,A019175,A041720,2021JJ00,1629.0
389,A019175,A041720,2022JJ00,1628.0
390,A019175,A041720,2023JJ00,1656.0
391,A019175,A041720,2024JJ00,1689.0
392,A019175,A019157,2021JJ00,1121.0
393,A019175,A019157,2022JJ00,1100.0
394,A019175,A019157,2023JJ00,1102.0
395,A019175,A019157,2024JJ00,1104.0
396,A019175,A019158,2021JJ00,1121.0
397,A019175,A019158,2022JJ00,1100.0
398,A019175,A019158,2023JJ00,1102.0
399,A019175,A019158,2024JJ00,1104.0
400,A019175,A019161,2021JJ00,0.0
401,A019175,A019161,2022JJ00,0.0
402,A019175,A019161,2023JJ00,0.0
403,A019175,A019161,2024JJ00,0.0
404,A019175,A019162,2021JJ00,0.0
405,A019175,A019162,2022JJ00,0.0
406,A019175,A019162,2023JJ00,0.0
407,A019175,A019162,2024JJ00,0.0
408,A019175,A019163,2021JJ00,509.0
409,A019175,A019163,2022JJ00,529.0
410,A019175,A019163,2023JJ00,553.0
411,A019175,A019163,2024JJ00,585.0
412,A019175,A019164,2021JJ00,418.0
413,A019175,A019164,2022JJ00,436.0
414,A019175,A019164,2023JJ00,456.0
415,A019175,A019164,2024JJ00,485.0
416,A019175,A019165,2021JJ00,91.0
417,A019175,A019165,2022JJ00,93.0
418,A019175,A019165,2023JJ00,97.0
419,A019175,A019165,2024JJ00,100.0
420,A047385,A019149,2021JJ00,15836.0
421,A047385,A019149,2022JJ00,16800.0
422,A047385,A019149,2023JJ00,18386.0
423,A047385,A019149,2024JJ00,19888.0
424,A047385,A019150,2021JJ00,14074.0
425,A047385,A019150,2022JJ00,14739.0
426,A047385,A019150,2023JJ00,15986.0
427,A047385,A019150,2024JJ00,17314.0
428,A047385,A019151,2021JJ00,1275.0
429,A047385,A019151,2022JJ00,1381.0
430,A047385,A019151,2023JJ00,1466.0
431,A047385,A019151,2024JJ00,1611.0
432,A047385,A019152,2021JJ00,12799.0
433,A047385,A019152,2022JJ00,13358.0
434,A047385,A019152,2023JJ00,14520.0
435,A047385,A019152,2024JJ00,15702.0
436,A047385,A019154,2021JJ00,0.0
437,A047385,A019154,2022JJ00,0.0
438,A047385,A019154,2023JJ00,0.0
439,A047385,A019154,2024JJ00,0.0
440,A047385,A019155,2021JJ00,
441,A047385,A019155,2022JJ00,
442,A047385,A019155,2023JJ00,
443,A047385,A019155,2024JJ00,
444,A047385,A019156,2021JJ00,12799.0
445,A047385,A019156,2022JJ00,13358.0
446,A047385,A019156,2023JJ00,14520.0
447,A047385,A019156,2024JJ00,15702.0
448,A047385,A041720,2021JJ00,1762.0
449,A047385,A041720,2022JJ00,2062.0
450,A047385,A041720,2023JJ00,2400.0
451,A047385,A041720,2024JJ00,2575.0
452,A047385,A019157,2021JJ00,15.0
453,A047385,A019157,2022JJ00,13.0
454,A047385,A019157,2023JJ00,14.0
455,A047385,A019157,2024JJ00,15.0
456,A047385,A019158,2021JJ00,15.0
457,A047385,A019158,2022JJ00,13.0
458,A047385,A019158,2023JJ00,14.0
459,A047385,A019158,2024JJ00,15.0
460,A047385,A019161,2021JJ00,0.0
461,A047385,A019161,2022JJ00,0.0
462,A047385,A019161,2023JJ00,0.0
463,A047385,A019161,2024JJ00,0.0
464,A047385,A019162,2021JJ00,0.0
465,A047385,A019162,2022JJ00,0.0
466,A047385,A019162,2023JJ00,0.0
467,A047385,A019162,2024JJ00,0.0
468,A047385,A019163,2021JJ00,1747.0
469,A047385,A019163,2022JJ00,2048.0
470,A047385,A019163,2023JJ00,2386.0
471,A047385,A019163,2024JJ00,2560.0
472,A047385,A019164,2021JJ00,869.0
473,A047385,A019164,2022JJ00,1125.0
474,A047385,A019164,2023JJ00,1418.0
475,A047385,A019164,2024JJ00,1572.0
476,A047385,A019165,2021JJ00,879.0
477,A047385,A019165,2022JJ00,924.0
478,A047385,A019165,2023JJ00,968.0
479,A047385,A019165,2024JJ00,988.0
480,A019176,A019149,2021JJ00,3111.0
481,A019176,A019149,2022JJ00,3445.0
482,A019176,A019149,2023JJ00,3914.0
483,A019176,A019149,2024JJ00,4190.0
484,A019176,A019150,2021JJ00,1357.0
485,A019176,A019150,2022JJ00,1334.0
486,A019176,A019150,2023JJ00,1485.0
487,A019176,A019150,2024JJ00,1645.0
488,A019176,A019151,2021JJ00,329.0
489,A019176,A019151,2022JJ00,358.0
490,A019176,A019151,2023JJ00,385.0
491,A019176,A019151,2024JJ00,457.0
492,A019176,A019152,2021JJ00,1028.0
493,A019176,A019152,2022JJ00,976.0
494,A019176,A019152,2023JJ00,1099.0
495,A019176,A019152,2024JJ00,1188.0
496,A019176,A019154,2021JJ00,0.0
497,A019176,A019154,2022JJ00,0.0
498,A019176,A019154,2023JJ00,0.0
499,A019176,A019154,2024JJ00,0.0
500,A019176,A019155,2021JJ00,
501,A019176,A019155,2022JJ00,
502,A019176,A019155,2023JJ00,
503,A019176,A019155,2024JJ00,
504,A019176,A019156,2021JJ00,1028.0
505,A019176,A019156,2022JJ00,976.0
506,A019176,A019156,2023JJ00,1099.0
507,A019176,A019156,2024JJ00,1188.0
508,A019176,A041720,2021JJ00,1753.0
509,A019176,A041720,2022JJ00,2111.0
510,A019176,A041720,2023JJ00,2430.0
511,A019176,A041720,2024JJ00,2546.0
512,A019176,A019157,2021JJ00,340.0
513,A019176,A019157,2022JJ00,356.0
514,A019176,A019157,2023JJ00,389.0
515,A019176,A019157,2024JJ00,400.0
516,A019176,A019158,2021JJ00,340.0
517,A019176,A019158,2022JJ00,356.0
518,A019176,A019158,2023JJ00,389.0
519,A019176,A019158,2024JJ00,400.0
520,A019176,A019161,2021JJ00,0.0
521,A019176,A019161,2022JJ00,0.0
522,A019176,A019161,2023JJ00,0.0
523,A019176,A019161,2024JJ00,0.0
524,A019176,A019162,2021JJ00,0.0
525,A019176,A019162,2022JJ00,0.0
526,A019176,A019162,2023JJ00,0.0
527,A019176,A019162,2024JJ00,0.0
528,A019176,A019163,2021JJ00,1413.0
529,A019176,A019163,2022JJ00,1755.0
530,A019176,A019163,2023JJ00,2041.0
531,A019176,A019163,2024JJ00,2146.0
532,A019176,A019164,2021JJ00,1368.0
533,A019176,A019164,2022JJ00,1707.0
534,A019176,A019164,2023JJ00,1992.0
535,A019176,A019164,2024JJ00,2096.0
536,A019176,A019165,2021JJ00,45.0
537,A019176,A019165,2022JJ00,48.0
538,A019176,A019165,2023JJ00,49.0
539,A019176,A019165,2024JJ00,50.0
540,A019177,A019149,2021JJ00,592.0
541,A019177,A019149,2022JJ00,580.0
542,A019177,A019149,2023JJ00,623.0
543,A019177,A019149,2024JJ00,648.0
544,A019177,A019150,2021JJ00,547.0
545,A019177,A019150,2022JJ00,534.0
546,A019177,A019150,2023JJ00,573.0
547,A019177,A019150,2024JJ00,595.0
548,A019177,A019151,2021JJ00,0.0
549,A019177,A019151,2022JJ00,0.0
550,A019177,A019151,2023JJ00,0.0
551,A019177,A019151,2024JJ00,0.0
552,A019177,A019152,2021JJ00,547.0
553,A019177,A019152,2022JJ00,534.0
554,A019177,A019152,2023JJ00,573.0
555,A019177,A019152,2024JJ00,595.0
556,A019177,A019154,2021JJ00,0.0
557,A019177,A019154,2022JJ00,0.0
558,A019177,A019154,2023JJ00,0.0
559,A019177,A019154,2024JJ00,0.0
560,A019177,A019155,2021JJ00,
561,A019177,A019155,2022JJ00,
562,A019177,A019155,2023JJ00,
563,A019177,A019155,2024JJ00,
564,A019177,A019156,2021JJ00,547.0
565,A019177,A019156,2022JJ00,534.0
566,A019177,A019156,2023JJ00,573.0
567,A019177,A019156,2024JJ00,595.0
568,A019177,A041720,2021JJ00,45.0
569,A019177,A041720,2022JJ00,46.0
570,A019177,A041720,2023JJ00,50.0
571,A019177,A041720,2024JJ00,53.0
572,A019177,A019157,2021JJ00,15.0
573,A019177,A019157,2022JJ00,16.0
574,A019177,A019157,2023JJ00,16.0
575,A019177,A019157,2024JJ00,17.0
576,A019177,A019158,2021JJ00,15.0
577,A019177,A019158,2022JJ00,16.0
578,A019177,A019158,2023JJ00,16.0
579,A019177,A019158,2024JJ00,17.0
580,A019177,A019161,2021JJ00,0.0
581,A019177,A019161,2022JJ00,0.0
582,A019177,A019161,2023JJ00,0.0
583,A019177,A019161,2024JJ00,0.0
584,A019177,A019162,2021JJ00,0.0
585,A019177,A019162,2022JJ00,0.0
586,A019177,A019162,2023JJ00,0.0
587,A019177,A019162,2024JJ00,0.0
588,A019177,A019163,2021JJ00,30.0
589,A019177,A019163,2022JJ00,30.0
590,A019177,A019163,2023JJ00,34.0
591,A019177,A019163,2024JJ00,36.0
592,A019177,A019164,2021JJ00,10.0
593,A019177,A019164,2022JJ00,10.0
594,A019177,A019164,2023JJ00,11.0
595,A019177,A019164,2024JJ00,11.0
596,A019177,A019165,2021JJ00,20.0
597,A019177,A019165,2022JJ00,20.0
598,A019177,A019165,2023JJ00,23.0
599,A019177,A019165,2024JJ00,24.0
600,A019178,A019149,2021JJ00,4019.0
601,A019178,A019149,2022JJ00,4049.0
602,A019178,A019149,2023JJ00,4345.0
603,A019178,A019149,2024JJ00,4625.0
604,A019178,A019150,2021JJ00,2303.0
605,A019178,A019150,2022JJ00,2320.0
606,A019178,A019150,2023JJ00,2533.0
607,A019178,A019150,2024JJ00,2740.0
608,A019178,A019151,2021JJ00,71.0
609,A019178,A019151,2022JJ00,68.0
610,A019178,A019151,2023JJ00,70.0
611,A019178,A019151,2024JJ00,76.0
612,A019178,A019152,2021JJ00,2232.0
613,A019178,A019152,2022JJ00,2252.0
614,A019178,A019152,2023JJ00,2463.0
615,A019178,A019152,2024JJ00,2663.0
616,A019178,A019154,2021JJ00,0.0
617,A019178,A019154,2022JJ00,0.0
618,A019178,A019154,2023JJ00,0.0
619,A019178,A019154,2024JJ00,0.0
620,A019178,A019155,2021JJ00,
621,A019178,A019155,2022JJ00,
622,A019178,A019155,2023JJ00,
623,A019178,A019155,2024JJ00,
624,A019178,A019156,2021JJ00,2232.0
625,A019178,A019156,2022JJ00,2252.0
626,A019178,A019156,2023JJ00,2463.0
627,A019178,A019156,2024JJ00,2663.0
628,A019178,A041720,2021JJ00,1716.0
629,A019178,A041720,2022JJ00,1729.0
630,A019178,A041720,2023JJ00,1812.0
631,A019178,A041720,2024JJ00,1886.0
632,A019178,A019157,2021JJ00,1152.0
633,A019178,A019157,2022JJ00,1140.0
634,A019178,A019157,2023JJ00,1205.0
635,A019178,A019157,2024JJ00,1243.0
636,A019178,A019158,2021JJ00,1152.0
637,A019178,A019158,2022JJ00,1140.0
638,A019178,A019158,2023JJ00,1205.0
639,A019178,A019158,2024JJ00,1243.0
640,A019178,A019161,2021JJ00,0.0
641,A019178,A019161,2022JJ00,0.0
642,A019178,A019161,2023JJ00,0.0
643,A019178,A019161,2024JJ00,0.0
644,A019178,A019162,2021JJ00,0.0
645,A019178,A019162,2022JJ00,0.0
646,A019178,A019162,2023JJ00,0.0
647,A019178,A019162,2024JJ00,0.0
648,A019178,A019163,2021JJ00,565.0
649,A019178,A019163,2022JJ00,590.0
650,A019178,A019163,2023JJ00,606.0
651,A019178,A019163,2024JJ00,643.0
652,A019178,A019164,2021JJ00,444.0
653,A019178,A019164,2022JJ00,468.0
