ID,SBI93,Perioden,ProducentenprijzenAfzetBinnenland_1,IngekochteGrondstoffenHalffabrikaten_2
95,101010,1962JJ00,41.0,
96,101010,1963JJ00,42.0,
97,101010,1964JJ00,46.0,
98,101010,1965JJ00,47.0,
99,101010,1966JJ00,51.0,
100,101010,1967JJ00,51.0,
101,101010,1968JJ00,53.0,
102,101010,1969JJ00,56.0,
103,101010,1970JJ00,58.0,82.0
104,101010,1971JJ00,59.0,80.0
105,101010,1972JJ00,62.0,83.0
106,101010,1973JJ00,67.0,98.0
107,101010,1974JJ00,71.0,101.0
108,101010,1975JJ00,75.0,100.0
109,101010,1976JJ00,81.0,107.0
110,101010,1977JJ00,89.0,113.0
111,101010,1978JJ00,89.0,109.0
112,101010,1979JJ00,89.0,111.0
113,101010,1980JJ00,94.0,115.0
114,101010,1981JJ00,102.0,129.0
115,101010,1982JJ00,107.0,129.0
116,101010,1983JJ00,108.0,134.0
117,101010,1984JJ00,115.0,154.0
118,101010,1985JJ00,112.0,145.0
119,101010,1986JJ00,105.0,123.0
120,101010,1987JJ00,98.0,106.0
121,101010,1988JJ00,101.0,113.0
122,101010,1989JJ00,105.0,114.0
123,101010,1990JJ00,100.0,100.0
124,101010,1991JJ00,102.0,101.0
125,101010,1992JJ00,104.0,99.0
126,101010,1993JJ00,102.0,97.0
127,101010,1994JJ00,104.0,102.0
128,101010,1995JJ00,104.0,101.0
129,101010,1996JJ00,107.0,106.0
130,101010,1997JJ00,110.0,115.0
131,101010,1998JJ00,108.0,111.0
132,101010,1999JJ00,105.0,102.0
133,101010,2000JJ00,110.0,111.0
134,101010,2001JJ00,116.0,112.0
135,101010,2002JJ00,116.0,116.0
136,101020,1935JJ00,10.0,15.0
137,101020,1936JJ00,9.0,17.0
138,101020,1937JJ00,11.0,21.0
139,101020,1938JJ00,10.0,17.0
140,101020,1939JJ00,10.0,18.0
141,101020,1940JJ00,13.0,23.0
142,101020,1941JJ00,17.0,26.0
143,101020,1942JJ00,17.0,26.0
144,101020,1943JJ00,19.0,26.0
145,101020,1944JJ00,20.0,26.0
146,101020,1945JJ00,21.0,32.0
147,101020,1946JJ00,31.0,41.0
148,101020,1947JJ00,33.0,45.0
149,101020,1948JJ00,34.0,45.0
150,101020,1949JJ00,38.0,48.0
151,101020,1950JJ00,47.0,70.0
152,101020,1951JJ00,57.0,87.0
153,101020,1952JJ00,47.0,68.0
154,101020,1953JJ00,47.0,63.0
155,101020,1954JJ00,47.0,65.0
156,101020,1955JJ00,47.0,60.0
157,101020,1956JJ00,46.0,59.0
158,101020,1957JJ00,47.0,62.0
159,101020,1958JJ00,46.0,54.0
160,101020,1959JJ00,44.0,51.0
161,101020,1960JJ00,45.0,54.0
162,101020,1961JJ00,46.0,52.0
163,101020,1962JJ00,46.0,50.0
164,101020,1963JJ00,47.0,52.0
165,101020,1964JJ00,49.0,56.0
166,101020,1965JJ00,50.0,51.0
167,101020,1966JJ00,51.0,52.0
168,101020,1967JJ00,52.0,50.0
169,101020,1968JJ00,52.0,51.0
170,101020,1969JJ00,54.0,53.0
171,101020,1970JJ00,55.0,54.0
172,101020,1971JJ00,56.0,54.0
173,101020,1972JJ00,58.0,56.0
174,101020,1973JJ00,62.0,61.0
175,101020,1974JJ00,70.0,74.0
176,101020,1975JJ00,72.0,67.0
177,101020,1976JJ00,74.0,73.0
178,101020,1977JJ00,79.0,75.0
179,101020,1978JJ00,79.0,74.0
180,101020,1979JJ00,81.0,79.0
181,101020,1980JJ00,85.0,85.0
182,101020,1981JJ00,89.0,91.0
183,101020,1982JJ00,91.0,96.0
184,101020,1983JJ00,93.0,97.0
185,101020,1984JJ00,97.0,103.0
186,101020,1985JJ00,100.0,105.0
187,101020,1986JJ00,99.0,102.0
188,101020,1987JJ00,98.0,100.0
189,101020,1988JJ00,98.0,100.0
190,101020,1989JJ00,99.0,101.0
191,101020,1990JJ00,100.0,100.0
192,101020,1991JJ00,101.0,100.0
193,101020,1992JJ00,102.0,99.0
194,101020,1993JJ00,103.0,97.0
195,101020,1994JJ00,104.0,96.0
196,101020,1995JJ00,106.0,100.0
197,101020,1996JJ00,106.0,100.0
198,101020,1997JJ00,106.0,102.0
199,101020,1998JJ00,107.0,103.0
200,101020,1999JJ00,107.0,102.0
201,101020,2000JJ00,108.0,105.0
202,101020,2001JJ00,111.0,107.0
203,101020,2002JJ00,112.0,106.0
204,101030,1935JJ00,,
205,101030,1936JJ00,,
206,101030,1937JJ00,,
207,101030,1938JJ00,,
208,101030,1939JJ00,,
209,101030,1940JJ00,,
210,101030,1941JJ00,,
211,101030,1942JJ00,,
212,101030,1943JJ00,,
213,101030,1944JJ00,,
214,101030,1945JJ00,,
215,101030,1946JJ00,,
216,101030,1947JJ00,,
217,101030,1948JJ00,,
218,101030,1949JJ00,,
219,101030,1950JJ00,,
220,101030,1951JJ00,,
221,101030,1952JJ00,,
222,101030,1953JJ00,,
223,101030,1954JJ00,,
224,101030,1955JJ00,,
225,101030,1956JJ00,,
226,101030,1957JJ00,,
227,101030,1958JJ00,,44.0
228,101030,1959JJ00,,43.0
229,101030,1960JJ00,,44.0
230,101030,1961JJ00,,44.0
231,101030,1962JJ00,,45.0
232,101030,1963JJ00,,46.0
233,101030,1964JJ00,,48.0
234,101030,1965JJ00,,48.0
235,101030,1966JJ00,,49.0
236,101030,1967JJ00,,49.0
237,101030,1968JJ00,,49.0
238,101030,1969JJ00,,49.0
239,101030,1970JJ00,45.0,51.0
240,101030,1971JJ00,48.0,52.0
241,101030,1972JJ00,51.0,53.0
242,101030,1973JJ00,53.0,58.0
243,101030,1974JJ00,59.0,65.0
244,101030,1975JJ00,63.0,66.0
245,101030,1976JJ00,67.0,69.0
246,101030,1977JJ00,70.0,72.0
247,101030,1978JJ00,74.0,72.0
248,101030,1979JJ00,77.0,75.0
249,101030,1980JJ00,81.0,81.0
250,101030,1981JJ00,84.0,87.0
251,101030,1982JJ00,87.0,89.0
252,101030,1983JJ00,87.0,91.0
253,101030,1984JJ00,90.0,96.0
254,101030,1985JJ00,93.0,100.0
255,101030,1986JJ00,95.0,100.0
256,101030,1987JJ00,97.0,100.0
257,101030,1988JJ00,97.0,100.0
258,101030,1989JJ00,98.0,100.0
259,101030,1990JJ00,100.0,100.0
260,101030,1991JJ00,102.0,101.0
261,101030,1992JJ00,104.0,101.0
262,101030,1993JJ00,105.0,99.0
263,101030,1994JJ00,105.0,98.0
264,101030,1995JJ00,105.0,100.0
265,101030,1996JJ00,104.0,101.0
266,101030,1997JJ00,105.0,102.0
267,101030,1998JJ00,108.0,103.0
268,101030,1999JJ00,111.0,102.0
269,101030,2000JJ00,113.0,105.0
270,101030,2001JJ00,115.0,107.0
271,101030,2002JJ00,118.0,104.0
272,101040,1935JJ00,0.0,7.0
273,101040,1936JJ00,0.0,9.0
274,101040,1937JJ00,0.0,14.0
275,101040,1938JJ00,0.0,10.0
276,101040,1939JJ00,0.0,11.0
277,101040,1940JJ00,0.0,12.0
278,101040,1941JJ00,0.0,12.0
279,101040,1942JJ00,0.0,12.0
280,101040,1943JJ00,0.0,12.0
281,101040,1944JJ00,0.0,12.0
282,101040,1945JJ00,0.0,14.0
283,101040,1946JJ00,0.0,23.0
284,101040,1947JJ00,0.0,24.0
285,101040,1948JJ00,0.0,31.0
286,101040,1949JJ00,0.0,35.0
287,101040,1950JJ00,0.0,46.0
288,101040,1951JJ00,0.0,59.0
289,101040,1952JJ00,0.0,39.0
290,101040,1953JJ00,0.0,41.0
291,101040,1954JJ00,0.0,37.0
292,101040,1955JJ00,0.0,34.0
293,101040,1956JJ00,0.0,35.0
294,101040,1957JJ00,0.0,36.0
295,101040,1958JJ00,0.0,35.0
296,101040,1959JJ00,0.0,46.0
297,101040,1960JJ00,0.0,40.0
298,101040,1961JJ00,0.0,37.0
299,101040,1962JJ00,0.0,37.0
300,101040,1963JJ00,0.0,32.0
301,101040,1964JJ00,0.0,32.0
302,101040,1965JJ00,0.0,34.0
303,101040,1966JJ00,0.0,45.0
304,101040,1967JJ00,0.0,37.0
305,101040,1968JJ00,0.0,37.0
306,101040,1969JJ00,0.0,44.0
307,101040,1970JJ00,0.0,43.0
308,101040,1971JJ00,0.0,44.0
309,101040,1972JJ00,0.0,49.0
310,101040,1973JJ00,0.0,51.0
311,101040,1974JJ00,0.0,50.0
312,101040,1975JJ00,0.0,51.0
313,101040,1976JJ00,0.0,60.0
314,101040,1977JJ00,0.0,64.0
315,101040,1978JJ00,0.0,65.0
316,101040,1979JJ00,0.0,78.0
317,101040,1980JJ00,0.0,73.0
318,101040,1981JJ00,0.0,75.0
319,101040,1982JJ00,0.0,80.0
320,101040,1983JJ00,0.0,83.0
321,101040,1984JJ00,0.0,95.0
322,101040,1985JJ00,0.0,102.0
323,101040,1986JJ00,0.0,97.0
324,101040,1987JJ00,0.0,95.0
325,101040,1988JJ00,0.0,98.0
326,101040,1989JJ00,0.0,101.0
327,101040,1990JJ00,0.0,100.0
328,101040,1991JJ00,0.0,94.0
329,101040,1992JJ00,0.0,95.0
330,101040,1993JJ00,0.0,96.0
331,101040,1994JJ00,0.0,100.0
332,101040,1995JJ00,0.0,95.0
333,101040,1996JJ00,0.0,95.0
334,101040,1997JJ00,0.0,101.0
335,101040,1998JJ00,0.0,97.0
336,101040,1999JJ00,0.0,93.0
337,101040,2000JJ00,0.0,98.0
338,101040,2001JJ00,0.0,100.0
339,101040,2002JJ00,0.0,102.0
340,101050,1935JJ00,6.0,2.0
341,101050,1936JJ00,6.0,3.0
342,101050,1937JJ00,7.0,5.0
343,101050,1938JJ00,7.0,4.0
344,101050,1939JJ00,7.0,5.0
345,101050,1940JJ00,10.0,7.0
346,101050,1941JJ00,14.0,7.0
347,101050,1942JJ00,16.0,8.0
348,101050,1943JJ00,17.0,8.0
349,101050,1944JJ00,17.0,8.0
350,101050,1945JJ00,17.0,8.0
351,101050,1946JJ00,25.0,18.0
352,101050,1947JJ00,28.0,24.0
353,101050,1948JJ00,27.0,21.0
354,101050,1949JJ00,27.0,21.0
355,101050,1950JJ00,27.0,25.0
356,101050,1951JJ00,29.0,38.0
357,101050,1952JJ00,30.0,35.0
358,101050,1953JJ00,28.0,32.0
359,101050,1954JJ00,29.0,33.0
360,101050,1955JJ00,31.0,35.0
361,101050,1956JJ00,33.0,35.0
362,101050,1957JJ00,34.0,35.0
363,101050,1958JJ00,33.0,33.0
364,101050,1959JJ00,32.0,31.0
365,101050,1960JJ00,33.0,34.0
366,101050,1961JJ00,34.0,33.0
367,101050,1962JJ00,34.0,32.0
368,101050,1963JJ00,34.0,33.0
369,101050,1964JJ00,36.0,36.0
370,101050,1965JJ00,36.0,37.0
371,101050,1966JJ00,37.0,36.0
372,101050,1967JJ00,37.0,34.0
373,101050,1968JJ00,37.0,34.0
374,101050,1969JJ00,40.0,37.0
375,101050,1970JJ00,43.0,41.0
376,101050,1971JJ00,46.0,42.0
377,101050,1972JJ00,48.0,43.0
378,101050,1973JJ00,52.0,52.0
379,101050,1974JJ00,59.0,63.0
380,101050,1975JJ00,63.0,59.0
381,101050,1976JJ00,66.0,64.0
382,101050,1977JJ00,69.0,68.0
383,101050,1978JJ00,72.0,68.0
384,101050,1979JJ00,75.0,74.0
385,101050,1980JJ00,79.0,83.0
386,101050,1981JJ00,83.0,87.0
387,101050,1982JJ00,85.0,87.0
388,101050,1983JJ00,86.0,89.0
389,101050,1984JJ00,88.0,94.0
390,101050,1985JJ00,90.0,95.0
391,101050,1986JJ00,91.0,92.0
392,101050,1987JJ00,91.0,90.0
393,101050,1988JJ00,93.0,92.0
394,101050,1989JJ00,96.0,97.0
395,101050,1990JJ00,100.0,100.0
396,101050,1991JJ00,101.0,97.0
397,101050,1992JJ00,102.0,95.0
398,101050,1993JJ00,104.0,99.0
399,101050,1994JJ00,107.0,105.0
400,101050,1995JJ00,110.0,103.0
401,101050,1996JJ00,109.0,103.0
402,101050,1997JJ00,112.0,109.0
403,101050,1998JJ00,113.0,108.0
404,101050,1999JJ00,115.0,108.0
405,101050,2000JJ00,116.0,111.0
406,101050,2001JJ00,121.0,110.0
407,101050,2002JJ00,124.0,110.0
408,101060,1935JJ00,5.0,5.0
409,101060,1936JJ00,6.0,5.0
410,101060,1937JJ00,8.0,11.0
411,101060,1938JJ00,8.0,7.0
412,101060,1939JJ00,8.0,6.0
413,101060,1940JJ00,10.0,12.0
414,101060,1941JJ00,11.0,12.0
415,101060,1942JJ00,11.0,12.0
416,101060,1943JJ00,11.0,12.0
417,101060,1944JJ00,11.0,12.0
418,101060,1945JJ00,13.0,14.0
419,101060,1946JJ00,20.0,19.0
420,101060,1947JJ00,21.0,28.0
421,101060,1948JJ00,24.0,31.0
422,101060,1949JJ00,24.0,21.0
423,101060,1950JJ00,26.0,32.0
424,101060,1951JJ00,45.0,70.0
425,101060,1952JJ00,38.0,45.0
426,101060,1953JJ00,32.0,32.0
427,101060,1954JJ00,34.0,36.0
428,101060,1955JJ00,37.0,37.0
429,101060,1956JJ00,36.0,38.0
430,101060,1957JJ00,37.0,37.0
431,101060,1958JJ00,37.0,35.0
432,101060,1959JJ00,36.0,33.0
433,101060,1960JJ00,35.0,34.0
434,101060,1961JJ00,36.0,33.0
435,101060,1962JJ00,36.0,31.0
436,101060,1963JJ00,36.0,31.0
437,101060,1964JJ00,38.0,32.0
438,101060,1965JJ00,38.0,34.0
439,101060,1966JJ00,39.0,33.0
440,101060,1967JJ00,39.0,33.0
441,101060,1968JJ00,39.0,32.0
442,101060,1969JJ00,41.0,34.0
443,101060,1970JJ00,45.0,39.0
444,101060,1971JJ00,48.0,40.0
445,101060,1972JJ00,49.0,39.0
446,101060,1973JJ00,51.0,40.0
447,101060,1974JJ00,60.0,55.0
448,101060,1975JJ00,68.0,65.0
449,101060,1976JJ00,67.0,66.0
450,101060,1977JJ00,71.0,66.0
451,101060,1978JJ00,70.0,60.0
452,101060,1979JJ00,71.0,66.0
453,101060,1980JJ00,78.0,76.0
454,101060,1981JJ00,85.0,90.0
455,101060,1982JJ00,89.0,92.0
456,101060,1983JJ00,88.0,90.0
457,101060,1984JJ00,92.0,105.0
458,101060,1985JJ00,96.0,100.0
459,101060,1986JJ00,94.0,92.0
460,101060,1987JJ00,93.0,93.0
461,101060,1988JJ00,96.0,99.0
462,101060,1989JJ00,99.0,109.0
463,101060,1990JJ00,100.0,100.0
464,101060,1991JJ00,101.0,95.0
465,101060,1992JJ00,101.0,90.0
466,101060,1993JJ00,97.0,82.0
467,101060,1994JJ00,99.0,85.0
468,101060,1995JJ00,111.0,100.0
469,101060,1996JJ00,106.0,93.0
470,101060,1997JJ00,103.0,92.0
471,101060,1998JJ00,105.0,94.0
472,101060,1999JJ00,106.0,93.0
473,101060,2000JJ00,115.0,112.0
474,101060,2001JJ00,118.0,108.0
475,101060,2002JJ00,118.0,102.0
476,101070,1935JJ00,,
477,101070,1936JJ00,,
478,101070,1937JJ00,,
479,101070,1938JJ00,,
480,101070,1939JJ00,,
481,101070,1940JJ00,,
482,101070,1941JJ00,,
483,101070,1942JJ00,,
484,101070,1943JJ00,,
485,101070,1944JJ00,,
486,101070,1945JJ00,,
487,101070,1946JJ00,,
488,101070,1947JJ00,,
489,101070,1948JJ00,,
490,101070,1949JJ00,,
491,101070,1950JJ00,,
492,101070,1951JJ00,,
493,101070,1952JJ00,,
494,101070,1953JJ00,,
495,101070,1954JJ00,,
496,101070,1955JJ00,,
497,101070,1956JJ00,,
498,101070,1957JJ00,,
499,101070,1958JJ00,,
500,101070,1959JJ00,,
501,101070,1960JJ00,,
502,101070,1961JJ00,,
503,101070,1962JJ00,,
504,101070,1963JJ00,,
505,101070,1964JJ00,,
506,101070,1965JJ00,,
507,101070,1966JJ00,,
508,101070,1967JJ00,,
509,101070,1968JJ00,,
510,101070,1969JJ00,,
511,101070,1970JJ00,34.0,21.0
512,101070,1971JJ00,38.0,26.0
513,101070,1972JJ00,38.0,24.0
514,101070,1973JJ00,46.0,29.0
515,101070,1974JJ00,61.0,73.0
516,101070,1975JJ00,62.0,73.0
517,101070,1976JJ00,68.0,80.0
518,101070,1977JJ00,66.0,82.0
519,101070,1978JJ00,66.0,73.0
520,101070,1979JJ00,75.0,91.0
521,101070,1980JJ00,93.0,152.0
522,101070,1981JJ00,113.0,211.0
523,101070,1982JJ00,117.0,211.0
524,101070,1983JJ00,116.0,200.0
525,101070,1984JJ00,123.0,217.0
526,101070,1985JJ00,125.0,215.0
527,101070,1986JJ00,86.0,89.0
528,101070,1987JJ00,90.0,89.0
529,101070,1988JJ00,87.0,73.0
530,101070,1989JJ00,94.0,92.0
531,101070,1990JJ00,100.0,100.0
532,101070,1991JJ00,100.0,88.0
533,101070,1992JJ00,91.0,81.0
534,101070,1993JJ00,87.0,75.0
535,101070,1994JJ00,82.0,70.0
536,101070,1995JJ00,82.0,68.0
537,101070,1996JJ00,98.0,86.0
538,101070,1997JJ00,108.0,90.0
539,101070,1998JJ00,91.0,61.0
540,101070,1999JJ00,112.0,90.0
541,101070,2000JJ00,179.0,165.0
542,101070,2001JJ00,170.0,144.0
543,101070,2002JJ00,165.0,139.0
544,101080,1935JJ00,9.0,
545,101080,1936JJ00,9.0,
546,101080,1937JJ00,11.0,
547,101080,1938JJ00,11.0,
548,101080,1939JJ00,11.0,
549,101080,1940JJ00,15.0,
550,101080,1941JJ00,16.0,
551,101080,1942JJ00,17.0,
552,101080,1943JJ00,18.0,
553,101080,1944JJ00,18.0,
554,101080,1945JJ00,22.0,
555,101080,1946JJ00,34.0,
556,101080,1947JJ00,34.0,
557,101080,1948JJ00,34.0,
558,101080,1949JJ00,36.0,
559,101080,1950JJ00,37.0,
560,101080,1951JJ00,46.0,
561,101080,1952JJ00,45.0,
562,101080,1953JJ00,40.0,
563,101080,1954JJ00,41.0,
564,101080,1955JJ00,43.0,
565,101080,1956JJ00,43.0,
566,101080,1957JJ00,44.0,
567,101080,1958JJ00,44.0,
568,101080,1959JJ00,43.0,
569,101080,1960JJ00,43.0,
570,101080,1961JJ00,40.0,
571,101080,1962JJ00,41.0,
572,101080,1963JJ00,41.0,
573,101080,1964JJ00,43.0,
574,101080,1965JJ00,45.0,
575,101080,1966JJ00,46.0,
576,101080,1967JJ00,46.0,
577,101080,1968JJ00,47.0,
578,101080,1969JJ00,50.0,
579,101080,1970JJ00,51.0,35.0
580,101080,1971JJ00,53.0,36.0
581,101080,1972JJ00,55.0,35.0
582,101080,1973JJ00,58.0,38.0
583,101080,1974JJ00,65.0,63.0
584,101080,1975JJ00,73.0,65.0
585,101080,1976JJ00,75.0,69.0
586,101080,1977JJ00,77.0,68.0
587,101080,1978JJ00,78.0,66.0
588,101080,1979JJ00,80.0,82.0
589,101080,1980JJ00,86.0,95.0
590,101080,1981JJ00,95.0,111.0
591,101080,1982JJ00,99.0,114.0
592,101080,1983JJ00,98.0,112.0
593,101080,1984JJ00,103.0,119.0
594,101080,1985JJ00,107.0,124.0
595,101080,1986JJ00,97.0,99.0
596,101080,1987JJ00,97.0,90.0
597,101080,1988JJ00,99.0,88.0
598,101080,1989JJ00,100.0,97.0
599,101080,1990JJ00,100.0,100.0
600,101080,1991JJ00,101.0,99.0
601,101080,1992JJ00,96.0,95.0
602,101080,1993JJ00,95.0,90.0
603,101080,1994JJ00,98.0,90.0
604,101080,1995JJ00,103.0,94.0
605,101080,1996JJ00,102.0,97.0
606,101080,1997JJ00,105.0,103.0
607,101080,1998JJ00,103.0,95.0
608,101080,1999JJ00,104.0,100.0
609,101080,2000JJ00,122.0,132.0
610,101080,2001JJ00,125.0,127.0
611,101080,2002JJ00,119.0,123.0
612,101140,1935JJ00,8.0,6.0
613,101140,1936JJ00,7.0,7.0
614,101140,1937JJ00,9.0,11.0
615,101140,1938JJ00,9.0,9.0
616,101140,1939JJ00,10.0,10.0
617,101140,1940JJ00,12.0,13.0
618,101140,1941JJ00,13.0,13.0
619,101140,1942JJ00,13.0,11.0
620,101140,1943JJ00,13.0,11.0
621,101140,1944JJ00,13.0,11.0
622,101140,1945JJ00,13.0,11.0
623,101140,1946JJ00,24.0,22.0
624,101140,1947JJ00,25.0,24.0
625,101140,1948JJ00,25.0,26.0
626,101140,1949JJ00,26.0,27.0
627,101140,1950JJ00,30.0,28.0
628,101140,1951JJ00,37.0,47.0
629,101140,1952JJ00,38.0,46.0
630,101140,1953JJ00,35.0,38.0
631,101140,1954JJ00,35.0,36.0
632,101140,1955JJ00,37.0,41.0
633,101140,1956JJ00,39.0,43.0
634,101140,1957JJ00,39.0,42.0
635,101140,1958JJ00,36.0,40.0
636,101140,1959JJ00,37.0,33.0
637,101140,1960JJ00,37.0,41.0
638,101140,1961JJ00,37.0,39.0
639,101140,1962JJ00,37.0,39.0
640,101140,1963JJ00,37.0,38.0
641,101140,1964JJ00,39.0,42.0
642,101140,1965JJ00,40.0,46.0
643,101140,1966JJ00,43.0,46.0
644,101140,1967JJ00,43.0,44.0
645,101140,1968JJ00,44.0,43.0
646,101140,1969JJ00,46.0,47.0
647,101140,1970JJ00,49.0,51.0
648,101140,1971JJ00,52.0,50.0
649,101140,1972JJ00,54.0,50.0
650,101140,1973JJ00,57.0,57.0
651,101140,1974JJ00,62.0,71.0
652,101140,1975JJ00,67.0,67.0
653,101140,1976JJ00,70.0,72.0
654,101140,1977JJ00,72.0,71.0
655,101140,1978JJ00,72.0,71.0
656,101140,1979JJ00,76.0,76.0
657,101140,1980JJ00,79.0,81.0
658,101140,1981JJ00,83.0,88.0
659,101140,1982JJ00,87.0,91.0
660,101140,1983JJ00,89.0,93.0
661,101140,1984JJ00,91.0,96.0
662,101140,1985JJ00,94.0,102.0
663,101140,1986JJ00,95.0,95.0
664,101140,1987JJ00,94.0,93.0
665,101140,1988JJ00,96.0,96.0
666,101140,1989JJ00,100.0,102.0
667,101140,1990JJ00,100.0,100.0
668,101140,1991JJ00,101.0,99.0
669,101140,1992JJ00,102.0,98.0
670,101140,1993JJ00,101.0,97.0
671,101140,1994JJ00,101.0,98.0
672,101140,1995JJ00,104.0,101.0
673,101140,1996JJ00,104.0,100.0
674,101140,1997JJ00,106.0,103.0
675,101140,1998JJ00,107.0,103.0
676,101140,1999JJ00,107.0,101.0
677,101140,2000JJ00,110.0,108.0
678,101140,2001JJ00,111.0,110.0
679,101140,2002JJ00,113.0,108.0
680,101090,1935JJ00,0.0,
681,101090,1936JJ00,0.0,
682,101090,1937JJ00,0.0,
683,101090,1938JJ00,0.0,
684,101090,1939JJ00,0.0,
685,101090,1940JJ00,0.0,
686,101090,1941JJ00,0.0,
687,101090,1942JJ00,0.0,
688,101090,1943JJ00,0.0,
689,101090,1944JJ00,0.0,
690,101090,1945JJ00,0.0,
691,101090,1946JJ00,0.0,
692,101090,1947JJ00,0.0,
693,101090,1948JJ00,0.0,
694,101090,1949JJ00,0.0,
695,101090,1950JJ00,0.0,
696,101090,1951JJ00,0.0,
697,101090,1952JJ00,0.0,
698,101090,1953JJ00,0.0,
699,101090,1954JJ00,0.0,
700,101090,1955JJ00,0.0,
701,101090,1956JJ00,0.0,
702,101090,1957JJ00,0.0,
703,101090,1958JJ00,0.0,
704,101090,1959JJ00,0.0,
705,101090,1960JJ00,0.0,
706,101090,1961JJ00,0.0,
707,101090,1962JJ00,0.0,
708,101090,1963JJ00,0.0,
709,101090,1964JJ00,0.0,
710,101090,1965JJ00,0.0,
711,101090,1966JJ00,0.0,
712,101090,1967JJ00,0.0,
713,101090,1968JJ00,0.0,
714,101090,1969JJ00,0.0,
715,101090,1970JJ00,0.0,
716,101090,1971JJ00,0.0,
717,101090,1972JJ00,0.0,
718,101090,1973JJ00,0.0,
719,101090,1974JJ00,0.0,
720,101090,1975JJ00,0.0,72.0
721,101090,1976JJ00,0.0,76.0
722,101090,1977JJ00,0.0,75.0
723,101090,1978JJ00,0.0,72.0
724,101090,1979JJ00,0.0,78.0
725,101090,1980JJ00,0.0,84.0
726,101090,1981JJ00,0.0,99.0
727,101090,1982JJ00,0.0,102.0
728,101090,1983JJ00,0.0,102.0
729,101090,1984JJ00,0.0,110.0
