ID,KenmerkenDagtochten,Perioden,TotaleUitgavenAanDagtochten_1,TotaleEntreeEnDeelnamekosten_2,TotaleConsumptiekosten_3,TotaleReiskosten_4,UitgavenPerPersoonPerDagtocht_5,EntreeEnDeelnamekostenPPPDagt_6,ConsumptiekostenPerPersoonPerDagt_7,ReiskostenPerPersoonPerDagtocht_8
183,46,2007VJ09,259,80,113,66,12.49,3.85,5.47,3.17
184,47,1990VJ04,389,129,188,72,3.28,1.09,1.59,0.6
185,47,1996VJ08,514,194,230,90,3.98,1.5,1.78,0.7
186,47,2002VJ11,766,324,289,154,6.71,2.83,2.53,1.35
187,47,2007VJ09,823,347,321,155,8.58,3.62,3.34,1.62
188,48,1990VJ04,36,5,25,6,3.8,0.53,2.64,0.63
189,48,1996VJ08,43,10,28,5,4.19,0.95,2.76,0.49
190,48,2002VJ11,53,13,34,7,6.6,1.56,4.17,0.87
191,48,2007VJ09,52,14,31,7,6.1,1.61,3.62,0.87
192,49,1990VJ04,327,118,151,57,3.57,1.29,1.65,0.63
193,49,1996VJ08,433,172,188,72,4.46,1.77,1.94,0.74
194,49,2002VJ11,601,260,224,116,7.18,3.11,2.68,1.39
195,49,2007VJ09,554,227,232,96,9.28,3.79,3.88,1.6
196,50,1990VJ04,10,4,5,1,1.58,0.58,0.87,0.14
197,50,1996VJ08,14,7,5,2,1.7,0.83,0.64,0.23
198,50,2002VJ11,33,14,13,6,4.46,1.89,1.71,0.86
199,50,2007VJ09,37,17,14,5,3.98,1.9,1.49,0.59
200,51,1990VJ04,2,0,1,1,0.36,0.02,0.11,0.23
201,51,1996VJ08,4,1,1,2,1.06,0.22,0.31,0.54
202,51,2002VJ11,6,0,0,5,1.69,0.13,0.1,1.46
203,51,2007VJ09,8,2,3,3,4.03,1.01,1.36,1.67
204,52,1990VJ04,14,2,6,6,2.36,0.31,0.99,1.06
205,52,1996VJ08,20,4,7,9,2.14,0.42,0.76,0.95
206,52,2002VJ11,73,36,17,19,6.28,3.14,1.5,1.64
207,52,2007VJ09,153,78,38,38,10.16,5.14,2.52,2.49
