ID,Geslacht,Leeftijden,TypeZorg,BurgerlijkeStaat,Perioden,AantalInVerslagjaar_1,PercentageInVerslagjaar_2,TotaalUrenInVerslagjaar_3,GemiddeldPerPersoonInVerslagjaar_4,GemiddeldInBevolkingInVerslagjaar_5
43,0,0, 1,1,2005JJ00,21155,0.53,2125,100,0.53
44,0,0, 1,1,2006JJ00,24455,0.61,2489,102,0.62
45,0,0, 1,1,2007JJ00,25385,0.62,2588,102,0.64
46,0,0, 1,1,2008JJ00,26190,0.63,2717,104,0.66
47,0,0, 1,1,2009JJ00,27500,0.65,2973,108,0.7
48,0,0, 1,1,2010JJ00,29260,0.68,3250,111,0.76
49,0,0, 1,2,2004JJ00,57015,0.81,5039,88,0.72
50,0,0, 1,2,2005JJ00,65635,0.94,6741,103,0.97
51,0,0, 1,2,2006JJ00,68090,0.98,7149,105,1.03
52,0,0, 1,2,2007JJ00,67570,0.98,7326,108,1.06
53,0,0, 1,2,2008JJ00,68030,0.99,7631,112,1.11
54,0,0, 1,2,2009JJ00,68780,1.0,8098,118,1.18
55,0,0, 1,2,2010JJ00,68940,1.01,8371,121,1.22
56,0,0, 1,3,2004JJ00,79530,9.06,8407,106,9.58
57,0,0, 1,3,2005JJ00,103320,11.8,11913,115,13.61
58,0,0, 1,3,2006JJ00,108680,12.44,12799,118,14.65
59,0,0, 1,3,2007JJ00,109100,12.54,12929,119,14.86
60,0,0, 1,3,2008JJ00,108380,12.44,12908,119,14.82
61,0,0, 1,3,2009JJ00,107230,12.36,13184,123,15.19
62,0,0, 1,3,2010JJ00,101820,11.76,12806,126,14.79
63,0,0, 1,4,2004JJ00,19220,1.98,1869,97,1.93
64,0,0, 1,4,2005JJ00,29135,3.02,3221,111,3.34
65,0,0, 1,4,2006JJ00,33040,3.36,3729,113,3.8
66,0,0, 1,4,2007JJ00,34970,3.48,3927,112,3.91
67,0,0, 1,4,2008JJ00,37510,3.48,4224,113,3.91
68,0,0, 1,4,2009JJ00,40030,3.63,4645,116,4.21
69,0,0, 1,4,2010JJ00,42305,3.78,5015,119,4.48
70,0,0, 2,0,2004JJ00,39710,0.31,6533,165,0.51
71,0,0, 2,0,2005JJ00,29425,0.23,4735,161,0.37
72,0,0, 2,0,2006JJ00,31910,0.25,4035,126,0.31
73,0,0, 2,0,2007JJ00,48000,0.37,4672,97,0.36
74,0,0, 2,0,2008JJ00,67705,0.52,5904,87,0.46
75,0,0, 2,0,2009JJ00,80775,0.62,7040,87,0.54
76,0,0, 2,0,2010JJ00,94740,0.72,7909,83,0.6
77,0,0, 2,1,2004JJ00,5690,0.15,602,106,0.15
78,0,0, 2,1,2005JJ00,3595,0.09,433,120,0.11
79,0,0, 2,1,2006JJ00,3630,0.09,376,103,0.09
80,0,0, 2,1,2007JJ00,5290,0.13,486,92,0.12
81,0,0, 2,1,2008JJ00,7380,0.18,614,83,0.15
82,0,0, 2,1,2009JJ00,8360,0.2,691,83,0.16
83,0,0, 2,1,2010JJ00,9650,0.22,792,82,0.18
84,0,0, 2,2,2004JJ00,16690,0.24,2052,123,0.29
85,0,0, 2,2,2005JJ00,13670,0.2,1408,103,0.2
86,0,0, 2,2,2006JJ00,15765,0.23,1251,79,0.18
87,0,0, 2,2,2007JJ00,23320,0.34,1644,71,0.24
88,0,0, 2,2,2008JJ00,32050,0.47,2195,68,0.32
89,0,0, 2,2,2009JJ00,38415,0.56,2795,73,0.41
90,0,0, 2,2,2010JJ00,44830,0.65,3243,72,0.47
91,0,0, 2,3,2004JJ00,12870,1.47,3418,266,3.9
92,0,0, 2,3,2005JJ00,10115,1.16,2656,263,3.03
93,0,0, 2,3,2006JJ00,10645,1.22,2237,210,2.56
94,0,0, 2,3,2007JJ00,16375,1.88,2309,141,2.65
95,0,0, 2,3,2008JJ00,23740,2.73,2751,116,3.16
96,0,0, 2,3,2009JJ00,28355,3.27,3164,112,3.65
97,0,0, 2,3,2010JJ00,33390,3.86,3443,103,3.98
98,0,0, 2,4,2004JJ00,4460,0.46,462,103,0.48
99,0,0, 2,4,2005JJ00,2045,0.21,239,117,0.25
100,0,0, 2,4,2006JJ00,1870,0.19,172,92,0.18
101,0,0, 2,4,2007JJ00,3015,0.3,233,77,0.23
102,0,0, 2,4,2008JJ00,4535,0.42,344,76,0.32
103,0,0, 2,4,2009JJ00,5640,0.51,389,69,0.35
104,0,0, 2,4,2010JJ00,6870,0.61,431,63,0.39
105,0,0, 3,0,2004JJ00,66325,0.52,1629,25,0.13
106,0,0, 3,0,2005JJ00,58795,0.46,976,17,0.08
107,0,0, 3,0,2006JJ00,59755,0.47,974,16,0.08
108,0,0, 3,0,2007JJ00,55040,0.43,951,17,0.07
109,0,0, 3,0,2008JJ00,50005,0.39,873,17,0.07
110,0,0, 3,0,2009JJ00,41205,0.32,719,17,0.06
111,0,0, 3,0,2010JJ00,37405,0.28,638,17,0.05
112,0,0, 3,1,2004JJ00,7815,0.2,217,28,0.06
113,0,0, 3,1,2005JJ00,7845,0.2,170,22,0.04
114,0,0, 3,1,2006JJ00,8150,0.2,190,23,0.05
115,0,0, 3,1,2007JJ00,8190,0.2,215,26,0.05
116,0,0, 3,1,2008JJ00,7825,0.19,216,28,0.05
117,0,0, 3,1,2009JJ00,6530,0.15,183,28,0.04
118,0,0, 3,1,2010JJ00,5155,0.12,115,22,0.03
119,0,0, 3,2,2004JJ00,41510,0.59,876,21,0.13
120,0,0, 3,2,2005JJ00,35660,0.51,509,14,0.07
121,0,0, 3,2,2006JJ00,35765,0.52,477,13,0.07
122,0,0, 3,2,2007JJ00,32815,0.48,458,14,0.07
123,0,0, 3,2,2008JJ00,30175,0.44,427,14,0.06
124,0,0, 3,2,2009JJ00,24530,0.36,345,14,0.05
125,0,0, 3,2,2010JJ00,22585,0.33,326,14,0.05
126,0,0, 3,3,2004JJ00,12230,1.39,437,36,0.5
127,0,0, 3,3,2005JJ00,10695,1.22,220,21,0.25
128,0,0, 3,3,2006JJ00,11015,1.26,227,21,0.26
129,0,0, 3,3,2007JJ00,9295,1.07,194,21,0.22
130,0,0, 3,3,2008JJ00,7595,0.87,149,20,0.17
131,0,0, 3,3,2009JJ00,6300,0.73,124,20,0.14
132,0,0, 3,3,2010JJ00,6190,0.71,130,21,0.15
133,0,0, 3,4,2004JJ00,4770,0.49,99,21,0.1
134,0,0, 3,4,2005JJ00,4595,0.48,77,17,0.08
135,0,0, 3,4,2006JJ00,4830,0.49,80,17,0.08
136,0,0, 3,4,2007JJ00,4740,0.47,84,18,0.08
137,0,0, 3,4,2008JJ00,4415,0.41,82,19,0.08
138,0,0, 3,4,2009JJ00,3845,0.35,67,17,0.06
139,0,0, 3,4,2010JJ00,3480,0.31,68,19,0.06
140,0,0, 4,0,2004JJ00,119180,0.94,17583,148,1.38
141,0,0, 4,0,2005JJ00,66675,0.52,11314,170,0.89
142,0,0, 4,0,2006JJ00,56665,0.44,10637,188,0.83
143,0,0, 4,0,2007JJ00,59540,0.46,12262,206,0.96
144,0,0, 4,0,2008JJ00,80850,0.62,18501,229,1.43
145,0,0, 4,0,2009JJ00,98100,0.75,24419,249,1.87
146,0,0, 4,0,2010JJ00,107350,0.82,28174,262,2.14
147,0,0, 4,1,2004JJ00,12340,0.32,1759,143,0.45
148,0,0, 4,1,2005JJ00,7555,0.19,1224,162,0.31
149,0,0, 4,1,2006JJ00,6005,0.15,1123,187,0.28
150,0,0, 4,1,2007JJ00,5395,0.13,1115,207,0.27
151,0,0, 4,1,2008JJ00,6935,0.17,1595,230,0.39
152,0,0, 4,1,2009JJ00,8485,0.2,2089,246,0.49
153,0,0, 4,1,2010JJ00,9660,0.22,2486,257,0.58
154,0,0, 4,2,2004JJ00,34265,0.49,4691,137,0.67
155,0,0, 4,2,2005JJ00,17390,0.25,2701,155,0.39
156,0,0, 4,2,2006JJ00,14520,0.21,2478,171,0.36
157,0,0, 4,2,2007JJ00,14310,0.21,2782,194,0.4
158,0,0, 4,2,2008JJ00,17695,0.26,3812,215,0.55
159,0,0, 4,2,2009JJ00,20470,0.3,4756,232,0.69
160,0,0, 4,2,2010JJ00,22090,0.32,5396,244,0.79
161,0,0, 4,3,2004JJ00,56665,6.46,8851,156,10.09
162,0,0, 4,3,2005JJ00,33510,3.83,6118,183,6.99
163,0,0, 4,3,2006JJ00,29745,3.41,5914,199,6.77
164,0,0, 4,3,2007JJ00,33535,3.85,7143,213,8.21
165,0,0, 4,3,2008JJ00,47540,5.46,11250,237,12.92
166,0,0, 4,3,2009JJ00,58335,6.72,15074,258,17.37
167,0,0, 4,3,2010JJ00,63070,7.28,17212,273,19.87
168,0,0, 4,4,2004JJ00,15905,1.64,2283,144,2.35
169,0,0, 4,4,2005JJ00,8220,0.85,1271,155,1.32
170,0,0, 4,4,2006JJ00,6395,0.65,1123,176,1.14
171,0,0, 4,4,2007JJ00,6300,0.63,1222,194,1.22
172,0,0, 4,4,2008JJ00,8675,0.8,1844,213,1.71
173,0,0, 4,4,2009JJ00,10810,0.98,2500,231,2.27
174,0,0, 4,4,2010JJ00,12530,1.12,3081,246,2.75
175,0,0, 5,0,2004JJ00,19675,0.15,2444,124,0.19
176,0,0, 5,0,2005JJ00,24720,0.19,3210,130,0.25
177,0,0, 5,0,2006JJ00,26990,0.21,3671,136,0.29
178,0,0, 5,0,2007JJ00,20795,0.16,2983,143,0.23
179,0,0, 5,0,2008JJ00,14650,0.11,2137,146,0.16
180,0,0, 5,0,2009JJ00,11585,0.09,1750,151,0.13
181,0,0, 5,0,2010JJ00,9995,0.08,1557,156,0.12
182,0,0, 5,1,2004JJ00,1575,0.04,190,121,0.05
183,0,0, 5,1,2005JJ00,2485,0.06,312,125,0.08
184,0,0, 5,1,2006JJ00,2975,0.07,389,131,0.1
185,0,0, 5,1,2007JJ00,2400,0.06,341,142,0.08
186,0,0, 5,1,2008JJ00,1760,0.04,264,150,0.06
187,0,0, 5,1,2009JJ00,1455,0.03,225,154,0.05
188,0,0, 5,1,2010JJ00,1260,0.03,212,168,0.05
189,0,0, 5,2,2004JJ00,7070,0.1,809,114,0.12
190,0,0, 5,2,2005JJ00,7550,0.11,883,117,0.13
191,0,0, 5,2,2006JJ00,7420,0.11,919,124,0.13
192,0,0, 5,2,2007JJ00,5435,0.08,718,132,0.1
193,0,0, 5,2,2008JJ00,3915,0.06,535,137,0.08
194,0,0, 5,2,2009JJ00,3125,0.05,450,144,0.07
195,0,0, 5,2,2010JJ00,2750,0.04,405,147,0.06
196,0,0, 5,3,2004JJ00,9010,1.03,1200,133,1.37
197,0,0, 5,3,2005JJ00,11360,1.3,1581,139,1.81
198,0,0, 5,3,2006JJ00,12865,1.47,1860,145,2.13
199,0,0, 5,3,2007JJ00,9845,1.13,1471,149,1.69
200,0,0, 5,3,2008JJ00,6635,0.76,1000,151,1.15
201,0,0, 5,3,2009JJ00,5155,0.59,795,154,0.92
202,0,0, 5,3,2010JJ00,4260,0.49,672,158,0.78
203,0,0, 5,4,2004JJ00,2020,0.21,245,121,0.25
204,0,0, 5,4,2005JJ00,3325,0.34,435,131,0.45
205,0,0, 5,4,2006JJ00,3730,0.38,504,135,0.51
206,0,0, 5,4,2007JJ00,3120,0.31,453,145,0.45
207,0,0, 5,4,2008JJ00,2335,0.22,338,145,0.31
208,0,0, 5,4,2009JJ00,1845,0.17,281,152,0.25
209,0,0, 5,4,2010JJ00,1725,0.15,268,155,0.24
210,0,0, 6,0,2004JJ00,66680,0.52,8566,128,0.67
211,0,0, 6,0,2005JJ00,66165,0.52,6914,104,0.54
212,0,0, 6,0,2006JJ00,66135,0.52,7230,109,0.56
213,0,0, 6,0,2007JJ00,76455,0.6,9461,124,0.74
214,0,0, 6,0,2008JJ00,73190,0.56,9279,127,0.72
215,0,0, 6,0,2009JJ00,67345,0.52,8685,129,0.67
216,0,0, 6,0,2010JJ00,67080,0.51,8911,133,0.68
217,0,0, 6,1,2004JJ00,7430,0.19,1073,144,0.28
218,0,0, 6,1,2005JJ00,6795,0.17,803,118,0.2
219,0,0, 6,1,2006JJ00,6635,0.16,847,128,0.21
220,0,0, 6,1,2007JJ00,7605,0.19,1104,145,0.27
221,0,0, 6,1,2008JJ00,7510,0.18,1128,150,0.27
222,0,0, 6,1,2009JJ00,6540,0.15,1003,153,0.24
223,0,0, 6,1,2010JJ00,6040,0.14,957,158,0.22
224,0,0, 6,2,2004JJ00,30040,0.43,3323,111,0.47
225,0,0, 6,2,2005JJ00,34595,0.5,3199,92,0.46
226,0,0, 6,2,2006JJ00,35805,0.52,3526,98,0.51
227,0,0, 6,2,2007JJ00,40400,0.59,4365,108,0.63
228,0,0, 6,2,2008JJ00,38585,0.56,4199,109,0.61
229,0,0, 6,2,2009JJ00,36545,0.53,4074,111,0.59
230,0,0, 6,2,2010JJ00,36400,0.53,4188,115,0.61
231,0,0, 6,3,2004JJ00,24605,2.8,3578,145,4.08
232,0,0, 6,3,2005JJ00,20780,2.37,2502,120,2.86
233,0,0, 6,3,2006JJ00,19810,2.27,2488,126,2.85
234,0,0, 6,3,2007JJ00,23375,2.69,3449,148,3.96
235,0,0, 6,3,2008JJ00,21860,2.51,3371,154,3.87
236,0,0, 6,3,2009JJ00,19470,2.24,3056,157,3.52
237,0,0, 6,3,2010JJ00,19775,2.28,3187,161,3.68
238,0,0, 6,4,2004JJ00,4605,0.47,593,129,0.61
239,0,0, 6,4,2005JJ00,3995,0.41,410,103,0.43
240,0,0, 6,4,2006JJ00,3885,0.4,369,95,0.38
241,0,0, 6,4,2007JJ00,5075,0.51,543,107,0.54
242,0,0, 6,4,2008JJ00,5230,0.48,581,111,0.54
243,0,0, 6,4,2009JJ00,4790,0.43,552,115,0.5
244,0,0, 6,4,2010JJ00,4865,0.43,578,119,0.52
245,0,0, 7,0,2004JJ00,126725,0.99,36207,286,2.84
246,0,0, 7,0,2005JJ00,130350,1.02,39342,302,3.08
247,0,0, 7,0,2006JJ00,131845,1.03,42317,321,3.3
248,0,0, 7,0,2007JJ00,113325,0.88,38181,337,2.98
249,0,0, 7,0,2008JJ00,93680,0.72,32270,344,2.49
250,0,0, 7,0,2009JJ00,78340,0.6,27681,353,2.12
251,0,0, 7,0,2010JJ00,70260,0.53,25094,357,1.91
252,0,0, 7,1,2004JJ00,11220,0.29,3404,303,0.87
253,0,0, 7,1,2005JJ00,11935,0.3,3799,318,0.96
254,0,0, 7,1,2006JJ00,11980,0.3,4036,337,1.0
255,0,0, 7,1,2007JJ00,10335,0.25,3643,352,0.9
256,0,0, 7,1,2008JJ00,8660,0.21,3198,369,0.77
257,0,0, 7,1,2009JJ00,7320,0.17,2780,380,0.66
258,0,0, 7,1,2010JJ00,6505,0.15,2525,388,0.59
259,0,0, 7,2,2004JJ00,32480,0.46,8203,253,1.17
260,0,0, 7,2,2005JJ00,32010,0.46,8469,265,1.22
261,0,0, 7,2,2006JJ00,31605,0.46,8935,283,1.29
262,0,0, 7,2,2007JJ00,24310,0.35,7386,304,1.07
263,0,0, 7,2,2008JJ00,19645,0.29,6127,312,0.89
264,0,0, 7,2,2009JJ00,16735,0.24,5356,320,0.78
265,0,0, 7,2,2010JJ00,15255,0.22,4921,323,0.72
266,0,0, 7,3,2004JJ00,70440,8.03,21103,300,24.05
267,0,0, 7,3,2005JJ00,73390,8.38,23237,317,26.54
268,0,0, 7,3,2006JJ00,75020,8.59,25268,337,28.93
269,0,0, 7,3,2007JJ00,66740,7.67,23302,349,26.78
270,0,0, 7,3,2008JJ00,54760,6.29,19463,355,22.35
271,0,0, 7,3,2009JJ00,45075,5.19,16421,364,18.92
272,0,0, 7,3,2010JJ00,39755,4.59,14634,368,16.9
273,0,0, 7,4,2004JJ00,12585,1.3,3497,278,3.6
274,0,0, 7,4,2005JJ00,13010,1.35,3838,295,3.98
275,0,0, 7,4,2006JJ00,13245,1.35,4077,308,4.15
276,0,0, 7,4,2007JJ00,11940,1.19,3850,322,3.84
277,0,0, 7,4,2008JJ00,10615,0.98,3482,328,3.23
278,0,0, 7,4,2009JJ00,9205,0.83,3124,339,2.83
279,0,0, 7,4,2010JJ00,8745,0.78,3014,345,2.69
280,0,0, 8,0,2004JJ00,435375,3.42,39821,91,3.12
281,0,0, 8,0,2005JJ00,440985,3.45,50043,113,3.91
282,0,0, 8,0,2006JJ00,449770,3.51,53505,119,4.18
283,0,0, 8,0,2007JJ00,430680,3.36,52780,123,4.11
284,0,0, 8,0,2008JJ00,429290,3.31,53228,124,4.11
285,0,0, 8,0,2009JJ00,431560,3.31,55423,128,4.25
286,0,0, 8,0,2010JJ00,429925,3.27,56335,131,4.29
287,0,0, 8,1,2004JJ00,39165,1.0,3154,81,0.81
288,0,0, 8,1,2005JJ00,43130,1.08,4546,105,1.14
289,0,0, 8,1,2006JJ00,45415,1.13,5032,111,1.25
290,0,0, 8,1,2007JJ00,43515,1.07,4921,113,1.21
291,0,0, 8,1,2008JJ00,43550,1.05,5009,115,1.21
292,0,0, 8,1,2009JJ00,44760,1.06,5335,119,1.26
293,0,0, 8,1,2010JJ00,46685,1.09,5674,122,1.32
294,0,0, 8,2,2004JJ00,130830,1.87,10870,83,1.55
295,0,0, 8,2,2005JJ00,122590,1.76,12734,104,1.83
296,0,0, 8,2,2006JJ00,121635,1.76,13217,109,1.91
297,0,0, 8,2,2007JJ00,111625,1.62,12921,116,1.88
298,0,0, 8,2,2008JJ00,109290,1.59,13071,120,1.9
299,0,0, 8,2,2009JJ00,109110,1.59,13691,125,2.0
300,0,0, 8,2,2010JJ00,109035,1.59,14053,129,2.05
301,0,0, 8,3,2004JJ00,215650,24.58,21289,99,24.27
302,0,0, 8,3,2005JJ00,221575,25.31,26629,120,30.42
303,0,0, 8,3,2006JJ00,226305,25.91,28515,126,32.65
304,0,0, 8,3,2007JJ00,219220,25.19,28131,128,32.33
305,0,0, 8,3,2008JJ00,217320,24.95,27997,129,32.15
306,0,0, 8,3,2009JJ00,215800,24.87,28689,133,33.06
307,0,0, 8,3,2010JJ00,208905,24.12,28336,136,32.72
308,0,0, 8,4,2004JJ00,49735,5.13,4508,91,4.65
309,0,0, 8,4,2005JJ00,53695,5.57,6134,114,6.36
310,0,0, 8,4,2006JJ00,56410,5.74,6741,119,6.86
311,0,0, 8,4,2007JJ00,56325,5.61,6807,121,6.78
312,0,0, 8,4,2008JJ00,59130,5.48,7152,121,6.63
313,0,0, 8,4,2009JJ00,61890,5.61,7708,125,6.99
314,0,0, 8,4,2010JJ00,65300,5.83,8271,127,7.39
315,0,0, 9,0,2004JJ00,352300,2.76,37384,106,2.93
316,0,0, 9,0,2005JJ00,292615,2.29,29519,101,2.31
317,0,0, 9,0,2006JJ00,286560,2.24,30193,105,2.36
318,0,0, 9,0,2007JJ00,297320,2.32,32025,108,2.5
319,0,0, 9,0,2008JJ00,315425,2.43,35373,112,2.73
320,0,0, 9,0,2009JJ00,324560,2.49,37348,115,2.86
321,0,0, 9,0,2010JJ00,339430,2.58,39431,116,3.0
322,0,0, 9,1,2004JJ00,36680,0.94,3947,108,1.01
323,0,0, 9,1,2005JJ00,29875,0.75,3040,102,0.76
324,0,0, 9,1,2006JJ00,28250,0.7,3083,109,0.77
325,0,0, 9,1,2007JJ00,28625,0.7,3284,115,0.81
326,0,0, 9,1,2008JJ00,30490,0.74,3650,120,0.88
327,0,0, 9,1,2009JJ00,30705,0.73,3716,121,0.88
328,0,0, 9,1,2010JJ00,31855,0.74,3905,123,0.91
329,0,0, 9,2,2004JJ00,113475,1.62,9557,84,1.37
330,0,0, 9,2,2005JJ00,97665,1.4,7533,77,1.08
331,0,0, 9,2,2006JJ00,97695,1.41,7958,81,1.15
332,0,0, 9,2,2007JJ00,102340,1.49,8536,83,1.24
333,0,0, 9,2,2008JJ00,107980,1.57,9315,86,1.36
334,0,0, 9,2,2009JJ00,112165,1.64,10019,89,1.46
335,0,0, 9,2,2010JJ00,118575,1.73,10717,90,1.57
336,0,0, 9,3,2004JJ00,164585,18.76,20408,124,23.26
337,0,0, 9,3,2005JJ00,137795,15.74,16623,121,18.99
338,0,0, 9,3,2006JJ00,135215,15.48,16903,125,19.35
339,0,0, 9,3,2007JJ00,140025,16.09,17736,127,20.38
340,0,0, 9,3,2008JJ00,147905,16.98,19501,132,22.39
341,0,0, 9,3,2009JJ00,151240,17.43,20464,135,23.58
342,0,0, 9,3,2010JJ00,155990,18.01,21309,137,24.61
343,0,0, 9,4,2004JJ00,37560,3.87,3472,92,3.58
344,0,0, 9,4,2005JJ00,27275,2.83,2324,85,2.41
345,0,0, 9,4,2006JJ00,25395,2.58,2248,89,2.29
346,0,0, 9,4,2007JJ00,26325,2.62,2469,94,2.46
347,0,0, 9,4,2008JJ00,29050,2.69,2907,100,2.69
348,0,0, 9,4,2009JJ00,30450,2.76,3148,103,2.85
349,0,0, 9,4,2010JJ00,33010,2.95,3500,106,3.13
350,0,0,10,0,2004JJ00,279410,2.19,12310,44,0.97
351,0,0,10,0,2005JJ00,280030,2.19,10931,39,0.86
352,0,0,10,0,2006JJ00,284725,2.22,11333,40,0.88
353,0,0,10,0,2007JJ00,265615,2.07,10475,39,0.82
354,0,0,10,0,2008JJ00,231525,1.79,7846,34,0.61
355,0,0,10,0,2009JJ00,198475,1.52,6423,32,0.49
356,0,0,10,0,2010JJ00,184745,1.41,5960,32,0.45
357,0,0,10,1,2004JJ00,28035,0.72,1381,49,0.35
358,0,0,10,1,2005JJ00,29060,0.73,1279,44,0.32
359,0,0,10,1,2006JJ00,29745,0.74,1333,45,0.33
360,0,0,10,1,2007JJ00,28530,0.7,1286,45,0.32
361,0,0,10,1,2008JJ00,25760,0.62,1075,42,0.26
362,0,0,10,1,2009JJ00,21845,0.52,893,41,0.21
363,0,0,10,1,2010JJ00,18960,0.44,757,40,0.18
364,0,0,10,2,2004JJ00,111105,1.59,4566,41,0.65
365,0,0,10,2,2005JJ00,109820,1.58,3643,33,0.52
366,0,0,10,2,2006JJ00,110590,1.6,3559,32,0.51
367,0,0,10,2,2007JJ00,102960,1.49,3224,31,0.47
368,0,0,10,2,2008JJ00,92320,1.34,2540,28,0.37
369,0,0,10,2,2009JJ00,80935,1.18,2164,27,0.32
370,0,0,10,2,2010JJ00,76990,1.12,2080,27,0.3
371,0,0,10,3,2004JJ00,116285,13.25,5295,46,6.04
372,0,0,10,3,2005JJ00,116225,13.28,4975,43,5.68
373,0,0,10,3,2006JJ00,118705,13.59,5375,45,6.15
374,0,0,10,3,2007JJ00,109255,12.55,4930,45,5.66
375,0,0,10,3,2008JJ00,90850,10.43,3395,37,3.9
376,0,0,10,3,2009JJ00,76000,8.76,2666,35,3.07
377,0,0,10,3,2010JJ00,69980,8.08,2439,35,2.82
378,0,0,10,4,2004JJ00,23980,2.47,1068,45,1.1
379,0,0,10,4,2005JJ00,24930,2.59,1034,41,1.07
380,0,0,10,4,2006JJ00,25685,2.61,1065,41,1.08
381,0,0,10,4,2007JJ00,24870,2.48,1035,42,1.03
382,0,0,10,4,2008JJ00,22595,2.09,836,37,0.77
383,0,0,10,4,2009JJ00,19690,1.79,702,36,0.64
384,0,0,10,4,2010JJ00,18810,1.68,684,36,0.61
385,0,1, 0,0,2004JJ00,126765,1.23,13161,104,1.27
386,0,1, 0,0,2005JJ00,115750,1.12,12365,107,1.2
387,0,1, 0,0,2006JJ00,115450,1.12,12533,109,1.21
388,0,1, 0,0,2007JJ00,113625,1.1,12364,109,1.2
389,0,1, 0,0,2008JJ00,115645,1.11,12721,110,1.23
390,0,1, 0,0,2009JJ00,113045,1.09,13142,116,1.26
391,0,1, 0,0,2010JJ00,116400,1.12,14000,120,1.34
392,0,1, 0,1,2004JJ00,29520,0.79,3307,112,0.88
393,0,1, 0,1,2005JJ00,30440,0.79,3506,115,0.92
394,0,1, 0,1,2006JJ00,32110,0.83,3806,119,0.98
395,0,1, 0,1,2007JJ00,32915,0.84,3930,119,1.0
396,0,1, 0,1,2008JJ00,34520,0.87,4231,123,1.06
397,0,1, 0,1,2009JJ00,34655,0.85,4408,127,1.08
398,0,1, 0,1,2010JJ00,36055,0.87,4713,131,1.13
399,0,1, 0,2,2004JJ00,60790,1.08,5345,88,0.95
400,0,1, 0,2,2005JJ00,50265,0.9,4358,87,0.78
401,0,1, 0,2,2006JJ00,47965,0.87,4144,86,0.75
402,0,1, 0,2,2007JJ00,45260,0.83,3901,86,0.72
403,0,1, 0,2,2008JJ00,43890,0.82,3749,85,0.7
404,0,1, 0,2,2009JJ00,40685,0.77,3732,92,0.7
405,0,1, 0,2,2010JJ00,40360,0.77,3915,97,0.75
406,0,1, 0,3,2004JJ00,8715,5.77,1098,126,7.27
