ID,Classifications,Periods,OutputBasicPrices_1,IntermediateConsumption_2,ValueAddedBasicPrices_3,ValueAddedBasicPrVolumeChanges_4,ValueAddedBasicPrVolumeIndices_5,ValueAddedBasicPrPricesOf2000_6,ValueAddedMarketPrices_7,TotalTaxesOnProductionAndImports_8,OnProducts_9,OtherOnProduction_10,TotalSubsidies_11,OnProducts_12,OtherOnProduction_13,TotalCompensationOfEmployees_14,WagesAndSalaries_15,EmployersSocialContributions_16,GrossOperatingSurplusMixedIncome_17,ConsumptionOfFixedCapital_18,NetOperatingSurplusMixedIncome_19
1800,RK_74_1 ,2006JJ00,32716.0,15443.0,17273.0,4.4,98.3,12871.0,21788.0,4629.0,4566.0,63.0,77.0,51.0,26.0,12549.0,9907.0,2642.0,4687.0,2249.0,9110.0
1801,RK_74_1 ,2007JJ00,34901.0,16196.0,18705.0,2.7,100.9,13215.0,23559.0,4989.0,4925.0,64.0,98.0,71.0,27.0,13409.0,10617.0,2792.0,5259.0,2376.0,10683.0
1802,RK_74_1 ,2008JJ00,37071.0,17246.0,19825.0,4.2,105.2,13768.0,24144.0,4443.0,4375.0,68.0,85.0,56.0,29.0,14260.0,11268.0,2992.0,5526.0,2516.0,11486.0
1803,RK_74_1 ,2009JJ00,36681.0,16966.0,19715.0,-2.7,102.3,13398.0,22399.0,2816.0,2745.0,71.0,98.0,61.0,37.0,14339.0,11303.0,3036.0,5342.0,2568.0,10593.0
1804,RK_74_2 ,1969JJ00,,,,,,,,,,,,,,,,,,,
1805,RK_74_2 ,1970JJ00,,,,,,,,,,,,,,,,,,,
1806,RK_74_2 ,1971JJ00,,,,,,,,,,,,,,,,,,,
1807,RK_74_2 ,1972JJ00,,,,,,,,,,,,,,,,,,,
1808,RK_74_2 ,1973JJ00,,,,,,,,,,,,,,,,,,,
1809,RK_74_2 ,1974JJ00,,,,,,,,,,,,,,,,,,,
1810,RK_74_2 ,1975JJ00,,,,,,,,,,,,,,,,,,,
1811,RK_74_2 ,1976JJ00,,,,,,,,,,,,,,,,,,,
1812,RK_74_2 ,1977JJ00,,,,,,,,,,,,,,,,,,,
1813,RK_74_2 ,1978JJ00,,,,,,,,,,,,,,,,,,,
1814,RK_74_2 ,1979JJ00,,,,,,,,,,,,,,,,,,,
1815,RK_74_2 ,1980JJ00,,,,,,,,,,,,,,,,,,,
1816,RK_74_2 ,1981JJ00,,,,,,,,,,,,,,,,,,,
1817,RK_74_2 ,1982JJ00,,,,,,,,,,,,,,,,,,,
1818,RK_74_2 ,1983JJ00,,,,,,,,,,,,,,,,,,,
1819,RK_74_2 ,1984JJ00,,,,,,,,,,,,,,,,,,,
1820,RK_74_2 ,1985JJ00,,,,,,,,,,,,,,,,,,,
1821,RK_74_2 ,1986JJ00,,,,,,,,,,,,,,,,,,,
1822,RK_74_2 ,1987JJ00,3244.0,1396.0,1848.0,,55.7,2408.0,1833.0,3.0,0.0,3.0,17.0,15.0,2.0,1234.0,979.0,255.0,613.0,,
1823,RK_74_2 ,1988JJ00,3593.0,1513.0,2080.0,11.3,62.0,2680.0,2065.0,3.0,0.0,3.0,18.0,15.0,3.0,1334.0,1067.0,267.0,746.0,,
1824,RK_74_2 ,1989JJ00,3792.0,1685.0,2107.0,1.3,62.8,2713.0,2096.0,3.0,0.0,3.0,16.0,11.0,5.0,1426.0,1150.0,276.0,683.0,,
