ID,Heffingen,Perioden,BenzineOngelood_1,Dieselolie_2,LPG_3,CNG_4,PropaanButaan_5,Huisbrandolie_6,Petroleum_7,k_800M3_8,k_8005000M3_9,k_5000170000M3_10,k_1700001MlnM3_11,k_1Mln10MlnM3_12,k_10mlnM3NietZakelijkVerbruik_13,k_10MlnM3ZakelijkVerbruik_14,GroenGas5000M3_15,GroenGas5000TM10MlnM3_16,GroenGas10MlnM3_17,HoogovenCokesovenKolenRaffinGas_18,Steenkool_19,ZwareStookolie_20,KVGas_21,Uranium235_22,Petroleumcokes_23,VloeibareBrandstof_24,GasvormigeBrandstof_25,k_08MWh_26,k_0810MWh_27,k_1050MWh_28,k_50MWh10000MWh_29,k_10MlnKWhNietZakelijkVerbruik_30,k_10MlnKWhZakelijkVerbruik_31,GroeneStroom10MWh_32,GroeneStroom10MWh_33
42,H10002,1994MM02,490.76,288.24,35.72,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
43,H10002,1995MM01,490.76,288.24,35.72,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
44,H10002,1996MM01,501.56,294.59,35.72,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
45,H10002,1996MM06,501.56,294.59,35.72,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
46,H10002,1997MM01,508.6,298.72,35.72,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
47,H10002,1997MM03,508.6,298.72,35.72,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
48,H10002,1997MM07,558.51,321.41,103.76,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
49,H10002,1998MM01,558.51,321.41,103.76,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
50,H10002,1998MM06,558.51,321.41,103.76,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
51,H10002,1999MM01,570.22,328.17,103.76,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
52,H10002,2000MM01,579.93,333.76,103.76,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
53,H10002,2001MM01,590.37,339.75,103.76,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
54,H10002,2001MM03,590.37,301.08,103.76,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
55,H10002,2001MM04,590.37,301.17,103.76,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
56,H10002,2001MM05,590.37,326.13,103.76,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
57,H10002,2002MM01,608.67,325.53,103.76,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
58,H10002,2002MM10,595.06,311.5,78.86,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
59,H10002,2003MM01,616.48,322.71,78.86,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
60,H10002,2003MM07,616.48,322.71,78.86,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
61,H10002,2004MM01,658.88,359.87,96.21,,0.0,46.56,46.56,,,,,,,,,,,,,32.51,,,,,,,,,,,,,
62,H10002,2004MM07,658.88,359.87,96.21,,0.0,46.56,46.56,,,,,,,,,,,,,32.51,,,,,,,,,,,,,
63,H10002,2004MM10,658.88,359.87,96.21,,0.0,46.56,46.56,,,,,,,,,,,,,32.51,,,,,,,,,,,,,
64,H10002,2005MM01,668.1,364.91,96.21,,0.0,46.56,46.56,,,,,,,,,,,,,32.51,,,,,,,,,,,,,
65,H10002,2005MM07,668.1,364.91,96.21,,0.0,46.56,46.56,,,,,,,,,,,,,32.51,,,,,,,,,,,,,
66,H10002,2006MM01,668.1,364.91,96.21,,0.0,46.56,46.56,,,,,,,,,,,,,32.51,,,,,,,,,,,,,
