ID,ProfielVDInstellingen,Perioden,TotaalAantalInstellingen_1,Galerieen_2,Kunstuitleen_3,Kunstadvies_4,Collecties_5,Exposities_6,Uitleningen_7,BezoekenExposities_8,GebruikersKunstuitleen_9,TotaalAbonnementenKunstuitleen_10,Huur_11,HuurMetSpaarOfKooptegoed_12,GebruikersKunstadvies_13,TotaalBetaaldPersoneel_14,EigenarenFirmanten_15,InLoondienst_16,OverigBetaaldPersoneel_17,Vrijwilligers_18,TotaalVerkoopbedragKunstwerken_19,ConsignatieGehuurdWerk_20,UitAangekochtWerk_21,TotaalBetalingenAanKunstenaars_22,Huurvergoedingen_23,AankoopInstellingen_24,VerkoopConsignatieGehuurdWerk_25,TotaalBedrijfsopbrengsten_26,Subsidies_27,VerhuurKunstwerken_28,Provisies_29,VerkoopAangekochtWerk_30,OverigeBedrijfsopbrengsten_31,TotaalBedrijfslasten_32,Personeelskosten_33,AankoopHuurkoopKunstwerken_34,Promotiekosten_35,Huisvestingskosten_36,OverigeBedrijfslasten_37,Exploitatiesaldo_38
17,   5,2001JJ00,319,239,67,13,153.0,1921.0,53.0,1150.0,45.0,57.0,23.0,35.0,,401.0,208.0,166.0,28.0,,51.0,41.0,11.0,35.0,1.0,7.0,25.0,36.0,3.0,2.0,16.0,11.0,5.0,29.0,5.0,9.0,5.0,4.0,7.0,7.0
18,   6,1994JJ00,256,200,24,32,265.0,2077.0,132.0,917.0,47.0,51.0,32.0,19.0,3717.0,441.0,190.0,224.0,28.0,47.0,29.0,24.0,5.0,23.0,3.0,4.0,15.0,30.0,9.0,5.0,9.0,5.0,2.0,28.0,7.0,7.0,4.0,4.0,7.0,1.0
19,   6,1996JJ00,228,169,17,42,308.0,1874.0,122.0,1523.0,41.0,52.0,30.0,22.0,4601.0,404.0,152.0,217.0,35.0,53.0,27.0,15.0,12.0,20.0,2.0,9.0,9.0,34.0,8.0,6.0,6.0,12.0,3.0,30.0,7.0,11.0,3.0,3.0,6.0,4.0
20,   6,2001JJ00,332,248,58,26,256.0,2061.0,96.0,1261.0,57.0,71.0,23.0,48.0,,564.0,243.0,280.0,40.0,,88.0,69.0,19.0,60.0,1.0,14.0,42.0,64.0,5.0,4.0,27.0,19.0,8.0,52.0,10.0,16.0,8.0,7.0,11.0,12.0
21,   9,1994JJ00,206,206,0,0,21.0,1840.0,0.0,635.0,0.0,0.0,0.0,0.0,0.0,175.0,149.0,24.0,2.0,42.0,12.0,10.0,2.0,8.0,0.0,2.0,6.0,7.0,0.0,0.0,4.0,2.0,0.0,7.0,1.0,2.0,2.0,1.0,1.0,0.0
22,   9,1996JJ00,102,102,0,0,13.0,1010.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,102.0,47.0,41.0,14.0,35.0,10.0,4.0,6.0,6.0,0.0,4.0,2.0,8.0,1.0,0.0,2.0,6.0,0.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0
23,   9,2001JJ00,293,293,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,  10,1994JJ00,148,138,0,10,57.0,1311.0,4.0,705.0,0.0,0.0,0.0,0.0,2112.0,251.0,146.0,97.0,8.0,22.0,24.0,20.0,5.0,14.0,0.0,1.0,12.0,15.0,1.0,0.0,7.0,5.0,2.0,13.0,3.0,2.0,3.0,2.0,4.0,1.0
25,  10,1996JJ00,176,166,0,10,105.0,1630.0,25.0,1200.0,0.0,0.0,0.0,0.0,2615.0,219.0,140.0,67.0,11.0,41.0,21.0,15.0,6.0,12.0,0.0,3.0,9.0,16.0,1.0,1.0,6.0,6.0,2.0,12.0,2.0,3.0,2.0,2.0,2.0,4.0
26,  10,2001JJ00,166,162,0,4,47.0,1557.0,0.0,818.0,0.0,0.0,0.0,0.0,,220.0,136.0,72.0,13.0,,35.0,30.0,5.0,22.0,0.0,3.0,18.0,19.0,0.0,1.0,12.0,5.0,1.0,14.0,2.0,3.0,3.0,2.0,3.0,5.0
27,  11,1994JJ00,12,4,8,0,15.0,111.0,9.0,39.0,5.0,6.0,5.0,1.0,0.0,12.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,  11,1996JJ00,14,10,3,0,30.0,149.0,6.0,99.0,3.0,6.0,5.0,1.0,0.0,16.0,5.0,10.0,2.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
29,  11,2001JJ00,10,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,  12,1994JJ00,45,16,28,1,133.0,426.0,80.0,228.0,38.0,44.0,23.0,21.0,2213.0,153.0,24.0,118.0,11.0,10.0,7.0,5.0,2.0,7.0,2.0,1.0,4.0,13.0,6.0,4.0,2.0,2.0,1.0,13.0,4.0,4.0,1.0,1.0,4.0,0.0
31,  12,1996JJ00,94,52,41,1,221.0,750.0,112.0,389.0,46.0,58.0,24.0,33.0,3209.0,217.0,89.0,115.0,13.0,5.0,7.0,5.0,3.0,8.0,2.0,3.0,3.0,16.0,6.0,4.0,2.0,3.0,1.0,15.0,4.0,5.0,1.0,2.0,3.0,1.0
32,  12,2001JJ00,51,31,20,0,85.0,303.0,43.0,293.0,15.0,18.0,7.0,11.0,,127.0,35.0,80.0,12.0,,13.0,9.0,4.0,10.0,1.0,3.0,6.0,12.0,1.0,2.0,4.0,4.0,1.0,11.0,3.0,3.0,1.0,1.0,3.0,1.0
33,  24,1994JJ00,97,95,0,2,35.0,920.0,4.0,370.0,1.0,2.0,0.0,2.0,653.0,145.0,105.0,38.0,1.0,16.0,18.0,15.0,2.0,11.0,0.0,2.0,9.0,9.0,0.0,0.0,6.0,2.0,0.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0
34,  24,1996JJ00,121,117,0,4,71.0,1062.0,14.0,1197.0,4.0,4.0,0.0,4.0,1193.0,178.0,132.0,42.0,4.0,5.0,24.0,16.0,8.0,14.0,0.0,5.0,9.0,16.0,0.0,0.0,7.0,8.0,1.0,12.0,2.0,5.0,3.0,1.0,2.0,4.0
35,  24,2001JJ00,151,142,8,1,51.0,1224.0,7.0,828.0,9.0,11.0,3.0,8.0,,204.0,120.0,69.0,15.0,,45.0,38.0,7.0,30.0,0.0,5.0,23.0,27.0,1.0,1.0,15.0,7.0,3.0,21.0,3.0,6.0,4.0,3.0,5.0,6.0
36,  25,1994JJ00,314,269,36,9,191.0,2768.0,90.0,1236.0,42.0,48.0,27.0,21.0,3672.0,445.0,214.0,210.0,22.0,59.0,26.0,20.0,6.0,19.0,2.0,3.0,13.0,27.0,7.0,4.0,7.0,6.0,2.0,26.0,6.0,6.0,4.0,3.0,7.0,1.0
37,  25,1996JJ00,265,213,44,7,297.0,2476.0,130.0,955.0,46.0,60.0,29.0,31.0,4632.0,376.0,149.0,191.0,36.0,83.0,15.0,8.0,7.0,13.0,2.0,5.0,5.0,25.0,8.0,6.0,3.0,7.0,2.0,23.0,6.0,8.0,2.0,3.0,5.0,2.0
38,  25,2001JJ00,369,345,21,3,155.0,2724.0,41.0,1584.0,15.0,19.0,8.0,11.0,,479.0,255.0,192.0,32.0,,49.0,39.0,10.0,33.0,1.0,7.0,24.0,32.0,1.0,3.0,15.0,10.0,2.0,27.0,6.0,7.0,4.0,3.0,6.0,5.0
39,  13,1994JJ00,11,0,11,0,37.0,0.0,21.0,0.0,12.0,11.0,8.0,3.0,0.0,19.0,0.0,15.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
40,  13,1996JJ00,9,0,9,0,27.0,0.0,13.0,0.0,11.0,12.0,7.0,4.0,0.0,19.0,2.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,  13,2001JJ00,54,0,54,0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,  14,1994JJ00,30,0,29,1,112.0,0.0,75.0,0.0,26.0,29.0,18.0,12.0,1421.0,65.0,3.0,55.0,7.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,6.0,3.0,2.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0
43,  14,1996JJ00,58,0,28,30,73.0,0.0,46.0,0.0,19.0,26.0,16.0,10.0,1673.0,53.0,11.0,36.0,6.0,9.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0
44,  14,2001JJ00,43,0,42,1,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,  15,1994JJ00,56,0,0,56,34.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1268.0,77.0,43.0,27.0,8.0,12.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0
46,  15,1996JJ00,70,0,0,70,36.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1199.0,72.0,47.0,22.0,3.0,16.0,5.0,3.0,2.0,3.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0
47,  15,2001JJ00,34,0,0,34,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,  16,1994JJ00,330,268,20,42,53.0,2421.0,11.0,861.0,4.0,4.0,3.0,1.0,1582.0,273.0,235.0,28.0,10.0,67.0,10.0,10.0,0.0,7.0,0.0,0.0,6.0,6.0,1.0,0.0,3.0,0.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,0.0
49,  16,1996JJ00,339,241,19,79,52.0,2253.0,11.0,1127.0,5.0,7.0,5.0,2.0,1938.0,254.0,185.0,50.0,19.0,93.0,9.0,8.0,1.0,6.0,0.0,1.0,5.0,5.0,1.0,0.0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
50,  16,2001JJ00,312,254,44,14,78.0,1919.0,17.0,778.0,7.0,10.0,8.0,1.0,,283.0,163.0,101.0,19.0,,13.0,11.0,2.0,9.0,0.0,2.0,7.0,8.0,1.0,0.0,4.0,2.0,1.0,9.0,3.0,2.0,1.0,1.0,1.0,-1.0
51,  17,1994JJ00,69,46,14,9,50.0,433.0,18.0,188.0,8.0,10.0,7.0,3.0,932.0,88.0,55.0,27.0,7.0,12.0,7.0,6.0,1.0,5.0,0.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
52,  17,1996JJ00,77,47,25,5,73.0,514.0,21.0,436.0,10.0,11.0,5.0,6.0,1201.0,108.0,75.0,25.0,8.0,7.0,7.0,6.0,1.0,4.0,0.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
53,  17,2001JJ00,71,41,30,0,46.0,329.0,18.0,218.0,16.0,20.0,9.0,11.0,,81.0,36.0,33.0,12.0,,7.0,5.0,2.0,5.0,0.0,1.0,3.0,6.0,1.0,0.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0
54,  18,1994JJ00,68,38,18,12,74.0,487.0,35.0,273.0,17.0,21.0,12.0,8.0,1578.0,138.0,58.0,71.0,10.0,12.0,11.0,9.0,3.0,8.0,1.0,2.0,5.0,11.0,2.0,2.0,4.0,3.0,1.0,10.0,2.0,2.0,2.0,1.0,2.0,1.0
55,  18,1996JJ00,63,26,19,18,94.0,441.0,42.0,186.0,18.0,23.0,12.0,11.0,2174.0,103.0,47.0,51.0,6.0,7.0,9.0,6.0,3.0,7.0,1.0,2.0,4.0,10.0,2.0,2.0,3.0,3.0,1.0,9.0,2.0,3.0,1.0,1.0,2.0,1.0
56,  18,2001JJ00,193,155,27,11,118.0,1444.0,32.0,1010.0,18.0,23.0,8.0,15.0,,297.0,141.0,135.0,21.0,,44.0,36.0,8.0,30.0,1.0,6.0,22.0,28.0,2.0,2.0,14.0,8.0,3.0,23.0,5.0,6.0,4.0,3.0,5.0,5.0
57,  19,1994JJ00,41,12,24,5,232.0,347.0,139.0,284.0,52.0,56.0,31.0,25.0,2922.0,252.0,17.0,219.0,16.0,6.0,20.0,14.0,6.0,16.0,3.0,4.0,9.0,26.0,8.0,5.0,5.0,6.0,2.0,24.0,7.0,7.0,2.0,2.0,6.0,1.0
58,  19,1996JJ00,43,17,17,9,285.0,331.0,135.0,403.0,48.0,61.0,30.0,31.0,3384.0,233.0,35.0,178.0,20.0,6.0,21.0,8.0,13.0,16.0,2.0,9.0,5.0,31.0,7.0,6.0,3.0,13.0,2.0,27.0,7.0,11.0,2.0,3.0,5.0,4.0
59,  19,2001JJ00,75,37,24,14,167.0,290.0,82.0,405.0,62.0,76.0,20.0,55.0,,304.0,112.0,177.0,15.0,,76.0,57.0,19.0,52.0,2.0,13.0,35.0,58.0,4.0,4.0,23.0,19.0,8.0,44.0,7.0,14.0,7.0,6.0,10.0,14.0
