ID,TypeLozing,BrancheBedrijfstak,Perioden,FosforverbindingenAlsP_1,StikstofverbindingenAlsN_2,AntimoonverbindingenAlsSb_3,ArseenverbindingenAlsAs_4,CadmiumverbindingenAlsCd_5,ChroomverbindingenAlsCr_6,KobaltverbindingenAlsCo_7,KoperverbindingenAlsCu_8,KwikverbindingenAlsHg_9,LoodverbindingenAlsPb_10,NikkelverbindingenAlsNi_11,ZinkverbindingenAlsZn_12,Benzeen_13,Ethylbenzeen_14,Isopropylbenzeen_15,SomPAK6VanBorneff_16,Tolueen_17,Xyleen_18,Dichloorethaan12_19,Hexachloorbutadieen_20,TetrachlooretheenPer_21,TetrachloormethaanTetra_22,DrinsAldrinDieldrinEnz_23,Hexachloorbenzenen_24,CZV_25,TOC_26,ChloridenAnorganischAlsCl_27,Fluoriden_28,CyanidenAnorganischAlsCN_29
47,T         ,308300,2015JJ00,226.0,2135.0,0.0,77.2,3.8,179.0,0.0,394.0,0.1,65.0,177.0,1154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14419.0,4335.0,12575.0,0.0,0.0
48,T         ,308700,2008JJ00,74.0,42.0,0.0,1.8,0.3,11.0,0.0,2.0,0.0,0.0,165.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,450.0,0.0,0.0
49,T         ,308700,2009JJ00,56.0,39.0,0.0,8.4,0.3,12.0,0.0,3.0,0.0,0.0,195.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,792.0,0.0,0.0
50,T         ,308700,2010JJ00,76.0,69.0,0.0,8.8,0.1,11.0,0.0,18.0,0.1,0.0,172.0,377.0,2064.0,0.0,0.0,0.0,5161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,358.0,0.0,0.0
51,T         ,308700,2011JJ00,82.0,63.0,0.0,9.3,0.1,7.0,0.0,8.0,0.0,0.0,150.0,423.0,3503.0,0.0,0.0,0.0,8758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,234.0,0.0,0.0
52,T         ,308700,2012JJ00,73.0,47.0,0.0,8.0,0.1,5.0,0.0,8.0,0.0,0.0,147.0,320.0,532.0,0.0,0.0,0.0,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,209.0,0.0,0.0
53,T         ,308700,2013JJ00,62.0,59.0,0.0,3.6,0.0,4.0,0.0,7.0,0.5,0.0,98.0,292.0,943.0,0.0,0.0,0.0,2357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,261.0,0.0,0.0
54,T         ,308700,2014JJ00,68.0,70.0,0.0,9.3,0.2,7.0,0.0,9.0,0.1,1.0,133.0,417.0,622.0,0.0,0.0,0.0,1554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,218.0,0.0,0.0
55,T         ,308700,2015JJ00,55.0,51.0,0.0,7.4,0.8,6.0,0.0,10.0,0.0,0.0,108.0,409.0,664.0,0.0,0.0,0.0,1660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,167.0,0.0,0.0
56,T         ,309000,2008JJ00,616.0,1376.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,3870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15919.0,2028.0,20757.0,0.0,0.0
57,T         ,309000,2009JJ00,633.0,1518.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,3.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5976.0,21477.0,0.0,0.0
58,T         ,309000,2010JJ00,562.0,1396.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5120.0,21377.0,0.0,0.0
59,T         ,309000,2011JJ00,547.0,1464.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4711.0,22618.0,0.0,0.0
60,T         ,309000,2012JJ00,540.0,1455.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4746.0,25335.0,0.0,0.0
61,T         ,309000,2013JJ00,469.0,1343.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293.0,24485.0,0.0,0.0
