ID,EnergyCommodities,Periods,EnergyConsumptionInSectorTransport_1
247,8 ,1970JJ00,
248,8 ,1971JJ00,
249,8 ,1972JJ00,
250,8 ,1973JJ00,
251,8 ,1974JJ00,
252,8 ,1975JJ00,0.0
253,8 ,1976JJ00,0.0
254,8 ,1977JJ00,0.0
255,8 ,1978JJ00,0.0
256,8 ,1979JJ00,0.0
257,8 ,1980JJ00,0.0
258,8 ,1981JJ00,0.0
259,8 ,1982JJ00,0.0
260,8 ,1983JJ00,0.0
261,8 ,1984JJ00,0.0
262,8 ,1985JJ00,0.0
263,8 ,1986JJ00,0.0
264,8 ,1987JJ00,0.0
265,8 ,1988JJ00,0.0
266,8 ,1989JJ00,0.0
267,8 ,1990JJ00,0.0
268,8 ,1991JJ00,0.0
269,8 ,1992JJ00,0.0
270,8 ,1993JJ00,0.0
271,8 ,1994JJ00,0.0
272,8 ,1995JJ00,0.0
273,8 ,1996JJ00,0.0
274,8 ,1997JJ00,0.0
275,8 ,1998JJ00,0.0
276,8 ,1999KW01,0.0
277,8 ,1999KW02,0.0
278,8 ,1999KW03,0.0
279,8 ,1999KW04,0.0
280,8 ,1999JJ00,0.0
281,8 ,2000KW01,0.0
282,8 ,2000KW02,0.0
283,8 ,2000KW03,0.0
284,8 ,2000KW04,0.0
285,8 ,2000JJ00,0.0
286,8 ,2001KW01,0.0
287,8 ,2001KW02,0.0
288,8 ,2001KW03,0.0
289,8 ,2001KW04,0.0
290,8 ,2001JJ00,0.0
291,8 ,2002KW01,0.0
292,8 ,2002KW02,0.0
293,8 ,2002KW03,0.0
294,8 ,2002KW04,0.0
295,8 ,2002JJ00,0.0
296,8 ,2003KW01,0.0
297,8 ,2003KW02,0.0
298,8 ,2003KW03,0.0
299,8 ,2003KW04,0.0
300,8 ,2003JJ00,0.0
301,8 ,2004KW01,0.0
302,8 ,2004KW02,0.0
303,8 ,2004KW03,0.0
304,8 ,2004KW04,0.0
305,8 ,2004JJ00,0.0
306,8 ,2005KW01,0.0
307,8 ,2005KW02,0.0
308,8 ,2005KW03,0.0
309,8 ,2005KW04,0.0
310,8 ,2005JJ00,0.0
311,8 ,2006KW01,0.0
312,8 ,2006KW02,0.0
313,8 ,2006KW03,0.0
314,8 ,2006KW04,0.0
315,8 ,2006JJ00,0.0
316,8 ,2007KW01,0.0
317,8 ,2007KW02,0.0
318,8 ,2007KW03,0.0
319,8 ,2007KW04,0.0
320,8 ,2007JJ00,0.0
321,8 ,2008KW01,0.0
322,8 ,2008KW02,0.0
323,8 ,2008KW03,0.0
324,8 ,2008KW04,0.0
325,8 ,2008JJ00,0.0
326,8 ,2009KW01,0.0
327,8 ,2009KW02,0.0
328,8 ,2009KW03,0.0
329,8 ,2009KW04,0.0
330,8 ,2009JJ00,0.0
331,8 ,2010KW01,0.0
332,8 ,2010KW02,0.0
333,8 ,2010KW03,0.0
334,8 ,2010KW04,0.0
335,8 ,2010JJ00,0.0
336,8 ,2011KW01,0.0
337,8 ,2011KW02,0.0
338,8 ,2011KW03,0.0
339,8 ,2011KW04,0.0
340,8 ,2011JJ00,1.0
341,8 ,2012KW01,0.0
342,8 ,2012KW02,0.0
343,8 ,2012KW03,0.0
344,8 ,2012KW04,0.0
345,8 ,2012JJ00,1.0
346,8 ,2013KW01,0.0
347,8 ,2013KW02,0.0
348,11,1955JJ00,
349,11,1956JJ00,
350,11,1957JJ00,
351,11,1958JJ00,
352,11,1959JJ00,
353,11,1960JJ00,
354,11,1961JJ00,
355,11,1962JJ00,
356,11,1963JJ00,
357,11,1964JJ00,
358,11,1965JJ00,
359,11,1966JJ00,
360,11,1967JJ00,
361,11,1968JJ00,
362,11,1969JJ00,
363,11,1970JJ00,
364,11,1971JJ00,
365,11,1972JJ00,
366,11,1973JJ00,
367,11,1974JJ00,
368,11,1975JJ00,3.0
369,11,1976JJ00,3.0
370,11,1977JJ00,3.0
371,11,1978JJ00,3.0
372,11,1979JJ00,3.0
373,11,1980JJ00,4.0
374,11,1981JJ00,4.0
375,11,1982JJ00,4.0
376,11,1983JJ00,4.0
377,11,1984JJ00,4.0
378,11,1985JJ00,4.0
379,11,1986JJ00,4.0
380,11,1987JJ00,4.0
381,11,1988JJ00,4.0
382,11,1989JJ00,4.0
383,11,1990JJ00,5.0
384,11,1991JJ00,5.0
385,11,1992JJ00,5.0
386,11,1993JJ00,5.0
387,11,1994JJ00,5.0
388,11,1995JJ00,5.0
389,11,1996JJ00,6.0
390,11,1997JJ00,6.0
391,11,1998JJ00,6.0
392,11,1999KW01,2.0
393,11,1999KW02,1.0
394,11,1999KW03,1.0
395,11,1999KW04,2.0
396,11,1999JJ00,6.0
397,11,2000KW01,2.0
398,11,2000KW02,1.0
399,11,2000KW03,1.0
400,11,2000KW04,1.0
401,11,2000JJ00,6.0
402,11,2001KW01,2.0
403,11,2001KW02,1.0
404,11,2001KW03,1.0
405,11,2001KW04,1.0
406,11,2001JJ00,6.0
407,11,2002KW01,2.0
408,11,2002KW02,1.0
409,11,2002KW03,1.0
410,11,2002KW04,1.0
411,11,2002JJ00,6.0
412,11,2003KW01,2.0
413,11,2003KW02,1.0
414,11,2003KW03,1.0
415,11,2003KW04,2.0
416,11,2003JJ00,6.0
417,11,2004KW01,2.0
418,11,2004KW02,1.0
419,11,2004KW03,1.0
420,11,2004KW04,1.0
421,11,2004JJ00,6.0
422,11,2005KW01,2.0
423,11,2005KW02,1.0
424,11,2005KW03,1.0
425,11,2005KW04,2.0
426,11,2005JJ00,6.0
427,11,2006KW01,2.0
428,11,2006KW02,1.0
429,11,2006KW03,1.0
430,11,2006KW04,1.0
431,11,2006JJ00,6.0
432,11,2007KW01,1.0
433,11,2007KW02,1.0
434,11,2007KW03,1.0
435,11,2007KW04,2.0
436,11,2007JJ00,6.0
437,11,2008KW01,2.0
438,11,2008KW02,1.0
439,11,2008KW03,1.0
440,11,2008KW04,2.0
441,11,2008JJ00,6.0
442,11,2009KW01,2.0
443,11,2009KW02,1.0
444,11,2009KW03,1.0
445,11,2009KW04,2.0
446,11,2009JJ00,6.0
447,11,2010KW01,2.0
448,11,2010KW02,1.0
449,11,2010KW03,1.0
450,11,2010KW04,2.0
451,11,2010JJ00,6.0
452,11,2011KW01,2.0
453,11,2011KW02,1.0
454,11,2011KW03,1.0
455,11,2011KW04,2.0
456,11,2011JJ00,6.0
457,11,2012KW01,2.0
458,11,2012KW02,2.0
459,11,2012KW03,1.0
460,11,2012KW04,2.0
461,11,2012JJ00,6.0
462,11,2013KW01,2.0
463,11,2013KW02,2.0
