ID,ManureAndNutrients,Periods,TotalExcretion_1,ExcretionDuringHousing_2,ExcretionDuringGrazing_3,TotalNitrogenLossesN_4,AmmoniaEmissionsN_5,OtherGaseousNitrogenLossesN_6,EffluentAirScrubbersN_7,StoredManureAndManureDuringGrazing_8,ManureRemovalFromFarms_9,ManureSupplyToFarms_10,ProcessedManureExcludingExports_11,NetManureExports_12,SpreadingAreaForManure_13,UseOfLivestockManureInAgriculture_14
84,A028942   ,2015JJ00,497.0,440.0,57.0,68.0,52.0,9.0,7.0,430.0,180.0,98.0,19.0,47.0,391.0,348.0
85,A028942   ,2016JJ00,504.0,453.0,51.0,68.0,52.0,9.0,8.0,436.0,182.0,98.0,18.0,50.0,385.0,351.0
86,A028942   ,2017JJ00,512.0,460.0,52.0,70.0,53.0,9.0,8.0,443.0,193.0,108.0,17.0,48.0,385.0,358.0
87,A028942   ,2018JJ00,503.0,452.0,51.0,69.0,51.0,9.0,9.0,435.0,181.0,104.0,14.0,47.0,385.0,357.0
88,A028942   ,2019JJ00,490.0,439.0,51.0,66.0,48.0,9.0,9.0,424.0,188.0,106.0,17.0,47.0,384.0,342.0
89,A028942   ,2020JJ00,489.0,439.0,51.0,66.0,48.0,9.0,10.0,423.0,188.0,109.0,17.0,46.0,377.0,345.0
90,A028942   ,2021JJ00,471.0,423.0,48.0,63.0,46.0,8.0,9.0,408.0,182.0,109.0,16.0,42.0,376.0,334.0
91,A028942   ,2022JJ00,467.0,419.0,48.0,63.0,45.0,8.0,10.0,404.0,187.0,114.0,17.0,38.0,373.0,331.0
92,A028942   ,2023JJ00,464.0,414.0,50.0,60.0,43.0,8.0,9.0,403.0,175.0,106.0,15.0,43.0,350.0,334.0
93,A028942   ,2024JJ00,449.0,404.0,45.0,58.0,42.0,8.0,9.0,390.0,,,,,338.0,
94,A028943   ,1950JJ00,117.0,,,,,,,117.0,,,,,,
95,A028943   ,1960JJ00,143.0,,,,,,,143.0,,,,,,
96,A028943   ,1965JJ00,153.0,,,,,,,153.0,,,,,,
97,A028943   ,1970JJ00,181.0,,,,,,,181.0,,,,,,
98,A028943   ,1974JJ00,212.0,,,,,,,212.0,,,,,,
99,A028943   ,1976JJ00,212.0,,,,,,,212.0,,,,,,
100,A028943   ,1978JJ00,228.0,,,,,,,228.0,,,,,,
101,A028943   ,1980JJ00,232.0,,,,,,,232.0,,,,,,
102,A028943   ,1982JJ00,241.0,,,,,,,241.0,,,,,,
103,A028943   ,1984JJ00,255.0,,,,,,,255.0,,,,,,
104,A028943   ,1986JJ00,261.0,,,,,,,261.0,29.0,28.0,,,,260.0
105,A028943   ,1988JJ00,240.0,,,,,,,240.0,,,,,458.0,
106,A028943   ,1990JJ00,229.0,186.0,43.0,,,,,229.0,,,2.0,3.0,433.0,
107,A028943   ,1991JJ00,237.0,,,,,,,237.0,,,,3.0,378.0,
108,A028943   ,1992JJ00,234.0,,,,,,,234.0,,,,6.0,380.0,
109,A028943   ,1993JJ00,242.0,,,,,,,242.0,,,,8.0,371.0,
110,A028943   ,1994JJ00,227.0,187.0,40.0,,,,,227.0,78.0,65.0,2.0,12.0,332.0,213.0
111,A028943   ,1995JJ00,216.0,177.0,39.0,,,,,216.0,72.0,60.0,1.0,11.0,258.0,204.0
112,A028943   ,1996JJ00,198.0,164.0,34.0,,,,,198.0,67.0,58.0,1.0,7.0,243.0,189.0
113,A028943   ,1997JJ00,197.0,159.0,38.0,,,,,197.0,64.0,57.0,1.0,5.0,241.0,190.0
114,A028943   ,1998JJ00,196.0,162.0,34.0,,,,,196.0,60.0,49.0,2.0,7.0,221.0,185.0
115,A028943   ,1999JJ00,200.0,163.0,37.0,,,,,200.0,72.0,58.0,2.0,10.0,221.0,186.0
116,A028943   ,2000JJ00,191.0,156.0,34.0,,,,,191.0,65.0,47.0,2.0,13.0,212.0,173.0
117,A028943   ,2001JJ00,185.0,150.0,34.0,,,,,185.0,67.0,47.0,2.0,16.0,204.0,165.0
118,A028943   ,2002JJ00,173.0,144.0,29.0,,,,,173.0,63.0,43.0,3.0,16.0,198.0,153.0
119,A028943   ,2003JJ00,166.0,137.0,28.0,,,,,166.0,56.0,40.0,2.0,9.0,182.0,150.0
120,A028943   ,2004JJ00,162.0,134.0,28.0,,,,,162.0,56.0,39.0,3.0,12.0,185.0,145.0
121,A028943   ,2005JJ00,170.0,141.0,29.0,,,,,170.0,60.0,44.0,3.0,17.0,175.0,154.0
122,A028943   ,2006JJ00,169.0,141.0,28.0,,,,,169.0,64.0,42.0,0.0,15.0,188.0,147.0
123,A028943   ,2007JJ00,169.0,143.0,26.0,,,,,169.0,80.0,47.0,0.0,21.0,182.0,137.0
124,A028943   ,2008JJ00,176.0,149.0,27.0,,,,,176.0,84.0,46.0,4.0,23.0,178.0,138.0
125,A028943   ,2009JJ00,175.0,152.0,22.0,,,,,175.0,86.0,45.0,8.0,23.0,177.0,134.0
126,A028943   ,2010JJ00,179.0,155.0,23.0,,,,,179.0,81.0,41.0,10.0,22.0,159.0,139.0
127,A028943   ,2011JJ00,170.0,150.0,20.0,,,,,170.0,84.0,44.0,9.0,22.0,154.0,129.0
128,A028943   ,2012JJ00,161.0,142.0,19.0,,,,,161.0,83.0,42.0,10.0,20.0,142.0,120.0
129,A028943   ,2013JJ00,166.0,147.0,19.0,,,,,166.0,82.0,41.0,9.0,22.0,136.0,124.0
130,A028943   ,2014JJ00,172.0,152.0,20.0,,,,,172.0,84.0,42.0,9.0,26.0,138.0,129.0
131,A028943   ,2015JJ00,180.0,159.0,21.0,,,,,180.0,90.0,42.0,9.0,31.0,135.0,132.0
132,A028943   ,2016JJ00,175.0,159.0,16.0,,,,,175.0,90.0,39.0,8.0,36.0,134.0,124.0
133,A028943   ,2017JJ00,169.0,154.0,15.0,,,,,169.0,91.0,42.0,8.0,35.0,135.0,119.0
134,A028943   ,2018JJ00,162.0,147.0,15.0,,,,,162.0,85.0,40.0,5.0,34.0,135.0,116.0
135,A028943   ,2019JJ00,156.0,142.0,14.0,,,,,156.0,87.0,40.0,7.0,34.0,138.0,108.0
136,A028943   ,2020JJ00,151.0,138.0,13.0,,,,,151.0,85.0,40.0,7.0,33.0,138.0,105.0
137,A028943   ,2021JJ00,148.0,135.0,13.0,,,,,148.0,81.0,39.0,6.0,30.0,139.0,107.0
138,A028943   ,2022JJ00,150.0,137.0,14.0,,,,,150.0,83.0,43.0,6.0,29.0,137.0,110.0
139,A028943   ,2023JJ00,147.0,133.0,14.0,,,,,147.0,77.0,38.0,6.0,30.0,133.0,108.0
140,A028943   ,2024JJ00,147.0,133.0,14.0,,,,,147.0,,,,,133.0,
