ID,Uitval,RegioS,Perioden,TotaalVoertuigen_1,PersonenautoS_2,TotaalBedrijfsvoertuigen_3,BestelautoS_4,VrachtautoS_5,Trekkers_6,SpecialeVoertuigen_7,Autobussen_8,TotaalGewichtVoertuigen_9,PersonenautoS_10,TotaalGewichtBedrijfsvoertuigen_11,BestelautoS_12,VrachtautoS_13,Trekkers_14,SpecialeVoertuigen_15,Autobussen_16
50,1,PV27,1998JJ00,92359,82921,9438.0,8157,609,412,219,41,101981,81014,20967.0,11003,5187,2855,1519,403
51,1,PV27,1999JJ00,107429,97771,9658.0,8544,520,316,214,64,114180,93994,20186.0,11261,4460,2209,1662,594
52,1,PV28,1996JJ00,71589,61242,10347.0,6911,1582,1317,332,205,94762,57105,37657.0,9271,13604,9180,3569,2033
53,1,PV28,1997JJ00,72909,62084,10825.0,6685,1962,1616,309,253,101028,57907,43121.0,8968,17218,11245,2816,2874
54,1,PV28,1998JJ00,64173,54727,9446.0,5872,1683,1410,280,201,89101,50953,38148.0,7949,15197,9954,2989,2059
55,1,PV28,1999JJ00,63086,54270,8816.0,5571,1591,1315,270,69,85191,49647,35544.0,7622,14474,9253,3494,701
56,1,PV29,1996JJ00,10056,9293,763.0,601,66,50,29,17,10705,8669,2036.0,729,615,343,157,192
57,1,PV29,1997JJ00,10941,10079,862.0,646,116,60,22,18,11933,9450,2483.0,772,943,413,160,195
58,1,PV29,1998JJ00,9567,8901,666.0,498,64,76,25,3,10213,8317,1896.0,618,573,530,147,28
59,1,PV29,1999JJ00,9994,9396,598.0,492,42,41,23,0,9937,8587,1350.0,593,361,293,103,0
60,1,PV30,1996JJ00,71378,62658,8720.0,6288,1248,742,237,205,85895,58628,27267.0,8913,9765,5116,1361,2112
61,1,PV30,1997JJ00,73877,65003,8874.0,6174,1327,854,300,219,90126,60663,29463.0,8712,10701,5882,1876,2292
62,1,PV30,1998JJ00,67318,59170,8148.0,5778,1112,912,232,114,81443,54794,26649.0,8014,9434,6467,1552,1182
63,1,PV30,1999JJ00,61234,54189,7045.0,4691,1131,845,258,120,74363,49446,24917.0,6477,9356,5876,1869,1339
64,1,PV31,1996JJ00,26373,24487,1886.0,1332,244,206,63,41,28719,22784,5935.0,1806,2041,1392,303,393
65,1,PV31,1997JJ00,29796,27586,2210.0,1484,264,368,64,30,32500,25233,7267.0,1965,2139,2545,329,289
66,1,PV31,1998JJ00,28420,26195,2225.0,1471,265,400,66,23,31514,23965,7549.0,1885,2150,2847,442,225
67,1,PV31,1999JJ00,28506,26454,2052.0,1401,273,311,55,12,30743,23977,6766.0,1854,2368,2200,230,114
68,1,ON  ,1996JJ00,1452,1302,150.0,131,9,7,3,0,1547,1235,313.0,180,67,57,9,0
69,1,ON  ,1997JJ00,183,131,52.0,29,7,1,7,8,392,139,253.0,42,43,11,76,81
70,1,ON  ,1998JJ00,85,64,21.0,11,4,4,2,0,160,74,87.0,16,37,31,3,0
71,1,ON  ,1999JJ00,29,21,8.0,4,3,1,0,0,50,22,29.0,5,19,5,0,0
72,2,NL1 ,1996JJ00,266691,253357,13334.0,10891,1300,458,584,101,251083,223196,27888.0,12011,9418,3018,2470,971
73,2,NL1 ,1997JJ00,273030,259116,13914.0,11298,1285,615,641,75,256554,227209,29346.0,12315,9533,4079,2675,744
74,2,NL1 ,1998JJ00,260207,247078,13129.0,11378,860,327,520,44,240486,216848,23638.0,12582,6349,2227,2070,410
75,2,NL1 ,1999JJ00,285941,270865,15076.0,12962,1089,472,528,25,266514,238460,28054.0,14465,7922,3113,2325,229
76,2,LD01,1996JJ00,30529,29154,1375.0,1179,79,23,76,18,28148,25640,2507.0,1286,603,158,276,184
77,2,LD01,1997JJ00,29963,28449,1514.0,1228,116,56,94,20,27987,24924,3063.0,1340,850,374,304,195
78,2,LD01,1998JJ00,27318,25920,1398.0,1222,80,21,67,8,25165,22850,2315.0,1379,562,138,163,73
79,2,LD01,1999JJ00,28520,26936,1584.0,1334,110,38,83,19,26882,23827,3055.0,1496,841,252,297,169
80,2,LD02,1996JJ00,53453,50928,2525.0,1978,307,147,82,11,50767,44646,6122.0,2191,2372,982,480,97
81,2,LD02,1997JJ00,56795,54034,2761.0,2257,232,157,108,7,53071,47278,5794.0,2488,1781,1040,429,56
82,2,LD02,1998JJ00,55621,53045,2576.0,2199,172,115,87,3,51254,46374,4880.0,2444,1357,770,281,28
83,2,LD02,1999JJ00,63818,60620,3198.0,2693,246,154,105,0,59480,53271,6209.0,3022,1782,1021,384,0
84,2,LD03,1996JJ00,116622,110587,6035.0,5223,401,113,247,51,107999,97508,10491.0,5583,2869,737,828,474
85,2,LD03,1997JJ00,116104,109892,6212.0,5254,494,175,254,35,107982,96354,11628.0,5538,3659,1145,919,367
86,2,LD03,1998JJ00,108079,102413,5666.0,5016,327,89,213,21,99142,89792,9350.0,5410,2308,583,855,194
87,2,LD03,1999JJ00,123198,116361,6837.0,6037,404,198,194,4,113906,102146,11760.0,6602,2985,1307,823,43
88,2,LD04,1996JJ00,65402,62034,3368.0,2483,512,175,177,21,63563,54836,8728.0,2919,3569,1142,882,216
89,2,LD04,1997JJ00,70143,66723,3420.0,2557,440,227,184,12,67464,58635,8828.0,2947,3225,1519,1021,116
90,2,LD04,1998JJ00,69184,65698,3486.0,2941,278,102,153,12,64896,57829,7067.0,3350,2097,735,770,115
91,2,LD04,1999JJ00,70405,66948,3457.0,2898,329,82,146,2,66246,59217,7029.0,3344,2314,532,820,19
92,2,PV20,1996JJ00,12119,11592,527.0,478,9,1,31,8,10972,10230,743.0,519,60,6,78,80
93,2,PV20,1997JJ00,11793,11251,542.0,477,23,13,24,5,10675,9840,834.0,504,158,85,39,48
94,2,PV20,1998JJ00,10080,9594,486.0,445,11,8,21,1,9115,8456,659.0,489,77,54,34,5
95,2,PV20,1999JJ00,10353,9869,484.0,449,7,6,20,2,9387,8746,641.0,479,57,41,60,4
96,2,PV21,1996JJ00,11226,10617,609.0,502,51,13,33,10,10705,9391,1314.0,555,394,91,170,104
97,2,PV21,1997JJ00,10409,9712,697.0,527,71,35,49,15,10312,8583,1727.0,603,524,233,221,146
98,2,PV21,1998JJ00,10471,9836,635.0,534,53,9,32,7,9901,8708,1193.0,615,361,57,92,68
99,2,PV21,1999JJ00,11436,10679,757.0,604,69,22,47,15,11165,9484,1681.0,698,526,143,163,151
100,2,PV22,1996JJ00,7184,6945,239.0,199,19,9,12,0,6471,6019,452.0,213,149,62,28,0
101,2,PV22,1997JJ00,7761,7486,275.0,224,22,8,21,0,7001,6501,499.0,233,167,55,44,0
102,2,PV22,1998JJ00,6767,6490,277.0,243,16,4,14,0,6149,5686,463.0,275,124,27,37,0
103,2,PV22,1999JJ00,6731,6388,343.0,281,34,10,16,2,6330,5597,733.0,319,258,68,74,14
104,2,PV23,1996JJ00,15743,14806,937.0,612,191,93,33,8,16087,12958,3129.0,702,1501,621,230,75
105,2,PV23,1997JJ00,16163,15261,902.0,631,135,100,33,3,15864,13287,2576.0,705,1050,660,144,17
106,2,PV23,1998JJ00,18065,17174,891.0,730,81,46,33,1,16853,14949,1904.0,837,641,309,107,10
107,2,PV23,1999JJ00,20312,19242,1070.0,871,88,73,38,0,19122,16862,2260.0,985,621,490,164,0
108,2,PV24,1996JJ00,5519,5310,209.0,200,2,1,6,0,4906,4672,234.0,205,10,6,13,0
109,2,PV24,1997JJ00,5586,5346,240.0,227,1,3,9,0,4941,4667,274.0,221,6,21,26,0
110,2,PV24,1998JJ00,5378,5150,228.0,218,2,1,7,0,4833,4532,301.0,230,11,7,53,0
111,2,PV24,1999JJ00,5641,5379,262.0,254,4,0,4,0,4988,4697,291.0,261,23,0,7,0
112,2,PV25,1996JJ00,32191,30812,1379.0,1166,114,53,43,3,29774,27016,2757.0,1283,860,355,237,22
113,2,PV25,1997JJ00,35046,33427,1619.0,1399,96,54,66,4,32266,29324,2941.0,1561,725,358,259,38
114,2,PV25,1998JJ00,32178,30721,1457.0,1251,89,68,47,2,29568,26893,2675.0,1377,705,454,121,18
115,2,PV25,1999JJ00,37865,35999,1866.0,1568,154,81,63,0,35370,31712,3658.0,1776,1138,531,213,0
116,2,PV26,1996JJ00,15260,14553,707.0,605,50,15,24,13,14034,12743,1291.0,629,335,87,111,129
117,2,PV26,1997JJ00,15324,14544,780.0,642,77,25,31,5,14323,12664,1658.0,668,582,160,199,49
118,2,PV26,1998JJ00,14801,14030,771.0,627,90,11,35,8,13864,12142,1722.0,659,666,72,243,82
119,2,PV26,1999JJ00,17527,16641,886.0,759,79,24,24,0,16214,14528,1686.0,809,562,153,162,0
120,2,PV27,1996JJ00,48986,46429,2557.0,2313,82,22,124,16,44671,41088,3583.0,2446,538,151,277,171
121,2,PV27,1997JJ00,47303,44790,2513.0,2254,99,14,135,11,42813,39323,3491.0,2298,689,93,286,125
122,2,PV27,1998JJ00,45866,43345,2521.0,2333,82,8,90,8,41470,38058,3412.0,2461,558,49,274,70
123,2,PV27,1999JJ00,52577,49627,2950.0,2786,66,13,83,2,47395,43588,3807.0,2999,443,79,265,21
124,2,PV28,1996JJ00,45273,42872,2401.0,1970,256,69,85,21,42752,37700,5051.0,2149,1888,451,398,165
125,2,PV28,1997JJ00,45695,43231,2464.0,1961,281,128,77,17,43521,37866,5654.0,2150,2114,840,379,171
126,2,PV28,1998JJ00,40515,38466,2049.0,1765,147,58,74,5,37457,33762,3695.0,1961,1026,379,287,42
127,2,PV28,1999JJ00,44708,42070,2638.0,2149,252,158,77,2,42668,36897,5771.0,2407,1926,1054,362,22
128,2,PV29,1996JJ00,7103,6733,370.0,335,13,7,14,1,6542,5977,566.0,359,107,48,41,11
129,2,PV29,1997JJ00,7782,7327,455.0,397,37,8,11,2,7325,6502,823.0,422,273,52,54,22
130,2,PV29,1998JJ00,6897,6572,325.0,291,8,12,14,0,6351,5830,521.0,329,58,83,51,0
131,2,PV29,1999JJ00,8386,8023,363.0,343,7,3,10,0,7629,7133,496.0,387,54,21,34,0
132,2,PV30,1996JJ00,46654,44033,2621.0,1894,448,130,142,7,45856,38915,6941.0,2228,3071,848,722,72
133,2,PV30,1997JJ00,47461,44993,2468.0,1855,341,118,148,6,45861,39535,6326.0,2129,2470,780,889,58
134,2,PV30,1998JJ00,46944,44378,2566.0,2176,197,66,121,6,44144,39056,5088.0,2463,1498,433,640,54
135,2,PV30,1999JJ00,46597,44024,2573.0,2134,264,58,116,1,44312,38915,5397.0,2447,1849,368,724,9
136,2,PV31,1996JJ00,18748,18001,747.0,589,64,45,35,14,17707,15921,1787.0,691,498,294,160,144
137,2,PV31,1997JJ00,22682,21730,952.0,702,99,109,36,6,21603,19100,2503.0,817,756,739,132,59
138,2,PV31,1998JJ00,22240,21320,920.0,765,81,36,32,6,20752,18773,1979.0,887,599,302,130,61
139,2,PV31,1999JJ00,23808,22924,884.0,764,65,24,30,1,21934,20302,1632.0,897,465,164,96,10
140,2,ON  ,1996JJ00,685,654,31.0,28,1,0,2,0,607,566,41.0,32,5,0,4,0
141,2,ON  ,1997JJ00,25,18,7.0,2,3,0,1,1,50,16,33.0,2,18,0,3,10
142,2,ON  ,1998JJ00,5,2,3.0,0,3,0,0,0,29,3,27.0,0,25,1,1,0
143,2,ON  ,1999JJ00,0,0,0.0,0,0,0,0,0,0,0,3.0,1,0,1,1,0
144,3,NL1 ,1996JJ00,153743,119419,34324.0,24715,4380,3813,713,703,242750,127533,115217.0,36428,38014,26639,7007,7129
145,3,NL1 ,1997JJ00,172832,135446,37386.0,25593,5191,4867,856,879,279557,144975,134582.0,37513,45592,33944,8479,9054
146,3,NL1 ,1998JJ00,144482,111522,32960.0,21705,4986,4981,713,575,244273,119290,124983.0,31982,44285,35030,7619,6067
147,3,NL1 ,1999JJ00,132067,103864,28203.0,18024,4615,4369,752,443,220486,108273,112213.0,26849,41611,30819,8212,4722
148,3,LD01,1996JJ00,7514,6476,1038.0,805,69,62,30,72,9948,6757,3191.0,1200,589,423,196,783
149,3,LD01,1997JJ00,8033,6975,1058.0,759,79,101,36,83,10825,7208,3617.0,1053,737,692,244,891
150,3,LD01,1998JJ00,7428,6314,1114.0,774,113,122,44,61,10521,6530,3991.0,1043,1056,845,326,721
151,3,LD01,1999JJ00,5894,5085,809.0,553,92,105,18,41,8201,5197,3004.0,715,952,744,118,475
152,3,LD02,1996JJ00,37137,27180,9957.0,6951,1453,1270,181,102,62996,28976,34020.0,10209,12571,8888,1324,1028
153,3,LD02,1997JJ00,39326,29010,10316.0,6614,1653,1717,228,104,70581,31048,39533.0,9765,14525,11960,2279,1004
154,3,LD02,1998JJ00,32084,22911,9173.0,5626,1582,1682,190,93,60741,24422,36319.0,8323,13657,11730,1592,1017
155,3,LD02,1999JJ00,30190,22075,8115.0,4705,1575,1511,195,129,57695,22943,34752.0,7095,13922,10638,1694,1403
156,3,LD03,1996JJ00,76441,60310,16131.0,11783,1923,1719,399,307,118974,64854,54120.0,17164,16986,12015,4899,3056
157,3,LD03,1997JJ00,92395,73831,18564.0,13166,2406,2109,435,448,144595,79691,64904.0,19041,21580,14740,4918,4625
158,3,LD03,1998JJ00,78807,62882,15925.0,11073,2216,1982,358,296,125740,67658,58082.0,16174,20279,13970,4622,3037
159,3,LD03,1999JJ00,77141,63390,13751.0,9620,1901,1699,388,143,116663,66309,50354.0,14123,17596,12015,5211,1409
160,3,LD04,1996JJ00,31908,24815,7093.0,5083,930,755,103,222,49942,26286,23656.0,7716,7837,5254,587,2262
161,3,LD04,1997JJ00,32928,25522,7406.0,5029,1049,939,152,237,53241,26913,26328.0,7620,8725,6545,974,2464
162,3,LD04,1998JJ00,26095,19363,6732.0,4222,1074,1191,120,125,47148,20619,26529.0,6425,9281,8455,1076,1292
163,3,LD04,1999JJ00,18817,13295,5522.0,3143,1044,1054,151,130,37882,13802,24080.0,4913,9122,7422,1189,1434
164,3,PV20,1996JJ00,2403,2104,299.0,251,21,9,10,8,2943,2174,769.0,366,177,60,76,90
165,3,PV20,1997JJ00,2816,2514,302.0,235,14,32,20,1,3408,2579,829.0,324,125,228,142,10
166,3,PV20,1998JJ00,2799,2489,310.0,228,18,44,17,3,3495,2562,933.0,322,156,310,113,32
167,3,PV20,1999JJ00,2105,1893,212.0,156,13,27,13,3,2650,1964,686.0,214,140,195,102,35
168,3,PV21,1996JJ00,2910,2539,371.0,285,16,5,4,61,3909,2651,1258.0,399,151,29,8,671
169,3,PV21,1997JJ00,2972,2574,398.0,288,19,12,5,74,4102,2693,1409.0,372,152,73,26,786
170,3,PV21,1998JJ00,2456,2047,409.0,307,24,19,15,44,3518,2150,1368.0,392,202,130,101,543
171,3,PV21,1999JJ00,1801,1474,327.0,231,35,23,4,34,2698,1523,1175.0,283,332,155,14,391
172,3,PV22,1996JJ00,2201,1833,368.0,269,32,48,16,3,3096,1932,1164.0,435,261,334,112,22
173,3,PV22,1997JJ00,2245,1887,358.0,236,46,57,11,8,3315,1936,1379.0,357,460,391,76,95
174,3,PV22,1998JJ00,2173,1778,395.0,239,71,59,12,14,3509,1819,1690.0,329,698,405,112,146
175,3,PV22,1999JJ00,1988,1718,270.0,166,44,55,1,4,2853,1710,1143.0,218,480,394,2,49
176,3,PV23,1996JJ00,9544,7653,1891.0,1537,151,148,23,32,13197,8131,5066.0,2229,1296,1027,174,340
177,3,PV23,1997JJ00,9867,7922,1945.0,1494,181,206,26,38,14289,8419,5870.0,2138,1623,1423,245,441
178,3,PV23,1998JJ00,7794,6309,1485.0,1053,163,236,22,11,11488,6686,4802.0,1514,1381,1647,117,143
179,3,PV23,1999JJ00,5107,4011,1096.0,713,146,198,29,10,8262,4201,4061.0,1067,1212,1376,293,113
180,3,PV24,1996JJ00,4194,3243,951.0,848,27,65,8,3,5237,3375,1862.0,1129,222,461,25,25
181,3,PV24,1997JJ00,4161,3187,974.0,855,45,55,15,4,5391,3286,2105.0,1140,377,399,175,14
182,3,PV24,1998JJ00,4995,3849,1146.0,1051,44,35,16,0,6118,3972,2146.0,1440,344,244,118,0
183,3,PV24,1999JJ00,4743,3702,1041.0,960,26,38,16,1,5732,3842,1890.0,1337,230,257,62,4
184,3,PV25,1996JJ00,23399,16284,7115.0,4566,1275,1057,150,67,44562,17470,27092.0,6851,11053,7400,1125,663
185,3,PV25,1997JJ00,25298,17901,7397.0,4265,1427,1456,187,62,50901,19343,31558.0,6487,12525,10138,1859,549
186,3,PV25,1998JJ00,19295,12753,6542.0,3522,1375,1411,152,82,43136,13765,29371.0,5369,11932,9839,1357,874
187,3,PV25,1999JJ00,20340,14362,5978.0,3032,1403,1275,150,118,43701,14900,28801.0,4691,12480,9005,1339,1286
188,3,PV26,1996JJ00,7911,6243,1668.0,1195,162,185,74,52,12972,6753,6219.0,1714,1483,1303,1189,530
189,3,PV26,1997JJ00,8754,6688,2066.0,1419,205,261,81,100,15047,7204,7843.0,2032,1850,1832,1148,981
190,3,PV26,1998JJ00,6941,5448,1493.0,1095,118,177,35,68,11145,5797,5348.0,1578,1146,1234,685,705
191,3,PV26,1999JJ00,3927,2803,1124.0,723,95,220,70,16,7319,2967,4352.0,1058,897,1534,686,177
192,3,PV27,1996JJ00,41185,34638,6547.0,5761,394,252,84,56,52011,37517,14494.0,8384,3373,1745,504,488
193,3,PV27,1997JJ00,54168,46238,7930.0,6863,491,338,132,106,69138,50219,18919.0,9960,4338,2342,1379,900
194,3,PV27,1998JJ00,46308,39432,6876.0,5799,522,398,124,33,60228,42806,17422.0,8507,4588,2768,1226,333
195,3,PV27,1999JJ00,54659,47987,6672.0,5739,446,300,125,62,66495,50251,16244.0,8239,3953,2110,1369,573
196,3,PV28,1996JJ00,24437,16891,7546.0,4571,1316,1243,233,183,49921,17912,32009.0,6707,11636,8694,3115,1857
197,3,PV28,1997JJ00,26352,18174,8178.0,4639,1641,1459,213,226,55924,19340,36584.0,6707,14801,10211,2294,2571
198,3,PV28,1998JJ00,22928,15697,7231.0,3981,1523,1344,191,192,50593,16593,34000.0,5813,14059,9528,2629,1971
199,3,PV28,1999JJ00,16999,11267,5732.0,3016,1327,1141,183,65,40621,11679,28942.0,4633,12454,8099,3097,659
200,3,PV29,1996JJ00,2908,2538,370.0,256,51,39,8,16,4070,2672,1398.0,359,494,273,91,181
201,3,PV29,1997JJ00,3121,2731,390.0,245,69,51,9,16,4486,2928,1558.0,342,591,355,97,173
202,3,PV29,1998JJ00,2630,2305,325.0,198,53,63,8,3,3774,2462,1312.0,276,486,440,82,28
203,3,PV29,1999JJ00,1556,1333,223.0,142,33,38,10,0,2228,1412,816.0,193,292,272,59,0
204,3,PV30,1996JJ00,24443,18444,5999.0,4360,767,597,78,197,39268,19538,19730.0,6636,6416,4174,472,2032
205,3,PV30,1997JJ00,26034,19817,6217.0,4277,902,692,133,213,42836,20931,21905.0,6518,7493,4818,842,2234
206,3,PV30,1998JJ00,20067,14601,5466.0,3540,893,833,92,108,36620,15543,21077.0,5459,7754,5949,787,1128
207,3,PV30,1999JJ00,14278,9890,4388.0,2519,846,775,129,119,29364,10254,19110.0,3973,7308,5432,1067,1330
208,3,PV31,1996JJ00,7465,6371,1094.0,723,163,158,25,25,10674,6748,3926.0,1080,1421,1080,115,230
209,3,PV31,1997JJ00,6894,5705,1189.0,752,147,247,19,24,10405,5982,4423.0,1102,1232,1727,132,230
210,3,PV31,1998JJ00,6028,4762,1266.0,682,181,358,28,17,10529,5077,5452.0,966,1527,2506,289,164
211,3,PV31,1999JJ00,4539,3405,1134.0,624,198,279,22,11,8518,3548,4970.0,940,1814,1990,122,104
212,3,ON  ,1996JJ00,743,638,105.0,93,5,7,0,0,890,660,230.0,139,31,59,1,0
213,3,ON  ,1997JJ00,150,108,42.0,25,4,1,5,7,315,115,200.0,34,25,7,64,70
214,3,ON  ,1998JJ00,68,52,16.0,10,1,4,1,0,123,61,62.0,17,12,30,3,0
215,3,ON  ,1999JJ00,25,19,6.0,3,3,0,0,0,45,22,23.0,3,19,0,0,1
216,4,NL1 ,1996JJ00,3567,2673,894.0,602,156,50,81,5,5498,2639,2859.0,696,1324,335,455,49
217,4,NL1 ,1997JJ00,2733,1891,842.0,273,271,160,126,12,6621,1900,4721.0,391,2288,1025,871,146
218,4,NL1 ,1998JJ00,2245,1676,569.0,334,86,56,89,4,3719,1721,1998.0,468,700,349,435,46
219,4,NL1 ,1999JJ00,3223,2409,814.0,566,101,79,66,2,5031,2552,2479.0,802,851,492,314,20
220,4,LD01,1996JJ00,216,167,49.0,24,8,2,14,1,352,158,194.0,35,75,13,61,10
221,4,LD01,1997JJ00,241,170,71.0,14,21,17,19,0,593,167,426.0,20,194,106,106,0
222,4,LD01,1998JJ00,210,165,45.0,16,7,5,17,0,341,164,177.0,20,53,31,73,0
223,4,LD01,1999JJ00,261,202,59.0,18,16,13,12,0,495,202,293.0,22,128,81,62,0
224,4,LD02,1996JJ00,564,367,197.0,94,69,14,20,0,1245,350,895.0,84,622,97,92,0
225,4,LD02,1997JJ00,555,346,209.0,61,70,37,39,2,1559,334,1225.0,86,612,228,285,14
226,4,LD02,1998JJ00,446,327,119.0,55,28,15,21,0,819,328,491.0,81,222,91,97,0
227,4,LD02,1999JJ00,553,449,104.0,48,20,18,18,0,867,449,418.0,68,148,115,87,0
