ID,Perioden,BrutoProductie_1,EigenVerbruikBijElektrProductie_2,NettoProductieTotaal_3,Kernenergie_4,BrandstoffenTotaal_5,Kolen_6,Olieproducten_7,Aardgas_8,Biomassa_9,OverigeBrandstoffenNietHernieuwbaar_10,Waterkracht_11,WindenergieTotaal_12,WindenergieOpLand_13,WindenergieOpZee_14,Zonnestroom_15,OverigeBronnen_16,InvoerTotaal_17,Belgie_18,Denemarken_19,Duitsland_20,VerenigdKoninkrijk_21,Noorwegen_22,UitvoerTotaal_23,Belgie_24,Denemarken_25,Duitsland_26,VerenigdKoninkrijk_27,Noorwegen_28,Distributieverliezen_29,NettoVerbruikBerekend_30
734,2016KW02,24994.0,1083.0,23911.0,597.0,20870.0,8913.0,291.0,10333.0,978.0,355.0,38.0,1554.0,1203.0,351.0,585.0,268.0,6917,1248.0,,4543.0,2.0,1124.0,3702,1434.0,,225.0,1959.0,84.0,1279.0,25848.0
735,2016MM07,8089.0,316.0,7773.0,343.0,6603.0,2836.0,121.0,3169.0,357.0,120.0,11.0,505.0,364.0,141.0,205.0,105.0,2422,518.0,,1572.0,19.0,314.0,977,386.0,,43.0,547.0,2.0,441.0,8778.0
736,2016MM08,8765.0,296.0,8469.0,350.0,7191.0,2494.0,130.0,4064.0,376.0,127.0,5.0,613.0,415.0,198.0,197.0,112.0,2026,481.0,,1087.0,12.0,446.0,1327,465.0,,202.0,642.0,18.0,416.0,8751.0
737,2016MM09,9696.0,310.0,9386.0,338.0,8298.0,3223.0,120.0,4476.0,356.0,123.0,2.0,503.0,309.0,194.0,180.0,65.0,1742,79.0,,1383.0,6.0,273.0,1923,1192.0,,166.0,560.0,4.0,428.0,8777.0
738,2016KW03,26550.0,922.0,25628.0,1032.0,22092.0,8553.0,371.0,11709.0,1088.0,370.0,18.0,1621.0,1088.0,533.0,582.0,282.0,6190,1078.0,,4042.0,37.0,1033.0,4228,2043.0,,412.0,1749.0,24.0,1285.0,26305.0
739,2016MM10,10971.0,335.0,10636.0,343.0,9422.0,3654.0,105.0,5162.0,373.0,128.0,2.0,646.0,353.0,293.0,93.0,130.0,1686,10.0,,1321.0,43.0,312.0,2456,1615.0,,213.0,604.0,24.0,466.0,9399.0
740,2016MM11,11152.0,349.0,10803.0,349.0,9343.0,3571.0,101.0,5198.0,353.0,120.0,5.0,948.0,593.0,354.0,55.0,103.0,1720,9.0,,1479.0,1.0,231.0,2255,1373.0,,135.0,676.0,71.0,478.0,9789.0
741,2016MM12,11532.0,340.0,11192.0,362.0,9710.0,3575.0,108.0,5530.0,373.0,125.0,3.0,968.0,629.0,339.0,38.0,110.0,1713,22.0,,1329.0,47.0,315.0,2212,1416.0,,156.0,620.0,20.0,499.0,10194.0
742,2016KW04,33654.0,1024.0,32630.0,1054.0,28475.0,10799.0,314.0,15890.0,1099.0,373.0,11.0,2561.0,1575.0,986.0,186.0,343.0,5118,41.0,,4129.0,90.0,858.0,6923,4404.0,,504.0,1900.0,116.0,1443.0,29383.0
743,2016JJ00,115158.0,4101.0,111057.0,3750.0,96178.0,37762.0,1221.0,51422.0,4296.0,1476.0,100.0,8170.0,5901.0,2269.0,1602.0,1257.0,24258,3029.0,,16892.0,140.0,4197.0,19343,9965.0,,1337.0,7761.0,281.0,5434.0,110538.0
744,2017MM01,11970.0,346.0,11623.0,363.0,10189.0,3721.0,110.0,5849.0,376.0,133.0,5.0,860.0,538.0,322.0,70.0,136.0,1640,1.0,,1211.0,68.0,360.0,2331,1592.0,,155.0,584.0,1.0,505.0,10427.0
745,2017MM02,10370.0,333.0,10037.0,328.0,8382.0,3262.0,119.0,4574.0,317.0,110.0,11.0,1144.0,765.0,379.0,69.0,104.0,1468,27.0,,1096.0,13.0,331.0,1813,1105.0,,87.0,611.0,10.0,452.0,9240.0
746,2017MM03,10038.0,326.0,9711.0,359.0,8068.0,2932.0,91.0,4583.0,343.0,119.0,14.0,974.0,669.0,305.0,184.0,113.0,1915,145.0,,1433.0,7.0,331.0,1660,818.0,,96.0,703.0,44.0,465.0,9501.0
747,2017KW01,32377.0,1006.0,31372.0,1049.0,26638.0,9915.0,320.0,15006.0,1036.0,361.0,30.0,2978.0,1971.0,1007.0,323.0,353.0,5023,173.0,,3740.0,88.0,1022.0,5804,3514.0,,337.0,1898.0,55.0,1422.0,29168.0
748,2017MM04,9106.0,320.0,8786.0,276.0,7401.0,2614.0,88.0,4242.0,335.0,121.0,3.0,732.0,464.0,268.0,244.0,130.0,1920,49.0,,1465.0,0.0,406.0,1778,1005.0,,94.0,666.0,12.0,427.0,8501.0
749,2017MM05,8322.0,274.0,8047.0,,7058.0,2350.0,102.0,4164.0,320.0,122.0,2.0,590.0,356.0,235.0,259.0,138.0,2327,187.0,,1684.0,2.0,453.0,1190,557.0,,47.0,575.0,12.0,428.0,8756.0
750,2017MM06,8539.0,287.0,8252.0,,7132.0,2742.0,121.0,3818.0,321.0,130.0,1.0,741.0,498.0,243.0,262.0,116.0,1984,320.0,,1275.0,4.0,384.0,1104,418.0,,103.0,576.0,6.0,419.0,8713.0
751,2017KW02,25967.0,882.0,25086.0,276.0,21591.0,7706.0,311.0,12224.0,977.0,373.0,6.0,2063.0,1317.0,746.0,765.0,384.0,6230,556.0,,4425.0,7.0,1243.0,4072,1980.0,,244.0,1817.0,30.0,1274.0,25970.0
752,2017MM07,9383.0,295.0,9088.0,174.0,7922.0,2803.0,102.0,4564.0,323.0,130.0,2.0,587.0,383.0,204.0,266.0,137.0,1556,449.0,,667.0,4.0,435.0,1257,267.0,,382.0,602.0,6.0,439.0,8947.0
753,2017MM08,8238.0,297.0,7941.0,336.0,6606.0,2180.0,86.0,3866.0,337.0,137.0,1.0,558.0,340.0,218.0,313.0,128.0,2204,543.0,,1237.0,4.0,420.0,909,142.0,,117.0,636.0,14.0,415.0,8821.0
754,2017MM09,8582.0,279.0,8304.0,342.0,6959.0,1743.0,69.0,4739.0,302.0,107.0,2.0,622.0,407.0,215.0,240.0,139.0,2159,264.0,,1537.0,1.0,358.0,1202,591.0,,40.0,570.0,1.0,427.0,8834.0
755,2017KW03,26203.0,870.0,25333.0,852.0,21487.0,6727.0,256.0,13168.0,962.0,374.0,4.0,1767.0,1130.0,637.0,819.0,404.0,5918,1256.0,,3441.0,9.0,1213.0,3368,1000.0,,539.0,1808.0,22.0,1281.0,26602.0
756,2017MM10,10321.0,318.0,10003.0,335.0,7986.0,2600.0,64.0,4922.0,302.0,99.0,3.0,1394.0,899.0,494.0,168.0,117.0,1842,55.0,,1269.0,6.0,511.0,1857,1197.0,,72.0,587.0,1.0,464.0,9524.0
757,2017MM11,11043.0,315.0,10728.0,349.0,9142.0,3034.0,86.0,5571.0,336.0,115.0,8.0,1008.0,634.0,374.0,86.0,136.0,1632,13.0,,1061.0,63.0,495.0,2015,1406.0,,127.0,481.0,0.0,476.0,9870.0
758,2017MM12,11256.0,321.0,10934.0,362.0,9057.0,2755.0,99.0,5706.0,380.0,118.0,10.0,1359.0,918.0,441.0,43.0,103.0,1812,117.0,,1180.0,18.0,497.0,1835,1154.0,,42.0,633.0,6.0,497.0,10414.0
759,2017KW04,32620.0,954.0,31666.0,1046.0,26185.0,8388.0,248.0,16198.0,1018.0,332.0,20.0,3761.0,2451.0,1310.0,297.0,356.0,5286,186.0,,3510.0,87.0,1503.0,5707,3758.0,,241.0,1701.0,7.0,1438.0,29807.0
