ID,Persoonskenmerken,Marges,CaribischNederland,Perioden,ZeerGoedGoed_1,MinderDanGoed_2,SuikerziekteTotaal_3,SuikerziekteType1_4,SuikerziekteType2_5,AandoeningenVanDeNekOfSchouder_6,AstmaChronischeBronchitisCARA_7,Chikungunya_8,ChronischEczeem_9,ChronischeGewrichtsontsteking_10,DarmstoornissenLangerDan3Maanden_11,DuizeligheidMetVallen_12,GewrichtsslijtageVanHeupenOfKnieen_13,HogeBloeddruk_14,Knokkelkoorts_15,MigraineOfErnstigeHoofdpijn_16,OnvrijwilligUrineverliesIncontinentie_17,Rugaandoening_18,VernauwingBloedvatenInBuikOfBenen_19,Zika_20,OverigeAandoeningen_21,BeroerteHersenbloedingHerseninfarct_22,Hartinfarct_23,Hartaandoening_24,Kanker_25,GeenLangdurigeAandoeningen_26,k_1LangdurigeAandoening_27,k_2LangdurigeAandoeningen_28,k_3OfMeerLangdurigeAandoeningen_29
226,2018790,MW00000,GM9003 ,2017JJ00,95.0,5.0,7.1,,7.1,5.8,4.9,,6.0,12.4,,6.3,,14.5,,13.8,,,,,,,,,,58.3,25.3,6.2,10.2
227,2018790,MW00000,GM9003 ,2021JJ00,94.5,5.5,,,,,5.5,,,8.2,,,9.1,14.2,,18.9,,5.7,,,6.8,,,,6.7,49.3,35.0,8.8,7.0
228,2018790,B000150,CN01   ,2013JJ00,6.2,6.2,4.6,,4.5,2.7,,,,2.9,,3.6,4.3,5.2,,6.4,,4.9,2.6,,4.7,,,,4.0,7.9,7.1,5.1,4.2
229,2018790,B000150,CN01   ,2017JJ00,4.0,4.0,2.6,,2.5,2.5,1.9,,2.0,2.6,2.0,2.6,3.1,4.3,2.1,3.6,1.4,3.0,1.6,,3.2,1.3,1.7,1.9,2.6,5.6,4.8,3.7,3.2
230,2018790,B000150,CN01   ,2021JJ00,3.8,3.8,3.3,,3.2,2.5,2.4,,2.9,2.7,1.9,2.1,3.0,4.4,,4.7,2.1,3.0,1.9,,3.3,,1.6,1.1,2.9,6.4,5.8,3.8,2.9
231,2018790,B000150,GM9001 ,2013JJ00,8.1,8.1,5.6,,5.4,4.0,,,,4.3,,4.2,6.4,6.8,,8.1,,7.0,,,5.9,,,,5.9,9.8,9.3,6.3,5.8
232,2018790,B000150,GM9001 ,2017JJ00,5.5,5.5,3.4,,3.0,3.4,,,,2.5,3.3,3.5,4.7,5.7,3.2,4.7,2.4,4.2,2.6,,5.1,2.2,2.8,2.9,4.1,7.4,6.1,5.4,4.2
233,2018790,B000150,GM9001 ,2021JJ00,5.5,5.5,5.2,,5.0,3.5,3.2,,3.9,,3.2,2.9,3.6,5.4,,5.4,,4.2,2.6,,4.8,,3.0,,3.8,8.5,7.6,4.9,3.3
234,2018790,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,2018790,B000150,GM9002 ,2017JJ00,12.5,12.5,,,,,,,,,,,,11.9,,9.4,,8.6,,,,,,,,14.2,12.8,8.8,
236,2018790,B000150,GM9002 ,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2018790,B000150,GM9003 ,2013JJ00,11.4,11.4,9.6,,9.6,,,,,,,,,,,8.9,,,,,,,,,,12.2,11.4,,
238,2018790,B000150,GM9003 ,2017JJ00,4.7,4.7,5.6,,5.6,5.0,4.7,,5.1,7.1,,5.3,,7.6,,7.5,,,,,,,,,,10.6,9.4,5.2,6.5
239,2018790,B000150,GM9003 ,2021JJ00,5.2,5.2,,,,,5.5,,,5.9,,,6.8,9.0,,10.2,,5.1,,,5.6,,,,6.1,13.2,12.2,8.6,5.4
