ID,CaribischNederland,Perioden,TotaalHuishoudensEnBedrijven_1,Totaal_2,Prepaid_3,Postpaid_4,Bedrijven_5,Totaal_6,Fossiel_7,Hernieuwbaar_8,Oliedoorvoer_9,TotaalHuishoudensEnBedrijven_10,Huishoudens_11,Bedrijven_12,Productie_13
115,GM9003,2012JJ00,1190.0,951.0,,,239.0,8.9,8.9,0.0,,,,,
116,GM9003,2013JJ00,1212.0,971.0,,,241.0,9.2,9.2,0.0,,,,,
117,GM9003,2014JJ00,1250.0,1004.0,,,246.0,9.3,9.3,0.0,,,,,
118,GM9003,2015JJ00,,,,,,9.4,9.4,0.0,,,,,
119,GM9003,2016JJ00,,,,,,9.7,9.6,0.1,,,,,
120,GM9003,2017JJ00,1228.0,1009.0,,,219.0,9.2,9.1,0.1,,,,,
121,GM9003,2018JJ00,1224.0,1000.0,,,224.0,9.0,7.6,1.5,,,,,
122,GM9003,2019JJ00,1187.0,960.0,,,227.0,9.3,6.9,2.4,,,,,
123,GM9003,2020JJ00,1315.0,1075.0,,,240.0,8.7,6.0,2.8,,,,,
124,GM9003,2021JJ00,1335.0,1084.0,,,251.0,9.2,5.9,3.3,,,,,
125,GM9003,2022JJ00,1368.0,1098.0,,,270.0,9.4,6.6,2.9,,,,,
126,GM9003,2023JJ00,1382.0,1106.0,,,276.0,9.8,6.7,3.1,,,,,
127,GM9003,2024JJ00,1408.0,1119.0,,,289.0,10.0,7.0,3.0,,,,,
