ID,Bedrijfsactiviteiten,Grootteklassen,Perioden,Bedrijven_1,WerknemersUltimoSeptember_2,TotaalProductiewaarde_3,IndustrieleVerkopen_4,VoorraadmutatiesProducten_5,MargeHandelOvOpbrengsten_6,TotaalVerbruikswaarde_7,IndustrieleInkopen_8,VoorraadmutatiesGrondEnHulpstoffen_9,Energieverbruik_10,OverigeBedrijfskosten_11,TotaalToegevoegdeWaarde_12,Arbeidskosten_13,HeffingenEnBelastingen_14,TotaalBrutoBedrijfsresultaat_15,SaldoInterest_16,SaldoOverigeBatenEnLasten_17,AfschrijvingenOpVasteActiva_18,ResultaatVoorBelastingen_19,CodeBedrijfsactiviteit_20
302,35    ,T,1998JJ00,2219.0,239.0,4207.0,3585.0,453.0,169.0,3069.0,2652.0,19.0,29.0,407.0,1139.0,814.0,-28.0,353.0,-12.0,-20.0,81.0,239.0,35    
303,35    ,T,1999JJ00,2333.0,245.0,4271.0,4251.0,-172.0,192.0,3105.0,2631.0,7.0,29.0,452.0,1166.0,854.0,-26.0,338.0,-15.0,13.0,91.0,245.0,35    
304,35    ,S,1996JJ00,2057.0,41.0,507.0,470.0,-4.0,41.0,330.0,250.0,-3.0,5.0,72.0,177.0,109.0,0.0,68.0,-10.0,1.0,20.0,39.0,35    
305,35    ,S,1997JJ00,2044.0,39.0,416.0,374.0,-3.0,45.0,248.0,178.0,-1.0,5.0,64.0,168.0,93.0,0.0,75.0,-10.0,0.0,18.0,47.0,35    
306,35    ,S,1998JJ00,2043.0,49.0,544.0,507.0,1.0,36.0,340.0,264.0,6.0,6.0,76.0,204.0,127.0,-2.0,79.0,-8.0,4.0,22.0,53.0,35    
307,35    ,S,1999JJ00,2154.0,55.0,618.0,565.0,12.0,41.0,393.0,295.0,4.0,7.0,95.0,224.0,144.0,-2.0,82.0,-9.0,6.0,26.0,54.0,35    
308,35    ,L,1996JJ00,174.0,187.0,2840.0,3119.0,-378.0,99.0,2143.0,1821.0,-29.0,24.0,269.0,697.0,643.0,-24.0,78.0,-3.0,-29.0,59.0,-14.0,35    
309,35    ,L,1997JJ00,189.0,184.0,3048.0,2745.0,178.0,125.0,2259.0,1947.0,13.0,22.0,303.0,789.0,645.0,-27.0,171.0,-2.0,-16.0,53.0,99.0,35    
310,35    ,L,1998JJ00,176.0,190.0,3664.0,3078.0,453.0,133.0,2729.0,2389.0,16.0,24.0,332.0,935.0,687.0,-26.0,274.0,-4.0,-25.0,59.0,186.0,35    
311,35    ,L,1999JJ00,179.0,191.0,3653.0,3686.0,-185.0,152.0,2711.0,2337.0,6.0,23.0,357.0,942.0,710.0,-25.0,257.0,-5.0,6.0,66.0,192.0,35    
312,DNx   ,T,1996JJ00,7888.0,345.0,3731.0,3527.0,11.0,193.0,2346.0,1757.0,2.0,47.0,544.0,1385.0,888.0,4.0,493.0,-42.0,-2.0,155.0,295.0,DNx   
313,DNx   ,T,1997JJ00,8504.0,355.0,4194.0,3937.0,26.0,231.0,2660.0,2014.0,13.0,54.0,605.0,1535.0,962.0,4.0,569.0,-46.0,-7.0,170.0,346.0,DNx   
314,DNx   ,T,1998JJ00,8971.0,371.0,4581.0,4377.0,7.0,197.0,2914.0,2240.0,19.0,57.0,636.0,1667.0,1034.0,0.0,633.0,-46.0,-5.0,190.0,392.0,DNx   
315,DNx   ,T,1999JJ00,9384.0,402.0,5030.0,4771.0,23.0,236.0,3212.0,2410.0,17.0,63.0,756.0,1818.0,1125.0,2.0,691.0,-52.0,-27.0,192.0,420.0,DNx   
316,DNx   ,S,1996JJ00,7506.0,132.0,1257.0,1146.0,0.0,111.0,756.0,529.0,3.0,18.0,212.0,501.0,288.0,3.0,210.0,-18.0,1.0,53.0,141.0,DNx   
317,DNx   ,S,1997JJ00,8109.0,133.0,1449.0,1308.0,3.0,138.0,901.0,636.0,4.0,23.0,246.0,548.0,314.0,2.0,232.0,-23.0,-1.0,65.0,143.0,DNx   
318,DNx   ,S,1998JJ00,8589.0,147.0,1655.0,1545.0,9.0,101.0,1014.0,740.0,7.0,23.0,258.0,642.0,349.0,1.0,292.0,-23.0,3.0,83.0,189.0,DNx   
319,DNx   ,S,1999JJ00,8978.0,163.0,1799.0,1659.0,24.0,116.0,1095.0,756.0,17.0,27.0,329.0,703.0,382.0,1.0,320.0,-28.0,-3.0,74.0,216.0,DNx   
320,DNx   ,L,1996JJ00,382.0,213.0,2475.0,2381.0,12.0,82.0,1590.0,1228.0,-1.0,29.0,332.0,884.0,601.0,0.0,283.0,-24.0,-3.0,102.0,154.0,DNx   
321,DNx   ,L,1997JJ00,395.0,222.0,2745.0,2628.0,25.0,92.0,1759.0,1378.0,9.0,31.0,359.0,987.0,649.0,1.0,337.0,-23.0,-5.0,105.0,203.0,DNx   
322,DNx   ,L,1998JJ00,382.0,224.0,2926.0,2832.0,-1.0,95.0,1900.0,1500.0,12.0,34.0,378.0,1026.0,685.0,0.0,341.0,-23.0,-8.0,107.0,203.0,DNx   
323,DNx   ,L,1999JJ00,406.0,239.0,3231.0,3111.0,0.0,120.0,2116.0,1655.0,1.0,36.0,426.0,1114.0,744.0,-1.0,371.0,-25.0,-24.0,118.0,204.0,DNx   
324,36x   ,T,1996JJ00,7664.0,330.0,3408.0,3223.0,13.0,172.0,2117.0,1617.0,2.0,39.0,463.0,1291.0,841.0,4.0,446.0,-34.0,-1.0,130.0,281.0,36x   
325,36x   ,T,1997JJ00,8230.0,332.0,3760.0,3516.0,32.0,212.0,2355.0,1831.0,13.0,42.0,495.0,1405.0,899.0,4.0,502.0,-36.0,-7.0,139.0,320.0,36x   
326,36x   ,T,1998JJ00,8691.0,347.0,4125.0,3942.0,7.0,176.0,2585.0,2041.0,18.0,44.0,518.0,1540.0,964.0,1.0,575.0,-37.0,-4.0,158.0,376.0,36x   
327,36x   ,T,1999JJ00,9101.0,374.0,4419.0,4188.0,27.0,204.0,2764.0,2123.0,20.0,48.0,613.0,1654.0,1040.0,2.0,612.0,-39.0,-12.0,154.0,406.0,36x   
328,36x   ,S,1996JJ00,7304.0,126.0,1118.0,1009.0,0.0,109.0,660.0,475.0,5.0,15.0,175.0,457.0,269.0,2.0,186.0,-15.0,1.0,43.0,129.0,36x   
