ID,BedrijfstakBranchesSBI2008,NuttigeToepassingEnEindverwerking,Perioden,TotaalBedrijfsafvalstoffen_1,TotaalNietChemischAfval_2,Metaalafval_3,Glasafval_4,PapierKartonafval_5,KunststofRubberafval_6,Houtafval_7,TextielLederafval_8,DierlijkPlantaardigAfval_9,GemengdAfval_10,Slib_11,MineralenSteenachtigAfval_12,OverigNietChemischAfval_13,ChemischAfval_14,TotaalBedrijfsafvalstoffen_15,TotaalNuttigeToepassing_16,InzetAlsBrandstof_17,OverigNuttigeToepassing_18,TotaalEindverwerking_19,Verbranden_20,StortenLozen_21,ScheidenAchteraf_22
156,307500,T001523,2015JJ00,13858.0,12607.0,477.0,41.0,560.0,147.0,371.0,17.0,6468.0,981.0,685.0,2855.0,5.0,1251.0,13858.0,13261.0,1648.0,11613.0,597.0,164.0,287.0,146.0
157,307500,T001523,2016JJ00,14125.0,12828.0,475.0,39.0,603.0,157.0,318.0,12.0,6583.0,989.0,743.0,2906.0,2.0,1297.0,14125.0,13478.0,1825.0,11654.0,646.0,204.0,361.0,81.0
158,307500,T001523,2017JJ00,14654.0,13339.0,523.0,42.0,591.0,158.0,332.0,13.0,6705.0,1042.0,801.0,3129.0,2.0,1315.0,14654.0,13959.0,1869.0,12089.0,695.0,203.0,401.0,91.0
159,307500,T001523,2018JJ00,14271.0,13017.0,501.0,44.0,545.0,144.0,317.0,27.0,6907.0,957.0,638.0,2927.0,9.0,1253.0,14271.0,13564.0,1775.0,11789.0,707.0,181.0,372.0,154.0
160,307500,T001523,2019JJ00,13715.0,12494.0,518.0,45.0,556.0,156.0,321.0,22.0,6497.0,1012.0,589.0,2770.0,8.0,1222.0,13715.0,12993.0,1686.0,11307.0,723.0,163.0,355.0,206.0
161,307500,T001617,1994JJ00,15400.0,14684.0,673.0,62.0,589.0,139.0,344.0,16.0,7600.0,197.0,466.0,4597.0,0.0,717.0,15400.0,15400.0,,15400.0,,,,
162,307500,T001617,1996JJ00,15079.0,14338.0,615.0,45.0,641.0,151.0,319.0,30.0,7475.0,199.0,411.0,4452.0,0.0,741.0,15079.0,15079.0,,15079.0,,,,
163,307500,T001617,1998JJ00,15336.0,14521.0,685.0,48.0,697.0,139.0,329.0,23.0,7183.0,248.0,563.0,4607.0,0.0,815.0,15336.0,15336.0,,15336.0,,,,
164,307500,T001617,2000JJ00,16281.0,15409.0,780.0,43.0,814.0,163.0,359.0,14.0,7541.0,264.0,472.0,4949.0,10.0,872.0,16281.0,16281.0,,16281.0,,,,
165,307500,T001617,2001JJ00,15757.0,14864.0,725.0,41.0,795.0,171.0,356.0,3.0,7468.0,198.0,406.0,4693.0,8.0,893.0,15757.0,15757.0,,15757.0,,,,
166,307500,T001617,2002JJ00,15030.0,14176.0,737.0,46.0,804.0,160.0,355.0,21.0,6611.0,205.0,568.0,4665.0,4.0,854.0,15030.0,15030.0,,15030.0,,,,
167,307500,T001617,2003JJ00,14507.0,13636.0,708.0,44.0,794.0,160.0,348.0,21.0,6443.0,262.0,538.0,4314.0,4.0,871.0,14507.0,14507.0,,14507.0,,,,
168,307500,T001617,2004JJ00,14978.0,13977.0,631.0,30.0,770.0,130.0,447.0,9.0,6462.0,293.0,534.0,4659.0,12.0,1001.0,14978.0,14978.0,871.0,14107.0,,,,
169,307500,T001617,2005JJ00,14768.0,13725.0,635.0,31.0,766.0,131.0,454.0,8.0,6320.0,274.0,514.0,4579.0,12.0,1044.0,14768.0,14768.0,791.0,13979.0,,,,
170,307500,T001617,2006JJ00,14653.0,13671.0,700.0,34.0,847.0,168.0,456.0,15.0,6374.0,325.0,534.0,4206.0,15.0,980.0,14653.0,14653.0,862.0,13788.0,,,,
171,307500,T001617,2007JJ00,15006.0,13971.0,734.0,34.0,853.0,152.0,472.0,15.0,6435.0,330.0,566.0,4363.0,16.0,1034.0,15006.0,15006.0,849.0,14158.0,,,,
172,307500,T001617,2008JJ00,14740.0,13774.0,720.0,32.0,825.0,154.0,460.0,37.0,6320.0,311.0,548.0,4362.0,5.0,966.0,14740.0,14740.0,937.0,13804.0,,,,
173,307500,T001617,2009JJ00,13076.0,12242.0,584.0,29.0,756.0,136.0,388.0,32.0,6338.0,296.0,551.0,3128.0,5.0,833.0,13076.0,13076.0,878.0,12197.0,,,,
174,307500,T001617,2010JJ00,13108.0,12185.0,549.0,47.0,655.0,134.0,382.0,22.0,6313.0,487.0,576.0,3019.0,2.0,923.0,13108.0,13108.0,918.0,12190.0,,,,
175,307500,T001617,2011JJ00,13437.0,12485.0,580.0,48.0,665.0,137.0,392.0,23.0,6288.0,418.0,707.0,3226.0,2.0,952.0,13437.0,13437.0,1003.0,12434.0,,,,
176,307500,T001617,2012JJ00,13581.0,12677.0,454.0,48.0,580.0,133.0,406.0,13.0,6417.0,836.0,672.0,3115.0,4.0,904.0,13581.0,13581.0,1410.0,12170.0,,,,
177,307500,T001617,2013JJ00,13335.0,12384.0,448.0,48.0,579.0,133.0,387.0,13.0,6552.0,874.0,694.0,2653.0,4.0,951.0,13335.0,13335.0,1497.0,11838.0,,,,
178,307500,T001617,2014JJ00,13141.0,12085.0,457.0,41.0,557.0,136.0,340.0,7.0,6414.0,797.0,670.0,2661.0,4.0,1056.0,13141.0,13141.0,1593.0,11548.0,,,,
179,307500,T001617,2015JJ00,13261.0,12195.0,471.0,41.0,557.0,139.0,368.0,7.0,6386.0,811.0,651.0,2760.0,4.0,1065.0,13261.0,13261.0,1648.0,11613.0,,,,
180,307500,T001617,2016JJ00,13478.0,12376.0,464.0,39.0,603.0,157.0,312.0,9.0,6509.0,840.0,705.0,2737.0,2.0,1102.0,13478.0,13478.0,1825.0,11654.0,,,,
181,307500,T001617,2017JJ00,13959.0,12840.0,511.0,42.0,591.0,157.0,326.0,9.0,6630.0,883.0,763.0,2926.0,2.0,1119.0,13959.0,13959.0,1869.0,12089.0,,,,
182,307500,T001617,2018JJ00,13564.0,12509.0,493.0,44.0,544.0,137.0,306.0,16.0,6848.0,733.0,603.0,2777.0,6.0,1054.0,13564.0,13564.0,1775.0,11789.0,,,,
183,307500,T001617,2019JJ00,12993.0,11956.0,508.0,45.0,555.0,150.0,309.0,16.0,6433.0,761.0,557.0,2618.0,4.0,1037.0,12993.0,12993.0,1686.0,11307.0,,,,
184,307500,T001618,1994JJ00,3844.0,3326.0,16.0,2.0,15.0,31.0,196.0,33.0,92.0,802.0,192.0,1946.0,0.0,518.0,3844.0,,,,3844.0,681.0,3040.0,123.0
185,307500,T001618,1996JJ00,3682.0,3194.0,4.0,2.0,11.0,22.0,147.0,14.0,109.0,753.0,228.0,1902.0,0.0,488.0,3682.0,,,,3682.0,667.0,2857.0,159.0
186,307500,T001618,1998JJ00,3847.0,3386.0,18.0,2.0,23.0,39.0,203.0,14.0,264.0,728.0,185.0,1910.0,0.0,461.0,3847.0,,,,3847.0,875.0,2797.0,175.0
187,307500,T001618,2000JJ00,2758.0,2271.0,17.0,2.0,20.0,35.0,210.0,15.0,231.0,695.0,277.0,768.0,3.0,487.0,2758.0,,,,2758.0,1008.0,1389.0,361.0
188,307500,T001618,2001JJ00,2316.0,1936.0,4.0,0.0,16.0,29.0,206.0,25.0,276.0,766.0,207.0,403.0,4.0,380.0,2316.0,,,,2316.0,1192.0,871.0,254.0
189,307500,T001618,2002JJ00,2565.0,2163.0,1.0,2.0,15.0,28.0,149.0,29.0,659.0,719.0,273.0,287.0,1.0,402.0,2565.0,,,,2565.0,1552.0,787.0,226.0
190,307500,T001618,2003JJ00,2454.0,2048.0,3.0,2.0,13.0,28.0,143.0,28.0,587.0,648.0,234.0,361.0,1.0,406.0,2454.0,,,,2454.0,1415.0,829.0,211.0
191,307500,T001618,2004JJ00,1394.0,1205.0,19.0,4.0,39.0,19.0,29.0,30.0,109.0,613.0,131.0,211.0,1.0,189.0,1394.0,,,,1394.0,736.0,408.0,251.0
192,307500,T001618,2005JJ00,1381.0,1204.0,19.0,4.0,39.0,21.0,31.0,29.0,109.0,616.0,111.0,224.0,1.0,177.0,1381.0,,,,1381.0,710.0,418.0,252.0
193,307500,T001618,2006JJ00,1328.0,1075.0,4.0,7.0,11.0,13.0,26.0,30.0,162.0,534.0,62.0,218.0,5.0,255.0,1328.0,,,,1328.0,743.0,443.0,142.0
194,307500,T001618,2007JJ00,1307.0,1074.0,3.0,8.0,10.0,15.0,32.0,29.0,164.0,554.0,58.0,198.0,5.0,236.0,1307.0,,,,1307.0,739.0,422.0,145.0
195,307500,T001618,2008JJ00,1332.0,1053.0,9.0,2.0,14.0,18.0,17.0,3.0,124.0,508.0,131.0,227.0,1.0,279.0,1332.0,,,,1332.0,712.0,472.0,147.0
196,307500,T001618,2009JJ00,1264.0,984.0,7.0,1.0,12.0,14.0,15.0,3.0,120.0,457.0,150.0,204.0,0.0,280.0,1264.0,,,,1264.0,705.0,435.0,125.0
197,307500,T001618,2010JJ00,1292.0,970.0,4.0,0.0,18.0,11.0,25.0,4.0,92.0,565.0,85.0,165.0,1.0,322.0,1292.0,,,,1292.0,626.0,486.0,181.0
198,307500,T001618,2011JJ00,1193.0,940.0,5.0,0.0,18.0,12.0,26.0,4.0,94.0,579.0,38.0,164.0,1.0,253.0,1193.0,,,,1193.0,587.0,420.0,186.0
199,307500,T001618,2012JJ00,777.0,530.0,13.0,0.0,10.0,9.0,7.0,18.0,84.0,174.0,30.0,185.0,0.0,247.0,777.0,,,,777.0,216.0,413.0,148.0
200,307500,T001618,2013JJ00,717.0,475.0,13.0,0.0,10.0,9.0,6.0,18.0,87.0,176.0,30.0,126.0,0.0,242.0,717.0,,,,717.0,214.0,356.0,147.0
201,307500,T001618,2014JJ00,670.0,492.0,6.0,0.0,3.0,7.0,2.0,9.0,80.0,169.0,34.0,180.0,1.0,178.0,670.0,,,,670.0,193.0,285.0,192.0
202,307500,T001618,2015JJ00,597.0,412.0,6.0,0.0,3.0,8.0,2.0,9.0,82.0,170.0,34.0,95.0,1.0,185.0,597.0,,,,597.0,164.0,287.0,146.0
203,307500,T001618,2016JJ00,646.0,452.0,11.0,0.0,0.0,0.0,6.0,4.0,74.0,149.0,38.0,169.0,0.0,195.0,646.0,,,,646.0,204.0,361.0,81.0
204,307500,T001618,2017JJ00,695.0,499.0,12.0,0.0,0.0,0.0,6.0,4.0,75.0,159.0,39.0,204.0,0.0,196.0,695.0,,,,695.0,203.0,401.0,91.0
205,307500,T001618,2018JJ00,707.0,508.0,8.0,0.0,1.0,6.0,11.0,11.0,58.0,224.0,35.0,150.0,4.0,199.0,707.0,,,,707.0,181.0,372.0,154.0
