ID,BedrijfstakkenBranchesSBI2008,Milieudomein,Perioden,ArbeidsvolumeWerkzamePersonen_1,ProductieBasisprijzen_2,BrutoToegevoegdeWaardeBasisprijzen_3
149,20000 ,10900 ,2000JJ00,9.8,1707.0,648.0
150,20000 ,10900 ,2001JJ00,10.0,1781.0,676.0
151,20000 ,10900 ,2002JJ00,11.5,1898.0,744.0
152,20000 ,10900 ,2003JJ00,12.2,2133.0,790.0
153,20000 ,10900 ,2004JJ00,11.2,2275.0,845.0
154,20000 ,10900 ,2005JJ00,12.2,2361.0,893.0
155,20000 ,10900 ,2006JJ00,11.6,2565.0,994.0
156,20000 ,10900 ,2007JJ00,11.5,2794.0,1040.0
157,20000 ,10900 ,2008JJ00,12.6,3086.0,1061.0
158,20000 ,10900 ,2009JJ00,13.5,3104.0,1005.0
159,20000 ,10900 ,2010JJ00,14.0,3222.0,1117.0
160,300025,10000 ,1995JJ00,71.8,11651.0,5189.0
161,300025,10000 ,1996JJ00,76.8,12384.0,5501.0
162,300025,10000 ,1997JJ00,79.1,13427.0,5825.0
163,300025,10000 ,1998JJ00,83.3,14517.0,6242.0
164,300025,10000 ,1999JJ00,85.9,15968.0,6713.0
165,300025,10000 ,2000JJ00,89.0,17507.0,7329.0
166,300025,10000 ,2001JJ00,94.7,18992.0,7800.0
167,300025,10000 ,2002JJ00,98.8,20590.0,8293.0
168,300025,10000 ,2003JJ00,102.2,21946.0,8750.0
169,300025,10000 ,2004JJ00,100.7,22750.0,9128.0
170,300025,10000 ,2005JJ00,102.2,23005.0,9154.0
171,300025,10000 ,2006JJ00,103.1,24828.0,10219.0
172,300025,10000 ,2007JJ00,106.3,26648.0,11071.0
173,300025,10000 ,2008JJ00,110.0,29153.0,11774.0
174,300025,10000 ,2009JJ00,112.2,28595.0,11426.0
175,300025,10000 ,2010JJ00,111.9,29363.0,12203.0
176,300025,10100 ,1995JJ00,51.7,8617.0,4102.0
177,300025,10100 ,1996JJ00,54.5,8890.0,4254.0
178,300025,10100 ,1997JJ00,55.0,9589.0,4457.0
179,300025,10100 ,1998JJ00,58.4,10482.0,4814.0
180,300025,10100 ,1999JJ00,61.9,11584.0,5165.0
181,300025,10100 ,2000JJ00,63.1,12714.0,5687.0
182,300025,10100 ,2001JJ00,66.8,13747.0,5986.0
183,300025,10100 ,2002JJ00,68.7,14854.0,6342.0
184,300025,10100 ,2003JJ00,71.8,15885.0,6730.0
185,300025,10100 ,2004JJ00,71.0,16549.0,7049.0
186,300025,10100 ,2005JJ00,71.7,16587.0,7056.0
187,300025,10100 ,2006JJ00,72.0,17903.0,7805.0
188,300025,10100 ,2007JJ00,73.2,18908.0,8251.0
189,300025,10100 ,2008JJ00,73.8,20126.0,8605.0
190,300025,10100 ,2009JJ00,73.7,19734.0,8241.0
191,300025,10100 ,2010JJ00,73.5,20382.0,8823.0
192,300025,10200 ,1995JJ00,0.7,92.0,39.0
193,300025,10200 ,1996JJ00,0.7,91.0,38.0
194,300025,10200 ,1997JJ00,0.7,95.0,40.0
195,300025,10200 ,1998JJ00,0.7,94.0,39.0
196,300025,10200 ,1999JJ00,0.7,93.0,40.0
197,300025,10200 ,2000JJ00,0.8,106.0,45.0
198,300025,10200 ,2001JJ00,0.8,111.0,46.0
199,300025,10200 ,2002JJ00,0.9,243.0,61.0
200,300025,10200 ,2003JJ00,1.1,260.0,68.0
201,300025,10200 ,2004JJ00,1.1,243.0,69.0
202,300025,10200 ,2005JJ00,1.0,243.0,68.0
203,300025,10200 ,2006JJ00,1.1,263.0,77.0
204,300025,10200 ,2007JJ00,1.1,255.0,75.0
205,300025,10200 ,2008JJ00,1.1,282.0,80.0
206,300025,10200 ,2009JJ00,0.8,181.0,56.0
207,300025,10200 ,2010JJ00,1.0,237.0,75.0
208,300025,10300 ,1995JJ00,3.1,572.0,221.0
209,300025,10300 ,1996JJ00,3.5,684.0,261.0
210,300025,10300 ,1997JJ00,3.7,779.0,270.0
211,300025,10300 ,1998JJ00,4.1,869.0,302.0
212,300025,10300 ,1999JJ00,4.4,936.0,329.0
213,300025,10300 ,2000JJ00,5.0,1105.0,410.0
214,300025,10300 ,2001JJ00,5.5,1185.0,437.0
215,300025,10300 ,2002JJ00,6.2,1304.0,484.0
216,300025,10300 ,2003JJ00,7.0,1503.0,543.0
217,300025,10300 ,2004JJ00,6.7,1516.0,498.0
218,300025,10300 ,2005JJ00,6.9,1510.0,498.0
219,300025,10300 ,2006JJ00,7.1,1694.0,585.0
220,300025,10300 ,2007JJ00,7.5,1923.0,638.0
221,300025,10300 ,2008JJ00,8.0,2117.0,645.0
222,300025,10300 ,2009JJ00,7.8,2008.0,616.0
223,300025,10300 ,2010JJ00,7.2,2145.0,752.0
224,300025,10400 ,1995JJ00,22.6,4197.0,2277.0
225,300025,10400 ,1996JJ00,24.8,4362.0,2370.0
226,300025,10400 ,1997JJ00,25.1,4798.0,2510.0
227,300025,10400 ,1998JJ00,26.0,5164.0,2651.0
228,300025,10400 ,1999JJ00,26.0,5395.0,2753.0
229,300025,10400 ,2000JJ00,27.0,6116.0,3099.0
230,300025,10400 ,2001JJ00,27.9,6490.0,3179.0
231,300025,10400 ,2002JJ00,27.9,6803.0,3279.0
232,300025,10400 ,2003JJ00,28.0,7036.0,3390.0
233,300025,10400 ,2004JJ00,27.8,7642.0,3723.0
234,300025,10400 ,2005JJ00,26.7,7250.0,3610.0
235,300025,10400 ,2006JJ00,25.5,7642.0,3978.0
236,300025,10400 ,2007JJ00,25.8,7864.0,4208.0
237,300025,10400 ,2008JJ00,25.6,8468.0,4462.0
238,300025,10400 ,2009JJ00,27.0,8355.0,4160.0
239,300025,10400 ,2010JJ00,26.8,8939.0,4505.0
240,300025,10500 ,1995JJ00,7.6,1734.0,723.0
241,300025,10500 ,1996JJ00,7.4,1718.0,715.0
242,300025,10500 ,1997JJ00,7.6,1789.0,746.0
243,300025,10500 ,1998JJ00,8.3,2050.0,838.0
244,300025,10500 ,1999JJ00,9.7,2375.0,942.0
245,300025,10500 ,2000JJ00,9.7,2512.0,1015.0
246,300025,10500 ,2001JJ00,10.5,2650.0,1077.0
247,300025,10500 ,2002JJ00,10.8,2931.0,1168.0
248,300025,10500 ,2003JJ00,10.7,3096.0,1231.0
249,300025,10500 ,2004JJ00,10.0,3069.0,1204.0
250,300025,10500 ,2005JJ00,10.5,3276.0,1238.0
251,300025,10500 ,2006JJ00,10.9,3660.0,1408.0
252,300025,10500 ,2007JJ00,10.8,3912.0,1475.0
253,300025,10500 ,2008JJ00,11.4,4233.0,1571.0
254,300025,10500 ,2009JJ00,11.7,4297.0,1633.0
255,300025,10500 ,2010JJ00,11.5,4198.0,1621.0
256,300025,10600 ,1995JJ00,17.8,2023.0,843.0
257,300025,10600 ,1996JJ00,18.1,2035.0,869.0
258,300025,10600 ,1997JJ00,18.0,2127.0,891.0
259,300025,10600 ,1998JJ00,19.4,2304.0,984.0
260,300025,10600 ,1999JJ00,21.0,2785.0,1101.0
261,300025,10600 ,2000JJ00,20.6,2874.0,1118.0
262,300025,10600 ,2001JJ00,22.1,3311.0,1248.0
263,300025,10600 ,2002JJ00,22.9,3573.0,1349.0
264,300025,10600 ,2003JJ00,25.0,3991.0,1499.0
265,300025,10600 ,2004JJ00,25.5,4078.0,1555.0
266,300025,10600 ,2005JJ00,26.6,4308.0,1643.0
267,300025,10600 ,2006JJ00,27.3,4643.0,1757.0
268,300025,10600 ,2007JJ00,28.0,4954.0,1855.0
269,300025,10600 ,2008JJ00,27.6,5025.0,1847.0
270,300025,10600 ,2009JJ00,26.6,4894.0,1775.0
271,300025,10600 ,2010JJ00,27.0,4863.0,1870.0
272,300025,10700 ,1995JJ00,20.1,3034.0,1087.0
273,300025,10700 ,1996JJ00,22.3,3494.0,1247.0
274,300025,10700 ,1997JJ00,24.1,3838.0,1368.0
275,300025,10700 ,1998JJ00,24.9,4035.0,1428.0
276,300025,10700 ,1999JJ00,24.0,4384.0,1547.0
277,300025,10700 ,2000JJ00,25.9,4793.0,1642.0
278,300025,10700 ,2001JJ00,27.9,5246.0,1814.0
279,300025,10700 ,2002JJ00,30.1,5736.0,1951.0
280,300025,10700 ,2003JJ00,30.4,6061.0,2020.0
281,300025,10700 ,2004JJ00,29.6,6201.0,2079.0
282,300025,10700 ,2005JJ00,30.5,6418.0,2098.0
283,300025,10700 ,2006JJ00,31.1,6925.0,2415.0
284,300025,10700 ,2007JJ00,33.1,7739.0,2820.0
285,300025,10700 ,2008JJ00,36.2,9027.0,3169.0
286,300025,10700 ,2009JJ00,38.5,8861.0,3186.0
287,300025,10700 ,2010JJ00,38.4,8981.0,3380.0
288,300025,10800 ,1995JJ00,12.6,2050.0,671.0
289,300025,10800 ,1996JJ00,13.9,2380.0,788.0
290,300025,10800 ,1997JJ00,14.7,2582.0,856.0
291,300025,10800 ,1998JJ00,15.2,2715.0,899.0
292,300025,10800 ,1999JJ00,15.3,2792.0,931.0
293,300025,10800 ,2000JJ00,16.1,3086.0,994.0
294,300025,10800 ,2001JJ00,17.9,3465.0,1138.0
295,300025,10800 ,2002JJ00,18.6,3837.0,1207.0
296,300025,10800 ,2003JJ00,18.2,3927.0,1229.0
297,300025,10800 ,2004JJ00,18.4,3926.0,1234.0
298,300025,10800 ,2005JJ00,18.4,4057.0,1205.0
299,300025,10800 ,2006JJ00,19.5,4360.0,1421.0
300,300025,10800 ,2007JJ00,21.6,4945.0,1780.0
301,300025,10800 ,2008JJ00,23.6,5940.0,2108.0
302,300025,10800 ,2009JJ00,25.0,5757.0,2181.0
303,300025,10800 ,2010JJ00,24.4,5759.0,2263.0
304,300025,10900 ,1995JJ00,7.5,983.0,416.0
305,300025,10900 ,1996JJ00,8.4,1114.0,458.0
306,300025,10900 ,1997JJ00,9.4,1256.0,512.0
307,300025,10900 ,1998JJ00,9.7,1321.0,530.0
308,300025,10900 ,1999JJ00,8.7,1593.0,617.0
309,300025,10900 ,2000JJ00,9.8,1707.0,648.0
310,300025,10900 ,2001JJ00,10.0,1781.0,676.0
311,300025,10900 ,2002JJ00,11.5,1898.0,744.0
312,300025,10900 ,2003JJ00,12.2,2133.0,790.0
313,300025,10900 ,2004JJ00,11.2,2275.0,845.0
314,300025,10900 ,2005JJ00,12.2,2361.0,893.0
315,300025,10900 ,2006JJ00,11.6,2565.0,994.0
316,300025,10900 ,2007JJ00,11.5,2794.0,1040.0
317,300025,10900 ,2008JJ00,12.6,3086.0,1061.0
318,300025,10900 ,2009JJ00,13.5,3104.0,1005.0
319,300025,10900 ,2010JJ00,14.0,3222.0,1117.0
320,301000,10000 ,1995JJ00,1.0,143.0,67.0
321,301000,10000 ,1996JJ00,1.1,178.0,78.0
322,301000,10000 ,1997JJ00,1.2,221.0,103.0
323,301000,10000 ,1998JJ00,1.3,237.0,103.0
324,301000,10000 ,1999JJ00,1.5,266.0,109.0
325,301000,10000 ,2000JJ00,1.7,379.0,163.0
326,301000,10000 ,2001JJ00,1.9,423.0,173.0
327,301000,10000 ,2002JJ00,2.0,472.0,188.0
328,301000,10000 ,2003JJ00,2.3,535.0,218.0
329,301000,10000 ,2004JJ00,2.3,602.0,223.0
330,301000,10000 ,2005JJ00,2.3,651.0,242.0
331,301000,10000 ,2006JJ00,2.4,820.0,329.0
332,301000,10000 ,2007JJ00,2.6,897.0,365.0
333,301000,10000 ,2008JJ00,2.8,1059.0,416.0
334,301000,10000 ,2009JJ00,2.9,1063.0,384.0
335,301000,10000 ,2010JJ00,3.1,1408.0,562.0
336,301000,10100 ,1995JJ00,0.9,139.0,66.0
337,301000,10100 ,1996JJ00,1.1,172.0,78.0
338,301000,10100 ,1997JJ00,1.2,215.0,103.0
339,301000,10100 ,1998JJ00,1.3,230.0,103.0
340,301000,10100 ,1999JJ00,1.5,258.0,109.0
341,301000,10100 ,2000JJ00,1.7,366.0,162.0
342,301000,10100 ,2001JJ00,1.8,412.0,173.0
343,301000,10100 ,2002JJ00,2.0,456.0,187.0
344,301000,10100 ,2003JJ00,2.2,510.0,216.0
345,301000,10100 ,2004JJ00,2.1,569.0,220.0
346,301000,10100 ,2005JJ00,2.2,609.0,233.0
347,301000,10100 ,2006JJ00,2.2,753.0,298.0
348,301000,10100 ,2007JJ00,2.2,809.0,303.0
349,301000,10100 ,2008JJ00,2.3,941.0,309.0
350,301000,10100 ,2009JJ00,2.4,947.0,295.0
351,301000,10100 ,2010JJ00,2.5,1288.0,473.0
352,301000,10200 ,1995JJ00,,,
353,301000,10200 ,1996JJ00,,,
354,301000,10200 ,1997JJ00,,,
355,301000,10200 ,1998JJ00,,,
356,301000,10200 ,1999JJ00,,,
357,301000,10200 ,2000JJ00,,,
358,301000,10200 ,2001JJ00,,,
359,301000,10200 ,2002JJ00,,,
360,301000,10200 ,2003JJ00,,,
361,301000,10200 ,2004JJ00,,,
362,301000,10200 ,2005JJ00,,,
363,301000,10200 ,2006JJ00,,,
364,301000,10200 ,2007JJ00,,,
365,301000,10200 ,2008JJ00,,,
366,301000,10200 ,2009JJ00,,,
367,301000,10200 ,2010JJ00,,,
368,301000,10300 ,1995JJ00,0.9,139.0,66.0
369,301000,10300 ,1996JJ00,1.1,172.0,78.0
370,301000,10300 ,1997JJ00,1.2,215.0,103.0
371,301000,10300 ,1998JJ00,1.3,230.0,103.0
372,301000,10300 ,1999JJ00,1.5,258.0,109.0
373,301000,10300 ,2000JJ00,1.7,366.0,162.0
374,301000,10300 ,2001JJ00,1.8,412.0,173.0
375,301000,10300 ,2002JJ00,2.0,456.0,187.0
376,301000,10300 ,2003JJ00,2.2,510.0,216.0
377,301000,10300 ,2004JJ00,2.1,569.0,220.0
378,301000,10300 ,2005JJ00,2.2,609.0,233.0
379,301000,10300 ,2006JJ00,2.2,753.0,298.0
380,301000,10300 ,2007JJ00,2.2,809.0,303.0
381,301000,10300 ,2008JJ00,2.3,941.0,309.0
382,301000,10300 ,2009JJ00,2.4,947.0,295.0
383,301000,10300 ,2010JJ00,2.5,1279.0,470.0
384,301000,10400 ,1995JJ00,,,
385,301000,10400 ,1996JJ00,,,
386,301000,10400 ,1997JJ00,,,
387,301000,10400 ,1998JJ00,,,
388,301000,10400 ,1999JJ00,,,
389,301000,10400 ,2000JJ00,,,
390,301000,10400 ,2001JJ00,,,
391,301000,10400 ,2002JJ00,,,
392,301000,10400 ,2003JJ00,,,
393,301000,10400 ,2004JJ00,,,
394,301000,10400 ,2005JJ00,,,
395,301000,10400 ,2006JJ00,,,
396,301000,10400 ,2007JJ00,,,
397,301000,10400 ,2008JJ00,,,
398,301000,10400 ,2009JJ00,,,
399,301000,10400 ,2010JJ00,,,
400,301000,10500 ,1995JJ00,,,
401,301000,10500 ,1996JJ00,,,
402,301000,10500 ,1997JJ00,,,
403,301000,10500 ,1998JJ00,,,
404,301000,10500 ,1999JJ00,,,
405,301000,10500 ,2000JJ00,,,
406,301000,10500 ,2001JJ00,,,
407,301000,10500 ,2002JJ00,,,
408,301000,10500 ,2003JJ00,,,
409,301000,10500 ,2004JJ00,,,
410,301000,10500 ,2005JJ00,,,
411,301000,10500 ,2006JJ00,,,
412,301000,10500 ,2007JJ00,,,
413,301000,10500 ,2008JJ00,,,
414,301000,10500 ,2009JJ00,,,
415,301000,10500 ,2010JJ00,0.0,0.0,0.0
416,301000,10600 ,1995JJ00,,,
417,301000,10600 ,1996JJ00,,,
418,301000,10600 ,1997JJ00,,,
419,301000,10600 ,1998JJ00,,,
420,301000,10600 ,1999JJ00,,,
421,301000,10600 ,2000JJ00,,,
422,301000,10600 ,2001JJ00,,,
423,301000,10600 ,2002JJ00,,,
424,301000,10600 ,2003JJ00,,,
425,301000,10600 ,2004JJ00,,,
426,301000,10600 ,2005JJ00,,,
427,301000,10600 ,2006JJ00,,,
428,301000,10600 ,2007JJ00,,,
429,301000,10600 ,2008JJ00,,,
430,301000,10600 ,2009JJ00,,,
431,301000,10600 ,2010JJ00,0.0,9.0,3.0
432,301000,10700 ,1995JJ00,0.0,4.0,0.0
433,301000,10700 ,1996JJ00,0.0,5.0,0.0
434,301000,10700 ,1997JJ00,0.0,6.0,0.0
435,301000,10700 ,1998JJ00,0.0,7.0,0.0
436,301000,10700 ,1999JJ00,0.0,8.0,0.0
437,301000,10700 ,2000JJ00,0.0,13.0,0.0
438,301000,10700 ,2001JJ00,0.0,11.0,1.0
439,301000,10700 ,2002JJ00,0.1,16.0,1.0
440,301000,10700 ,2003JJ00,0.1,25.0,2.0
441,301000,10700 ,2004JJ00,0.1,33.0,4.0
442,301000,10700 ,2005JJ00,0.2,42.0,9.0
443,301000,10700 ,2006JJ00,0.3,67.0,31.0
444,301000,10700 ,2007JJ00,0.4,87.0,62.0
445,301000,10700 ,2008JJ00,0.5,118.0,107.0
446,301000,10700 ,2009JJ00,0.6,116.0,90.0
447,301000,10700 ,2010JJ00,0.6,120.0,89.0
448,301000,10800 ,1995JJ00,0.0,4.0,0.0
449,301000,10800 ,1996JJ00,0.0,5.0,0.0
450,301000,10800 ,1997JJ00,0.0,6.0,0.0
451,301000,10800 ,1998JJ00,0.0,7.0,0.0
452,301000,10800 ,1999JJ00,0.0,8.0,0.0
453,301000,10800 ,2000JJ00,0.0,13.0,0.0
454,301000,10800 ,2001JJ00,0.0,11.0,1.0
455,301000,10800 ,2002JJ00,0.1,16.0,1.0
456,301000,10800 ,2003JJ00,0.1,25.0,2.0
457,301000,10800 ,2004JJ00,0.1,33.0,4.0
458,301000,10800 ,2005JJ00,0.2,42.0,9.0
459,301000,10800 ,2006JJ00,0.3,67.0,31.0
460,301000,10800 ,2007JJ00,0.4,87.0,62.0
461,301000,10800 ,2008JJ00,0.5,118.0,107.0
462,301000,10800 ,2009JJ00,0.6,116.0,90.0
463,301000,10800 ,2010JJ00,0.6,120.0,89.0
464,301000,10900 ,1995JJ00,,,
465,301000,10900 ,1996JJ00,,,
466,301000,10900 ,1997JJ00,,,
467,301000,10900 ,1998JJ00,,,
468,301000,10900 ,1999JJ00,,,
