ID,ProductgroepenEnOverigePosten,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,WaardeInWerkelijkePrijzen_5,WaardePrijsniveau2005_6,VolumemutatieTOVVoorafgaandJaar_7,Prijsindexcijfers_8,WaardeInWerkelijkePrijzen_9,WaardePrijsniveau2005_10,VolumemutatieTOVVoorafgaandJaar_11,Prijsindexcijfers_12,WaardeInWerkelijkePrijzen_13,WaardePrijsniveau2005_14,VolumemutatieTOVVoorafgaandJaar_15,Prijsindexcijfers_16,WaardeInWerkelijkePrijzen_17,WaardePrijsniveau2005_18,VolumemutatieTOVVoorafgaandJaar_19,Prijsindexcijfers_20,WaardeInWerkelijkePrijzen_21,WaardePrijsniveau2005_22,VolumemutatieTOVVoorafgaandJaar_23,Prijsindexcijfers_24,WaardeInWerkelijkePrijzen_25,WaardePrijsniveau2005_26,VolumemutatieTOVVoorafgaandJaar_27,Prijsindexcijfers_28,WaardeInWerkelijkePrijzen_29,WaardeInWerkelijkePrijzen_30,WaardePrijsniveau2005_31,VolumemutatieTOVVoorafgaandJaar_32,Prijsindexcijfers_33
1410,5900000,1998JJ00,,,,,,,,,,,,,25586.0,31859.0,5.8,80.3,4871.0,6126.0,5.4,79.5,14943.0,18004.0,6.3,83.0,5772.0,7753.0,4.9,74.4,0.0,,,,
1411,5900000,1999JJ00,,,,,,,,,,,,,27600.0,33777.0,6.0,81.7,5266.0,6504.0,6.2,81.0,16248.0,19238.0,6.9,84.5,6086.0,8044.0,3.7,75.7,0.0,,,,
1412,5900000,2000JJ00,,,,,,,,,,,,,29561.0,35425.0,4.9,83.4,5592.0,6772.0,4.1,82.6,17208.0,20101.0,4.5,85.6,6761.0,8572.0,6.6,78.9,0.0,,,,
1413,5900000,2001JJ00,,,,,,,,,,,,,33517.0,36375.0,2.7,92.1,6587.0,7164.0,5.8,91.9,19313.0,20584.0,2.4,93.8,7617.0,8642.0,0.8,88.1,0.0,,,,
1414,5900000,2002JJ00,,,,,,,,,,,,,34627.0,36435.0,0.2,95.0,6954.0,7334.0,2.4,94.8,20067.0,20753.0,0.8,96.7,7606.0,8348.0,-3.4,91.1,0.0,,,,
1415,5900000,2003JJ00,,,,,,,,,,,,,35465.0,36328.0,-0.3,97.6,7294.0,7502.0,2.3,97.2,20170.0,20602.0,-0.7,97.9,8001.0,8223.0,-1.5,97.3,0.0,,,,
1416,5900000,2004JJ00,,,,,,,,,,,,,36245.0,36752.0,1.2,98.6,7514.0,7645.0,1.9,98.3,20327.0,20598.0,0.0,98.7,8404.0,8510.0,3.5,98.8,0.0,,,,
1417,5900000,2005JJ00,,,,,,,,,,,,,37588.0,37588.0,2.3,100.0,7893.0,7893.0,3.2,100.0,20765.0,20765.0,0.8,100.0,8930.0,8930.0,4.9,100.0,0.0,,,,
1418,5900000,2006JJ00,,,,,,,,,,,,,40044.0,39277.0,4.5,102.0,8511.0,8289.0,5.0,102.7,21872.0,21554.0,3.8,101.5,9661.0,9434.0,5.6,102.4,0.0,,,,
1419,5900000,2007JJ00,,,,,,,,,,,,,42278.0,40793.0,3.9,103.6,9189.0,8717.0,5.2,105.4,22757.0,22147.0,2.8,102.8,10332.0,9927.0,5.2,104.1,0.0,,,,
