ID,Zorgfuncties,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
270,T001104,A019123,2018JJ00,6334
271,T001104,A019123,2019JJ00,6898
272,T001104,A019123,2020JJ00,7287
273,T001104,A019123,2021JJ00,7516
274,T001104,A019123,2022JJ00,7656
275,T001104,A019124,1998JJ00,1334
276,T001104,A019124,1999JJ00,1402
277,T001104,A019124,2000JJ00,1527
278,T001104,A019124,2001JJ00,1694
279,T001104,A019124,2002JJ00,1944
280,T001104,A019124,2003JJ00,2131
281,T001104,A019124,2004JJ00,2197
282,T001104,A019124,2005JJ00,2183
283,T001104,A019124,2006JJ00,2284
284,T001104,A019124,2007JJ00,2475
285,T001104,A019124,2008JJ00,2671
286,T001104,A019124,2009JJ00,2820
287,T001104,A019124,2010JJ00,2952
288,T001104,A019124,2011JJ00,3021
289,T001104,A019124,2012JJ00,3122
290,T001104,A019124,2013JJ00,2969
291,T001104,A019124,2014JJ00,3056
292,T001104,A019124,2015JJ00,3032
293,T001104,A019124,2016JJ00,3158
294,T001104,A019124,2017JJ00,3142
295,T001104,A019124,2018JJ00,3218
296,T001104,A019124,2019JJ00,3287
297,T001104,A019124,2020JJ00,2996
298,T001104,A019124,2021JJ00,3276
299,T001104,A019124,2022JJ00,3381
300,T001104,A019125,1998JJ00,118
301,T001104,A019125,1999JJ00,135
302,T001104,A019125,2000JJ00,169
303,T001104,A019125,2001JJ00,198
304,T001104,A019125,2002JJ00,246
305,T001104,A019125,2003JJ00,253
306,T001104,A019125,2004JJ00,276
307,T001104,A019125,2005JJ00,335
308,T001104,A019125,2006JJ00,351
309,T001104,A019125,2007JJ00,397
310,T001104,A019125,2008JJ00,460
311,T001104,A019125,2009JJ00,506
312,T001104,A019125,2010JJ00,588
313,T001104,A019125,2011JJ00,710
314,T001104,A019125,2012JJ00,763
315,T001104,A019125,2013JJ00,767
316,T001104,A019125,2014JJ00,807
317,T001104,A019125,2015JJ00,1279
318,T001104,A019125,2016JJ00,1385
319,T001104,A019125,2017JJ00,1543
320,T001104,A019125,2018JJ00,1645
321,T001104,A019125,2019JJ00,1769
322,T001104,A019125,2020JJ00,1903
323,T001104,A019125,2021JJ00,2097
324,T001104,A019125,2022JJ00,2193
325,T001104,A019126,1998JJ00,1262
326,T001104,A019126,1999JJ00,1376
327,T001104,A019126,2000JJ00,1471
328,T001104,A019126,2001JJ00,1598
329,T001104,A019126,2002JJ00,1716
330,T001104,A019126,2003JJ00,1858
331,T001104,A019126,2004JJ00,1893
332,T001104,A019126,2005JJ00,1974
333,T001104,A019126,2006JJ00,2184
334,T001104,A019126,2007JJ00,2417
335,T001104,A019126,2008JJ00,2622
336,T001104,A019126,2009JJ00,2773
337,T001104,A019126,2010JJ00,2834
338,T001104,A019126,2011JJ00,2996
339,T001104,A019126,2012JJ00,2974
340,T001104,A019126,2013JJ00,3013
341,T001104,A019126,2014JJ00,3066
342,T001104,A019126,2015JJ00,2975
343,T001104,A019126,2016JJ00,3154
344,T001104,A019126,2017JJ00,3188
345,T001104,A019126,2018JJ00,3240
346,T001104,A019126,2019JJ00,3274
347,T001104,A019126,2020JJ00,3100
348,T001104,A019126,2021JJ00,3415
349,T001104,A019126,2022JJ00,3514
350,T001104,A019127,1998JJ00,319
351,T001104,A019127,1999JJ00,381
352,T001104,A019127,2000JJ00,371
353,T001104,A019127,2001JJ00,479
354,T001104,A019127,2002JJ00,604
355,T001104,A019127,2003JJ00,623
356,T001104,A019127,2004JJ00,691
357,T001104,A019127,2005JJ00,744
358,T001104,A019127,2006JJ00,753
359,T001104,A019127,2007JJ00,834
360,T001104,A019127,2008JJ00,878
361,T001104,A019127,2009JJ00,956
362,T001104,A019127,2010JJ00,993
363,T001104,A019127,2011JJ00,1017
364,T001104,A019127,2012JJ00,1043
365,T001104,A019127,2013JJ00,1052
366,T001104,A019127,2014JJ00,1096
367,T001104,A019127,2015JJ00,1115
368,T001104,A019127,2016JJ00,1110
369,T001104,A019127,2017JJ00,1125
370,T001104,A019127,2018JJ00,1205
371,T001104,A019127,2019JJ00,1242
372,T001104,A019127,2020JJ00,1489
373,T001104,A019127,2021JJ00,2121
374,T001104,A019127,2022JJ00,1816
375,T001104,A019128,1998JJ00,135
376,T001104,A019128,1999JJ00,137
377,T001104,A019128,2000JJ00,144
378,T001104,A019128,2001JJ00,160
379,T001104,A019128,2002JJ00,183
380,T001104,A019128,2003JJ00,209
381,T001104,A019128,2004JJ00,211
382,T001104,A019128,2005JJ00,205
383,T001104,A019128,2006JJ00,218
384,T001104,A019128,2007JJ00,221
385,T001104,A019128,2008JJ00,234
386,T001104,A019128,2009JJ00,281
387,T001104,A019128,2010JJ00,298
388,T001104,A019128,2011JJ00,301
389,T001104,A019128,2012JJ00,313
390,T001104,A019128,2013JJ00,347
391,T001104,A019128,2014JJ00,358
392,T001104,A019128,2015JJ00,350
393,T001104,A019128,2016JJ00,365
394,T001104,A019128,2017JJ00,379
395,T001104,A019128,2018JJ00,405
396,T001104,A019128,2019JJ00,435
397,T001104,A019128,2020JJ00,509
398,T001104,A019128,2021JJ00,528
399,T001104,A019128,2022JJ00,549
400,T001104,A019129,1998JJ00,184
401,T001104,A019129,1999JJ00,245
402,T001104,A019129,2000JJ00,227
403,T001104,A019129,2001JJ00,319
404,T001104,A019129,2002JJ00,421
405,T001104,A019129,2003JJ00,414
406,T001104,A019129,2004JJ00,480
407,T001104,A019129,2005JJ00,539
408,T001104,A019129,2006JJ00,535
409,T001104,A019129,2007JJ00,612
410,T001104,A019129,2008JJ00,644
411,T001104,A019129,2009JJ00,675
412,T001104,A019129,2010JJ00,696
413,T001104,A019129,2011JJ00,716
414,T001104,A019129,2012JJ00,729
415,T001104,A019129,2013JJ00,705
416,T001104,A019129,2014JJ00,738
417,T001104,A019129,2015JJ00,765
418,T001104,A019129,2016JJ00,745
419,T001104,A019129,2017JJ00,746
420,T001104,A019129,2018JJ00,800
421,T001104,A019129,2019JJ00,807
422,T001104,A019129,2020JJ00,980
423,T001104,A019129,2021JJ00,1593
424,T001104,A019129,2022JJ00,1267
425,T001104,A019131,1998JJ00,5496
426,T001104,A019131,1999JJ00,5926
427,T001104,A019131,2000JJ00,6243
428,T001104,A019131,2001JJ00,6794
429,T001104,A019131,2002JJ00,7352
430,T001104,A019131,2003JJ00,7870
431,T001104,A019131,2004JJ00,8134
432,T001104,A019131,2005JJ00,8294
433,T001104,A019131,2006JJ00,8407
434,T001104,A019131,2007JJ00,8867
435,T001104,A019131,2008JJ00,9078
436,T001104,A019131,2009JJ00,8943
437,T001104,A019131,2010JJ00,9181
438,T001104,A019131,2011JJ00,9470
439,T001104,A019131,2012JJ00,8993
440,T001104,A019131,2013JJ00,8558
441,T001104,A019131,2014JJ00,8558
442,T001104,A019131,2015JJ00,8581
443,T001104,A019131,2016JJ00,8574
444,T001104,A019131,2017JJ00,8707
445,T001104,A019131,2018JJ00,8789
446,T001104,A019131,2019JJ00,9220
