ID,Perioden,Boter_1,Margarine_2,Halvarine_3,SpijsvettenVoorIndustrieelGebruik_4,SpijsvettenVoorHuishoudelijkGebruik_5,VolleMelk_6,HalfvolleMelk_7,MagereMelk_8,Karnemelk_9,Chocolademelk_10,Yoghurt_11,PapEnVla_12,Kwark_13,Koffiemelk_14,Room_15,Kaas_16,TotaalVlees_17,RundEnKalfsvlees_18,Varkensvlees_19,GeslachtPluimvee_20,OverigVlees_21,Vis_22,Kippeneieren_23,TarwebloemEnMeel_24,TarwebloemEnMeelBestemdVoorBrood_25,Brood_26,BiskwieBanketEnSnijkoek_27,HartigeVersnaperingen_28,TotaalKruidenierswaren_29,Consumptierijst_30,OverigeKruidenierswaren_31,Suiker_32,Aardappelen_33,GroenteVers_34,TotaalVersFruit_35,TotaalVerseZuidvruchten_36,Bananen_37,Citroenen_38,Pompelmoezen_39,SinaasappelenEnMandarijnen_40,OverigeVerseZuidvruchten_41,OverigVersFruit_42,Chocolade_43,Suikerwerk_44,KoffieGebrand_45,Thee_46,Frisdranken_47,Mineraalwater_48,Vruchtensappen_49,Gedistilleerd_50,Bier_51,Wijn_52,Sigaren_53,Sigaretten_54,ShagEnPijptabak_55
16,1915JJ00,,,,,0.0,,,,,,,,,,,3.2,,18.8,20.2,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,1.0,,,0.0,,38.0,1.0,,,
17,1916JJ00,6.5,6.5,,,0.0,,,,,,,,,,,3.2,,17.8,20.1,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,0.8,,,0.0,,37.0,1.5,,,
18,1917JJ00,6.2,6.2,,,0.0,,,,,,,,,,,4.2,,18.9,21.4,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,0.8,,,0.0,,23.0,0.5,,,
19,1918JJ00,6.5,6.5,,,0.0,,,,,,,,,,,5.5,,19.5,16.7,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,0.1,,,0.0,,10.0,0.4,,,
20,1919JJ00,5.7,5.7,,,0.0,,,,,,,,,,,5.1,,11.8,11.7,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,1.3,,,0.0,,13.0,2.4,,,
21,1920JJ00,5.6,5.6,,,0.0,,,,,,,,,,,5.1,,13.0,17.5,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,1.2,,,0.0,,18.0,1.6,,,
22,1921JJ00,6.3,6.3,,,0.0,,,,,,,,,,,6.5,,13.8,16.0,,,,,,,,,,,,,26.0,,,,6.0,,,,,,,,,4.0,1.4,,,0.0,,23.0,1.7,,,
23,1922JJ00,6.6,6.6,,,0.0,,,,,,,,,,,4.6,,17.4,22.9,,,,,,,,,,,,,25.0,,,,7.0,,,,,,,,,4.3,1.4,,,0.0,,25.0,2.0,,,
24,1923JJ00,6.8,6.8,,,0.0,,,,,,,,,,,6.2,,15.5,24.4,,,,,,,,,,,,,24.0,,,,7.0,,,,,,,,,4.4,1.8,,,0.0,,26.0,1.4,146.0,274.0,
25,1924JJ00,6.0,6.0,,,0.0,,,,,,,,,,,4.7,,14.7,20.2,,,,,,,,,,,,,24.0,,,,7.0,,,,,,,,,4.1,1.2,,,0.0,,25.0,1.7,143.0,346.0,
26,1925JJ00,5.6,,,,0.0,,,,,,,,,,,4.6,,14.6,23.8,,,,,,,,,,,,,26.0,,,,7.0,,,,,,,,,3.5,1.0,,,0.0,,25.0,2.0,144.0,269.0,
27,1926JJ00,5.8,5.8,,,0.0,,,,,,,,,,,5.5,,17.7,25.9,,,,,,,,,,,,,26.0,,,,,,,,,,,,,4.0,1.3,,,0.0,,26.0,2.1,153.0,317.0,
28,1927JJ00,5.7,5.7,,,0.0,,,,,,,,,,,4.2,,18.9,28.4,,,,,,,,,,,,,27.0,,,,7.0,,,,,,,,,3.7,1.4,,,0.0,,25.0,1.9,158.0,342.0,
29,1928JJ00,5.8,5.8,,,0.0,,,,,,,,,,,5.6,,20.8,28.8,,,,,,,,,,,,,27.0,,,,8.0,,,,,,,,,3.7,1.4,,,0.0,,28.0,1.8,165.0,364.0,
30,1929JJ00,5.9,5.9,,,0.0,,,,,,,,,,,5.4,,19.1,22.2,,,,,,,,,,,,,28.0,,,,9.0,,,,,,,,,3.6,1.4,,,0.0,,28.0,1.8,173.0,409.0,
31,1930JJ00,6.5,6.5,,,0.0,,,,,,,,,,,5.9,,17.0,26.4,,,11.5,,,,,,,,,,30.0,,,,,,,,,,,,,4.2,1.4,,,0.0,,28.0,1.6,174.0,456.0,
32,1931JJ00,7.3,7.3,,,0.0,,,,,,,,,,,6.2,,15.1,35.7,,,10.9,,,,,,,,,,30.0,,,,11.0,,,,,,,,,3.7,1.5,,,0.0,,25.0,1.5,171.0,444.0,
33,1932JJ00,7.8,7.8,,,0.0,,,,,,,,,,,5.5,,16.3,33.4,,,8.8,,80.0,,,,,,,,29.0,,,,12.0,,,,,,,,,4.6,1.7,,,0.0,,22.0,1.1,167.0,450.0,
34,1933JJ00,5.7,5.1,,,0.0,,,,,,,,,,,7.2,,20.2,23.8,,2.0,9.1,,76.0,,,,,,,,27.0,,,,12.0,,,,,,,,,4.2,1.2,,,0.0,,19.0,0.9,171.0,475.0,
35,1934JJ00,5.7,5.4,,,0.0,,,,,,,,,,,6.9,,19.0,25.4,,1.9,10.0,,81.0,,,,,,,,25.0,,,,10.0,,,,,,,,,2.8,1.2,,,0.0,,18.0,0.9,171.0,471.0,
36,1935JJ00,5.2,5.7,,,0.0,,,,,,,,,,,6.9,,18.6,21.6,,1.9,8.4,,84.0,,,,,,,,25.0,,,,12.0,,,,,,,,,3.5,1.4,,,0.0,,15.0,0.9,169.0,475.0,
37,1936JJ00,5.1,5.7,,,0.0,,,,,,,,,,,7.7,,16.0,24.7,,1.8,10.2,,84.0,,,,,,,,26.0,,,,12.0,,,,,,,,,3.1,1.2,,,0.0,,14.0,1.1,171.0,466.0,
38,1937JJ00,5.1,6.7,,,0.0,,,,,,,,,,,6.9,,16.2,21.3,,1.9,11.1,,84.0,,,,,,,,26.0,,,,11.0,,,,,,,,,3.6,1.2,,,0.0,,14.0,1.1,174.0,506.0,
39,1938JJ00,5.5,7.0,,,0.0,,,,,,,,,,,7.5,,15.4,21.2,,1.9,9.9,,83.0,,,,,,,,26.0,,,,11.0,,,,,,,,,3.6,1.2,,,0.0,,15.0,1.1,178.0,549.0,
40,1939JJ00,5.7,7.4,,,0.0,,,,,,,,,,,7.6,,17.2,22.2,,2.3,7.5,,88.0,,,,,,,,29.0,,,,12.0,,,,,,,,,3.6,1.5,,,0.0,,16.0,1.3,191.0,596.0,
41,1940JJ00,6.9,6.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
42,1941JJ00,8.4,2.3,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
43,1942JJ00,7.9,1.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
44,1943JJ00,5.5,2.8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
45,1944JJ00,5.3,1.7,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
46,1945JJ00,3.8,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
47,1946JJ00,5.5,7.1,,,0.0,,,,,,,,,,,4.9,,11.8,8.7,,1.2,13.2,,90.0,,,,,,,,22.0,,,,2.0,,,,,,,,,1.5,0.6,,,0.0,,19.0,0.6,84.0,354.0,
48,1947JJ00,5.3,8.1,,,0.0,,,,,,,,,,,5.7,,13.1,9.4,,1.5,15.7,,94.0,,,,,,,,23.0,,,,4.0,,,,,,,,,1.8,0.6,,,0.0,,17.0,0.8,94.0,557.0,
49,1948JJ00,5.4,10.0,,,0.0,,,,,,,,,,,6.6,,11.7,9.4,,2.0,12.7,,88.0,,,,,,,,30.0,,74.0,,4.0,,,,,,,,,1.7,0.6,,,0.0,,14.0,1.1,90.0,545.0,
50,1949JJ00,2.9,14.1,,,0.0,,,,,,,,,,,6.8,,11.7,15.2,,1.8,9.6,,83.0,,,,,,,,34.0,,65.0,,6.0,,,,,,,,,1.8,0.8,,,0.0,,10.0,0.6,93.0,616.0,
51,1950JJ00,2.7,17.0,,,0.0,,,,,,,,,,,5.2,35.4,14.1,19.2,,2.1,9.5,,81.0,,,,,,,,35.0,130.0,66.0,,9.0,,,,,,,,,1.3,0.8,,,0.0,,11.0,0.5,78.0,793.0,
52,1951JJ00,2.8,16.9,,,0.0,,,,,,,,,,,6.0,35.5,15.3,18.7,,1.5,10.0,,83.0,,,,,,,,33.0,120.0,63.0,,10.0,,,,,,,,,1.4,0.7,,,0.0,,11.0,0.7,70.0,822.0,
53,1952JJ00,2.5,17.8,,,0.0,,,,,,,,,,,5.9,33.5,15.4,16.5,,1.6,9.5,,83.0,,,,,,,,35.0,110.0,61.0,,10.0,,,,,,,,,1.8,0.7,,,0.0,,11.0,0.6,79.0,913.0,1.0
54,1953JJ00,2.8,18.3,,,0.0,,,,,,,,,,,6.4,35.8,15.9,18.3,,1.6,9.4,,81.0,,,,,,,,36.0,105.0,65.0,,12.0,,,,,,,,,2.1,0.8,,,0.0,,13.0,0.7,86.0,966.0,1.0
55,1954JJ00,2.9,18.7,,,0.0,,,,,,,,,,,6.5,38.2,17.5,18.8,,1.9,8.9,,80.0,,,,,,,,38.0,100.0,66.0,,14.0,,,,,,,,,2.1,0.8,,,0.0,,14.0,0.9,94.0,1065.0,0.9
56,1955JJ00,3.0,19.2,,,0.0,,,,,,,,,,,6.9,40.1,18.5,20.2,,1.4,8.6,,77.0,,,,,,,,38.0,90.0,66.0,,15.0,,,,,,,,,2.4,0.7,,,0.0,,17.0,1.2,98.0,1092.0,0.8
57,1956JJ00,2.9,19.9,,,0.0,,,,,,,,,,,7.3,40.9,18.0,21.3,,1.6,8.8,,76.0,,,,,,,,39.0,90.0,63.0,,15.0,,,,,,,,,2.9,0.9,,,0.0,,18.0,1.4,101.0,1208.0,0.8
58,1957JJ00,3.9,19.3,,,0.0,,,,,,,,,,,7.3,41.3,17.6,22.0,,1.7,7.8,,74.0,,,,,,,,38.0,90.0,66.0,,18.0,,,,,,,,,2.8,0.7,,,0.0,,21.0,1.5,106.0,1222.0,0.7
59,1958JJ00,4.9,19.7,,,0.0,,,,,,,,,,,8.0,40.3,17.8,20.8,,1.7,9.0,,75.0,,,,,,,,40.0,90.0,66.0,,18.0,,,,,,,,,3.2,0.8,,,0.0,,21.0,1.5,105.0,1166.0,8.0
60,1959JJ00,4.1,20.3,,,0.0,,,,,,,,,,,7.9,40.9,17.8,21.0,,2.1,9.8,,73.0,,,,,,,,39.0,95.0,64.0,,19.0,,,,,,,,,3.2,0.8,,,0.0,,23.0,1.6,111.0,1186.0,0.8
61,1960JJ00,4.8,19.9,,,0.0,,,,,,,,,,,7.9,44.2,18.4,23.8,,2.0,9.2,,71.0,,,,,,,,42.0,100.0,67.0,,21.0,,,,,,,,,3.6,0.8,,,0.0,,24.0,1.9,120.0,1198.0,0.8
62,1961JJ00,4.9,19.6,,,0.0,,,,,,,,,,,8.4,44.1,19.7,22.6,,1.8,9.3,,70.0,,,,,,,,42.0,100.0,71.0,,21.0,,,,,,,,,3.9,0.8,,,0.0,,26.0,2.3,125.0,1258.0,0.8
63,1962JJ00,5.4,19.6,,,0.0,,,,,,,,,,,8.5,47.4,22.3,23.6,,1.6,8.1,,69.0,,,,,,,,42.0,100.0,71.0,,24.0,,,,,,,,,4.2,0.8,,,0.0,,28.0,2.5,121.0,1287.0,0.8
64,1963JJ00,5.7,19.8,,,0.0,,,,,,,,,,,8.8,47.5,23.3,22.7,,1.5,10.7,,67.0,,,,,,,,44.0,97.0,73.0,,22.0,,,,,,,,,4.5,0.7,,,0.0,,31.0,2.6,135.0,1362.0,0.8
65,1964JJ00,5.0,20.1,,,0.0,,,,,,,,,,,8.6,43.3,18.5,22.6,,2.2,10.4,,66.0,,,,,,,,43.0,95.0,72.0,,24.0,,,,,,,,,4.6,0.7,,,0.0,,35.0,2.9,134.0,1161.0,0.8
66,1965JJ00,4.6,19.6,,,0.0,,,,,,,,,,,8.7,46.9,18.6,26.1,,2.2,10.4,,64.0,,,,,,,,43.0,93.0,67.0,,25.0,,,,,,,,,4.9,0.7,,,0.0,,37.0,3.3,125.0,1460.0,0.9
67,1966JJ00,4.4,19.3,,,0.0,,,,,,,,,,,8.9,48.7,20.3,26.4,,2.0,10.5,,61.0,,,,,,,,45.0,88.0,73.0,,26.0,,,,,,,,,4.9,0.7,,,0.0,,39.0,3.5,120.0,1140.0,0.8
68,1967JJ00,3.4,19.6,,,0.0,,,,,,,,,,,9.0,49.6,21.2,26.5,,1.9,10.6,,60.0,,,,,,,,45.0,91.0,82.0,,26.0,,,,,,,,,5.2,0.7,,,0.0,,44.0,4.1,114.0,1321.0,0.9
69,1968JJ00,2.6,19.6,,,0.0,,,,,,,,,,,8.3,49.0,20.0,27.0,,2.0,10.7,,59.0,,,,,,,,44.0,90.0,80.0,,26.0,,,,,,,,,5.4,0.6,,,0.0,,45.0,4.3,118.0,1453.0,0.9
70,1969JJ00,3.2,18.4,,,0.0,,,,,,,,,,,9.3,47.5,19.5,25.7,,2.3,10.9,,58.0,,,,,,,,45.0,89.0,82.0,,25.0,,,,,,,,,5.6,0.6,,,0.0,,52.0,4.9,101.0,1262.0,0.9
71,1970JJ00,3.0,17.7,,,0.0,76.7,4.2,1.3,,,,,,,,8.3,48.9,19.7,26.5,,2.7,10.5,,57.0,,,,,,,,46.0,85.0,81.0,,27.0,,,,,,,,,5.6,0.6,55.5,,0.0,,57.0,5.1,108.0,1433.0,0.9
72,1971JJ00,2.5,17.4,,,0.0,72.7,7.1,1.4,,,,,,,,8.7,50.9,18.9,29.3,,2.7,10.8,,56.0,,,,,,,,45.0,85.0,78.0,,27.0,,,,,,,,,6.1,0.6,60.2,,0.0,,62.0,6.2,99.0,1486.0,0.9
73,1972JJ00,2.3,16.9,,,0.0,67.4,9.7,1.6,,,,,,,,9.2,49.6,18.0,28.8,,2.8,11.6,,56.0,,,,,,,,44.0,85.0,79.0,,30.0,,,,,,,,,6.5,0.6,53.3,,0.0,,66.0,7.8,93.0,1625.0,0.9
74,1973JJ00,2.5,15.5,,,0.0,60.7,13.2,2.8,,,,,,,,9.5,48.5,18.6,27.1,,2.8,11.4,,57.0,,,,,,,,46.0,83.0,78.0,,31.0,,,,,,,,,6.5,0.7,59.8,,0.0,,73.0,8.9,94.0,1742.0,1.0
75,1974JJ00,2.0,13.8,,,0.0,56.3,15.5,3.4,,,,,,,,10.0,52.8,19.9,30.1,,2.8,11.5,,57.0,,,,,,,,46.0,83.0,81.0,,30.0,,,,,,,,,6.6,0.7,52.3,,0.0,,76.0,10.4,88.0,1727.0,1.1
76,1975JJ00,3.2,13.5,,,0.0,53.1,17.8,3.4,,,,,,,,10.3,61.3,23.2,35.3,,2.8,12.0,,55.0,,,,,,,,44.0,82.0,56.0,,30.0,,,,,,,,,6.8,0.6,58.8,1.4,0.0,,79.0,10.3,88.0,1751.0,1.0
77,1976JJ00,2.7,13.4,,,0.0,51.6,20.3,3.4,,,,,,,,10.5,62.0,23.7,35.5,,2.8,12.1,,56.0,,,,,,,,44.0,77.0,55.0,,33.0,,,,,,,,,7.3,0.7,66.0,2.7,0.0,,84.0,11.3,86.0,1637.0,1.1
78,1977JJ00,3.0,13.4,,,0.0,46.5,22.7,3.0,,,,,,,,11.2,62.0,23.7,35.3,,3.0,12.0,,55.0,,,,,,,,43.0,78.0,56.0,,31.0,,,,,,,,,5.2,0.7,56.2,2.2,0.0,,84.0,12.0,79.0,1939.0,1.1
79,1978JJ00,3.2,12.9,,,0.0,42.4,25.5,2.5,,,,,,,,11.6,64.7,23.4,38.3,,2.9,12.1,,54.0,,,,,,,,41.0,82.0,59.0,,32.0,,,,,,,,,6.5,0.6,60.4,3.7,0.0,,85.0,12.2,75.0,1683.0,1.1
80,1979JJ00,3.5,12.6,,,0.0,40.5,26.8,2.1,,,,,,,,11.7,66.9,23.0,40.9,,3.0,12.2,,54.0,,,,,,,,42.0,83.0,60.0,,33.0,,,,,,,,,7.0,0.6,64.0,4.1,0.0,,85.0,12.0,66.0,1910.0,1.1
81,1980JJ00,3.6,12.6,2.5,,0.0,38.8,27.5,1.6,9.5,,16.6,14.7,0.9,8.7,2.7,12.2,73.5,22.2,39.5,8.9,2.9,12.6,190.0,54.0,,57.0,,,4.0,3.0,1.0,42.0,83.0,53.0,66.0,32.0,7.2,0.9,2.1,21.8,0.0,34.0,,,7.3,0.7,59.0,5.5,0.0,2.7,86.0,12.9,64.0,1627.0,1.0
82,1981JJ00,3.5,12.5,2.5,,0.0,36.7,28.3,1.2,9.4,,16.6,14.8,0.9,8.6,2.8,12.5,74.3,21.3,41.7,9.0,2.3,12.9,198.0,54.0,,,18.2,3.6,4.0,3.1,0.9,43.0,83.0,55.0,63.0,29.0,6.9,0.9,1.9,19.5,0.0,34.0,3.1,4.4,7.3,0.7,59.7,7.5,0.0,2.6,90.0,13.0,58.0,1487.0,1.1
83,1982JJ00,3.5,12.2,2.5,,0.0,35.3,29.4,1.1,9.9,,17.2,15.1,1.0,8.5,2.8,12.7,75.2,20.0,42.4,10.3,2.5,,202.0,53.0,,56.0,17.5,3.7,4.0,3.1,0.9,,83.0,55.0,63.0,30.0,6.4,1.0,1.8,20.6,0.2,33.0,3.1,4.4,7.5,0.7,58.0,7.5,0.0,2.6,82.0,14.2,52.0,1546.0,1.1
84,1983JJ00,3.5,12.1,2.5,,0.0,33.7,31.4,1.3,9.9,,17.6,14.8,0.9,8.5,2.6,12.5,72.8,19.1,40.8,11.0,1.9,,197.0,52.0,,57.0,17.6,3.9,4.4,3.5,0.9,,83.0,56.0,64.0,30.0,6.0,1.0,1.6,20.9,0.5,35.0,3.3,4.5,7.6,0.7,59.8,7.1,0.0,2.4,87.0,13.9,50.0,1609.0,1.3
85,1984JJ00,3.9,11.9,2.5,,0.0,31.5,33.4,1.4,8.8,,17.4,14.5,1.1,8.1,2.7,12.9,73.8,19.5,40.3,11.9,2.1,,204.0,53.0,,59.0,17.8,4.3,4.4,3.5,0.9,,82.0,58.0,64.0,30.0,6.1,1.0,1.6,21.6,0.0,34.0,3.0,4.7,7.6,0.6,53.8,8.7,0.0,2.2,83.0,15.2,48.0,1112.0,1.3
86,1985JJ00,4.0,11.7,2.6,,0.0,30.3,34.8,1.2,8.5,,17.5,14.5,1.1,7.9,2.7,12.7,77.3,19.1,43.3,12.7,2.2,,200.0,53.0,,59.0,17.9,4.5,4.4,3.5,0.9,,83.0,56.0,66.0,32.0,7.2,1.0,1.5,21.3,1.0,34.0,3.8,4.7,7.8,0.6,57.8,9.0,0.0,2.2,85.0,15.0,47.0,1124.0,1.3
87,1986JJ00,4.1,11.4,2.6,,0.0,29.2,35.4,1.2,9.0,,18.3,14.4,1.2,8.8,2.9,13.3,74.6,16.4,42.5,13.4,2.3,,193.0,54.0,,60.0,17.8,4.6,4.9,3.9,1.0,,84.0,61.0,70.0,36.0,7.5,1.2,1.7,24.3,1.3,35.0,3.7,4.7,7.9,0.6,59.1,9.6,0.0,2.1,86.0,14.9,43.0,1134.0,1.3
88,1987JJ00,4.0,11.1,2.5,,0.0,27.6,36.1,1.1,8.8,,18.5,14.7,1.2,8.8,2.9,13.7,80.4,20.1,43.1,14.7,2.5,,189.0,53.0,,60.0,17.4,4.9,5.1,4.1,1.0,,83.0,59.0,74.0,38.0,8.1,1.1,1.9,25.4,1.5,36.0,4.2,4.8,8.2,0.7,59.5,10.2,0.0,2.1,84.0,14.6,40.0,1104.0,1.2
89,1988JJ00,3.8,10.6,2.5,15.5,3.9,24.6,37.7,0.9,9.5,,18.8,14.6,1.3,8.5,2.7,13.5,81.4,19.3,44.5,15.0,2.6,,190.0,52.0,,60.0,17.5,5.1,5.3,4.3,1.0,,85.0,61.0,72.0,39.0,8.6,1.0,2.2,25.6,1.6,33.0,4.1,5.3,8.1,0.7,61.9,11.9,0.0,2.0,83.0,14.8,36.0,1102.0,1.2
90,1989JJ00,3.5,10.0,2.8,16.3,4.1,21.9,39.9,0.9,10.9,,21.2,14.1,1.5,8.8,2.9,13.3,81.3,18.3,44.7,15.7,2.6,,183.0,66.0,,59.0,17.4,5.3,5.5,4.2,1.3,,83.0,60.0,71.0,37.0,8.4,1.1,2.1,24.0,1.5,34.0,4.2,5.6,8.0,0.6,66.5,15.5,0.0,1.9,88.0,14.9,35.0,1101.0,1.1
91,1990JJ00,3.4,9.8,2.9,16.7,4.1,20.3,41.3,1.0,10.7,,21.8,14.1,1.6,8.1,2.9,13.6,84.0,19.4,44.9,17.2,2.5,,176.0,66.0,,60.0,17.6,5.6,5.5,4.1,1.4,,87.0,63.0,73.0,39.0,8.7,1.1,1.8,25.1,2.3,34.0,4.4,5.9,8.4,0.7,71.0,14.8,0.0,2.0,91.0,14.5,33.0,1222.0,1.2
92,1991JJ00,3.4,9.5,3.0,16.8,4.1,18.3,41.7,1.1,10.2,,21.9,14.2,1.6,7.5,2.8,13.6,81.2,20.3,40.9,17.7,2.3,,170.0,68.0,44.0,60.0,18.1,5.7,5.9,4.4,1.5,,84.0,61.0,70.0,39.0,9.1,1.0,2.0,25.1,1.8,30.0,4.5,5.9,8.2,0.7,73.0,14.5,0.0,1.8,91.0,15.3,32.0,1221.0,1.2
93,1992JJ00,3.4,9.2,3.1,17.2,4.1,16.7,42.4,1.2,10.2,,21.7,14.1,1.8,7.0,2.5,14.4,82.7,19.3,42.4,18.5,2.5,,172.0,74.0,43.0,60.0,18.2,5.8,5.4,4.0,1.4,,83.0,61.0,76.0,42.0,11.8,1.2,2.1,24.6,2.3,34.0,4.4,6.1,8.4,0.7,76.6,14.9,0.0,1.8,89.0,15.9,31.0,1158.0,1.1
94,1993JJ00,3.3,8.8,3.1,18.5,3.9,15.3,41.3,1.2,9.0,,20.6,13.6,1.7,7.1,2.3,14.1,87.5,19.2,46.8,18.9,2.6,,171.0,66.0,44.0,60.0,17.9,6.0,5.0,3.9,1.1,,83.0,62.0,74.0,36.0,8.1,0.7,1.9,22.4,2.9,38.0,4.5,6.2,8.4,0.7,74.0,14.6,0.0,1.9,85.0,15.2,30.0,1054.0,1.0
95,1994JJ00,3.3,8.2,3.2,18.6,4.2,14.6,41.7,1.3,9.3,,20.8,13.7,1.9,6.8,2.4,14.0,86.4,20.2,43.7,20.0,2.5,,173.0,66.0,44.0,60.0,17.9,6.1,5.0,3.6,1.4,,84.0,60.0,75.0,39.0,7.6,1.5,2.0,22.6,5.3,36.0,4.5,6.3,8.2,0.7,77.7,15.7,0.0,1.8,86.0,15.7,31.0,1075.0,1.0
96,1995JJ00,3.5,8.1,3.0,15.7,4.0,13.0,44.2,1.1,9.6,,20.3,13.6,1.9,6.6,2.4,14.2,87.0,20.3,44.2,20.4,2.1,,175.0,62.0,43.0,59.0,17.2,6.3,4.8,3.4,1.4,,83.0,,,,,,,,,,4.4,6.2,7.9,0.7,80.6,15.9,0.0,1.7,86.0,16.6,30.0,1110.0,1.0
