ID,Populatie,Geslacht,Persoonskenmerken,Perioden,Verkeersdeelname_1,GebruikVanHetOpenbaarVervoer_2
80, 6000050,    1100, 2012657,2010JJ00,75.7,14.5
81, 6000050,    1100, 2012657,2011JJ00,79.0,15.6
82, 6000050,    1100, 2012657,2012JJ00,75.5,13.5
83, 6000050,    1100, 2012657,2013JJ00,78.0,14.6
84, 6000050,    1100, 2012657,2014JJ00,77.5,13.3
85, 6000050,    1100, 1020700,2010JJ00,79.2,14.4
86, 6000050,    1100, 1020700,2011JJ00,80.4,15.7
87, 6000050,    1100, 1020700,2012JJ00,79.2,14.5
88, 6000050,    1100, 1020700,2013JJ00,79.9,16.3
89, 6000050,    1100, 1020700,2014JJ00,79.9,13.7
90, 6000050,    1100, 1020710,2010JJ00,76.0,6.7
91, 6000050,    1100, 1020710,2011JJ00,76.5,6.8
92, 6000050,    1100, 1020710,2012JJ00,76.2,6.7
93, 6000050,    1100, 1020710,2013JJ00,76.8,6.8
94, 6000050,    1100, 1020710,2014JJ00,76.2,6.3
95, 6000050,    1100, 1020720,2010JJ00,82.1,6.2
96, 6000050,    1100, 1020720,2011JJ00,81.6,6.4
97, 6000050,    1100, 1020720,2012JJ00,81.2,6.1
98, 6000050,    1100, 1020720,2013JJ00,81.0,6.1
99, 6000050,    1100, 1020720,2014JJ00,82.1,6.1
100, 6000050,    1100, 1020730,2010JJ00,82.7,6.6
101, 6000050,    1100, 1020730,2011JJ00,82.7,7.4
102, 6000050,    1100, 1020730,2012JJ00,83.1,6.1
103, 6000050,    1100, 1020730,2013JJ00,82.8,7.1
104, 6000050,    1100, 1020730,2014JJ00,84.0,6.6
105, 6000050,    1100, 1020740,2010JJ00,81.0,6.0
106, 6000050,    1100, 1020740,2011JJ00,83.8,7.0
107, 6000050,    1100, 1020740,2012JJ00,81.9,6.5
108, 6000050,    1100, 1020740,2013JJ00,82.1,7.7
109, 6000050,    1100, 1020740,2014JJ00,82.7,6.3
110, 6000050,    1100, 1020750,2010JJ00,81.6,5.1
111, 6000050,    1100, 1020750,2011JJ00,81.2,5.2
112, 6000050,    1100, 1020750,2012JJ00,79.8,4.8
113, 6000050,    1100, 1020750,2013JJ00,81.5,4.9
114, 6000050,    1100, 1020750,2014JJ00,82.3,5.6
115, 6000050,    1100, 2050150,2010JJ00,83.4,3.0
116, 6000050,    1100, 2050150,2011JJ00,84.7,2.6
117, 6000050,    1100, 2050150,2012JJ00,84.0,2.6
118, 6000050,    1100, 2050150,2013JJ00,84.2,2.4
119, 6000050,    1100, 2050150,2014JJ00,85.3,2.7
120, 6000050,    1100, 2050145,2010JJ00,83.7,2.2
121, 6000050,    1100, 2050145,2011JJ00,84.9,1.7
122, 6000050,    1100, 2050145,2012JJ00,84.5,1.7
123, 6000050,    1100, 2050145,2013JJ00,84.6,1.6
124, 6000050,    1100, 2050145,2014JJ00,85.6,2.1
125, 6000050,    1100, 2050170,2010JJ00,82.2,5.9
126, 6000050,    1100, 2050170,2011JJ00,83.9,6.1
127, 6000050,    1100, 2050170,2012JJ00,82.5,5.7
128, 6000050,    1100, 2050170,2013JJ00,82.7,5.0
129, 6000050,    1100, 2050170,2014JJ00,84.4,4.6
130, 6000050,    1100, 2050195,2010JJ00,84.1,20.6
131, 6000050,    1100, 2050195,2011JJ00,83.3,20.4
132, 6000050,    1100, 2050195,2012JJ00,82.6,20.2
133, 6000050,    1100, 2050195,2013JJ00,82.8,22.4
134, 6000050,    1100, 2050195,2014JJ00,83.2,20.3
135, 6000050,    1100, 2050190,2010JJ00,82.1,14.1
136, 6000050,    1100, 2050190,2011JJ00,81.7,13.5
137, 6000050,    1100, 2050190,2012JJ00,81.7,12.2
138, 6000050,    1100, 2050190,2013JJ00,81.3,15.1
139, 6000050,    1100, 2050190,2014JJ00,82.3,13.2
140, 6000050,    1100, 2050235,2010JJ00,83.4,27.5
141, 6000050,    1100, 2050235,2011JJ00,80.9,24.0
142, 6000050,    1100, 2050235,2012JJ00,84.3,30.0
143, 6000050,    1100, 2050235,2013JJ00,83.0,30.8
144, 6000050,    1100, 2050235,2014JJ00,81.7,26.5
145, 6000050,    1100, 2050020,2010JJ00,85.5,21.5
146, 6000050,    1100, 2050020,2011JJ00,85.1,23.1
147, 6000050,    1100, 2050020,2012JJ00,82.5,21.1
148, 6000050,    1100, 2050020,2013JJ00,83.7,23.2
149, 6000050,    1100, 2050020,2014JJ00,84.3,22.1
150, 6000050,    1100, 2050250,2010JJ00,84.1,6.9
151, 6000050,    1100, 2050250,2011JJ00,84.4,7.8
152, 6000050,    1100, 2050250,2012JJ00,84.1,7.2
153, 6000050,    1100, 2050250,2013JJ00,84.0,7.7
154, 6000050,    1100, 2050250,2014JJ00,84.2,7.4
155, 6000050,    1100, 2050025,2010JJ00,85.5,11.0
156, 6000050,    1100, 2050025,2011JJ00,86.8,12.8
157, 6000050,    1100, 2050025,2012JJ00,85.9,10.8
158, 6000050,    1100, 2050025,2013JJ00,84.9,13.6
159, 6000050,    1100, 2050025,2014JJ00,84.7,11.6
160, 6000050,    1100, 2050110,2010JJ00,83.9,6.2
161, 6000050,    1100, 2050110,2011JJ00,84.6,7.2
162, 6000050,    1100, 2050110,2012JJ00,84.6,7.1
163, 6000050,    1100, 2050110,2013JJ00,84.0,6.9
164, 6000050,    1100, 2050110,2014JJ00,83.9,6.4
165, 6000050,    1100, 2050115,2010JJ00,83.1,4.9
166, 6000050,    1100, 2050115,2011JJ00,82.4,5.3
167, 6000050,    1100, 2050115,2012JJ00,81.6,4.9
168, 6000050,    1100, 2050115,2013JJ00,83.0,4.4
169, 6000050,    1100, 2050115,2014JJ00,82.7,5.1
170, 6000050,    1100, 2050270,2010JJ00,79.8,5.1
171, 6000050,    1100, 2050270,2011JJ00,79.9,5.4
172, 6000050,    1100, 2050270,2012JJ00,79.4,4.8
173, 6000050,    1100, 2050270,2013JJ00,80.5,4.6
174, 6000050,    1100, 2050270,2014JJ00,80.3,4.8
175, 6000050,    1100, 2050120,2010JJ00,80.7,5.7
176, 6000050,    1100, 2050120,2011JJ00,80.3,6.2
177, 6000050,    1100, 2050120,2012JJ00,80.1,5.1
178, 6000050,    1100, 2050120,2013JJ00,80.9,4.9
179, 6000050,    1100, 2050120,2014JJ00,80.7,4.8
180, 6000050,    1100, 2050060,2010JJ00,74.5,4.2
181, 6000050,    1100, 2050060,2011JJ00,76.0,4.0
182, 6000050,    1100, 2050060,2012JJ00,75.9,3.7
183, 6000050,    1100, 2050060,2013JJ00,76.9,4.3
184, 6000050,    1100, 2050060,2014JJ00,78.1,4.8
185, 6000050,    1100, 2050290,2010JJ00,64.6,3.0
186, 6000050,    1100, 2050290,2011JJ00,64.4,3.4
187, 6000050,    1100, 2050290,2012JJ00,65.4,3.3
188, 6000050,    1100, 2050290,2013JJ00,65.3,3.4
189, 6000050,    1100, 2050290,2014JJ00,67.3,3.0
190, 6000050,    1100, 2050285,2010JJ00,73.0,3.3
191, 6000050,    1100, 2050285,2011JJ00,72.1,4.1
192, 6000050,    1100, 2050285,2012JJ00,72.6,3.6
193, 6000050,    1100, 2050285,2013JJ00,71.9,3.5
194, 6000050,    1100, 2050285,2014JJ00,73.2,3.3
195, 6000050,    1100, 2050295,2010JJ00,53.5,2.7
196, 6000050,    1100, 2050295,2011JJ00,54.0,2.6
197, 6000050,    1100, 2050295,2012JJ00,55.2,2.8
198, 6000050,    1100, 2050295,2013JJ00,55.9,3.2
199, 6000050,    1100, 2050295,2014JJ00,58.6,2.6
200, 6000050,    1100, 2018700,2010JJ00,73.1,5.7
201, 6000050,    1100, 2018700,2011JJ00,72.4,5.8
202, 6000050,    1100, 2018700,2012JJ00,72.9,5.6
203, 6000050,    1100, 2018700,2013JJ00,73.4,6.1
204, 6000050,    1100, 2018700,2014JJ00,73.4,6.0
205, 6000050,    1100, 2018740,2010JJ00,81.5,8.2
206, 6000050,    1100, 2018740,2011JJ00,81.7,8.9
207, 6000050,    1100, 2018740,2012JJ00,80.9,8.1
208, 6000050,    1100, 2018740,2013JJ00,80.8,8.8
209, 6000050,    1100, 2018740,2014JJ00,81.4,8.2
210, 6000050,    1100, 2018790,2010JJ00,84.5,9.0
211, 6000050,    1100, 2018790,2011JJ00,84.0,9.7
212, 6000050,    1100, 2018790,2012JJ00,83.7,9.1
213, 6000050,    1100, 2018790,2013JJ00,83.3,9.1
214, 6000050,    1100, 2018790,2014JJ00,83.6,8.4
215, 6000050,    1100, 2018815,2010JJ00,83.4,3.0
216, 6000050,    1100, 2018815,2011JJ00,84.7,2.6
217, 6000050,    1100, 2018815,2012JJ00,84.0,2.6
218, 6000050,    1100, 2018815,2013JJ00,84.2,2.4
219, 6000050,    1100, 2018815,2014JJ00,85.3,2.7
220, 6000050,    1100, 2017350,2010JJ00,69.7,4.3
221, 6000050,    1100, 2017350,2011JJ00,69.7,4.8
222, 6000050,    1100, 2017350,2012JJ00,67.6,5.0
223, 6000050,    1100, 2017350,2013JJ00,70.2,4.1
224, 6000050,    1100, 2017350,2014JJ00,67.8,5.4
225, 6000050,    1100, 2017558,2010JJ00,81.1,2.2
226, 6000050,    1100, 2017558,2011JJ00,82.7,2.0
227, 6000050,    1100, 2017558,2012JJ00,82.3,2.1
228, 6000050,    1100, 2017558,2013JJ00,82.3,1.6
229, 6000050,    1100, 2017558,2014JJ00,83.6,2.3
230, 6000050,    1100, 2017560,2010JJ00,85.6,6.4
231, 6000050,    1100, 2017560,2011JJ00,86.0,6.8
232, 6000050,    1100, 2017560,2012JJ00,84.7,6.4
233, 6000050,    1100, 2017560,2013JJ00,85.7,6.4
234, 6000050,    1100, 2017560,2014JJ00,86.0,5.9
235, 6000050,    1100, 2017565,2010JJ00,85.0,7.3
236, 6000050,    1100, 2017565,2011JJ00,84.5,7.7
237, 6000050,    1100, 2017565,2012JJ00,84.7,7.1
238, 6000050,    1100, 2017565,2013JJ00,84.7,7.5
239, 6000050,    1100, 2017565,2014JJ00,84.7,7.0
240, 6000050,    1100, 2017570,2010JJ00,83.8,12.5
241, 6000050,    1100, 2017570,2011JJ00,84.5,12.6
242, 6000050,    1100, 2017570,2012JJ00,83.5,12.3
243, 6000050,    1100, 2017570,2013JJ00,83.6,13.3
244, 6000050,    1100, 2017570,2014JJ00,84.6,12.8
245, 6000050,    1100, 2017572,2010JJ00,73.2,6.0
246, 6000050,    1100, 2017572,2011JJ00,74.6,9.3
247, 6000050,    1100, 2017572,2012JJ00,72.1,8.0
248, 6000050,    1100, 2017572,2013JJ00,74.8,6.2
249, 6000050,    1100, 2017572,2014JJ00,74.3,7.4
250, 6000050,    1100, 2017555,2010JJ00,,
251, 6000050,    1100, 2017555,2011JJ00,,
252, 6000050,    1100, 2017555,2012JJ00,,
253, 6000050,    1100, 2017555,2013JJ00,,
254, 6000050,    1100, 2017555,2014JJ00,,
255, 6000050,    1100, 2017578,2010JJ00,75.3,4.1
256, 6000050,    1100, 2017578,2011JJ00,74.8,4.4
257, 6000050,    1100, 2017578,2012JJ00,75.7,3.5
258, 6000050,    1100, 2017578,2013JJ00,76.1,4.4
259, 6000050,    1100, 2017578,2014JJ00,76.4,3.3
260, 6000050,    1100, 2017576,2010JJ00,65.7,3.0
261, 6000050,    1100, 2017576,2011JJ00,65.7,3.3
262, 6000050,    1100, 2017576,2012JJ00,66.1,3.2
263, 6000050,    1100, 2017576,2013JJ00,66.1,3.3
264, 6000050,    1100, 2017576,2014JJ00,67.7,3.1
265, 6000050,    1100, 2030530,2010JJ00,85.6,35.3
266, 6000050,    1100, 2030530,2011JJ00,84.1,38.5
267, 6000050,    1100, 2030530,2012JJ00,83.5,37.2
268, 6000050,    1100, 2030530,2013JJ00,82.5,41.3
269, 6000050,    1100, 2030530,2014JJ00,83.7,37.0
270, 6000050,    1100, 2030540,2010JJ00,88.0,25.9
271, 6000050,    1100, 2030540,2011JJ00,85.5,22.0
272, 6000050,    1100, 2030540,2012JJ00,90.7,25.8
273, 6000050,    1100, 2030540,2013JJ00,88.8,22.3
274, 6000050,    1100, 2030540,2014JJ00,93.6,25.7
275, 6000050,    1100, 2030550,2010JJ00,79.5,5.4
276, 6000050,    1100, 2030550,2011JJ00,79.7,5.6
277, 6000050,    1100, 2030550,2012JJ00,79.3,5.3
278, 6000050,    1100, 2030550,2013JJ00,79.6,5.5
279, 6000050,    1100, 2030550,2014JJ00,80.0,5.3
280, 6000050,    3000, 4000000,2010JJ00,80.2,6.1
281, 6000050,    3000, 4000000,2011JJ00,80.2,6.7
282, 6000050,    3000, 4000000,2012JJ00,79.9,6.4
283, 6000050,    3000, 4000000,2013JJ00,80.0,6.5
284, 6000050,    3000, 4000000,2014JJ00,80.8,6.3
285, 6000050,    3000, 2030500,2010JJ00,78.9,9.9
286, 6000050,    3000, 2030500,2011JJ00,80.3,10.5
287, 6000050,    3000, 2030500,2012JJ00,80.7,10.9
288, 6000050,    3000, 2030500,2013JJ00,79.3,10.2
289, 6000050,    3000, 2030500,2014JJ00,80.8,10.0
290, 6000050,    3000, 2030510,2010JJ00,79.1,9.2
291, 6000050,    3000, 2030510,2011JJ00,79.4,10.8
292, 6000050,    3000, 2030510,2012JJ00,77.8,9.8
293, 6000050,    3000, 2030510,2013JJ00,77.6,10.9
294, 6000050,    3000, 2030510,2014JJ00,79.4,10.3
295, 6000050,    3000, 2030520,2010JJ00,81.3,3.1
296, 6000050,    3000, 2030520,2011JJ00,80.3,3.2
297, 6000050,    3000, 2030520,2012JJ00,79.9,2.8
298, 6000050,    3000, 2030520,2013JJ00,81.1,3.1
299, 6000050,    3000, 2030520,2014JJ00,81.2,2.9
300, 6000050,    3000, 1020870,2010JJ00,77.3,9.1
301, 6000050,    3000, 1020870,2011JJ00,76.5,11.3
302, 6000050,    3000, 1020870,2012JJ00,76.1,9.9
303, 6000050,    3000, 1020870,2013JJ00,76.5,10.9
304, 6000050,    3000, 1020870,2014JJ00,77.5,10.1
305, 6000050,    3000, 1020880,2010JJ00,75.2,6.1
306, 6000050,    3000, 1020880,2011JJ00,78.8,6.4
307, 6000050,    3000, 1020880,2012JJ00,76.5,8.3
308, 6000050,    3000, 1020880,2013JJ00,75.5,6.1
309, 6000050,    3000, 1020880,2014JJ00,76.7,6.1
310, 6000050,    3000, 1020890,2010JJ00,77.7,4.8
311, 6000050,    3000, 1020890,2011JJ00,78.5,5.4
312, 6000050,    3000, 1020890,2012JJ00,77.8,5.4
313, 6000050,    3000, 1020890,2013JJ00,77.1,4.8
314, 6000050,    3000, 1020890,2014JJ00,78.0,3.7
315, 6000050,    3000, 1020900,2010JJ00,81.6,5.5
316, 6000050,    3000, 1020900,2011JJ00,79.5,4.6
317, 6000050,    3000, 1020900,2012JJ00,79.6,6.1
318, 6000050,    3000, 1020900,2013JJ00,82.4,5.9
319, 6000050,    3000, 1020900,2014JJ00,79.0,5.2
320, 6000050,    3000, 1020910,2010JJ00,81.1,5.2
321, 6000050,    3000, 1020910,2011JJ00,81.4,6.6
322, 6000050,    3000, 1020910,2012JJ00,81.3,5.5
323, 6000050,    3000, 1020910,2013JJ00,81.0,5.1
324, 6000050,    3000, 1020910,2014JJ00,79.5,5.8
325, 6000050,    3000, 1020920,2010JJ00,82.1,5.7
326, 6000050,    3000, 1020920,2011JJ00,81.4,5.6
327, 6000050,    3000, 1020920,2012JJ00,80.7,5.4
328, 6000050,    3000, 1020920,2013JJ00,81.1,5.9
329, 6000050,    3000, 1020920,2014JJ00,83.6,7.3
330, 6000050,    3000, 1020930,2010JJ00,82.5,6.9
331, 6000050,    3000, 1020930,2011JJ00,81.3,6.4
332, 6000050,    3000, 1020930,2012JJ00,83.1,6.5
333, 6000050,    3000, 1020930,2013JJ00,82.2,5.8
334, 6000050,    3000, 1020930,2014JJ00,82.7,4.9
335, 6000050,    3000, 1020940,2010JJ00,84.6,6.0
336, 6000050,    3000, 1020940,2011JJ00,81.9,6.5
337, 6000050,    3000, 1020940,2012JJ00,82.5,5.5
338, 6000050,    3000, 1020940,2013JJ00,82.4,6.0
339, 6000050,    3000, 1020940,2014JJ00,84.2,5.0
340, 6000050,    3000, 1020950,2010JJ00,80.9,5.5
341, 6000050,    3000, 1020950,2011JJ00,83.5,7.5
342, 6000050,    3000, 1020950,2012JJ00,82.0,5.2
343, 6000050,    3000, 1020950,2013JJ00,82.5,6.7
344, 6000050,    3000, 1020950,2014JJ00,85.6,7.0
345, 6000050,    3000, 1020960,2010JJ00,79.9,5.4
346, 6000050,    3000, 1020960,2011JJ00,79.9,5.2
347, 6000050,    3000, 1020960,2012JJ00,81.2,5.8
348, 6000050,    3000, 1020960,2013JJ00,81.0,6.2
349, 6000050,    3000, 1020960,2014JJ00,83.0,6.2
350, 6000050,    3000, 1012600,2010JJ00,80.8,5.1
351, 6000050,    3000, 1012600,2011JJ00,80.4,5.5
352, 6000050,    3000, 1012600,2012JJ00,80.4,5.6
353, 6000050,    3000, 1012600,2013JJ00,80.5,5.6
354, 6000050,    3000, 1012600,2014JJ00,81.2,5.2
355, 6000050,    3000, 2012655,2010JJ00,78.7,7.7
356, 6000050,    3000, 2012655,2011JJ00,77.6,8.1
357, 6000050,    3000, 2012655,2012JJ00,77.7,6.6
358, 6000050,    3000, 2012655,2013JJ00,77.9,7.6
359, 6000050,    3000, 2012655,2014JJ00,79.2,8.3
360, 6000050,    3000, 2012657,2010JJ00,77.4,12.5
361, 6000050,    3000, 2012657,2011JJ00,80.6,14.1
362, 6000050,    3000, 2012657,2012JJ00,78.0,11.8
363, 6000050,    3000, 2012657,2013JJ00,78.7,11.6
364, 6000050,    3000, 2012657,2014JJ00,79.6,12.0
365, 6000050,    3000, 1020700,2010JJ00,79.9,12.8
366, 6000050,    3000, 1020700,2011JJ00,78.9,15.5
367, 6000050,    3000, 1020700,2012JJ00,75.5,13.7
368, 6000050,    3000, 1020700,2013JJ00,78.8,14.2
369, 6000050,    3000, 1020700,2014JJ00,78.5,13.1
370, 6000050,    3000, 1020710,2010JJ00,77.3,5.8
371, 6000050,    3000, 1020710,2011JJ00,78.1,6.2
372, 6000050,    3000, 1020710,2012JJ00,77.4,7.0
373, 6000050,    3000, 1020710,2013JJ00,77.1,6.2
374, 6000050,    3000, 1020710,2014JJ00,77.1,5.7
375, 6000050,    3000, 1020720,2010JJ00,82.2,5.8
376, 6000050,    3000, 1020720,2011JJ00,81.1,6.1
377, 6000050,    3000, 1020720,2012JJ00,81.3,5.7
378, 6000050,    3000, 1020720,2013JJ00,81.8,5.5
379, 6000050,    3000, 1020720,2014JJ00,82.1,5.7
380, 6000050,    3000, 1020730,2010JJ00,82.0,6.0
381, 6000050,    3000, 1020730,2011JJ00,82.4,7.0
382, 6000050,    3000, 1020730,2012JJ00,83.0,5.2
383, 6000050,    3000, 1020730,2013JJ00,82.1,6.9
384, 6000050,    3000, 1020730,2014JJ00,84.8,6.5
385, 6000050,    3000, 1020740,2010JJ00,79.8,5.2
386, 6000050,    3000, 1020740,2011JJ00,81.4,5.7
387, 6000050,    3000, 1020740,2012JJ00,82.7,6.5
388, 6000050,    3000, 1020740,2013JJ00,82.1,6.8
389, 6000050,    3000, 1020740,2014JJ00,82.8,5.7
390, 6000050,    3000, 1020750,2010JJ00,80.5,5.4
391, 6000050,    3000, 1020750,2011JJ00,80.1,5.1
392, 6000050,    3000, 1020750,2012JJ00,78.9,4.9
393, 6000050,    3000, 1020750,2013JJ00,79.4,5.0
394, 6000050,    3000, 1020750,2014JJ00,83.3,6.4
395, 6000050,    3000, 2050150,2010JJ00,82.6,2.9
396, 6000050,    3000, 2050150,2011JJ00,84.1,2.6
397, 6000050,    3000, 2050150,2012JJ00,84.0,2.5
398, 6000050,    3000, 2050150,2013JJ00,83.8,1.9
399, 6000050,    3000, 2050150,2014JJ00,85.3,2.5
400, 6000050,    3000, 2050145,2010JJ00,83.1,2.1
401, 6000050,    3000, 2050145,2011JJ00,84.4,1.5
402, 6000050,    3000, 2050145,2012JJ00,84.0,1.6
403, 6000050,    3000, 2050145,2013JJ00,83.8,1.2
404, 6000050,    3000, 2050145,2014JJ00,85.8,1.9
405, 6000050,    3000, 2050170,2010JJ00,80.4,5.5
406, 6000050,    3000, 2050170,2011JJ00,82.9,6.5
407, 6000050,    3000, 2050170,2012JJ00,84.0,5.7
408, 6000050,    3000, 2050170,2013JJ00,84.0,4.5
409, 6000050,    3000, 2050170,2014JJ00,83.3,4.4
410, 6000050,    3000, 2050195,2010JJ00,83.5,17.3
411, 6000050,    3000, 2050195,2011JJ00,82.6,19.4
412, 6000050,    3000, 2050195,2012JJ00,81.5,18.7
413, 6000050,    3000, 2050195,2013JJ00,81.5,19.9
414, 6000050,    3000, 2050195,2014JJ00,82.3,17.5
415, 6000050,    3000, 2050190,2010JJ00,80.8,11.4
416, 6000050,    3000, 2050190,2011JJ00,79.2,11.7
417, 6000050,    3000, 2050190,2012JJ00,82.3,11.3
418, 6000050,    3000, 2050190,2013JJ00,80.7,14.6
419, 6000050,    3000, 2050190,2014JJ00,81.4,11.9
420, 6000050,    3000, 2050235,2010JJ00,84.1,23.1
421, 6000050,    3000, 2050235,2011JJ00,80.8,23.5
422, 6000050,    3000, 2050235,2012JJ00,82.2,25.4
423, 6000050,    3000, 2050235,2013JJ00,81.9,24.7
424, 6000050,    3000, 2050235,2014JJ00,80.0,20.7
425, 6000050,    3000, 2050020,2010JJ00,84.9,18.4
426, 6000050,    3000, 2050020,2011JJ00,85.4,22.3
427, 6000050,    3000, 2050020,2012JJ00,80.8,20.4
428, 6000050,    3000, 2050020,2013JJ00,81.8,20.9
429, 6000050,    3000, 2050020,2014JJ00,83.8,19.4
430, 6000050,    3000, 2050250,2010JJ00,83.2,6.5
431, 6000050,    3000, 2050250,2011JJ00,83.2,7.5
432, 6000050,    3000, 2050250,2012JJ00,83.9,7.5
433, 6000050,    3000, 2050250,2013JJ00,84.2,7.6
434, 6000050,    3000, 2050250,2014JJ00,83.9,7.7
435, 6000050,    3000, 2050025,2010JJ00,86.1,8.9
436, 6000050,    3000, 2050025,2011JJ00,87.6,12.1
437, 6000050,    3000, 2050025,2012JJ00,86.7,11.8
438, 6000050,    3000, 2050025,2013JJ00,85.7,12.4
439, 6000050,    3000, 2050025,2014JJ00,84.0,11.9
440, 6000050,    3000, 2050110,2010JJ00,82.9,6.7
441, 6000050,    3000, 2050110,2011JJ00,83.7,6.9
442, 6000050,    3000, 2050110,2012JJ00,83.9,7.4
443, 6000050,    3000, 2050110,2013JJ00,84.2,7.5
444, 6000050,    3000, 2050110,2014JJ00,84.2,7.1
445, 6000050,    3000, 2050115,2010JJ00,81.7,4.6
446, 6000050,    3000, 2050115,2011JJ00,80.8,4.5
447, 6000050,    3000, 2050115,2012JJ00,80.6,4.7
